"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,3985.0,3909.8750000000005,"PNM"
"01-01-2010",1,3914.0,3834.4000000000005,"PNM"
"01-01-2010",2,3914.0,3858.9999999999995,"PNM"
"01-01-2010",3,3949.0,3886.8000000000006,"PNM"
"01-01-2010",4,4049.0,3963.5100000000007,"PNM"
"01-01-2010",5,4063.0,3985.625,"PNM"
"01-01-2010",6,4191.0,4026.344,"PNM"
"01-01-2010",7,4208.0,4002.7,"PNM"
"01-01-2010",8,4215.0,4006.6,"PNM"
"01-01-2010",9,4256.0,4026.1,"PNM"
"01-01-2010",10,4210.0,3986.2,"PNM"
"01-01-2010",11,4221.0,4010.2999999999997,"PNM"
"01-01-2010",12,4316.0,4111.599999999999,"PNM"
"01-01-2010",13,4272.0,4073.9,"PNM"
"01-01-2010",14,4244.0,4045.6,"PNM"
"01-01-2010",15,4235.0,4035.1000000000004,"PNM"
"01-01-2010",16,4219.0,4008.2000000000003,"PNM"
"01-01-2010",17,4266.0,4072.2000000000007,"PNM"
"01-01-2010",18,4233.0,4016.1999999999994,"PNM"
"01-01-2010",19,4215.0,3999.0280000000007,"PNM"
"01-01-2010",20,4169.0,4003.2999999999997,"PNM"
"01-01-2010",21,4042.0,3906.9999999999995,"PNM"
"01-01-2010",22,3979.0,3900.218,"PNM"
"01-01-2010",23,3958.0,3931.05,"PNM"
"01-02-2010",0,3853.0,3798.1,"PNM"
"01-02-2010",1,3891.0,3557.3660000000004,"PNM"
"01-02-2010",2,3237.0,3264.9000000000005,"PNM"
"01-02-2010",3,3238.0,3286.425,"PNM"
"01-02-2010",4,3206.0,3252.604,"PNM"
"01-02-2010",5,3249.0,3312.7000000000003,"PNM"
"01-02-2010",6,3340.0,3328.6,"PNM"
"01-02-2010",7,3431.0,3343.2880000000005,"PNM"
"01-02-2010",8,3512.0,3394.600000000001,"PNM"
"01-02-2010",9,3568.0,3425.0999999999995,"PNM"
"01-02-2010",10,3550.0,3370.9999999999995,"PNM"
"01-02-2010",11,3490.0,3356.3999999999996,"PNM"
"01-02-2010",12,3484.0,3350.9000000000005,"PNM"
"01-02-2010",13,3448.0,3344.2000000000003,"PNM"
"01-02-2010",14,3426.0,3323.3,"PNM"
"01-02-2010",15,3414.0,3327.3000000000006,"PNM"
"01-02-2010",16,3479.0,3378.2,"PNM"
"01-02-2010",17,3502.0,3384.7,"PNM"
"01-02-2010",18,3554.0,3442.7999999999997,"PNM"
"01-02-2010",19,3487.0,3389.0999999999995,"PNM"
"01-02-2010",20,3479.0,3359.164999999999,"PNM"
"01-02-2010",21,3267.0,3256.3,"PNM"
"01-02-2010",22,3099.0,3189.8059999999996,"PNM"
"01-02-2010",23,3105.0,3237.9999999999995,"PNM"
"01-03-2010",0,3120.0,3259.2,"PNM"
"01-03-2010",1,3154.0,3296.7,"PNM"
"01-03-2010",2,3190.0,3336.7999999999997,"PNM"
"01-03-2010",3,3201.0,3347.2999999999997,"PNM"
"01-03-2010",4,3296.0,3063.5279999999993,"PNM"
"01-03-2010",5,2990.0,3052.4499999999994,"PNM"
"01-03-2010",6,3095.0,3087.6200000000003,"PNM"
"01-03-2010",7,3187.0,3141.3999999999996,"PNM"
"01-03-2010",8,3317.0,3231.8999999999996,"PNM"
"01-03-2010",9,3447.0,3287.099999999999,"PNM"
"01-03-2010",10,3519.0,3353.5,"PNM"
"01-03-2010",11,3602.0,3429.2,"PNM"
"01-03-2010",12,3680.0,3492.4999999999995,"PNM"
"01-03-2010",13,3748.0,3541.5,"PNM"
"01-03-2010",14,3809.0,3604.7999999999997,"PNM"
"01-03-2010",15,3884.0,3696.6,"PNM"
"01-03-2010",16,3868.0,3655.8999999999996,"PNM"
"01-03-2010",17,3903.0,3671.6,"PNM"
"01-03-2010",18,3986.0,3707.7,"PNM"
"01-03-2010",19,3955.0,3715.3999999999996,"PNM"
"01-03-2010",20,3995.0,3726.6,"PNM"
"01-03-2010",21,4009.0,3503.044,"PNM"
"01-03-2010",22,3343.0,3160.3,"PNM"
"01-03-2010",23,3267.0,3119.5499999999997,"PNM"
"01-04-2010",0,3264.0,3095.2249999999995,"PNM"
"01-04-2010",1,3264.0,3135.212,"PNM"
"01-04-2010",2,3282.0,3231.6999999999994,"PNM"
"01-04-2010",3,3315.0,3266.8,"PNM"
"01-04-2010",4,3305.0,3264.7999999999993,"PNM"
"01-04-2010",5,3304.0,3247.692,"PNM"
"01-04-2010",6,3499.0,3341.8,"PNM"
"01-04-2010",7,3543.0,3283.7000000000003,"PNM"
"01-04-2010",8,3429.0,3233.7999999999997,"PNM"
"01-04-2010",9,3515.0,3312.7,"PNM"
"01-04-2010",10,3595.0,3381.0,"PNM"
"01-04-2010",11,3630.0,3381.8,"PNM"
"01-04-2010",12,3597.0,3378.6,"PNM"
"01-04-2010",13,3635.0,3419.5999999999995,"PNM"
