"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,46.0,27.4,"RC"
"01-01-2010",1,46.0,27.3,"RC"
"01-01-2010",2,46.0,27.3,"RC"
"01-01-2010",3,46.0,27.3,"RC"
"01-01-2010",4,46.0,27.4,"RC"
"01-01-2010",5,46.0,27.4,"RC"
"01-01-2010",6,46.0,27.3,"RC"
"01-01-2010",7,46.0,27.3,"RC"
"01-01-2010",8,46.0,27.3,"RC"
"01-01-2010",9,46.0,26.9,"RC"
"01-01-2010",10,46.0,26.9,"RC"
"01-01-2010",11,46.0,26.9,"RC"
"01-01-2010",12,46.0,26.8,"RC"
"01-01-2010",13,46.0,26.8,"RC"
"01-01-2010",14,46.0,26.8,"RC"
"01-01-2010",15,46.0,26.8,"RC"
"01-01-2010",16,46.0,26.8,"RC"
"01-01-2010",17,46.0,27.1,"RC"
"01-01-2010",18,46.0,27.3,"RC"
"01-01-2010",19,46.0,27.3,"RC"
"01-01-2010",20,46.0,27.3,"RC"
"01-01-2010",21,46.0,27.3,"RC"
"01-01-2010",22,46.0,27.3,"RC"
"01-01-2010",23,46.0,27.3,"RC"
"01-02-2010",0,46.0,27.2,"RC"
"01-02-2010",1,46.0,27.2,"RC"
"01-02-2010",2,46.0,27.0,"RC"
"01-02-2010",3,46.0,27.1,"RC"
"01-02-2010",4,46.0,27.2,"RC"
"01-02-2010",5,46.0,27.2,"RC"
"01-02-2010",6,46.0,27.1,"RC"
"01-02-2010",7,46.0,26.9,"RC"
"01-02-2010",8,46.0,27.2,"RC"
"01-02-2010",9,46.0,26.9,"RC"
"01-02-2010",10,46.0,26.8,"RC"
"01-02-2010",11,46.0,27.2,"RC"
"01-02-2010",12,46.0,27.2,"RC"
"01-02-2010",13,46.0,27.2,"RC"
"01-02-2010",14,46.0,27.2,"RC"
"01-02-2010",15,46.0,27.3,"RC"
"01-02-2010",16,46.0,27.3,"RC"
"01-02-2010",17,46.0,27.3,"RC"
"01-02-2010",18,46.0,27.2,"RC"
"01-02-2010",19,46.0,27.1,"RC"
"01-02-2010",20,46.0,27.2,"RC"
"01-02-2010",21,46.0,27.2,"RC"
"01-02-2010",22,46.0,27.0,"RC"
"01-02-2010",23,46.0,26.9,"RC"
"01-03-2010",0,46.0,27.0,"RC"
"01-03-2010",1,46.0,26.9,"RC"
"01-03-2010",2,46.0,27.0,"RC"
"01-03-2010",3,46.0,27.0,"RC"
"01-03-2010",4,46.0,26.9,"RC"
"01-03-2010",5,46.0,26.8,"RC"
"01-03-2010",6,45.0,26.4,"RC"
"01-03-2010",7,45.0,26.5,"RC"
"01-03-2010",8,45.0,26.5,"RC"
"01-03-2010",9,45.0,26.4,"RC"
"01-03-2010",10,46.0,26.8,"RC"
"01-03-2010",11,46.0,26.6,"RC"
"01-03-2010",12,45.0,26.2,"RC"
"01-03-2010",13,45.0,26.1,"RC"
"01-03-2010",14,45.0,26.0,"RC"
"01-03-2010",15,45.0,26.1,"RC"
"01-03-2010",16,45.0,26.2,"RC"
"01-03-2010",17,45.0,26.3,"RC"
"01-03-2010",18,45.0,26.4,"RC"
"01-03-2010",19,46.0,26.7,"RC"
"01-03-2010",20,46.0,26.8,"RC"
"01-03-2010",21,46.0,27.1,"RC"
"01-03-2010",22,46.0,27.1,"RC"
"01-03-2010",23,46.0,26.8,"RC"
"01-04-2010",0,45.0,26.6,"RC"
"01-04-2010",1,45.0,26.6,"RC"
"01-04-2010",2,45.0,26.4,"RC"
"01-04-2010",3,45.0,26.7,"RC"
"01-04-2010",4,45.0,26.7,"RC"
"01-04-2010",5,45.0,26.6,"RC"
"01-04-2010",6,45.0,26.6,"RC"
"01-04-2010",7,45.0,26.5,"RC"
"01-04-2010",8,45.0,26.5,"RC"
"01-04-2010",9,45.0,26.4,"RC"
"01-04-2010",10,46.0,26.7,"RC"
