"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2010",0,3147.0,3132.2000000000003,"SPA"
"01-01-2010",1,3114.0,3099.2999999999997,"SPA"
"01-01-2010",2,3105.0,3101.4,"SPA"
"01-01-2010",3,3144.0,3134.1,"SPA"
"01-01-2010",4,3040.0,3000.3999999999996,"SPA"
"01-01-2010",5,2832.0,2803.9000000000005,"SPA"
"01-01-2010",6,2633.0,2612.2,"SPA"
"01-01-2010",7,2834.0,2813.6,"SPA"
"01-01-2010",8,2929.0,2897.4000000000005,"SPA"
"01-01-2010",9,3249.0,3281.8,"SPA"
"01-01-2010",10,3496.0,3518.7,"SPA"
"01-01-2010",11,3495.0,3496.2,"SPA"
"01-01-2010",12,3526.0,3499.4,"SPA"
"01-01-2010",13,3101.0,3072.2,"SPA"
"01-01-2010",14,2777.0,2728.6000000000004,"SPA"
"01-01-2010",15,2807.0,2767.8999999999996,"SPA"
"01-01-2010",16,3002.0,2964.7,"SPA"
"01-01-2010",17,3316.0,3311.6000000000004,"SPA"
"01-01-2010",18,3560.0,3557.8,"SPA"
"01-01-2010",19,3544.0,3530.2,"SPA"
"01-01-2010",20,3541.0,3518.7,"SPA"
"01-01-2010",21,3535.0,3505.6,"SPA"
"01-01-2010",22,3575.0,3568.8,"SPA"
"01-01-2010",23,3529.0,3530.9,"SPA"
"01-02-2010",0,3564.0,3555.3999999999996,"SPA"
"01-02-2010",1,3567.0,3562.7999999999997,"SPA"
"01-02-2010",2,3587.0,3575.0,"SPA"
"01-02-2010",3,3592.0,3586.4000000000005,"SPA"
"01-02-2010",4,3586.0,3586.2000000000003,"SPA"
"01-02-2010",5,3550.0,3548.5,"SPA"
"01-02-2010",6,3365.0,3359.5,"SPA"
"01-02-2010",7,3437.0,3424.5999999999995,"SPA"
"01-02-2010",8,3494.0,3520.8,"SPA"
"01-02-2010",9,3579.0,3608.7999999999997,"SPA"
"01-02-2010",10,3548.0,3561.6,"SPA"
"01-02-2010",11,3563.0,3548.5,"SPA"
"01-02-2010",12,3520.0,3495.1000000000004,"SPA"
"01-02-2010",13,3560.0,3540.7999999999997,"SPA"
"01-02-2010",14,3449.0,3491.2,"SPA"
"01-02-2010",15,3499.0,3523.8,"SPA"
"01-02-2010",16,3462.0,3504.7999999999997,"SPA"
"01-02-2010",17,3572.0,3665.4,"SPA"
"01-02-2010",18,3632.0,3719.3,"SPA"
"01-02-2010",19,3632.0,3711.8,"SPA"
"01-02-2010",20,3623.0,3706.2,"SPA"
"01-02-2010",21,3603.0,3694.2,"SPA"
"01-02-2010",22,3578.0,3668.7,"SPA"
"01-02-2010",23,3578.0,3678.4,"SPA"
"01-03-2010",0,3551.0,3527.5000000000005,"SPA"
"01-03-2010",1,3591.0,3565.4,"SPA"
"01-03-2010",2,3599.0,3571.732,"SPA"
"01-03-2010",3,3559.0,3517.3999999999996,"SPA"
"01-03-2010",4,3613.0,3533.2,"SPA"
"01-03-2010",5,3739.0,3591.5,"SPA"
"01-03-2010",6,3772.0,3611.6,"SPA"
"01-03-2010",7,3770.0,3598.8999999999996,"SPA"
"01-03-2010",8,3803.0,3643.3,"SPA"
"01-03-2010",9,3816.0,3671.3,"SPA"
"01-03-2010",10,3814.0,3653.5,"SPA"
"01-03-2010",11,3815.0,3646.9000000000005,"SPA"
"01-03-2010",12,3824.0,3648.6000000000004,"SPA"
"01-03-2010",13,3835.0,3666.643,"SPA"
"01-03-2010",14,3856.0,3685.3,"SPA"
"01-03-2010",15,3906.0,3712.1,"SPA"
"01-03-2010",16,3975.0,3724.2,"SPA"
"01-03-2010",17,4032.0,3778.7000000000003,"SPA"
"01-03-2010",18,4052.0,3789.6000000000004,"SPA"
"01-03-2010",19,4065.0,3775.7,"SPA"
"01-03-2010",20,4087.0,3781.3,"SPA"
"01-03-2010",21,4031.0,3765.3999999999996,"SPA"
"01-03-2010",22,4016.0,3741.8,"SPA"
"01-03-2010",23,4000.0,3744.5,"SPA"
"01-04-2010",0,4024.0,3824.5999999999995,"SPA"
"01-04-2010",1,4006.0,3854.8999999999996,"SPA"
"01-04-2010",2,3957.0,3815.1000000000004,"SPA"
"01-04-2010",3,4013.0,3840.4,"SPA"
"01-04-2010",4,3986.0,3832.9000000000005,"SPA"
"01-04-2010",5,4021.0,3861.4,"SPA"
"01-04-2010",6,4044.0,3856.1000000000004,"SPA"
"01-04-2010",7,4058.0,3819.5,"SPA"
"01-04-2010",8,4058.0,3837.3,"SPA"
"01-04-2010",9,4060.0,3586.3,"SPA"
"01-04-2010",10,4061.0,3579.6000000000004,"SPA"
"01-04-2010",11,4046.0,3310.9,"SPA"
"01-04-2010",12,4030.0,3802.5,"SPA"
"01-04-2010",13,3968.0,3596.3999999999996,"SPA"
"01-04-2010",14,4038.0,3792.5,"SPA"
"01-04-2010",15,4059.0,3798.7,"SPA"
"01-04-2010",16,4002.0,3760.8,"SPA"
"01-04-2010",17,4073.0,3824.3,"SPA"
"01-04-2010",18,4108.0,3819.3,"SPA"
"01-04-2010",19,4176.0,3864.18,"SPA"
"01-04-2010",20,4224.0,3909.7000000000003,"SPA"
"01-04-2010",21,4177.0,3884.4,"SPA"
"01-04-2010",22,4055.0,3808.5,"SPA"
"01-04-2010",23,4042.0,3799.1,"SPA"
"01-05-2010",0,4049.0,3783.5,"SPA"
"01-05-2010",1,4044.0,3777.3999999999996,"SPA"
"01-05-2010",2,4088.0,3820.0999999999995,"SPA"
"01-05-2010",3,4046.0,3805.3,"SPA"
"01-05-2010",4,4049.0,3793.2,"SPA"
"01-05-2010",5,4019.0,3790.6,"SPA"
"01-05-2010",6,4114.0,3838.4000000000005,"SPA"
"01-05-2010",7,4249.0,3902.275,"SPA"
"01-05-2010",8,4263.0,3940.7000000000003,"SPA"
"01-05-2010",9,4183.0,3907.7400000000002,"SPA"
"01-05-2010",10,4138.0,3877.1,"SPA"
"01-05-2010",11,4121.0,3863.7,"SPA"
"01-05-2010",12,4035.0,3735.3,"SPA"
"01-05-2010",13,3627.0,3392.7999999999997,"SPA"
"01-05-2010",14,3520.0,3316.2,"SPA"
"01-05-2010",15,3319.0,3163.1,"SPA"
"01-05-2010",16,3411.0,3268.6,"SPA"
"01-05-2010",17,3543.0,3408.6,"SPA"
"01-05-2010",18,4012.0,3923.2,"SPA"
"01-05-2010",19,3330.0,3121.72,"SPA"
"01-05-2010",20,3233.0,3004.134,"SPA"
"01-05-2010",21,3231.0,3016.1000000000004,"SPA"
"01-05-2010",22,3186.0,3019.6,"SPA"
"01-05-2010",23,3138.0,3032.7999999999997,"SPA"
"01-06-2010",0,3101.0,2959.7,"SPA"
"01-06-2010",1,3120.0,2976.2,"SPA"
"01-06-2010",2,3119.0,2957.8999999999996,"SPA"
"01-06-2010",3,3276.0,3117.5,"SPA"
"01-06-2010",4,3532.0,3409.3999999999996,"SPA"
"01-06-2010",5,3583.0,3461.8999999999996,"SPA"
"01-06-2010",6,3793.0,3709.7,"SPA"
"01-06-2010",7,3827.0,3694.0,"SPA"
"01-06-2010",8,3739.0,3647.2799999999997,"SPA"
"01-06-2010",9,3930.0,3884.9000000000005,"SPA"
"01-06-2010",10,3973.0,3864.6589999999997,"SPA"
"01-06-2010",11,3873.0,3738.0999999999995,"SPA"
"01-06-2010",12,3799.0,3524.8,"SPA"
"01-06-2010",13,3537.0,3204.4,"SPA"
"01-06-2010",14,3357.0,3022.5,"SPA"
"01-06-2010",15,3281.0,2834.115,"SPA"
"01-06-2010",16,3389.0,3122.4,"SPA"
"01-06-2010",17,3795.0,3587.2,"SPA"
"01-06-2010",18,3938.0,3721.8,"SPA"
"01-06-2010",19,3944.0,3713.3,"SPA"
"01-06-2010",20,3807.0,3568.5,"SPA"
"01-06-2010",21,3734.0,3498.8,"SPA"
"01-06-2010",22,3627.0,3396.5,"SPA"
"01-06-2010",23,3262.0,2993.0,"SPA"
"01-07-2010",0,3103.0,2859.0,"SPA"
"01-07-2010",1,3156.0,2911.2999999999997,"SPA"
"01-07-2010",2,3085.0,2849.1,"SPA"
"01-07-2010",3,3118.0,2866.8,"SPA"
