"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,6549.0,6593.499999999999,"AEPW"
"01-01-2011",1,6262.0,6297.2,"AEPW"
"01-01-2011",2,5986.0,6009.309,"AEPW"
"01-01-2011",3,5938.0,5989.954,"AEPW"
"01-01-2011",4,6105.0,6229.8,"AEPW"
"01-01-2011",5,6383.0,6360.299999999999,"AEPW"
"01-01-2011",6,6794.0,6619.200000000001,"AEPW"
"01-01-2011",7,7115.0,6932.932000000001,"AEPW"
"01-01-2011",8,7342.0,7126.2,"AEPW"
"01-01-2011",9,7461.0,7141.4,"AEPW"
"01-01-2011",10,7704.0,7295.0999999999985,"AEPW"
"01-01-2011",11,7541.0,7149.4,"AEPW"
"01-01-2011",12,7392.0,7192.46,"AEPW"
"01-01-2011",13,7395.0,7241.400000000001,"AEPW"
"01-01-2011",14,7230.0,7124.5,"AEPW"
"01-01-2011",15,7213.0,7100.1,"AEPW"
"01-01-2011",16,7378.0,7192.412,"AEPW"
"01-01-2011",17,7775.0,7397.8,"AEPW"
"01-01-2011",18,8149.0,7511.799999999998,"AEPW"
"01-01-2011",19,7933.0,7446.0,"AEPW"
"01-01-2011",20,8280.0,7705.599999999999,"AEPW"
"01-01-2011",21,8486.0,7842.700000000001,"AEPW"
"01-01-2011",22,8455.0,7817.500000000001,"AEPW"
"01-01-2011",23,7933.0,7548.323999999999,"AEPW"
"01-02-2011",0,8051.0,7626.0,"AEPW"
"01-02-2011",1,7745.0,7411.8,"AEPW"
"01-02-2011",2,7884.0,7534.200000000001,"AEPW"
"01-02-2011",3,7898.0,7590.400000000001,"AEPW"
"01-02-2011",4,8015.0,7582.0,"AEPW"
"01-02-2011",5,7999.0,7506.0,"AEPW"
"01-02-2011",6,8227.0,7708.5560000000005,"AEPW"
"01-02-2011",7,8526.0,7960.0,"AEPW"
"01-02-2011",8,8682.0,8050.4,"AEPW"
"01-02-2011",9,8425.0,7932.8,"AEPW"
"01-02-2011",10,8227.0,7867.6,"AEPW"
"01-02-2011",11,8107.0,7781.700000000001,"AEPW"
"01-02-2011",12,8003.0,7643.8,"AEPW"
"01-02-2011",13,7903.0,7670.800000000001,"AEPW"
"01-02-2011",14,7811.0,7466.5,"AEPW"
"01-02-2011",15,7762.0,7472.450000000001,"AEPW"
"01-02-2011",16,7775.0,7568.799999999999,"AEPW"
"01-02-2011",17,8242.0,7828.5999999999985,"AEPW"
"01-02-2011",18,8526.0,8023.499999999998,"AEPW"
"01-02-2011",19,8509.0,8004.099999999999,"AEPW"
"01-02-2011",20,8425.0,7932.9,"AEPW"
"01-02-2011",21,8415.0,7973.1,"AEPW"
"01-02-2011",22,8145.0,7793.800000000001,"AEPW"
"01-02-2011",23,7793.0,7550.452,"AEPW"
"01-03-2011",0,7599.0,7429.976,"AEPW"
"01-03-2011",1,7307.0,7187.8,"AEPW"
"01-03-2011",2,7298.0,7149.2,"AEPW"
"01-03-2011",3,7459.0,7299.199999999999,"AEPW"
"01-03-2011",4,7638.0,7505.1,"AEPW"
"01-03-2011",5,7825.0,7636.5,"AEPW"
"01-03-2011",6,8636.0,8119.436,"AEPW"
"01-03-2011",7,9119.0,8292.6,"AEPW"
"01-03-2011",8,8967.0,8248.900000000001,"AEPW"
"01-03-2011",9,8889.0,8217.6,"AEPW"
"01-03-2011",10,8895.0,8197.800000000001,"AEPW"
"01-03-2011",11,8642.0,8053.8679999999995,"AEPW"
"01-03-2011",12,8451.0,7911.499999999999,"AEPW"
"01-03-2011",13,8298.0,7770.4,"AEPW"
"01-03-2011",14,8134.0,7677.6,"AEPW"
"01-03-2011",15,7992.0,7559.799999999999,"AEPW"
"01-03-2011",16,8010.0,7613.1,"AEPW"
"01-03-2011",17,8308.0,7900.099999999999,"AEPW"
"01-03-2011",18,8597.0,8063.1,"AEPW"
"01-03-2011",19,8517.0,8040.300000000001,"AEPW"
"01-03-2011",20,8327.0,7959.1,"AEPW"
"01-03-2011",21,8067.0,7741.206,"AEPW"
"01-03-2011",22,7661.0,7361.34,"AEPW"
"01-03-2011",23,7012.0,6845.300000000001,"AEPW"
"01-04-2011",0,6393.0,6279.040000000001,"AEPW"
"01-04-2011",1,6200.0,6260.9,"AEPW"
"01-04-2011",2,6233.0,6331.099999999999,"AEPW"
"01-04-2011",3,6424.0,6504.870000000001,"AEPW"
"01-04-2011",4,6809.0,6901.999999999999,"AEPW"
"01-04-2011",5,7323.0,7300.9,"AEPW"
"01-04-2011",6,7775.0,7756.7,"AEPW"
"01-04-2011",7,8184.0,7924.799999999999,"AEPW"
"01-04-2011",8,8146.0,7919.1,"AEPW"
"01-04-2011",9,7992.0,7838.199999999999,"AEPW"
"01-04-2011",10,7885.0,7824.8,"AEPW"
"01-04-2011",11,7855.0,7767.2,"AEPW"
"01-04-2011",12,7824.0,7712.592,"AEPW"
"01-04-2011",13,7715.0,7688.2,"AEPW"
"01-04-2011",14,7691.0,7668.199999999999,"AEPW"
"01-04-2011",15,7621.0,7570.2,"AEPW"
