"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,5496.0,5368.3,"AZPS"
"01-01-2011",1,5289.0,5196.474999999999,"AZPS"
"01-01-2011",2,5187.0,5213.700000000001,"AZPS"
"01-01-2011",3,5297.0,5319.400000000001,"AZPS"
"01-01-2011",4,5338.0,5361.2,"AZPS"
"01-01-2011",5,5375.0,5345.298000000001,"AZPS"
"01-01-2011",6,5315.0,5203.900000000001,"AZPS"
"01-01-2011",7,5310.0,5208.6,"AZPS"
"01-01-2011",8,5298.0,5199.241999999999,"AZPS"
"01-01-2011",9,5322.0,5221.4130000000005,"AZPS"
"01-01-2011",10,5311.0,5251.0,"AZPS"
"01-01-2011",11,5224.0,4946.732000000001,"AZPS"
"01-01-2011",12,4635.0,4831.299999999999,"AZPS"
"01-01-2011",13,4909.0,4825.0,"AZPS"
"01-01-2011",14,4896.0,4817.300000000001,"AZPS"
"01-01-2011",15,4864.0,4808.700000000001,"AZPS"
"01-01-2011",16,4838.0,4768.3,"AZPS"
"01-01-2011",17,4878.0,4821.9,"AZPS"
"01-01-2011",18,4950.0,4815.215,"AZPS"
"01-01-2011",19,5015.0,4865.6,"AZPS"
"01-01-2011",20,5056.0,4934.684,"AZPS"
"01-01-2011",21,4975.0,4926.584999999999,"AZPS"
"01-01-2011",22,4952.0,4977.892,"AZPS"
"01-01-2011",23,5021.0,5062.599999999999,"AZPS"
"01-02-2011",0,5064.0,5101.599999999999,"AZPS"
"01-02-2011",1,5096.0,5140.3,"AZPS"
"01-02-2011",2,5093.0,5132.7,"AZPS"
"01-02-2011",3,5087.0,5139.299999999999,"AZPS"
"01-02-2011",4,5179.0,5160.856,"AZPS"
"01-02-2011",5,5257.0,5238.700000000001,"AZPS"
"01-02-2011",6,5312.0,5222.162,"AZPS"
"01-02-2011",7,5363.0,5292.8,"AZPS"
"01-02-2011",8,5456.0,5371.565,"AZPS"
"01-02-2011",9,5488.0,5422.099999999999,"AZPS"
"01-02-2011",10,5491.0,5403.499999999999,"AZPS"
"01-02-2011",11,5395.0,5340.034,"AZPS"
"01-02-2011",12,5260.0,5311.099999999999,"AZPS"
"01-02-2011",13,5264.0,5304.4,"AZPS"
"01-02-2011",14,5231.0,5275.7,"AZPS"
"01-02-2011",15,5228.0,5274.0,"AZPS"
"01-02-2011",16,5357.0,5343.556,"AZPS"
"01-02-2011",17,5610.0,5463.049,"AZPS"
"01-02-2011",18,5892.0,5686.376,"AZPS"
"01-02-2011",19,5874.0,5701.76,"AZPS"
"01-02-2011",20,5694.0,5551.386999999999,"AZPS"
"01-02-2011",21,5612.0,5535.2,"AZPS"
"01-02-2011",22,5558.0,5522.4,"AZPS"
"01-02-2011",23,5584.0,5575.6,"AZPS"
"01-03-2011",0,5566.0,5532.414000000001,"AZPS"
"01-03-2011",1,5542.0,5553.4,"AZPS"
"01-03-2011",2,5621.0,5611.5160000000005,"AZPS"
"01-03-2011",3,5679.0,5676.292,"AZPS"
"01-03-2011",4,5658.0,5640.4,"AZPS"
"01-03-2011",5,5636.0,5577.300999999999,"AZPS"
"01-03-2011",6,5899.0,5698.882000000001,"AZPS"
"01-03-2011",7,6038.0,5817.596,"AZPS"
"01-03-2011",8,6112.0,5869.863,"AZPS"
"01-03-2011",9,6078.0,5885.389,"AZPS"
"01-03-2011",10,5965.0,5478.890000000001,"AZPS"
"01-03-2011",11,5482.0,5358.273,"AZPS"
"01-03-2011",12,5457.0,5318.6,"AZPS"
"01-03-2011",13,5436.0,5315.2,"AZPS"
"01-03-2011",14,5421.0,5312.399999999999,"AZPS"
"01-03-2011",15,5417.0,5140.6810000000005,"AZPS"
"01-03-2011",16,5455.0,5234.3,"AZPS"
"01-03-2011",17,5518.0,5289.3,"AZPS"
"01-03-2011",18,5633.0,5400.499999999999,"AZPS"
"01-03-2011",19,5735.0,5460.700000000001,"AZPS"
"01-03-2011",20,5779.0,5488.066,"AZPS"
"01-03-2011",21,5840.0,5563.499999999999,"AZPS"
"01-03-2011",22,5700.0,5478.437,"AZPS"
"01-03-2011",23,5429.0,5417.047999999999,"AZPS"
"01-04-2011",0,5435.0,5405.8,"AZPS"
"01-04-2011",1,5467.0,5435.799999999999,"AZPS"
"01-04-2011",2,5522.0,5457.299999999999,"AZPS"
"01-04-2011",3,5647.0,5486.086,"AZPS"
"01-04-2011",4,5705.0,5509.5,"AZPS"
"01-04-2011",5,5921.0,5553.491999999999,"AZPS"
"01-04-2011",6,6233.0,5714.210000000001,"AZPS"
"01-04-2011",7,6474.0,5832.464999999999,"AZPS"
"01-04-2011",8,6567.0,5859.389999999999,"AZPS"
"01-04-2011",9,6335.0,5702.296,"AZPS"
"01-04-2011",10,6255.0,5682.429999999999,"AZPS"
"01-04-2011",11,6089.0,5644.335000000001,"AZPS"
"01-04-2011",12,6080.0,5648.099999999999,"AZPS"
"01-04-2011",13,5892.0,5496.336,"AZPS"
"01-04-2011",14,5653.0,5304.1,"AZPS"
"01-04-2011",15,5701.0,5320.299999999999,"AZPS"
"01-04-2011",16,5883.0,5447.8,"AZPS"
"01-04-2011",17,6026.0,5571.7,"AZPS"
"01-04-2011",18,6377.0,5860.836000000001,"AZPS"
"01-04-2011",19,6487.0,5942.300000000002,"AZPS"
"01-04-2011",20,6465.0,5916.459999999999,"AZPS"
"01-04-2011",21,6366.0,5877.387999999999,"AZPS"
"01-04-2011",22,6142.0,5789.6449999999995,"AZPS"
"01-04-2011",23,6183.0,5828.4,"AZPS"
"01-05-2011",0,5834.0,5540.099999999999,"AZPS"
"01-05-2011",1,5786.0,5542.899999999999,"AZPS"
"01-05-2011",2,5864.0,5607.200000000001,"AZPS"
"01-05-2011",3,5917.0,5584.309999999999,"AZPS"
"01-05-2011",4,6073.0,5732.255,"AZPS"
"01-05-2011",5,6113.0,5808.1,"AZPS"
"01-05-2011",6,6403.0,5905.765999999999,"AZPS"
"01-05-2011",7,6712.0,6101.923999999999,"AZPS"
"01-05-2011",8,6717.0,6063.76,"AZPS"
"01-05-2011",9,6663.0,6069.281,"AZPS"
"01-05-2011",10,6653.0,6171.299999999999,"AZPS"
"01-05-2011",11,6628.0,6150.999999999999,"AZPS"
"01-05-2011",12,6388.0,6046.424999999998,"AZPS"
"01-05-2011",13,6058.0,5848.9,"AZPS"
"01-05-2011",14,6106.0,5879.200000000001,"AZPS"
"01-05-2011",15,6152.0,5897.500000000001,"AZPS"
"01-05-2011",16,6311.0,5973.499999999999,"AZPS"
"01-05-2011",17,6585.0,6161.993999999999,"AZPS"
"01-05-2011",18,6742.0,6260.0,"AZPS"
"01-05-2011",19,6621.0,6193.9,"AZPS"
"01-05-2011",20,6610.0,6158.5419999999995,"AZPS"
"01-05-2011",21,6505.0,6137.9,"AZPS"
"01-05-2011",22,6424.0,6076.251999999999,"AZPS"
"01-05-2011",23,6241.0,5980.400000000001,"AZPS"
"01-06-2011",0,6166.0,5872.5,"AZPS"
"01-06-2011",1,5953.0,5722.845000000001,"AZPS"
"01-06-2011",2,5808.0,5693.499999999999,"AZPS"
"01-06-2011",3,5905.0,5739.61,"AZPS"
"01-06-2011",4,5895.0,5733.899999999999,"AZPS"
"01-06-2011",5,6037.0,5859.4,"AZPS"
"01-06-2011",6,6241.0,6019.440000000001,"AZPS"
"01-06-2011",7,6335.0,6078.2440000000015,"AZPS"
"01-06-2011",8,6361.0,6118.573999999999,"AZPS"
"01-06-2011",9,6271.0,6022.252,"AZPS"
"01-06-2011",10,6068.0,5893.318,"AZPS"
"01-06-2011",11,5812.0,5694.4,"AZPS"
"01-06-2011",12,5715.0,5546.5,"AZPS"
"01-06-2011",13,5621.0,5523.400000000001,"AZPS"
"01-06-2011",14,5501.0,5397.7,"AZPS"
"01-06-2011",15,5470.0,5369.215999999999,"AZPS"
"01-06-2011",16,5469.0,5402.512,"AZPS"
"01-06-2011",17,5545.0,5471.261,"AZPS"
"01-06-2011",18,5852.0,5677.75,"AZPS"
"01-06-2011",19,5700.0,5582.942,"AZPS"
"01-06-2011",20,5628.0,5552.4,"AZPS"
"01-06-2011",21,5624.0,5562.000000000001,"AZPS"
"01-06-2011",22,5623.0,5561.900000000001,"AZPS"
"01-06-2011",23,5574.0,5521.0,"AZPS"
"01-07-2011",0,5493.0,5448.1,"AZPS"
"01-07-2011",1,5361.0,5317.500000000001,"AZPS"
"01-07-2011",2,5364.0,5294.2,"AZPS"
"01-07-2011",3,5468.0,5430.900000000001,"AZPS"
"01-07-2011",4,5585.0,5530.900000000001,"AZPS"
"01-07-2011",5,5726.0,5654.772999999998,"AZPS"
"01-07-2011",6,5953.0,5794.978999999999,"AZPS"
"01-07-2011",7,6164.0,5963.9839999999995,"AZPS"
"01-07-2011",8,6020.0,5857.094,"AZPS"
"01-07-2011",9,5930.0,5814.01,"AZPS"
"01-07-2011",10,5900.0,5813.8,"AZPS"
"01-07-2011",11,5881.0,5787.282,"AZPS"
"01-07-2011",12,5822.0,5744.226000000001,"AZPS"
"01-07-2011",13,5811.0,5751.199999999999,"AZPS"
"01-07-2011",14,5774.0,5732.3,"AZPS"
"01-07-2011",15,5813.0,5765.599999999999,"AZPS"
"01-07-2011",16,5775.0,5730.1,"AZPS"
"01-07-2011",17,5739.0,5703.759,"AZPS"
"01-07-2011",18,5955.0,5879.059999999999,"AZPS"
"01-07-2011",19,5825.0,5757.9,"AZPS"
"01-07-2011",20,5869.0,5785.499999999999,"AZPS"
"01-07-2011",21,5947.0,5865.8550000000005,"AZPS"
"01-07-2011",22,5759.0,5726.1449999999995,"AZPS"
"01-07-2011",23,5681.0,5684.400000000001,"AZPS"
"01-08-2011",0,5576.0,5585.299999999999,"AZPS"
"01-08-2011",1,5635.0,5633.999999999999,"AZPS"
"01-08-2011",2,5818.0,5810.1,"AZPS"
"01-08-2011",3,5957.0,5912.9980000000005,"AZPS"
"01-08-2011",4,6000.0,5928.200000000001,"AZPS"
"01-08-2011",5,6104.0,5962.844,"AZPS"
"01-08-2011",6,6183.0,5959.299999999999,"AZPS"
"01-08-2011",7,6213.0,5951.700000000001,"AZPS"
"01-08-2011",8,6364.0,6062.800000000001,"AZPS"
"01-08-2011",9,6392.0,6088.9,"AZPS"
"01-08-2011",10,6365.0,6070.000000000001,"AZPS"
"01-08-2011",11,6206.0,5939.540000000001,"AZPS"
"01-08-2011",12,6049.0,5886.146,"AZPS"
"01-08-2011",13,6059.0,5910.175,"AZPS"
"01-08-2011",14,5925.0,5807.9,"AZPS"
"01-08-2011",15,5846.0,5747.2,"AZPS"
"01-08-2011",16,5928.0,5849.700000000001,"AZPS"
"01-08-2011",17,6025.0,5941.000000000001,"AZPS"
"01-08-2011",18,6232.0,6071.400000000001,"AZPS"
"01-08-2011",19,6277.0,6103.1,"AZPS"
"01-08-2011",20,6284.0,6094.888999999999,"AZPS"
