"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,2806.0,2876.9,"BREC"
"01-01-2011",1,2435.0,2499.5999999999995,"BREC"
"01-01-2011",2,2319.0,2373.601,"BREC"
"01-01-2011",3,2374.0,2425.801,"BREC"
"01-01-2011",4,2463.0,2502.7000000000003,"BREC"
"01-01-2011",5,2458.0,2503.2,"BREC"
"01-01-2011",6,2445.0,2490.0009999999997,"BREC"
"01-01-2011",7,2448.0,2500.9000000000005,"BREC"
"01-01-2011",8,2489.0,2565.701,"BREC"
"01-01-2011",9,2570.0,2655.0999999999995,"BREC"
"01-01-2011",10,2588.0,2664.7999999999997,"BREC"
"01-01-2011",11,2579.0,2645.899,"BREC"
"01-01-2011",12,2550.0,2602.999,"BREC"
"01-01-2011",13,2524.0,2576.899,"BREC"
"01-01-2011",14,2510.0,2556.1,"BREC"
"01-01-2011",15,2524.0,2578.2010000000005,"BREC"
"01-01-2011",16,2589.0,2639.9019999999996,"BREC"
"01-01-2011",17,2627.0,2689.4010000000003,"BREC"
"01-01-2011",18,2673.0,2719.1,"BREC"
"01-01-2011",19,2687.0,2743.9,"BREC"
"01-01-2011",20,2678.0,2724.101,"BREC"
"01-01-2011",21,2720.0,2757.6010000000006,"BREC"
"01-01-2011",22,2678.0,2708.5009999999997,"BREC"
"01-01-2011",23,2615.0,2653.5,"BREC"
"01-02-2011",0,2567.0,2599.2999999999993,"BREC"
"01-02-2011",1,2499.0,2540.7999999999997,"BREC"
"01-02-2011",2,2445.0,2485.1,"BREC"
"01-02-2011",3,2399.0,2450.099,"BREC"
"01-02-2011",4,2508.0,2548.5,"BREC"
"01-02-2011",5,2632.0,2657.7000000000003,"BREC"
"01-02-2011",6,2739.0,2749.9,"BREC"
"01-02-2011",7,2732.0,2760.698,"BREC"
"01-02-2011",8,2786.0,2824.3,"BREC"
"01-02-2011",9,2805.0,2843.101,"BREC"
"01-02-2011",10,2823.0,2857.5989999999993,"BREC"
"01-02-2011",11,2387.0,2416.599,"BREC"
"01-02-2011",12,2250.0,2294.35,"BREC"
"01-02-2011",13,2155.0,2234.8,"BREC"
"01-02-2011",14,2197.0,2277.601,"BREC"
"01-02-2011",15,2306.0,2377.7999999999997,"BREC"
"01-02-2011",16,2460.0,2468.2010000000005,"BREC"
"01-02-2011",17,2855.0,2864.501,"BREC"
"01-02-2011",18,2917.0,2918.001,"BREC"
"01-02-2011",19,2929.0,2930.3999999999996,"BREC"
"01-02-2011",20,2927.0,2931.6980000000003,"BREC"
"01-02-2011",21,2921.0,2934.001,"BREC"
"01-02-2011",22,2912.0,2933.9990000000003,"BREC"
"01-02-2011",23,2917.0,2952.4990000000003,"BREC"
"01-03-2011",0,2826.0,2858.5,"BREC"
"01-03-2011",1,2827.0,2872.199,"BREC"
"01-03-2011",2,2880.0,2899.2989999999995,"BREC"
"01-03-2011",3,2891.0,2921.151,"BREC"
"01-03-2011",4,2885.0,2896.899,"BREC"
"01-03-2011",5,2928.0,2969.7019999999993,"BREC"
"01-03-2011",6,3133.0,3122.946,"BREC"
"01-03-2011",7,3409.0,3348.0989999999993,"BREC"
"01-03-2011",8,3094.0,3165.728,"BREC"
"01-03-2011",9,3085.0,3168.9990000000007,"BREC"
"01-03-2011",10,3130.0,3214.1000000000004,"BREC"
"01-03-2011",11,3189.0,3249.2999999999997,"BREC"
"01-03-2011",12,3269.0,3314.7190000000005,"BREC"
"01-03-2011",13,3344.0,3362.7700000000004,"BREC"
"01-03-2011",14,3121.0,3142.6,"BREC"
"01-03-2011",15,2828.0,2869.384,"BREC"
"01-03-2011",16,3078.0,3114.8,"BREC"
"01-03-2011",17,3356.0,3382.5989999999993,"BREC"
"01-03-2011",18,3383.0,3422.901,"BREC"
"01-03-2011",19,3390.0,3440.5000000000005,"BREC"
"01-03-2011",20,3406.0,3440.198,"BREC"
"01-03-2011",21,3341.0,3397.8239999999996,"BREC"
"01-03-2011",22,3133.0,3186.0999999999995,"BREC"
"01-03-2011",23,3074.0,3152.4,"BREC"
"01-04-2011",0,2917.0,2963.701,"BREC"
"01-04-2011",1,2915.0,2967.7000000000003,"BREC"
"01-04-2011",2,2993.0,3043.9,"BREC"
"01-04-2011",3,3105.0,3144.4,"BREC"
"01-04-2011",4,3256.0,3234.199,"BREC"
"01-04-2011",5,3343.0,3335.8000000000006,"BREC"
"01-04-2011",6,3396.0,3389.7999999999997,"BREC"
"01-04-2011",7,3378.0,3373.699,"BREC"
"01-04-2011",8,3369.0,3394.0009999999997,"BREC"
"01-04-2011",9,3381.0,3428.9990000000007,"BREC"
"01-04-2011",10,3384.0,3411.701,"BREC"
