"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,1862.0,757.4,"DEAA"
"01-01-2011",1,1890.0,768.6,"DEAA"
"01-01-2011",2,1879.0,764.7,"DEAA"
"01-01-2011",3,1780.0,731.0000000000001,"DEAA"
"01-01-2011",4,1724.0,712.5000000000001,"DEAA"
"01-01-2011",5,1804.0,739.9,"DEAA"
"01-01-2011",6,1811.0,741.9000000000001,"DEAA"
"01-01-2011",7,1867.0,761.5999999999999,"DEAA"
"01-01-2011",8,1981.0,802.2,"DEAA"
"01-01-2011",9,1796.0,738.1,"DEAA"
"01-01-2011",10,1780.0,730.8,"DEAA"
"01-01-2011",11,1635.0,681.6999999999999,"DEAA"
"01-01-2011",12,1712.0,705.7,"DEAA"
"01-01-2011",13,1773.0,725.8,"DEAA"
"01-01-2011",14,1731.0,711.3,"DEAA"
"01-01-2011",15,1637.0,680.8,"DEAA"
"01-01-2011",16,1810.0,739.5999999999999,"DEAA"
"01-01-2011",17,1815.0,747.1,"DEAA"
"01-01-2011",18,2129.0,871.5999999999999,"DEAA"
"01-01-2011",19,2167.0,892.5999999999999,"DEAA"
"01-01-2011",20,1946.0,785.8000000000001,"DEAA"
"01-01-2011",21,1786.0,731.3000000000001,"DEAA"
"01-01-2011",22,1762.0,724.2,"DEAA"
"01-01-2011",23,1768.0,725.6999999999999,"DEAA"
"01-02-2011",0,1737.0,715.2,"DEAA"
"01-02-2011",1,1773.0,726.4000000000001,"DEAA"
"01-02-2011",2,1796.0,734.1,"DEAA"
"01-02-2011",3,1791.0,733.5999999999999,"DEAA"
"01-02-2011",4,1757.0,721.9000000000001,"DEAA"
"01-02-2011",5,1790.0,733.2,"DEAA"
"01-02-2011",6,1862.0,757.8000000000001,"DEAA"
"01-02-2011",7,1912.0,777.1999999999999,"DEAA"
"01-02-2011",8,1865.0,760.9,"DEAA"
"01-02-2011",9,1795.0,736.3,"DEAA"
"01-02-2011",10,1678.0,673.4150000000001,"DEAA"
"01-02-2011",11,1569.0,644.0,"DEAA"
"01-02-2011",12,1559.0,639.4999999999999,"DEAA"
"01-02-2011",13,1417.0,590.1,"DEAA"
"01-02-2011",14,1422.0,593.9000000000001,"DEAA"
"01-02-2011",15,1419.0,593.6,"DEAA"
"01-02-2011",16,1440.0,599.7,"DEAA"
