"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,1150.0,1198.5,"EKPC"
"01-01-2011",1,1099.0,1139.2,"EKPC"
"01-01-2011",2,1076.0,1109.2,"EKPC"
"01-01-2011",3,1066.0,1099.3,"EKPC"
"01-01-2011",4,1068.0,1100.9,"EKPC"
"01-01-2011",5,1073.0,1105.2,"EKPC"
"01-01-2011",6,1071.0,1104.6000000000001,"EKPC"
"01-01-2011",7,1085.0,1116.2,"EKPC"
"01-01-2011",8,1088.0,1125.3,"EKPC"
"01-01-2011",9,1111.0,1147.5,"EKPC"
"01-01-2011",10,1166.0,1197.7,"EKPC"
"01-01-2011",11,1216.0,1254.0,"EKPC"
"01-01-2011",12,1277.0,1303.5,"EKPC"
"01-01-2011",13,1305.0,1328.4,"EKPC"
"01-01-2011",14,1320.0,1340.5,"EKPC"
"01-01-2011",15,1311.0,1335.1999999999998,"EKPC"
"01-01-2011",16,1298.0,1315.9,"EKPC"
"01-01-2011",17,1368.0,1388.7,"EKPC"
"01-01-2011",18,1378.0,1400.7,"EKPC"
"01-01-2011",19,1355.0,1381.5,"EKPC"
"01-01-2011",20,1318.0,1335.6,"EKPC"
"01-01-2011",21,1313.0,1338.0000000000002,"EKPC"
"01-01-2011",22,1299.0,1317.6000000000001,"EKPC"
"01-01-2011",23,1334.0,1356.9,"EKPC"
"01-02-2011",0,1328.0,1346.9,"EKPC"
"01-02-2011",1,1330.0,1344.3999999999999,"EKPC"
"01-02-2011",2,1353.0,1366.0,"EKPC"
"01-02-2011",3,1387.0,1398.1,"EKPC"
"01-02-2011",4,1413.0,1412.3,"EKPC"
"01-02-2011",5,1434.0,1431.3000000000002,"EKPC"
"01-02-2011",6,1365.0,1352.0,"EKPC"
"01-02-2011",7,1391.0,1384.8,"EKPC"
"01-02-2011",8,1446.0,1453.5,"EKPC"
"01-02-2011",9,1436.0,1443.2000000000003,"EKPC"
"01-02-2011",10,1395.0,1397.4,"EKPC"
"01-02-2011",11,1405.0,1404.4,"EKPC"
