"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,873.0,1054.9,"GRDA"
"01-01-2011",1,807.0,990.0,"GRDA"
"01-01-2011",2,806.0,993.8,"GRDA"
"01-01-2011",3,650.0,732.6899999999999,"GRDA"
"01-01-2011",4,442.0,539.939,"GRDA"
"01-01-2011",5,454.0,559.8,"GRDA"
"01-01-2011",6,455.0,551.7,"GRDA"
"01-01-2011",7,439.0,541.7,"GRDA"
"01-01-2011",8,434.0,545.677,"GRDA"
"01-01-2011",9,445.0,553.295,"GRDA"
"01-01-2011",10,449.0,568.3,"GRDA"
"01-01-2011",11,492.0,663.0,"GRDA"
"01-01-2011",12,567.0,739.9,"GRDA"
"01-01-2011",13,626.0,817.7,"GRDA"
"01-01-2011",14,680.0,873.0999999999999,"GRDA"
"01-01-2011",15,750.0,944.1999999999999,"GRDA"
"01-01-2011",16,826.0,1031.3,"GRDA"
"01-01-2011",17,843.0,1043.4,"GRDA"
"01-01-2011",18,846.0,1049.4,"GRDA"
"01-01-2011",19,846.0,1051.4,"GRDA"
"01-01-2011",20,883.0,1091.5,"GRDA"
"01-01-2011",21,966.0,1181.0,"GRDA"
"01-01-2011",22,979.0,1187.7,"GRDA"
"01-01-2011",23,978.0,1179.2,"GRDA"
"01-02-2011",0,951.0,1147.9,"GRDA"
"01-02-2011",1,968.0,1175.6,"GRDA"
"01-02-2011",2,976.0,1181.0,"GRDA"
"01-02-2011",3,979.0,1179.5,"GRDA"
"01-02-2011",4,1014.0,1192.545,"GRDA"
"01-02-2011",5,1083.0,1248.9,"GRDA"
"01-02-2011",6,1138.0,1294.3099999999997,"GRDA"
"01-02-2011",7,1306.0,1335.1000000000001,"GRDA"
"01-02-2011",8,1337.0,1335.5,"GRDA"
"01-02-2011",9,1313.0,1332.06,"GRDA"
"01-02-2011",10,1114.0,1242.841,"GRDA"
"01-02-2011",11,967.0,1173.2,"GRDA"
"01-02-2011",12,957.0,1158.2,"GRDA"
"01-02-2011",13,915.0,1110.6,"GRDA"
"01-02-2011",14,867.0,1055.9,"GRDA"
"01-02-2011",15,893.0,1078.721,"GRDA"
"01-02-2011",16,1015.0,1159.6000000000001,"GRDA"
"01-02-2011",17,1156.0,1265.0,"GRDA"
