"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,21.0,15.0,"IID"
"01-01-2011",1,21.0,15.0,"IID"
"01-01-2011",2,21.0,15.0,"IID"
"01-01-2011",3,21.0,15.0,"IID"
"01-01-2011",4,21.0,15.0,"IID"
"01-01-2011",5,21.0,15.0,"IID"
"01-01-2011",6,22.0,15.3,"IID"
"01-01-2011",7,22.0,15.2,"IID"
"01-01-2011",8,22.0,15.3,"IID"
"01-01-2011",9,22.0,15.3,"IID"
"01-01-2011",10,22.0,15.2,"IID"
"01-01-2011",11,22.0,15.2,"IID"
"01-01-2011",12,22.0,15.2,"IID"
"01-01-2011",13,22.0,15.3,"IID"
"01-01-2011",14,24.0,16.4,"IID"
"01-01-2011",15,22.0,15.2,"IID"
"01-01-2011",16,22.0,15.2,"IID"
"01-01-2011",17,22.0,15.2,"IID"
"01-01-2011",18,22.0,15.2,"IID"
"01-01-2011",19,22.0,15.2,"IID"
"01-01-2011",20,22.0,15.2,"IID"
"01-01-2011",21,22.0,15.6,"IID"
"01-01-2011",22,22.0,15.3,"IID"
"01-01-2011",23,22.0,15.4,"IID"
"01-02-2011",0,22.0,15.4,"IID"
"01-02-2011",1,22.0,15.2,"IID"
"01-02-2011",2,22.0,15.3,"IID"
"01-02-2011",3,22.0,15.3,"IID"
"01-02-2011",4,22.0,15.2,"IID"
"01-02-2011",5,22.0,15.2,"IID"
"01-02-2011",6,22.0,15.3,"IID"
"01-02-2011",7,22.0,15.3,"IID"
"01-02-2011",8,22.0,15.2,"IID"
"01-02-2011",9,25.0,17.3,"IID"
"01-02-2011",10,27.0,18.5,"IID"
"01-02-2011",11,25.0,17.1,"IID"
"01-02-2011",12,23.0,15.8,"IID"
"01-02-2011",13,22.0,15.3,"IID"
"01-02-2011",14,22.0,15.5,"IID"
"01-02-2011",15,26.0,18.0,"IID"
"01-02-2011",16,26.0,18.2,"IID"
"01-02-2011",17,23.0,16.1,"IID"
"01-02-2011",18,21.0,15.0,"IID"
"01-02-2011",19,21.0,15.0,"IID"
"01-02-2011",20,21.0,15.0,"IID"
"01-02-2011",21,21.0,15.0,"IID"
"01-02-2011",22,21.0,15.0,"IID"
"01-02-2011",23,21.0,15.0,"IID"
"01-03-2011",0,22.0,15.4,"IID"
"01-03-2011",1,22.0,15.3,"IID"
"01-03-2011",2,22.0,15.3,"IID"
"01-03-2011",3,22.0,15.3,"IID"
"01-03-2011",4,22.0,15.3,"IID"
"01-03-2011",5,22.0,15.4,"IID"
"01-03-2011",6,22.0,15.4,"IID"
"01-03-2011",7,22.0,15.4,"IID"
"01-03-2011",8,22.0,15.3,"IID"
"01-03-2011",9,22.0,15.3,"IID"
"01-03-2011",10,36.0,23.7,"IID"
"01-03-2011",11,29.0,19.5,"IID"
"01-03-2011",12,22.0,15.5,"IID"
"01-03-2011",13,22.0,15.1,"IID"
"01-03-2011",14,22.0,15.2,"IID"
"01-03-2011",15,22.0,15.2,"IID"
"01-03-2011",16,22.0,15.2,"IID"
"01-03-2011",17,22.0,15.2,"IID"
