"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,3337.0,3350.7000000000007,"LGEE"
"01-01-2011",1,3342.0,3351.1000000000004,"LGEE"
"01-01-2011",2,3154.0,3152.1,"LGEE"
"01-01-2011",3,3119.0,3111.1000000000004,"LGEE"
"01-01-2011",4,3132.0,3108.6000000000004,"LGEE"
"01-01-2011",5,3155.0,3147.4999999999995,"LGEE"
"01-01-2011",6,3203.0,3196.7000000000007,"LGEE"
"01-01-2011",7,3300.0,3293.0999999999995,"LGEE"
"01-01-2011",8,3359.0,3322.7000000000007,"LGEE"
"01-01-2011",9,3428.0,3360.4,"LGEE"
"01-01-2011",10,3591.0,3516.5,"LGEE"
"01-01-2011",11,3698.0,3614.4999999999995,"LGEE"
"01-01-2011",12,3785.0,3681.7,"LGEE"
"01-01-2011",13,3702.0,3608.9,"LGEE"
"01-01-2011",14,3686.0,3585.9,"LGEE"
"01-01-2011",15,3713.0,3602.9,"LGEE"
"01-01-2011",16,3788.0,3677.600000000001,"LGEE"
"01-01-2011",17,4046.0,3927.2999999999997,"LGEE"
"01-01-2011",18,4326.0,4125.299999999999,"LGEE"
"01-01-2011",19,4561.0,4331.2,"LGEE"
"01-01-2011",20,4374.0,4180.2,"LGEE"
"01-01-2011",21,4380.0,4194.9,"LGEE"
"01-01-2011",22,4337.0,4145.0,"LGEE"
"01-01-2011",23,4290.0,4110.5,"LGEE"
"01-02-2011",0,4077.0,3924.500000000001,"LGEE"
"01-02-2011",1,4064.0,3889.7000000000003,"LGEE"
"01-02-2011",2,4075.0,3889.2999999999997,"LGEE"
"01-02-2011",3,4139.0,3946.1999999999994,"LGEE"
"01-02-2011",4,4210.0,4028.0999999999995,"LGEE"
"01-02-2011",5,4327.0,4167.5,"LGEE"
"01-02-2011",6,4469.0,4303.400000000001,"LGEE"
"01-02-2011",7,4759.0,4544.599999999999,"LGEE"
"01-02-2011",8,4890.0,4650.299999999999,"LGEE"
"01-02-2011",9,4937.0,4682.2,"LGEE"
"01-02-2011",10,4730.0,4506.2,"LGEE"
"01-02-2011",11,4614.0,4402.700000000001,"LGEE"
"01-02-2011",12,4530.0,4324.3,"LGEE"
"01-02-2011",13,4485.0,4283.2,"LGEE"
"01-02-2011",14,4427.0,4230.8,"LGEE"
"01-02-2011",15,4386.0,4189.999999999999,"LGEE"
"01-02-2011",16,4480.0,4288.495999999999,"LGEE"
"01-02-2011",17,4875.0,4643.4,"LGEE"
"01-02-2011",18,5318.0,5048.099999999999,"LGEE"
"01-02-2011",19,5447.0,5192.0,"LGEE"
"01-02-2011",20,5599.0,5355.4,"LGEE"
"01-02-2011",21,5440.0,5178.2,"LGEE"
"01-02-2011",22,5196.0,4948.987999999999,"LGEE"
"01-02-2011",23,4994.0,4755.200000000001,"LGEE"
"01-03-2011",0,4887.0,4683.200000000001,"LGEE"
