"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,1493.0,1611.9,"NPPD"
"01-01-2011",1,1486.0,1611.0,"NPPD"
"01-01-2011",2,1489.0,1613.0,"NPPD"
"01-01-2011",3,1484.0,1602.8,"NPPD"
"01-01-2011",4,1461.0,1584.0,"NPPD"
"01-01-2011",5,1468.0,1597.1,"NPPD"
"01-01-2011",6,1488.0,1624.0,"NPPD"
"01-01-2011",7,1485.0,1600.1,"NPPD"
"01-01-2011",8,1486.0,1597.4,"NPPD"
"01-01-2011",9,1485.0,1604.0,"NPPD"
"01-01-2011",10,1485.0,1592.1,"NPPD"
"01-01-2011",11,1483.0,1589.6,"NPPD"
"01-01-2011",12,1438.0,1541.4,"NPPD"
"01-01-2011",13,1438.0,1538.9,"NPPD"
"01-01-2011",14,1435.0,1532.1,"NPPD"
"01-01-2011",15,1433.0,1539.1,"NPPD"
"01-01-2011",16,1439.0,1552.0,"NPPD"
"01-01-2011",17,1468.0,1594.4,"NPPD"
"01-01-2011",18,1520.0,1648.3,"NPPD"
"01-01-2011",19,1524.0,1651.9,"NPPD"
"01-01-2011",20,1517.0,1644.0,"NPPD"
"01-01-2011",21,1441.0,1549.3000000000002,"NPPD"
"01-01-2011",22,1364.0,1461.9,"NPPD"
"01-01-2011",23,1350.0,1448.8,"NPPD"
"01-02-2011",0,1314.0,1420.4,"NPPD"
"01-02-2011",1,1341.0,1438.3000000000002,"NPPD"
"01-02-2011",2,1343.0,1440.0,"NPPD"
"01-02-2011",3,1337.0,1429.1999999999998,"NPPD"
"01-02-2011",4,1354.0,1461.3000000000002,"NPPD"
"01-02-2011",5,1398.0,1502.2,"NPPD"
"01-02-2011",6,1448.0,1566.6,"NPPD"
"01-02-2011",7,1471.0,1571.9,"NPPD"
"01-02-2011",8,1484.0,1591.4,"NPPD"
"01-02-2011",9,1486.0,1594.5,"NPPD"
"01-02-2011",10,1487.0,1584.7,"NPPD"
"01-02-2011",11,1489.0,1594.4,"NPPD"
"01-02-2011",12,1482.0,1578.8,"NPPD"
"01-02-2011",13,1479.0,1573.6,"NPPD"
"01-02-2011",14,1474.0,1568.3000000000002,"NPPD"
"01-02-2011",15,1471.0,1561.8000000000002,"NPPD"
"01-02-2011",16,1479.0,1576.3,"NPPD"
"01-02-2011",17,1491.0,1601.4,"NPPD"
"01-02-2011",18,1518.0,1630.5,"NPPD"
"01-02-2011",19,1520.0,1628.2,"NPPD"
"01-02-2011",20,1516.0,1620.3000000000002,"NPPD"
"01-02-2011",21,1517.0,1621.8000000000002,"NPPD"
