"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,8006.0,7924.459,"PACE"
"01-01-2011",1,8055.0,7931.376,"PACE"
"01-01-2011",2,7932.0,7866.5,"PACE"
"01-01-2011",3,8018.0,7969.0,"PACE"
"01-01-2011",4,8164.0,8090.799999999999,"PACE"
"01-01-2011",5,8324.0,8387.400000000001,"PACE"
"01-01-2011",6,8366.0,8444.3,"PACE"
"01-01-2011",7,8310.0,8415.2,"PACE"
"01-01-2011",8,8366.0,8443.999999999998,"PACE"
"01-01-2011",9,8368.0,8460.5,"PACE"
"01-01-2011",10,8362.0,8460.400000000001,"PACE"
"01-01-2011",11,8397.0,8512.2,"PACE"
"01-01-2011",12,8416.0,8540.6,"PACE"
"01-01-2011",13,8407.0,8525.500000000002,"PACE"
"01-01-2011",14,8425.0,8531.7,"PACE"
"01-01-2011",15,8462.0,8568.8,"PACE"
"01-01-2011",16,8523.0,8637.5,"PACE"
"01-01-2011",17,8566.0,8660.1,"PACE"
"01-01-2011",18,8640.0,8741.993,"PACE"
"01-01-2011",19,8736.0,8778.600000000002,"PACE"
"01-01-2011",20,8678.0,8724.011000000002,"PACE"
"01-01-2011",21,8546.0,8628.977,"PACE"
"01-01-2011",22,8508.0,8618.100000000002,"PACE"
"01-01-2011",23,8314.0,8417.265,"PACE"
"01-02-2011",0,8299.0,8342.5,"PACE"
"01-02-2011",1,8306.0,8350.2,"PACE"
"01-02-2011",2,8321.0,8372.4,"PACE"
"01-02-2011",3,8419.0,8497.634,"PACE"
"01-02-2011",4,8376.0,8448.5,"PACE"
"01-02-2011",5,8413.0,8474.400000000001,"PACE"
"01-02-2011",6,8364.0,8466.599999999999,"PACE"
"01-02-2011",7,8402.0,8537.2,"PACE"
"01-02-2011",8,8361.0,8468.388,"PACE"
"01-02-2011",9,8292.0,8393.5,"PACE"
"01-02-2011",10,8175.0,8265.458999999999,"PACE"
"01-02-2011",11,8291.0,8402.400000000001,"PACE"
"01-02-2011",12,8309.0,8418.100000000002,"PACE"
"01-02-2011",13,8323.0,8415.119999999999,"PACE"
"01-02-2011",14,8452.0,8524.699999999999,"PACE"
"01-02-2011",15,8579.0,8569.179,"PACE"
"01-02-2011",16,8488.0,8477.390000000001,"PACE"
"01-02-2011",17,8561.0,8518.0,"PACE"
"01-02-2011",18,8551.0,8517.191,"PACE"
"01-02-2011",19,8511.0,8535.400000000001,"PACE"
"01-02-2011",20,8552.0,8572.56,"PACE"
"01-02-2011",21,8528.0,8587.317000000001,"PACE"
"01-02-2011",22,8489.0,8564.220000000001,"PACE"
"01-02-2011",23,8431.0,8508.100000000002,"PACE"
"01-03-2011",0,8393.0,8470.1,"PACE"
"01-03-2011",1,8336.0,8390.3,"PACE"
"01-03-2011",2,8350.0,8395.2,"PACE"
"01-03-2011",3,8368.0,8427.1,"PACE"
"01-03-2011",4,8428.0,8427.9,"PACE"
"01-03-2011",5,8488.0,8509.3,"PACE"
"01-03-2011",6,8496.0,8491.400000000001,"PACE"
"01-03-2011",7,8561.0,8569.1,"PACE"
"01-03-2011",8,8650.0,8653.800000000001,"PACE"
"01-03-2011",9,8751.0,8783.7,"PACE"
"01-03-2011",10,8896.0,8945.3,"PACE"
"01-03-2011",11,8898.0,8930.5,"PACE"
"01-03-2011",12,8852.0,8863.0,"PACE"
"01-03-2011",13,8800.0,8760.0,"PACE"
"01-03-2011",14,8688.0,8626.099999999999,"PACE"
"01-03-2011",15,8605.0,8532.100000000002,"PACE"
"01-03-2011",16,8767.0,8636.696,"PACE"
"01-03-2011",17,8917.0,8765.5,"PACE"
"01-03-2011",18,8957.0,8802.964,"PACE"
"01-03-2011",19,8947.0,8782.1,"PACE"
"01-03-2011",20,8938.0,8769.2,"PACE"
"01-03-2011",21,8780.0,8615.58,"PACE"
"01-03-2011",22,8636.0,8520.812,"PACE"
"01-03-2011",23,8579.0,8479.9,"PACE"
"01-04-2011",0,8517.0,8461.8,"PACE"
"01-04-2011",1,8511.0,8418.431,"PACE"
"01-04-2011",2,8473.0,8438.263,"PACE"
"01-04-2011",3,8447.0,8425.599999999999,"PACE"
"01-04-2011",4,8467.0,8401.0,"PACE"
