"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,4081.0,3927.6549999999997,"PSCO"
"01-01-2011",1,4072.0,3966.7000000000007,"PSCO"
"01-01-2011",2,4104.0,3968.5,"PSCO"
"01-01-2011",3,4030.0,3876.1,"PSCO"
"01-01-2011",4,3969.0,3814.6999999999994,"PSCO"
"01-01-2011",5,4004.0,3822.3649999999993,"PSCO"
"01-01-2011",6,4224.0,3995.1999999999994,"PSCO"
"01-01-2011",7,4223.0,4098.740000000001,"PSCO"
"01-01-2011",8,4203.0,4062.099999999999,"PSCO"
"01-01-2011",9,4300.0,4098.1,"PSCO"
"01-01-2011",10,4343.0,4151.8,"PSCO"
"01-01-2011",11,4305.0,4121.099999999999,"PSCO"
"01-01-2011",12,4344.0,4147.400000000001,"PSCO"
"01-01-2011",13,4319.0,4156.599999999999,"PSCO"
"01-01-2011",14,4304.0,4119.0,"PSCO"
"01-01-2011",15,4455.0,4250.764999999999,"PSCO"
"01-01-2011",16,4766.0,4453.552000000001,"PSCO"
"01-01-2011",17,5241.0,4674.290000000001,"PSCO"
"01-01-2011",18,5240.0,4655.600000000001,"PSCO"
"01-01-2011",19,5103.0,4524.638000000001,"PSCO"
"01-01-2011",20,5097.0,4491.1,"PSCO"
"01-01-2011",21,4860.0,4353.200000000001,"PSCO"
"01-01-2011",22,4684.0,4239.5,"PSCO"
"01-01-2011",23,4599.0,4217.5,"PSCO"
"01-02-2011",0,4411.0,4116.699999999999,"PSCO"
"01-02-2011",1,4320.0,4041.3999999999996,"PSCO"
"01-02-2011",2,4489.0,3963.793,"PSCO"
"01-02-2011",3,4362.0,3970.899999999999,"PSCO"
"01-02-2011",4,4459.0,4078.6,"PSCO"
"01-02-2011",5,4536.0,4197.4,"PSCO"
"01-02-2011",6,4466.0,4184.599999999999,"PSCO"
"01-02-2011",7,4288.0,4144.481,"PSCO"
"01-02-2011",8,4268.0,4094.1999999999985,"PSCO"
"01-02-2011",9,4311.0,4129.400000000001,"PSCO"
"01-02-2011",10,4442.0,4214.500000000001,"PSCO"
"01-02-2011",11,4462.0,4268.5,"PSCO"
"01-02-2011",12,4579.0,4316.860000000001,"PSCO"
"01-02-2011",13,4580.0,4429.699999999999,"PSCO"
"01-02-2011",14,4544.0,4428.8,"PSCO"
"01-02-2011",15,4686.0,4493.500000000001,"PSCO"
"01-02-2011",16,4994.0,4674.704,"PSCO"
"01-02-2011",17,5346.0,4826.3,"PSCO"
"01-02-2011",18,5505.0,4882.600000000002,"PSCO"
"01-02-2011",19,5431.0,4853.7,"PSCO"
"01-02-2011",20,5365.0,4811.375999999999,"PSCO"
"01-02-2011",21,5227.0,4749.500000000001,"PSCO"
"01-02-2011",22,4996.0,4674.3,"PSCO"
"01-02-2011",23,4806.0,4551.0,"PSCO"
"01-03-2011",0,4735.0,4466.500000000001,"PSCO"
"01-03-2011",1,4902.0,4541.9,"PSCO"
