"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,1354.0,1238.9,"SEC"
"01-01-2011",1,1318.0,1196.1000000000001,"SEC"
"01-01-2011",2,1322.0,1204.8,"SEC"
"01-01-2011",3,1333.0,1215.3,"SEC"
"01-01-2011",4,1342.0,1228.1999999999998,"SEC"
"01-01-2011",5,1367.0,1274.9999999999998,"SEC"
"01-01-2011",6,1427.0,1298.45,"SEC"
"01-01-2011",7,1590.0,1418.0,"SEC"
"01-01-2011",8,1644.0,1443.6999999999998,"SEC"
"01-01-2011",9,1922.0,1596.1,"SEC"
"01-01-2011",10,2051.0,1638.1999999999998,"SEC"
"01-01-2011",11,2114.0,1691.1000000000001,"SEC"
"01-01-2011",12,2033.0,1608.9999999999998,"SEC"
"01-01-2011",13,1987.0,1575.537,"SEC"
"01-01-2011",14,1941.0,1535.6,"SEC"
"01-01-2011",15,1804.0,1386.1999999999998,"SEC"
"01-01-2011",16,1583.0,1237.6,"SEC"
"01-01-2011",17,1603.0,1139.4999999999998,"SEC"
"01-01-2011",18,1627.0,1144.0,"SEC"
"01-01-2011",19,1625.0,1147.1,"SEC"
"01-01-2011",20,1620.0,1149.0,"SEC"
"01-01-2011",21,1355.0,1071.9,"SEC"
"01-01-2011",22,1376.0,1047.88,"SEC"
"01-01-2011",23,1331.0,1041.8,"SEC"
"01-02-2011",0,1188.0,963.0999999999999,"SEC"
"01-02-2011",1,1119.0,899.0,"SEC"
"01-02-2011",2,993.0,822.0999999999999,"SEC"
"01-02-2011",3,980.0,816.8000000000001,"SEC"
"01-02-2011",4,1003.0,824.1000000000001,"SEC"
"01-02-2011",5,983.0,815.7,"SEC"
"01-02-2011",6,927.0,793.4999999999999,"SEC"
"01-02-2011",7,974.0,812.1000000000001,"SEC"
"01-02-2011",8,1136.0,916.988,"SEC"
"01-02-2011",9,1352.0,1049.5,"SEC"
"01-02-2011",10,1469.0,1098.1999999999998,"SEC"
"01-02-2011",11,1568.0,1134.4,"SEC"
"01-02-2011",12,1648.0,1163.103,"SEC"
"01-02-2011",13,1654.0,1189.4000000000003,"SEC"
"01-02-2011",14,1643.0,1184.1,"SEC"
"01-02-2011",15,1635.0,1190.2,"SEC"
"01-02-2011",16,1650.0,1205.4,"SEC"
"01-02-2011",17,1666.0,1237.79,"SEC"
"01-02-2011",18,1693.0,1308.4000000000003,"SEC"
"01-02-2011",19,1681.0,1363.2,"SEC"
"01-02-2011",20,1681.0,1305.3260000000002,"SEC"
"01-02-2011",21,1488.0,1170.4820000000002,"SEC"
"01-02-2011",22,1392.0,1193.897,"SEC"
"01-02-2011",23,1203.0,1119.5,"SEC"
"01-03-2011",0,1207.0,1200.5,"SEC"
"01-03-2011",1,1181.0,1133.9,"SEC"
"01-03-2011",2,1180.0,1097.3999999999999,"SEC"
"01-03-2011",3,1215.0,1126.7,"SEC"
"01-03-2011",4,1284.0,1150.44,"SEC"
"01-03-2011",5,1426.0,1292.8,"SEC"
"01-03-2011",6,1779.0,1526.7999999999997,"SEC"
"01-03-2011",7,2011.0,1617.6150000000002,"SEC"
"01-03-2011",8,2192.0,1735.3999999999996,"SEC"
"01-03-2011",9,2420.0,1854.9750000000001,"SEC"
"01-03-2011",10,2473.0,1862.6200000000001,"SEC"
"01-03-2011",11,2453.0,1860.5560000000003,"SEC"
"01-03-2011",12,2419.0,1837.0000000000002,"SEC"
"01-03-2011",13,2363.0,1791.8999999999999,"SEC"
"01-03-2011",14,2385.0,1801.6000000000001,"SEC"
"01-03-2011",15,2366.0,1780.9999999999998,"SEC"
"01-03-2011",16,2309.0,1740.8,"SEC"
"01-03-2011",17,2369.0,1764.8719999999998,"SEC"
"01-03-2011",18,2609.0,1921.6660000000004,"SEC"
"01-03-2011",19,2660.0,1956.8,"SEC"
"01-03-2011",20,2700.0,1961.624,"SEC"
"01-03-2011",21,2522.0,1890.5,"SEC"
"01-03-2011",22,2289.0,1837.2000000000003,"SEC"
"01-03-2011",23,1918.0,1635.8100000000004,"SEC"
"01-04-2011",0,1796.0,1530.8,"SEC"
"01-04-2011",1,1653.0,1458.3,"SEC"
"01-04-2011",2,1668.0,1476.2,"SEC"
"01-04-2011",3,1699.0,1501.8999999999999,"SEC"
"01-04-2011",4,1761.0,1554.1999999999998,"SEC"
"01-04-2011",5,1882.0,1589.993,"SEC"
"01-04-2011",6,2279.0,1794.926,"SEC"
"01-04-2011",7,2561.0,1929.5769999999995,"SEC"
"01-04-2011",8,2575.0,1958.2580000000005,"SEC"
"01-04-2011",9,2646.0,2008.4059999999995,"SEC"
"01-04-2011",10,2536.0,1875.9469999999997,"SEC"
"01-04-2011",11,2435.0,1857.2,"SEC"
"01-04-2011",12,2403.0,1822.3,"SEC"
"01-04-2011",13,2386.0,1808.1000000000001,"SEC"
"01-04-2011",14,2357.0,1786.8999999999999,"SEC"
"01-04-2011",15,2305.0,1754.5,"SEC"
"01-04-2011",16,2318.0,1749.2999999999997,"SEC"
"01-04-2011",17,2571.0,1891.6899999999998,"SEC"
"01-04-2011",18,2651.0,1950.816,"SEC"
"01-04-2011",19,2698.0,1982.145,"SEC"
"01-04-2011",20,2642.0,1951.5620000000001,"SEC"
"01-04-2011",21,2512.0,1849.0959999999993,"SEC"
"01-04-2011",22,2138.0,1688.6999999999998,"SEC"
"01-04-2011",23,1839.0,1524.2999999999997,"SEC"
"01-05-2011",0,1528.0,1336.75,"SEC"
"01-05-2011",1,1431.0,1270.4999999999998,"SEC"
"01-05-2011",2,1371.0,1216.4,"SEC"
"01-05-2011",3,1403.0,1243.8999999999999,"SEC"
"01-05-2011",4,1480.0,1320.3,"SEC"
"01-05-2011",5,1682.0,1441.5130000000001,"SEC"
"01-05-2011",6,1921.0,1606.3000000000002,"SEC"
"01-05-2011",7,1952.0,1619.53,"SEC"
"01-05-2011",8,2084.0,1693.9,"SEC"
"01-05-2011",9,2271.0,1740.4000000000003,"SEC"
"01-05-2011",10,2287.0,1712.8,"SEC"
"01-05-2011",11,2345.0,1769.0,"SEC"
"01-05-2011",12,2431.0,1822.9,"SEC"
"01-05-2011",13,2392.0,1817.4999999999998,"SEC"
"01-05-2011",14,2418.0,1850.1,"SEC"
"01-05-2011",15,2413.0,1829.5000000000002,"SEC"
"01-05-2011",16,2424.0,1847.3000000000002,"SEC"
"01-05-2011",17,2556.0,1910.0389999999998,"SEC"
"01-05-2011",18,2636.0,1936.8299999999997,"SEC"
"01-05-2011",19,2562.0,1905.5999999999997,"SEC"
"01-05-2011",20,2446.0,1840.972,"SEC"
"01-05-2011",21,2208.0,1757.5,"SEC"
"01-05-2011",22,2051.0,1644.4959999999999,"SEC"
"01-05-2011",23,1630.0,1409.2380000000003,"SEC"
"01-06-2011",0,1386.0,1231.0,"SEC"
"01-06-2011",1,1263.0,1150.9,"SEC"
"01-06-2011",2,1209.0,1107.1,"SEC"
"01-06-2011",3,1195.0,1094.6,"SEC"
"01-06-2011",4,1223.0,1099.6,"SEC"
"01-06-2011",5,1402.0,1243.8999999999999,"SEC"
"01-06-2011",6,1793.0,1522.6719999999998,"SEC"
"01-06-2011",7,1901.0,1543.9,"SEC"
"01-06-2011",8,2009.0,1595.8,"SEC"
"01-06-2011",9,2030.0,1594.9599999999998,"SEC"
"01-06-2011",10,2205.0,1695.3,"SEC"
"01-06-2011",11,2407.0,1771.1,"SEC"
"01-06-2011",12,2350.0,1728.4999999999998,"SEC"
"01-06-2011",13,2243.0,1695.6000000000001,"SEC"
"01-06-2011",14,2116.0,1642.6000000000001,"SEC"
"01-06-2011",15,2064.0,1609.6,"SEC"
"01-06-2011",16,2144.0,1652.5000000000002,"SEC"
"01-06-2011",17,2365.0,1760.5000000000002,"SEC"
"01-06-2011",18,2485.0,1850.1,"SEC"
"01-06-2011",19,2589.0,1911.768,"SEC"
"01-06-2011",20,2561.0,1894.656,"SEC"
"01-06-2011",21,2474.0,1840.6000000000001,"SEC"
"01-06-2011",22,2374.0,1785.8,"SEC"
"01-06-2011",23,2135.0,1685.5,"SEC"
"01-07-2011",0,2005.0,1619.5399999999997,"SEC"
"01-07-2011",1,1880.0,1574.5999999999997,"SEC"
"01-07-2011",2,1779.0,1525.4999999999998,"SEC"
"01-07-2011",3,1780.0,1528.1,"SEC"
"01-07-2011",4,1998.0,1629.4360000000001,"SEC"
"01-07-2011",5,2215.0,1767.6,"SEC"
"01-07-2011",6,2580.0,1927.0610000000001,"SEC"
"01-07-2011",7,2678.0,1971.5,"SEC"
"01-07-2011",8,2641.0,1969.072,"SEC"
"01-07-2011",9,2618.0,1954.0000000000002,"SEC"
"01-07-2011",10,2479.0,1877.075,"SEC"
"01-07-2011",11,2332.0,1773.3,"SEC"
"01-07-2011",12,2305.0,1751.8999999999999,"SEC"
"01-07-2011",13,2195.0,1669.5500000000004,"SEC"
"01-07-2011",14,2117.0,1637.3,"SEC"
"01-07-2011",15,2080.0,1625.6,"SEC"
"01-07-2011",16,2110.0,1636.1999999999998,"SEC"
"01-07-2011",17,2298.0,1753.2,"SEC"
"01-07-2011",18,2495.0,1876.7,"SEC"
"01-07-2011",19,2514.0,1880.4999999999998,"SEC"
"01-07-2011",20,2229.0,1784.0,"SEC"
"01-07-2011",21,2242.0,1759.6280000000004,"SEC"
"01-07-2011",22,2161.0,1701.0,"SEC"
"01-07-2011",23,2142.0,1690.8999999999999,"SEC"
"01-08-2011",0,2030.0,1610.4,"SEC"
"01-08-2011",1,1764.0,1458.1,"SEC"
"01-08-2011",2,1640.0,1404.9999999999998,"SEC"
"01-08-2011",3,1637.0,1401.7,"SEC"
"01-08-2011",4,1731.0,1450.0,"SEC"
"01-08-2011",5,1805.0,1473.2,"SEC"
"01-08-2011",6,1950.0,1565.1999999999998,"SEC"
"01-08-2011",7,2093.0,1644.9,"SEC"
"01-08-2011",8,2199.0,1750.1000000000004,"SEC"
"01-08-2011",9,2138.0,1693.6000000000001,"SEC"
"01-08-2011",10,2027.0,1593.8999999999999,"SEC"
"01-08-2011",11,2018.0,1583.5,"SEC"
"01-08-2011",12,1966.0,1562.5000000000002,"SEC"
"01-08-2011",13,1951.0,1532.1,"SEC"
"01-08-2011",14,1949.0,1538.3000000000004,"SEC"
"01-08-2011",15,1899.0,1488.3,"SEC"
"01-08-2011",16,1895.0,1490.0,"SEC"
"01-08-2011",17,1978.0,1562.1999999999998,"SEC"
"01-08-2011",18,2095.0,1666.5,"SEC"
"01-08-2011",19,2142.0,1693.3,"SEC"
"01-08-2011",20,2149.0,1704.8000000000002,"SEC"
"01-08-2011",21,2025.0,1649.6999999999996,"SEC"
"01-08-2011",22,1872.0,1605.7199999999998,"SEC"
"01-08-2011",23,1892.0,1603.0,"SEC"
"01-09-2011",0,1860.0,1581.7000000000003,"SEC"
"01-09-2011",1,1877.0,1594.1999999999998,"SEC"
"01-09-2011",2,1884.0,1602.9,"SEC"
"01-09-2011",3,1950.0,1664.6,"SEC"
"01-09-2011",4,1995.0,1674.656,"SEC"
"01-09-2011",5,2025.0,1714.6440000000002,"SEC"
"01-09-2011",6,2173.0,1762.3249999999998,"SEC"
"01-09-2011",7,2283.0,1808.9019999999996,"SEC"
"01-09-2011",8,2351.0,1828.8390000000002,"SEC"
"01-09-2011",9,2367.0,1860.9,"SEC"
"01-09-2011",10,2293.0,1808.335,"SEC"
"01-09-2011",11,2239.0,1774.2,"SEC"
"01-09-2011",12,2246.0,1775.1000000000001,"SEC"
"01-09-2011",13,2229.0,1779.2,"SEC"
"01-09-2011",14,2198.0,1748.4999999999998,"SEC"
"01-09-2011",15,2181.0,1739.0,"SEC"
"01-09-2011",16,2206.0,1759.8999999999999,"SEC"
"01-09-2011",17,2275.0,1787.155,"SEC"
"01-09-2011",18,2361.0,1814.1350000000002,"SEC"
"01-09-2011",19,2362.0,1874.1000000000001,"SEC"
"01-09-2011",20,2353.0,1857.8999999999996,"SEC"
"01-09-2011",21,2301.0,1828.287,"SEC"
"01-09-2011",22,1967.0,1700.384,"SEC"
"01-09-2011",23,1906.0,1637.1000000000001,"SEC"
"01-10-2011",0,1784.0,1587.8,"SEC"
"01-10-2011",1,1645.0,1447.4999999999998,"SEC"
"01-10-2011",2,1692.0,1477.385,"SEC"
"01-10-2011",3,1747.0,1571.9,"SEC"
"01-10-2011",4,1833.0,1593.0,"SEC"
"01-10-2011",5,2040.0,1681.1190000000001,"SEC"
"01-10-2011",6,2285.0,1808.924,"SEC"
"01-10-2011",7,2358.0,1837.7000000000003,"SEC"
"01-10-2011",8,2348.0,1835.0609999999997,"SEC"
"01-10-2011",9,2390.0,1843.3999999999999,"SEC"
"01-10-2011",10,2364.0,1787.8000000000004,"SEC"
"01-10-2011",11,2439.0,1820.2,"SEC"
"01-10-2011",12,2460.0,1869.9,"SEC"
"01-10-2011",13,2439.0,1846.704,"SEC"
"01-10-2011",14,2393.0,1817.9,"SEC"
"01-10-2011",15,2410.0,1826.5,"SEC"
"01-10-2011",16,2478.0,1841.197,"SEC"
"01-10-2011",17,2530.0,1907.7,"SEC"
"01-10-2011",18,2630.0,1950.3099999999997,"SEC"
"01-10-2011",19,2631.0,1949.6999999999998,"SEC"
"01-10-2011",20,2326.0,1820.1380000000001,"SEC"
"01-10-2011",21,2259.0,1782.0409999999997,"SEC"
"01-10-2011",22,2147.0,1692.1,"SEC"
"01-10-2011",23,2023.0,1593.3999999999999,"SEC"
"01-11-2011",0,2041.0,1607.9,"SEC"
"01-11-2011",1,1949.0,1552.5000000000002,"SEC"
"01-11-2011",2,1830.0,1488.0,"SEC"
"01-11-2011",3,1834.0,1492.0,"SEC"
