"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2011",0,208.0,99.2,"TID"
"01-01-2011",1,196.0,94.4,"TID"
"01-01-2011",2,194.0,93.80000000000001,"TID"
"01-01-2011",3,195.0,94.0,"TID"
"01-01-2011",4,194.0,94.0,"TID"
"01-01-2011",5,198.0,94.80000000000001,"TID"
"01-01-2011",6,210.0,99.5,"TID"
"01-01-2011",7,217.0,102.4,"TID"
"01-01-2011",8,206.0,97.9,"TID"
"01-01-2011",9,208.0,99.3,"TID"
"01-01-2011",10,205.0,97.9,"TID"
"01-01-2011",11,212.0,100.5,"TID"
"01-01-2011",12,214.0,101.4,"TID"
"01-01-2011",13,219.0,103.1,"TID"
"01-01-2011",14,219.0,103.2,"TID"
"01-01-2011",15,220.0,103.4,"TID"
"01-01-2011",16,212.0,100.6,"TID"
"01-01-2011",17,202.0,96.4,"TID"
"01-01-2011",18,200.0,96.19999999999999,"TID"
"01-01-2011",19,200.0,96.19999999999999,"TID"
"01-01-2011",20,200.0,96.19999999999999,"TID"
"01-01-2011",21,202.0,96.9,"TID"
"01-01-2011",22,216.0,102.3,"TID"
"01-01-2011",23,216.0,102.4,"TID"
"01-02-2011",0,209.0,99.4,"TID"
"01-02-2011",1,192.0,93.1,"TID"
"01-02-2011",2,188.0,91.6,"TID"
"01-02-2011",3,187.0,91.1,"TID"
"01-02-2011",4,182.0,89.3,"TID"
"01-02-2011",5,214.0,101.7,"TID"
"01-02-2011",6,210.0,99.9,"TID"
"01-02-2011",7,204.0,97.4,"TID"
"01-02-2011",8,206.0,98.19999999999999,"TID"
"01-02-2011",9,200.0,96.1,"TID"
"01-02-2011",10,214.0,101.9,"TID"
"01-02-2011",11,226.0,105.6,"TID"
"01-02-2011",12,226.0,105.5,"TID"
"01-02-2011",13,224.0,104.8,"TID"
"01-02-2011",14,222.0,103.69999999999999,"TID"
"01-02-2011",15,220.0,102.69999999999999,"TID"
"01-02-2011",16,206.0,97.6,"TID"
"01-02-2011",17,202.0,95.9,"TID"
"01-02-2011",18,216.0,102.2,"TID"
"01-02-2011",19,216.0,101.9,"TID"
"01-02-2011",20,212.0,100.6,"TID"
"01-02-2011",21,208.0,99.4,"TID"
"01-02-2011",22,204.0,97.5,"TID"
"01-02-2011",23,212.0,100.80000000000001,"TID"
"01-03-2011",0,213.0,101.19999999999999,"TID"
"01-03-2011",1,204.0,97.5,"TID"
"01-03-2011",2,200.0,96.19999999999999,"TID"
"01-03-2011",3,200.0,96.1,"TID"
"01-03-2011",4,202.0,96.9,"TID"
"01-03-2011",5,195.0,94.19999999999999,"TID"
"01-03-2011",6,194.0,94.0,"TID"
"01-03-2011",7,198.0,95.3,"TID"
"01-03-2011",8,196.0,94.3,"TID"
"01-03-2011",9,204.0,97.8,"TID"
"01-03-2011",10,210.0,99.7,"TID"
"01-03-2011",11,216.0,101.4,"TID"
"01-03-2011",12,216.0,101.5,"TID"
"01-03-2011",13,225.0,104.80000000000001,"TID"
"01-03-2011",14,226.0,105.0,"TID"
"01-03-2011",15,220.0,102.80000000000001,"TID"
"01-03-2011",16,205.0,97.1,"TID"
"01-03-2011",17,200.0,95.5,"TID"
"01-03-2011",18,203.0,96.7,"TID"
"01-03-2011",19,204.0,97.3,"TID"
"01-03-2011",20,202.0,96.8,"TID"
"01-03-2011",21,200.0,95.80000000000001,"TID"
"01-03-2011",22,202.0,96.7,"TID"
"01-03-2011",23,212.0,100.6,"TID"
"01-04-2011",0,226.0,106.30000000000001,"TID"
"01-04-2011",1,224.0,105.69999999999999,"TID"
"01-04-2011",2,222.0,104.8,"TID"
"01-04-2011",3,222.0,105.0,"TID"
"01-04-2011",4,226.0,106.8,"TID"
"01-04-2011",5,208.0,99.8,"TID"
"01-04-2011",6,204.0,98.0,"TID"
"01-04-2011",7,194.0,94.3,"TID"
"01-04-2011",8,216.0,103.0,"TID"
"01-04-2011",9,227.0,107.0,"TID"
"01-04-2011",10,214.0,102.0,"TID"
"01-04-2011",11,215.0,102.4,"TID"
"01-04-2011",12,216.0,102.4,"TID"
"01-04-2011",13,216.0,102.3,"TID"
"01-04-2011",14,215.0,102.2,"TID"
"01-04-2011",15,205.0,98.2,"TID"
"01-04-2011",16,206.0,98.8,"TID"
"01-04-2011",17,216.0,102.8,"TID"
"01-04-2011",18,220.0,104.5,"TID"
"01-04-2011",19,220.0,104.3,"TID"
"01-04-2011",20,214.0,101.8,"TID"
"01-04-2011",21,206.0,98.8,"TID"
"01-04-2011",22,208.0,100.0,"TID"
"01-04-2011",23,215.0,102.30000000000001,"TID"
"01-05-2011",0,212.0,101.1,"TID"
"01-05-2011",1,200.0,96.4,"TID"
"01-05-2011",2,198.0,95.6,"TID"
"01-05-2011",3,198.0,95.5,"TID"
"01-05-2011",4,198.0,95.7,"TID"
"01-05-2011",5,192.0,93.7,"TID"
"01-05-2011",6,188.0,92.1,"TID"
"01-05-2011",7,216.0,102.8,"TID"
"01-05-2011",8,217.0,103.2,"TID"
"01-05-2011",9,217.0,103.1,"TID"
"01-05-2011",10,212.0,101.0,"TID"
"01-05-2011",11,212.0,101.0,"TID"
"01-05-2011",12,212.0,100.9,"TID"
"01-05-2011",13,210.0,100.69999999999999,"TID"
"01-05-2011",14,217.0,103.2,"TID"
"01-05-2011",15,225.0,106.30000000000001,"TID"
"01-05-2011",16,228.0,107.2,"TID"
"01-05-2011",17,221.0,104.6,"TID"
"01-05-2011",18,220.0,104.5,"TID"
"01-05-2011",19,218.0,103.6,"TID"
"01-05-2011",20,214.0,101.69999999999999,"TID"
"01-05-2011",21,206.0,98.8,"TID"
"01-05-2011",22,214.0,102.0,"TID"
"01-05-2011",23,218.0,103.8,"TID"
"01-06-2011",0,206.0,98.9,"TID"
"01-06-2011",1,198.0,95.8,"TID"
"01-06-2011",2,198.0,95.8,"TID"
"01-06-2011",3,192.0,93.5,"TID"
"01-06-2011",4,192.0,93.3,"TID"
"01-06-2011",5,182.0,89.9,"TID"
"01-06-2011",6,178.0,88.5,"TID"
"01-06-2011",7,208.0,99.9,"TID"
"01-06-2011",8,210.0,100.30000000000001,"TID"
"01-06-2011",9,204.0,98.30000000000001,"TID"
"01-06-2011",10,210.0,100.1,"TID"
"01-06-2011",11,214.0,101.69999999999999,"TID"
"01-06-2011",12,214.0,101.9,"TID"
"01-06-2011",13,220.0,104.5,"TID"
"01-06-2011",14,216.0,103.0,"TID"
"01-06-2011",15,214.0,101.9,"TID"
"01-06-2011",16,201.0,96.6,"TID"
"01-06-2011",17,203.0,97.6,"TID"
"01-06-2011",18,203.0,97.6,"TID"
"01-06-2011",19,202.0,97.30000000000001,"TID"
"01-06-2011",20,200.0,96.4,"TID"
"01-06-2011",21,201.0,96.8,"TID"
"01-06-2011",22,198.0,95.9,"TID"
"01-06-2011",23,214.0,102.0,"TID"
"01-07-2011",0,221.0,104.6,"TID"
"01-07-2011",1,222.0,105.4,"TID"
"01-07-2011",2,224.0,105.7,"TID"
"01-07-2011",3,222.0,104.9,"TID"
"01-07-2011",4,204.0,97.5,"TID"
"01-07-2011",5,198.0,95.8,"TID"
"01-07-2011",6,191.0,92.9,"TID"
"01-07-2011",7,208.0,99.4,"TID"
"01-07-2011",8,224.0,105.8,"TID"
"01-07-2011",9,226.0,106.4,"TID"
"01-07-2011",10,227.0,106.8,"TID"
"01-07-2011",11,227.0,106.9,"TID"
"01-07-2011",12,227.0,106.8,"TID"
"01-07-2011",13,226.0,106.2,"TID"
"01-07-2011",14,222.0,104.9,"TID"
"01-07-2011",15,222.0,105.0,"TID"
"01-07-2011",16,216.0,102.7,"TID"
"01-07-2011",17,200.0,96.2,"TID"
"01-07-2011",18,210.0,99.9,"TID"
