"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,1047.0,1128.0,"AECI"
"01-01-2012",1,1015.0,1096.8,"AECI"
"01-01-2012",2,1022.0,1105.2,"AECI"
"01-01-2012",3,986.0,1068.1,"AECI"
"01-01-2012",4,982.0,1065.6,"AECI"
"01-01-2012",5,934.0,1021.5,"AECI"
"01-01-2012",6,1062.0,1146.4,"AECI"
"01-01-2012",7,1202.0,1303.6999999999998,"AECI"
"01-01-2012",8,1171.0,1257.6,"AECI"
"01-01-2012",9,1115.0,1191.9,"AECI"
"01-01-2012",10,1091.0,1173.8000000000002,"AECI"
"01-01-2012",11,1010.0,1083.1999999999998,"AECI"
"01-01-2012",12,1114.0,1204.7,"AECI"
"01-01-2012",13,1124.0,1221.2,"AECI"
"01-01-2012",14,1059.0,1144.1,"AECI"
"01-01-2012",15,1040.0,1126.6,"AECI"
"01-01-2012",16,1124.0,1220.0,"AECI"
"01-01-2012",17,1272.0,1397.0,"AECI"
"01-01-2012",18,1296.0,1410.3,"AECI"
"01-01-2012",19,1296.0,1413.8,"AECI"
"01-01-2012",20,1290.0,1403.4,"AECI"
"01-01-2012",21,1291.0,1407.2,"AECI"
"01-01-2012",22,1296.0,1409.2,"AECI"
"01-01-2012",23,1291.0,1402.9,"AECI"
"01-02-2012",0,1273.0,1383.3,"AECI"
"01-02-2012",1,1182.0,1278.6,"AECI"
"01-02-2012",2,1153.0,1254.9,"AECI"
"01-02-2012",3,1120.0,1209.2,"AECI"
"01-02-2012",4,1110.0,1183.651,"AECI"
"01-02-2012",5,1201.0,1314.4,"AECI"
"01-02-2012",6,1245.0,1355.2,"AECI"
"01-02-2012",7,1282.0,1393.6,"AECI"
"01-02-2012",8,1295.0,1401.8000000000002,"AECI"
"01-02-2012",9,1301.0,1406.8999999999999,"AECI"
"01-02-2012",10,1298.0,1406.5,"AECI"
"01-02-2012",11,1300.0,1409.5,"AECI"
"01-02-2012",12,1300.0,1411.4,"AECI"
"01-02-2012",13,1295.0,1406.9,"AECI"
"01-02-2012",14,1299.0,1411.2,"AECI"
"01-02-2012",15,1302.0,1416.6,"AECI"
"01-02-2012",16,1303.0,1419.5,"AECI"
"01-02-2012",17,1310.0,1427.7,"AECI"
"01-02-2012",18,1301.0,1409.9,"AECI"
"01-02-2012",19,1302.0,1414.5,"AECI"
"01-02-2012",20,1300.0,1411.4,"AECI"
"01-02-2012",21,1305.0,1414.6999999999998,"AECI"
"01-02-2012",22,1305.0,1408.3,"AECI"
"01-02-2012",23,1264.0,1370.9,"AECI"
"01-03-2012",0,1249.0,1350.1,"AECI"
"01-03-2012",1,1164.0,1252.8,"AECI"
"01-03-2012",2,1145.0,1231.0,"AECI"
"01-03-2012",3,1144.0,1235.7,"AECI"
"01-03-2012",4,1153.0,1238.6999999999998,"AECI"
"01-03-2012",5,1259.0,1377.5,"AECI"
"01-03-2012",6,1307.0,1412.8,"AECI"
"01-03-2012",7,1305.0,1390.4,"AECI"
"01-03-2012",8,1309.0,1398.6999999999998,"AECI"
"01-03-2012",9,1301.0,1388.9,"AECI"
"01-03-2012",10,1322.0,1404.4,"AECI"
"01-03-2012",11,1309.0,1400.3,"AECI"
"01-03-2012",12,1304.0,1397.1,"AECI"
"01-03-2012",13,1305.0,1404.7,"AECI"
"01-03-2012",14,1305.0,1401.4,"AECI"
"01-03-2012",15,1308.0,1408.0,"AECI"
"01-03-2012",16,1311.0,1410.2,"AECI"
"01-03-2012",17,1317.0,1423.5,"AECI"
"01-03-2012",18,1311.0,1404.5,"AECI"
"01-03-2012",19,1308.0,1405.2,"AECI"
"01-03-2012",20,1307.0,1400.9,"AECI"
"01-03-2012",21,1305.0,1396.0,"AECI"
"01-03-2012",22,1307.0,1403.0,"AECI"
"01-03-2012",23,1294.0,1389.0,"AECI"
"01-04-2012",0,1246.0,1341.5,"AECI"
"01-04-2012",1,1208.0,1306.3,"AECI"
"01-04-2012",2,1201.0,1297.5,"AECI"
