"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,972.0,425.0,"BPAT"
"01-01-2012",1,963.0,421.5,"BPAT"
"01-01-2012",2,924.0,407.0,"BPAT"
"01-01-2012",3,896.0,425.125,"BPAT"
"01-01-2012",4,891.0,429.4,"BPAT"
"01-01-2012",5,966.0,458.40000000000003,"BPAT"
"01-01-2012",6,1105.0,514.5,"BPAT"
"01-01-2012",7,1159.0,531.3,"BPAT"
"01-01-2012",8,1236.0,536.1,"BPAT"
"01-01-2012",9,1194.0,508.61799999999994,"BPAT"
"01-01-2012",10,1021.0,442.5,"BPAT"
"01-01-2012",11,915.0,406.79999999999995,"BPAT"
"01-01-2012",12,905.0,403.20000000000005,"BPAT"
"01-01-2012",13,940.0,416.20000000000005,"BPAT"
"01-01-2012",14,945.0,416.4,"BPAT"
"01-01-2012",15,898.0,399.9,"BPAT"
"01-01-2012",16,954.0,419.90000000000003,"BPAT"
"01-01-2012",17,1019.0,441.19999999999993,"BPAT"
"01-01-2012",18,1022.0,442.9,"BPAT"
"01-01-2012",19,1020.0,439.612,"BPAT"
"01-01-2012",20,840.0,334.0,"BPAT"
"01-01-2012",21,877.0,369.57,"BPAT"
"01-01-2012",22,872.0,381.1,"BPAT"
"01-01-2012",23,847.0,373.4,"BPAT"
"01-02-2012",0,791.0,354.8,"BPAT"
"01-02-2012",1,804.0,359.0,"BPAT"
"01-02-2012",2,857.0,377.09999999999997,"BPAT"
"01-02-2012",3,944.0,412.30000000000007,"BPAT"
"01-02-2012",4,1017.0,442.5,"BPAT"
"01-02-2012",5,1081.0,465.7,"BPAT"
"01-02-2012",6,1100.0,472.0,"BPAT"
"01-02-2012",7,1124.0,479.6,"BPAT"
"01-02-2012",8,1125.0,481.2,"BPAT"
"01-02-2012",9,1123.0,481.29999999999995,"BPAT"
"01-02-2012",10,1122.0,482.69999999999993,"BPAT"
"01-02-2012",11,1157.0,523.843,"BPAT"
"01-02-2012",12,1247.0,555.3000000000001,"BPAT"
"01-02-2012",13,1375.0,586.0,"BPAT"
"01-02-2012",14,1364.0,580.3,"BPAT"
"01-02-2012",15,1366.0,580.4000000000001,"BPAT"
"01-02-2012",16,1367.0,580.5,"BPAT"
"01-02-2012",17,1366.0,579.2,"BPAT"
"01-02-2012",18,1380.0,587.1,"BPAT"
"01-02-2012",19,1387.0,590.2,"BPAT"
"01-02-2012",20,1392.0,592.3,"BPAT"
"01-02-2012",21,1382.0,586.3,"BPAT"
"01-02-2012",22,1182.0,513.8,"BPAT"
"01-02-2012",23,1118.0,488.1,"BPAT"
"01-03-2012",0,1030.0,454.29999999999995,"BPAT"
"01-03-2012",1,1000.0,443.3,"BPAT"
"01-03-2012",2,956.0,429.20000000000005,"BPAT"
"01-03-2012",3,956.0,428.9,"BPAT"
"01-03-2012",4,996.0,443.1,"BPAT"
"01-03-2012",5,1146.0,496.8,"BPAT"
"01-03-2012",6,1295.0,554.5,"BPAT"
"01-03-2012",7,1382.0,589.8,"BPAT"
"01-03-2012",8,1379.0,587.0999999999999,"BPAT"
"01-03-2012",9,1370.0,583.2,"BPAT"
"01-03-2012",10,1133.0,471.56500000000005,"BPAT"
"01-03-2012",11,911.0,405.09999999999997,"BPAT"
"01-03-2012",12,910.0,404.6,"BPAT"
"01-03-2012",13,914.0,404.74000000000007,"BPAT"
"01-03-2012",14,969.0,440.4,"BPAT"
"01-03-2012",15,1079.0,474.9,"BPAT"
"01-03-2012",16,1215.0,525.7,"BPAT"
"01-03-2012",17,1280.0,549.2,"BPAT"
"01-03-2012",18,1281.0,549.8,"BPAT"
"01-03-2012",19,1284.0,550.4000000000001,"BPAT"
"01-03-2012",20,1287.0,551.1,"BPAT"
