"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,3683.0,3694.0,"DUK"
"01-01-2012",1,3655.0,3698.1,"DUK"
"01-01-2012",2,3477.0,3632.2999999999997,"DUK"
"01-01-2012",3,3585.0,3725.1000000000004,"DUK"
"01-01-2012",4,3726.0,3872.2999999999997,"DUK"
"01-01-2012",5,4037.0,4244.7,"DUK"
"01-01-2012",6,4392.0,4674.7,"DUK"
"01-01-2012",7,4372.0,4904.6,"DUK"
"01-01-2012",8,4467.0,5041.599999999999,"DUK"
"01-01-2012",9,4104.0,4487.7,"DUK"
"01-01-2012",10,3597.0,3994.8250000000003,"DUK"
"01-01-2012",11,3222.0,3638.523,"DUK"
"01-01-2012",12,2885.0,3315.4000000000005,"DUK"
"01-01-2012",13,2748.0,3136.3,"DUK"
"01-01-2012",14,2791.0,3205.4500000000003,"DUK"
"01-01-2012",15,2823.0,3225.0,"DUK"
"01-01-2012",16,3121.0,3512.8439999999996,"DUK"
"01-01-2012",17,3452.0,4167.984,"DUK"
"01-01-2012",18,3566.0,4254.9,"DUK"
"01-01-2012",19,3315.0,4043.1,"DUK"
"01-01-2012",20,3181.0,3894.0,"DUK"
"01-01-2012",21,2926.0,3530.850000000001,"DUK"
"01-01-2012",22,2864.0,3340.9250000000006,"DUK"
"01-01-2012",23,2844.0,3289.7999999999997,"DUK"
"01-02-2012",0,2724.0,3195.252,"DUK"
"01-02-2012",1,2752.0,3340.2000000000003,"DUK"
"01-02-2012",2,2734.0,3311.6,"DUK"
"01-02-2012",3,3073.0,3725.25,"DUK"
"01-02-2012",4,3490.0,4299.099999999999,"DUK"
"01-02-2012",5,3927.0,4735.227000000001,"DUK"
"01-02-2012",6,4356.0,5426.427000000001,"DUK"
"01-02-2012",7,4678.0,5881.2,"DUK"
"01-02-2012",8,4831.0,6043.5,"DUK"
"01-02-2012",9,4927.0,6002.413,"DUK"
"01-02-2012",10,5010.0,5924.000000000001,"DUK"
"01-02-2012",11,5002.0,5830.200000000001,"DUK"
"01-02-2012",12,4906.0,5754.200000000001,"DUK"
"01-02-2012",13,5036.0,5675.4,"DUK"
"01-02-2012",14,5280.0,5744.5,"DUK"
"01-02-2012",15,5517.0,5908.145,"DUK"
"01-02-2012",16,5990.0,6527.299999999999,"DUK"
"01-02-2012",17,7009.0,7801.439,"DUK"
"01-02-2012",18,7878.0,8503.2,"DUK"
"01-02-2012",19,7934.0,8508.399999999998,"DUK"
"01-02-2012",20,8058.0,8596.899999999998,"DUK"
"01-02-2012",21,7997.0,8486.3,"DUK"
"01-02-2012",22,7543.0,8036.544000000001,"DUK"
"01-02-2012",23,7245.0,7739.5999999999985,"DUK"
"01-03-2012",0,6938.0,7428.7,"DUK"
"01-03-2012",1,7069.0,7536.8,"DUK"
"01-03-2012",2,7152.0,7699.799999999998,"DUK"
"01-03-2012",3,7421.0,8020.4,"DUK"
"01-03-2012",4,8030.0,8522.472,"DUK"
"01-03-2012",5,9065.0,9415.822000000002,"DUK"
"01-03-2012",6,10360.0,10514.344000000003,"DUK"
"01-03-2012",7,10833.0,10874.361000000003,"DUK"
"01-03-2012",8,10751.0,10753.158999999998,"DUK"
"01-03-2012",9,10289.0,10507.502999999999,"DUK"
"01-03-2012",10,9397.0,10084.866,"DUK"
"01-03-2012",11,9026.0,9861.500000000004,"DUK"
"01-03-2012",12,8888.0,9765.199999999999,"DUK"
"01-03-2012",13,8627.0,9433.5,"DUK"
"01-03-2012",14,8578.0,9277.800000000001,"DUK"
"01-03-2012",15,8496.0,9057.199999999999,"DUK"
"01-03-2012",16,8625.0,9346.514000000003,"DUK"
"01-03-2012",17,10356.0,10700.045999999998,"DUK"
"01-03-2012",18,11807.0,11641.451000000001,"DUK"
"01-03-2012",19,12343.0,11945.024,"DUK"
"01-03-2012",20,12403.0,12047.438,"DUK"
"01-03-2012",21,11737.0,11488.248999999996,"DUK"
"01-03-2012",22,10289.0,10396.020000000002,"DUK"
"01-03-2012",23,9807.0,10140.099999999997,"DUK"
"01-04-2012",0,9807.0,10035.773000000001,"DUK"
"01-04-2012",1,9830.0,9975.499999999996,"DUK"
"01-04-2012",2,9880.0,10142.260999999999,"DUK"
"01-04-2012",3,10147.0,10429.472,"DUK"
"01-04-2012",4,10833.0,10977.892999999998,"DUK"
"01-04-2012",5,11764.0,11548.697,"DUK"
"01-04-2012",6,12799.0,12184.384000000004,"DUK"
"01-04-2012",7,13339.0,13079.211000000003,"DUK"
"01-04-2012",8,11973.0,11929.145,"DUK"
"01-04-2012",9,10914.0,11017.550000000003,"DUK"
"01-04-2012",10,9796.0,10270.597,"DUK"
"01-04-2012",11,9197.0,9722.100000000002,"DUK"
"01-04-2012",12,8725.0,9350.822000000002,"DUK"
"01-04-2012",13,8352.0,8857.752,"DUK"
"01-04-2012",14,7719.0,8281.442,"DUK"
"01-04-2012",15,7636.0,8188.599999999999,"DUK"
"01-04-2012",16,8132.0,8635.5,"DUK"
"01-04-2012",17,9189.0,9905.838,"DUK"
"01-04-2012",18,9992.0,10499.592,"DUK"
"01-04-2012",19,10028.0,10421.388,"DUK"
"01-04-2012",20,10024.0,10375.7,"DUK"
"01-04-2012",21,9560.0,9876.84,"DUK"
"01-04-2012",22,8827.0,9329.069000000001,"DUK"
"01-04-2012",23,8165.0,8652.511,"DUK"
"01-05-2012",0,7842.0,8234.8,"DUK"
"01-05-2012",1,7632.0,8120.499999999999,"DUK"
"01-05-2012",2,7473.0,7958.100000000001,"DUK"
"01-05-2012",3,7478.0,7956.9,"DUK"
"01-05-2012",4,7743.0,8271.497000000001,"DUK"
"01-05-2012",5,8538.0,8923.345999999998,"DUK"
"01-05-2012",6,9852.0,10293.079999999998,"DUK"
"01-05-2012",7,10008.0,10509.020999999999,"DUK"
"01-05-2012",8,9295.0,9689.484,"DUK"
"01-05-2012",9,8565.0,8857.554,"DUK"
"01-05-2012",10,7467.0,7949.561999999998,"DUK"
"01-05-2012",11,6825.0,7326.95,"DUK"
"01-05-2012",12,6168.0,6586.000000000001,"DUK"
"01-05-2012",13,5763.0,6226.4000000000015,"DUK"
"01-05-2012",14,5431.0,6030.0,"DUK"
"01-05-2012",15,5263.0,5831.099999999999,"DUK"
"01-05-2012",16,5574.0,5962.900000000001,"DUK"
"01-05-2012",17,6356.0,6839.2,"DUK"
"01-05-2012",18,7512.0,7972.999999999998,"DUK"
"01-05-2012",19,7641.0,8051.999999999999,"DUK"
"01-05-2012",20,7679.0,8086.3,"DUK"
"01-05-2012",21,7519.0,7822.4,"DUK"
"01-05-2012",22,6925.0,7229.599999999999,"DUK"
"01-05-2012",23,6475.0,6760.300000000001,"DUK"
"01-06-2012",0,6237.0,6485.399999999999,"DUK"
"01-06-2012",1,6212.0,6447.4,"DUK"
"01-06-2012",2,6289.0,6479.499999999999,"DUK"
"01-06-2012",3,6403.0,6669.0999999999985,"DUK"
"01-06-2012",4,6738.0,7128.299999999998,"DUK"
"01-06-2012",5,7811.0,8051.109999999999,"DUK"
"01-06-2012",6,8698.0,9148.180000000002,"DUK"
"01-06-2012",7,8956.0,9500.855000000001,"DUK"
"01-06-2012",8,8428.0,8879.087,"DUK"
"01-06-2012",9,7435.0,7873.8,"DUK"
"01-06-2012",10,6279.0,6872.980000000001,"DUK"
"01-06-2012",11,5354.0,6079.825,"DUK"
"01-06-2012",12,4664.0,5323.850000000001,"DUK"
