"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,782.0,826.0999999999999,"EEI"
"01-01-2012",1,514.0,548.4,"EEI"
"01-01-2012",2,513.0,564.8000000000001,"EEI"
"01-01-2012",3,513.0,563.1999999999999,"EEI"
"01-01-2012",4,513.0,566.1,"EEI"
"01-01-2012",5,513.0,567.2,"EEI"
"01-01-2012",6,514.0,567.3,"EEI"
"01-01-2012",7,514.0,550.8,"EEI"
"01-01-2012",8,515.0,566.4000000000001,"EEI"
"01-01-2012",9,514.0,566.5,"EEI"
"01-01-2012",10,514.0,559.5,"EEI"
"01-01-2012",11,513.0,560.3,"EEI"
"01-01-2012",12,513.0,560.6,"EEI"
"01-01-2012",13,511.0,563.4000000000001,"EEI"
"01-01-2012",14,513.0,562.4000000000001,"EEI"
"01-01-2012",15,550.0,604.0999999999999,"EEI"
"01-01-2012",16,703.0,775.0,"EEI"
"01-01-2012",17,1040.0,1111.5,"EEI"
"01-01-2012",18,1083.0,1142.3000000000002,"EEI"
"01-01-2012",19,1079.0,1140.7,"EEI"
"01-01-2012",20,1082.0,1144.2,"EEI"
"01-01-2012",21,1081.0,1142.6999999999998,"EEI"
"01-01-2012",22,1079.0,1141.1000000000001,"EEI"
"01-01-2012",23,994.0,1044.8000000000002,"EEI"
"01-02-2012",0,976.0,1025.8,"EEI"
"01-02-2012",1,892.0,948.0,"EEI"
"01-02-2012",2,874.0,937.4000000000001,"EEI"
"01-02-2012",3,874.0,938.5,"EEI"
"01-02-2012",4,875.0,941.0,"EEI"
"01-02-2012",5,1030.0,1104.2,"EEI"
"01-02-2012",6,1078.0,1145.7,"EEI"
"01-02-2012",7,1082.0,1117.8999999999999,"EEI"
"01-02-2012",8,1078.0,1139.6000000000001,"EEI"
"01-02-2012",9,1078.0,1139.9,"EEI"
"01-02-2012",10,1079.0,1146.1,"EEI"
"01-02-2012",11,1078.0,1140.8,"EEI"
"01-02-2012",12,1075.0,1136.6,"EEI"
"01-02-2012",13,1077.0,1141.5,"EEI"
"01-02-2012",14,1081.0,1147.7,"EEI"
"01-02-2012",15,1080.0,1144.1000000000001,"EEI"
"01-02-2012",16,1036.0,1089.3999999999999,"EEI"
"01-02-2012",17,840.0,889.8,"EEI"
"01-02-2012",18,810.0,870.9,"EEI"
"01-02-2012",19,965.0,1042.7,"EEI"
"01-02-2012",20,1058.0,1129.5,"EEI"
"01-02-2012",21,1039.0,1103.2,"EEI"
"01-02-2012",22,905.0,953.1000000000001,"EEI"
"01-02-2012",23,889.0,955.6,"EEI"
"01-03-2012",0,1018.0,1075.4,"EEI"
"01-03-2012",1,873.0,934.1000000000001,"EEI"
"01-03-2012",2,870.0,937.5000000000001,"EEI"
"01-03-2012",3,947.0,1022.9000000000001,"EEI"
"01-03-2012",4,1041.0,1114.4,"EEI"
"01-03-2012",5,1072.0,1138.3,"EEI"
"01-03-2012",6,1083.0,1145.0,"EEI"
"01-03-2012",7,1073.0,1107.9,"EEI"
"01-03-2012",8,1080.0,1136.3,"EEI"
"01-03-2012",9,1082.0,1137.3,"EEI"
"01-03-2012",10,1055.0,1104.4,"EEI"
"01-03-2012",11,849.0,900.5999999999999,"EEI"
"01-03-2012",12,947.0,1014.5000000000001,"EEI"
"01-03-2012",13,903.0,963.2,"EEI"
"01-03-2012",14,904.0,967.5,"EEI"
"01-03-2012",15,905.0,967.6,"EEI"
"01-03-2012",16,906.0,960.5999999999999,"EEI"
"01-03-2012",17,905.0,971.1999999999999,"EEI"
"01-03-2012",18,840.0,896.7,"EEI"
"01-03-2012",19,852.0,932.3999999999999,"EEI"
"01-03-2012",20,891.0,969.4,"EEI"
"01-03-2012",21,904.0,982.8,"EEI"
"01-03-2012",22,848.0,934.0,"EEI"
"01-03-2012",23,904.0,988.0,"EEI"
"01-04-2012",0,907.0,979.9000000000001,"EEI"
"01-04-2012",1,913.0,987.9000000000001,"EEI"
"01-04-2012",2,928.0,1000.6999999999999,"EEI"
"01-04-2012",3,967.0,1043.8000000000002,"EEI"
"01-04-2012",4,991.0,1067.6000000000001,"EEI"
"01-04-2012",5,1036.0,1104.8999999999999,"EEI"
"01-04-2012",6,1076.0,1140.4,"EEI"
"01-04-2012",7,1067.0,1098.2,"EEI"
"01-04-2012",8,1079.0,1134.2,"EEI"
"01-04-2012",9,1083.0,1133.3,"EEI"
"01-04-2012",10,881.0,909.6999999999999,"EEI"
"01-04-2012",11,945.0,1000.4999999999999,"EEI"
"01-04-2012",12,1018.0,1073.6,"EEI"
"01-04-2012",13,936.0,987.8,"EEI"
"01-04-2012",14,989.0,1049.8,"EEI"
"01-04-2012",15,1073.0,1133.4,"EEI"
"01-04-2012",16,1066.0,1120.8,"EEI"
"01-04-2012",17,826.0,867.1000000000001,"EEI"
"01-04-2012",18,1009.0,1076.9,"EEI"
"01-04-2012",19,1088.0,1150.0,"EEI"
"01-04-2012",20,1089.0,1150.3000000000002,"EEI"
"01-04-2012",21,1085.0,1141.7,"EEI"
"01-04-2012",22,1086.0,1144.4,"EEI"
"01-04-2012",23,1085.0,1145.8,"EEI"
"01-05-2012",0,1083.0,1143.3,"EEI"
"01-05-2012",1,1082.0,1142.8,"EEI"
"01-05-2012",2,1083.0,1143.7,"EEI"
"01-05-2012",3,1084.0,1142.5,"EEI"
"01-05-2012",4,1083.0,1142.7,"EEI"
"01-05-2012",5,1084.0,1145.5,"EEI"
"01-05-2012",6,1085.0,1141.6,"EEI"
"01-05-2012",7,1084.0,1114.0,"EEI"
"01-05-2012",8,1084.0,1141.3,"EEI"
"01-05-2012",9,1085.0,1134.3,"EEI"
"01-05-2012",10,1086.0,1133.4,"EEI"
"01-05-2012",11,1085.0,1132.3,"EEI"
"01-05-2012",12,1082.0,1135.1,"EEI"
"01-05-2012",13,1083.0,1137.7,"EEI"
"01-05-2012",14,1081.0,1132.1999999999998,"EEI"
"01-05-2012",15,1082.0,1133.8,"EEI"
"01-05-2012",16,1080.0,1132.3000000000002,"EEI"
"01-05-2012",17,1081.0,1137.3999999999999,"EEI"
"01-05-2012",18,1081.0,1138.6000000000001,"EEI"
"01-05-2012",19,1081.0,1134.6999999999998,"EEI"
"01-05-2012",20,1082.0,1137.3999999999999,"EEI"
"01-05-2012",21,1080.0,1136.9,"EEI"
"01-05-2012",22,1081.0,1132.6,"EEI"
"01-05-2012",23,1082.0,1136.8,"EEI"
"01-06-2012",0,815.0,840.4000000000001,"EEI"
"01-06-2012",1,508.0,539.5,"EEI"
"01-06-2012",2,513.0,565.3000000000001,"EEI"
"01-06-2012",3,551.0,616.5,"EEI"
"01-06-2012",4,691.0,761.5999999999999,"EEI"
"01-06-2012",5,1058.0,1131.6,"EEI"
"01-06-2012",6,1083.0,1144.6,"EEI"
"01-06-2012",7,1085.0,1112.6,"EEI"
"01-06-2012",8,1082.0,1130.4,"EEI"
"01-06-2012",9,1082.0,1120.5,"EEI"
"01-06-2012",10,1082.0,1126.8,"EEI"
"01-06-2012",11,1083.0,1124.0,"EEI"
"01-06-2012",12,1082.0,1123.6,"EEI"
"01-06-2012",13,1081.0,1128.3,"EEI"
"01-06-2012",14,1080.0,1128.3000000000002,"EEI"
"01-06-2012",15,1081.0,1128.0,"EEI"
"01-06-2012",16,1080.0,1127.5,"EEI"
"01-06-2012",17,1080.0,1131.0,"EEI"
"01-06-2012",18,1082.0,1130.8000000000002,"EEI"
"01-06-2012",19,1082.0,1128.7,"EEI"
"01-06-2012",20,1081.0,1131.9,"EEI"
"01-06-2012",21,1083.0,1130.9,"EEI"
"01-06-2012",22,1080.0,1131.0,"EEI"
"01-06-2012",23,1081.0,1128.6000000000001,"EEI"
"01-07-2012",0,775.0,789.3,"EEI"
"01-07-2012",1,452.0,477.79999999999995,"EEI"
"01-07-2012",2,439.0,487.8,"EEI"
"01-07-2012",3,437.0,488.6,"EEI"
"01-07-2012",4,440.0,496.6,"EEI"
"01-07-2012",5,444.0,503.6,"EEI"
"01-07-2012",6,442.0,501.70000000000005,"EEI"
"01-07-2012",7,440.0,485.0,"EEI"
"01-07-2012",8,438.0,495.6,"EEI"
"01-07-2012",9,439.0,494.50000000000006,"EEI"
"01-07-2012",10,440.0,499.1,"EEI"
"01-07-2012",11,440.0,495.59999999999997,"EEI"
"01-07-2012",12,443.0,500.0,"EEI"
"01-07-2012",13,441.0,503.8,"EEI"
"01-07-2012",14,474.0,539.0,"EEI"
"01-07-2012",15,729.0,795.3,"EEI"
"01-07-2012",16,1052.0,1118.8,"EEI"
"01-07-2012",17,1067.0,1124.8999999999999,"EEI"
"01-07-2012",18,1081.0,1137.5,"EEI"
"01-07-2012",19,1078.0,1135.2,"EEI"
"01-07-2012",20,1079.0,1135.3,"EEI"
"01-07-2012",21,1078.0,1133.6,"EEI"
"01-07-2012",22,801.0,828.2,"EEI"
"01-07-2012",23,452.0,484.70000000000005,"EEI"
"01-08-2012",0,434.0,491.30000000000007,"EEI"
"01-08-2012",1,432.0,493.6,"EEI"
"01-08-2012",2,433.0,493.9,"EEI"
"01-08-2012",3,432.0,494.59999999999997,"EEI"
"01-08-2012",4,434.0,494.7,"EEI"
"01-08-2012",5,436.0,496.69999999999993,"EEI"
"01-08-2012",6,440.0,505.2,"EEI"
"01-08-2012",7,608.0,667.1,"EEI"
"01-08-2012",8,645.0,694.1,"EEI"
"01-08-2012",9,644.0,686.2,"EEI"
"01-08-2012",10,644.0,686.2,"EEI"
"01-08-2012",11,646.0,689.0,"EEI"
"01-08-2012",12,648.0,698.9000000000001,"EEI"
"01-08-2012",13,931.0,1017.5,"EEI"
"01-08-2012",14,1071.0,1131.9,"EEI"
"01-08-2012",15,1067.0,1127.1,"EEI"
"01-08-2012",16,1069.0,1127.1000000000001,"EEI"
"01-08-2012",17,1066.0,1126.0,"EEI"
"01-08-2012",18,1067.0,1129.8999999999999,"EEI"
"01-08-2012",19,791.0,818.4,"EEI"
"01-08-2012",20,456.0,490.4,"EEI"
"01-08-2012",21,436.0,491.3,"EEI"
"01-08-2012",22,435.0,496.59999999999997,"EEI"
"01-08-2012",23,435.0,497.2,"EEI"
"01-09-2012",0,438.0,498.1,"EEI"
"01-09-2012",1,437.0,497.0,"EEI"
"01-09-2012",2,437.0,496.5,"EEI"
"01-09-2012",3,501.0,576.0,"EEI"
"01-09-2012",4,710.0,793.3,"EEI"
"01-09-2012",5,1063.0,1134.8000000000002,"EEI"
"01-09-2012",6,1088.0,1150.5,"EEI"
"01-09-2012",7,1081.0,1106.5,"EEI"
"01-09-2012",8,1086.0,1143.2,"EEI"
"01-09-2012",9,1087.0,1138.5,"EEI"
"01-09-2012",10,1085.0,1133.3,"EEI"
"01-09-2012",11,1086.0,1137.3999999999999,"EEI"
"01-09-2012",12,1085.0,1137.6999999999998,"EEI"
"01-09-2012",13,1083.0,1138.7000000000003,"EEI"
"01-09-2012",14,1083.0,1141.9,"EEI"
"01-09-2012",15,1084.0,1138.9,"EEI"
"01-09-2012",16,1084.0,1141.1,"EEI"
"01-09-2012",17,1084.0,1142.7,"EEI"
"01-09-2012",18,1084.0,1143.6,"EEI"
"01-09-2012",19,1083.0,1145.5,"EEI"
"01-09-2012",20,1084.0,1147.2,"EEI"
"01-09-2012",21,1080.0,1141.5,"EEI"
"01-09-2012",22,1083.0,1144.1000000000001,"EEI"
"01-09-2012",23,1087.0,1152.0,"EEI"
"01-10-2012",0,758.0,783.3000000000002,"EEI"
"01-10-2012",1,449.0,487.2,"EEI"
"01-10-2012",2,432.0,499.5,"EEI"
"01-10-2012",3,491.0,579.5000000000001,"EEI"
"01-10-2012",4,682.0,765.4999999999999,"EEI"
"01-10-2012",5,1043.0,1134.5,"EEI"
"01-10-2012",6,1084.0,1153.3,"EEI"
"01-10-2012",7,1083.0,1119.6000000000001,"EEI"
"01-10-2012",8,1084.0,1147.2,"EEI"
"01-10-2012",9,1084.0,1138.8,"EEI"
"01-10-2012",10,1086.0,1145.7,"EEI"
"01-10-2012",11,1085.0,1139.5,"EEI"
"01-10-2012",12,1085.0,1138.8,"EEI"
"01-10-2012",13,1085.0,1146.8,"EEI"
"01-10-2012",14,1086.0,1145.8,"EEI"
"01-10-2012",15,1086.0,1144.5,"EEI"
"01-10-2012",16,1088.0,1145.5,"EEI"
"01-10-2012",17,1092.0,1153.0,"EEI"
"01-10-2012",18,1089.0,1150.8999999999999,"EEI"
"01-10-2012",19,1089.0,1151.8000000000002,"EEI"
"01-10-2012",20,1089.0,1153.1000000000001,"EEI"
"01-10-2012",21,1088.0,1152.0,"EEI"
"01-10-2012",22,1085.0,1146.5,"EEI"
"01-10-2012",23,1086.0,1151.3,"EEI"
"01-11-2012",0,776.0,793.6999999999999,"EEI"
"01-11-2012",1,464.0,494.1000000000001,"EEI"
"01-11-2012",2,442.0,494.9,"EEI"
"01-11-2012",3,506.0,583.9,"EEI"
"01-11-2012",4,715.0,798.4,"EEI"
"01-11-2012",5,1060.0,1141.8999999999999,"EEI"
"01-11-2012",6,1084.0,1149.8999999999999,"EEI"
"01-11-2012",7,1083.0,1118.4,"EEI"
"01-11-2012",8,1085.0,1141.2,"EEI"
"01-11-2012",9,1083.0,1145.6000000000001,"EEI"
"01-11-2012",10,1083.0,1144.5,"EEI"
"01-11-2012",11,1083.0,1148.0,"EEI"
"01-11-2012",12,1082.0,1149.9,"EEI"
"01-11-2012",13,1083.0,1152.4,"EEI"
"01-11-2012",14,1076.0,1148.3999999999999,"EEI"
"01-11-2012",15,1080.0,1148.0,"EEI"
"01-11-2012",16,1084.0,1155.0,"EEI"
"01-11-2012",17,1077.0,1146.6,"EEI"
"01-11-2012",18,984.0,1036.7,"EEI"
"01-11-2012",19,1037.0,1101.4,"EEI"
"01-11-2012",20,1083.0,1146.7,"EEI"
"01-11-2012",21,1086.0,1152.2,"EEI"
"01-11-2012",22,1088.0,1158.7,"EEI"
"01-11-2012",23,1089.0,1158.2,"EEI"
"01-12-2012",0,762.0,780.0,"EEI"
"01-12-2012",1,461.0,488.6,"EEI"
"01-12-2012",2,443.0,501.0,"EEI"
"01-12-2012",3,514.0,595.1,"EEI"
"01-12-2012",4,712.0,789.0,"EEI"
"01-12-2012",5,1051.0,1139.6,"EEI"
"01-12-2012",6,1086.0,1156.6999999999998,"EEI"
"01-12-2012",7,1082.0,1132.4,"EEI"
"01-12-2012",8,1081.0,1156.7,"EEI"
"01-12-2012",9,1054.0,1120.8,"EEI"
"01-12-2012",10,866.0,925.9,"EEI"
"01-12-2012",11,903.0,975.3000000000001,"EEI"
