"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,263.0,175.4,"ELE"
"01-01-2012",1,235.0,157.9,"ELE"
"01-01-2012",2,246.0,165.50000000000003,"ELE"
"01-01-2012",3,228.0,155.5,"ELE"
"01-01-2012",4,213.0,146.4,"ELE"
"01-01-2012",5,221.0,151.1,"ELE"
"01-01-2012",6,217.0,147.9,"ELE"
"01-01-2012",7,205.0,140.5,"ELE"
"01-01-2012",8,211.0,144.5,"ELE"
"01-01-2012",9,233.0,157.5,"ELE"
"01-01-2012",10,230.0,156.0,"ELE"
"01-01-2012",11,237.0,160.456,"ELE"
"01-01-2012",12,246.0,165.70000000000002,"ELE"
"01-01-2012",13,237.0,160.7,"ELE"
"01-01-2012",14,229.0,155.8,"ELE"
"01-01-2012",15,223.0,152.4,"ELE"
"01-01-2012",16,242.0,163.10000000000002,"ELE"
"01-01-2012",17,289.0,190.89999999999998,"ELE"
"01-01-2012",18,315.0,206.1,"ELE"
"01-01-2012",19,317.0,207.10000000000002,"ELE"
"01-01-2012",20,319.0,207.8,"ELE"
"01-01-2012",21,298.0,195.5,"ELE"
"01-01-2012",22,296.0,194.10000000000002,"ELE"
"01-01-2012",23,243.0,162.8,"ELE"
"01-02-2012",0,224.0,151.0,"ELE"
"01-02-2012",1,221.0,150.8,"ELE"
"01-02-2012",2,208.0,142.3,"ELE"
"01-02-2012",3,204.0,140.0,"ELE"
"01-02-2012",4,220.0,150.10000000000002,"ELE"
"01-02-2012",5,233.0,156.3,"ELE"
"01-02-2012",6,252.0,168.3,"ELE"
"01-02-2012",7,262.0,173.9,"ELE"
"01-02-2012",8,267.0,176.4,"ELE"
"01-02-2012",9,277.0,182.7,"ELE"
"01-02-2012",10,296.0,194.60000000000002,"ELE"
"01-02-2012",11,308.0,202.6,"ELE"
"01-02-2012",12,298.0,196.89999999999998,"ELE"
"01-02-2012",13,285.0,189.0,"ELE"
"01-02-2012",14,277.0,184.89999999999998,"ELE"
"01-02-2012",15,279.0,185.6,"ELE"
"01-02-2012",16,296.0,199.186,"ELE"
"01-02-2012",17,365.0,274.11199999999997,"ELE"
"01-02-2012",18,371.0,280.981,"ELE"
"01-02-2012",19,376.0,275.998,"ELE"
"01-02-2012",20,354.0,255.70000000000005,"ELE"
"01-02-2012",21,353.0,254.4,"ELE"
"01-02-2012",22,326.0,235.7,"ELE"
