"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,1432.0,725.1999999999999,"NEVP"
"01-01-2012",1,1437.0,731.8999999999999,"NEVP"
"01-01-2012",2,1412.0,723.3,"NEVP"
"01-01-2012",3,1384.0,709.0999999999999,"NEVP"
"01-01-2012",4,1396.0,727.527,"NEVP"
"01-01-2012",5,1465.0,756.4,"NEVP"
"01-01-2012",6,1636.0,813.4999999999999,"NEVP"
"01-01-2012",7,1544.0,776.2000000000002,"NEVP"
"01-01-2012",8,1532.0,776.2,"NEVP"
"01-01-2012",9,1523.0,774.0000000000001,"NEVP"
"01-01-2012",10,1526.0,768.6999999999999,"NEVP"
"01-01-2012",11,1535.0,771.3000000000001,"NEVP"
"01-01-2012",12,1516.0,761.7,"NEVP"
"01-01-2012",13,1503.0,754.7,"NEVP"
"01-01-2012",14,1542.0,768.6,"NEVP"
"01-01-2012",15,1496.0,751.8000000000001,"NEVP"
"01-01-2012",16,1613.0,799.4000000000001,"NEVP"
"01-01-2012",17,1728.0,852.0000000000001,"NEVP"
"01-01-2012",18,1735.0,855.6999999999999,"NEVP"
"01-01-2012",19,1719.0,846.4000000000001,"NEVP"
"01-01-2012",20,1701.0,845.1,"NEVP"
"01-01-2012",21,1756.0,867.8,"NEVP"
"01-01-2012",22,1676.0,837.1,"NEVP"
"01-01-2012",23,1699.0,843.2,"NEVP"
"01-02-2012",0,1529.0,734.0500000000001,"NEVP"
"01-02-2012",1,1361.0,698.3,"NEVP"
"01-02-2012",2,1316.0,681.5,"NEVP"
"01-02-2012",3,1309.0,681.5999999999999,"NEVP"
"01-02-2012",4,1355.0,703.4000000000001,"NEVP"
"01-02-2012",5,1453.0,749.8000000000002,"NEVP"
"01-02-2012",6,1743.0,851.3,"NEVP"
"01-02-2012",7,1676.0,826.6,"NEVP"
"01-02-2012",8,1672.0,825.4,"NEVP"
"01-02-2012",9,1683.0,830.7000000000002,"NEVP"
"01-02-2012",10,1688.0,835.0000000000001,"NEVP"
"01-02-2012",11,1654.0,820.3,"NEVP"
"01-02-2012",12,1614.0,807.0,"NEVP"
"01-02-2012",13,1599.0,802.6,"NEVP"
"01-02-2012",14,1585.0,795.5,"NEVP"
"01-02-2012",15,1611.0,803.5000000000001,"NEVP"
"01-02-2012",16,1721.0,852.5,"NEVP"
"01-02-2012",17,1839.0,891.3000000000001,"NEVP"
"01-02-2012",18,1838.0,881.4000000000001,"NEVP"
"01-02-2012",19,1821.0,880.2,"NEVP"
"01-02-2012",20,1782.0,871.0999999999999,"NEVP"
"01-02-2012",21,1706.0,849.0,"NEVP"
"01-02-2012",22,1523.0,756.4399999999999,"NEVP"
"01-02-2012",23,1519.0,791.6,"NEVP"
"01-03-2012",0,1442.0,748.1999999999999,"NEVP"
"01-03-2012",1,1394.0,739.9,"NEVP"
"01-03-2012",2,1370.0,725.7,"NEVP"
"01-03-2012",3,1377.0,723.3000000000001,"NEVP"
"01-03-2012",4,1415.0,747.437,"NEVP"
"01-03-2012",5,1613.0,821.7000000000002,"NEVP"
"01-03-2012",6,1982.0,978.5000000000001,"NEVP"
"01-03-2012",7,2078.0,1038.0,"NEVP"
"01-03-2012",8,2058.0,1062.9,"NEVP"
"01-03-2012",9,2000.0,1053.9,"NEVP"
"01-03-2012",10,2028.0,1066.0000000000002,"NEVP"
"01-03-2012",11,2049.0,1069.5,"NEVP"
"01-03-2012",12,2043.0,1067.8,"NEVP"
"01-03-2012",13,2038.0,1062.4,"NEVP"
"01-03-2012",14,2036.0,1064.8000000000002,"NEVP"
"01-03-2012",15,2004.0,1053.9,"NEVP"
"01-03-2012",16,2055.0,1080.9,"NEVP"
"01-03-2012",17,2213.0,1137.3999999999999,"NEVP"
"01-03-2012",18,2231.0,1144.6000000000001,"NEVP"
"01-03-2012",19,2182.0,1125.7,"NEVP"
"01-03-2012",20,2066.0,1080.8999999999999,"NEVP"
"01-03-2012",21,2034.0,1070.0,"NEVP"
"01-03-2012",22,1740.0,911.26,"NEVP"
"01-03-2012",23,1644.0,882.9000000000002,"NEVP"
"01-04-2012",0,1545.0,820.82,"NEVP"
"01-04-2012",1,1424.0,781.7999999999998,"NEVP"
"01-04-2012",2,1434.0,782.1980000000001,"NEVP"
"01-04-2012",3,1332.0,762.4999999999999,"NEVP"
"01-04-2012",4,1343.0,786.5429999999999,"NEVP"
"01-04-2012",5,1609.0,869.2,"NEVP"
"01-04-2012",6,1926.0,1013.402,"NEVP"
"01-04-2012",7,2103.0,1121.954,"NEVP"
"01-04-2012",8,2130.0,1142.0320000000002,"NEVP"
"01-04-2012",9,2041.0,1097.172,"NEVP"
"01-04-2012",10,1999.0,1096.679,"NEVP"
"01-04-2012",11,1970.0,1076.6480000000001,"NEVP"
"01-04-2012",12,1951.0,1067.54,"NEVP"
"01-04-2012",13,1927.0,1073.9470000000001,"NEVP"
"01-04-2012",14,1933.0,1060.155,"NEVP"
"01-04-2012",15,1917.0,1057.966,"NEVP"
"01-04-2012",16,1994.0,1087.9,"NEVP"
"01-04-2012",17,2125.0,1133.9,"NEVP"
"01-04-2012",18,2140.0,1142.5,"NEVP"
"01-04-2012",19,2062.0,1109.588,"NEVP"
"01-04-2012",20,2013.0,1113.236,"NEVP"
"01-04-2012",21,1938.0,1069.9360000000001,"NEVP"
"01-04-2012",22,1757.0,935.5249999999999,"NEVP"
"01-04-2012",23,1644.0,901.1,"NEVP"
"01-05-2012",0,1494.0,797.789,"NEVP"
"01-05-2012",1,1449.0,805.3,"NEVP"
"01-05-2012",2,1425.0,769.34,"NEVP"
"01-05-2012",3,1429.0,779.13,"NEVP"
"01-05-2012",4,1475.0,801.0,"NEVP"
"01-05-2012",5,1633.0,849.6000000000001,"NEVP"
"01-05-2012",6,2033.0,952.6999999999999,"NEVP"
"01-05-2012",7,1860.0,811.1320000000001,"NEVP"
"01-05-2012",8,1905.0,833.1760000000002,"NEVP"
"01-05-2012",9,1820.0,802.811,"NEVP"
"01-05-2012",10,1773.0,791.0640000000001,"NEVP"
"01-05-2012",11,1780.0,792.134,"NEVP"
"01-05-2012",12,1765.0,783.258,"NEVP"
"01-05-2012",13,1767.0,784.2,"NEVP"
"01-05-2012",14,1744.0,772.0659999999999,"NEVP"
"01-05-2012",15,1727.0,765.6,"NEVP"
"01-05-2012",16,1811.0,795.9,"NEVP"
"01-05-2012",17,1916.0,845.8,"NEVP"
"01-05-2012",18,1917.0,841.3,"NEVP"
"01-05-2012",19,1850.0,815.7,"NEVP"
"01-05-2012",20,1836.0,806.0,"NEVP"
"01-05-2012",21,1756.0,770.5,"NEVP"
"01-05-2012",22,1522.0,649.1999999999999,"NEVP"
"01-05-2012",23,1433.0,641.9,"NEVP"
"01-06-2012",0,1327.0,606.4,"NEVP"
"01-06-2012",1,1248.0,581.6999999999999,"NEVP"
"01-06-2012",2,1223.0,574.8000000000001,"NEVP"
