"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,1800.0,1542.9,"OKGE"
"01-01-2012",1,1803.0,1545.2,"OKGE"
"01-01-2012",2,1793.0,1537.0000000000002,"OKGE"
"01-01-2012",3,1792.0,1522.5,"OKGE"
"01-01-2012",4,1792.0,1515.5000000000005,"OKGE"
"01-01-2012",5,1830.0,1536.0000000000002,"OKGE"
"01-01-2012",6,1902.0,1636.3000000000002,"OKGE"
"01-01-2012",7,2040.0,1755.4,"OKGE"
"01-01-2012",8,2162.0,1836.0000000000002,"OKGE"
"01-01-2012",9,2191.0,1893.8999999999999,"OKGE"
"01-01-2012",10,2214.0,1921.9,"OKGE"
"01-01-2012",11,2183.0,1907.3999999999999,"OKGE"
"01-01-2012",12,2233.0,1961.0000000000002,"OKGE"
"01-01-2012",13,2299.0,2014.9,"OKGE"
"01-01-2012",14,2227.0,1892.6000000000001,"OKGE"
"01-01-2012",15,2125.0,1776.2000000000003,"OKGE"
"01-01-2012",16,2285.0,1875.3,"OKGE"
"01-01-2012",17,2611.0,2113.5,"OKGE"
"01-01-2012",18,2701.0,2204.4,"OKGE"
"01-01-2012",19,2726.0,2256.5,"OKGE"
"01-01-2012",20,2708.0,2246.1,"OKGE"
"01-01-2012",21,2659.0,2208.5999999999995,"OKGE"
"01-01-2012",22,2631.0,2201.5999999999995,"OKGE"
"01-01-2012",23,2490.0,2089.1000000000004,"OKGE"
"01-02-2012",0,2386.0,1982.6000000000006,"OKGE"
"01-02-2012",1,2325.0,1926.4999999999998,"OKGE"
"01-02-2012",2,2423.0,2003.7,"OKGE"
"01-02-2012",3,2493.0,2057.2,"OKGE"
"01-02-2012",4,2558.0,2110.2,"OKGE"
"01-02-2012",5,2731.0,2246.2000000000003,"OKGE"
"01-02-2012",6,2900.0,2380.0000000000005,"OKGE"
"01-02-2012",7,3004.0,2457.4,"OKGE"
"01-02-2012",8,3059.0,2507.3000000000006,"OKGE"
"01-02-2012",9,3106.0,2536.1,"OKGE"
"01-02-2012",10,3120.0,2557.8999999999996,"OKGE"
"01-02-2012",11,3135.0,2588.7420000000006,"OKGE"
"01-02-2012",12,3085.0,2580.944,"OKGE"
"01-02-2012",13,3060.0,2593.2000000000003,"OKGE"
"01-02-2012",14,3211.0,2629.4,"OKGE"
"01-02-2012",15,3362.0,2686.4,"OKGE"
"01-02-2012",16,3418.0,2696.8,"OKGE"
"01-02-2012",17,3673.0,2811.3,"OKGE"
"01-02-2012",18,3747.0,2834.3,"OKGE"
"01-02-2012",19,3875.0,2919.8,"OKGE"
"01-02-2012",20,3951.0,3037.0,"OKGE"
"01-02-2012",21,3767.0,3001.9000000000005,"OKGE"
"01-02-2012",22,3595.0,2933.3,"OKGE"
"01-02-2012",23,3259.0,2644.8390000000004,"OKGE"
"01-03-2012",0,2730.0,2308.2999999999997,"OKGE"
"01-03-2012",1,2444.0,2048.1,"OKGE"
"01-03-2012",2,2285.0,1882.1,"OKGE"
"01-03-2012",3,2389.0,1950.2000000000003,"OKGE"
"01-03-2012",4,2582.0,2064.476,"OKGE"
"01-03-2012",5,3064.0,2301.82,"OKGE"
"01-03-2012",6,3491.0,2626.3,"OKGE"
"01-03-2012",7,3634.0,2802.5,"OKGE"
"01-03-2012",8,3655.0,2766.100000000001,"OKGE"
"01-03-2012",9,3496.0,2659.1000000000004,"OKGE"
"01-03-2012",10,3550.0,2658.7929999999997,"OKGE"
"01-03-2012",11,3640.0,2801.7999999999997,"OKGE"
"01-03-2012",12,3629.0,2747.897,"OKGE"
"01-03-2012",13,3313.0,2507.2000000000003,"OKGE"
"01-03-2012",14,3179.0,2441.9999999999995,"OKGE"
"01-03-2012",15,3034.0,2319.2999999999997,"OKGE"
"01-03-2012",16,2996.0,2264.71,"OKGE"
"01-03-2012",17,3241.0,2378.8999999999996,"OKGE"
"01-03-2012",18,3326.0,2454.4,"OKGE"
"01-03-2012",19,3326.0,2521.4999999999995,"OKGE"
"01-03-2012",20,3332.0,2531.4,"OKGE"
"01-03-2012",21,3240.0,2505.0999999999995,"OKGE"
"01-03-2012",22,3006.0,2394.248,"OKGE"
"01-03-2012",23,2535.0,2121.4800000000005,"OKGE"
"01-04-2012",0,2225.0,1902.1999999999998,"OKGE"
"01-04-2012",1,1997.0,1685.3,"OKGE"
"01-04-2012",2,1869.0,1555.8,"OKGE"
"01-04-2012",3,1903.0,1563.6,"OKGE"
"01-04-2012",4,1973.0,1602.2519999999997,"OKGE"
"01-04-2012",5,2244.0,1811.0,"OKGE"
"01-04-2012",6,2794.0,2180.7999999999997,"OKGE"
"01-04-2012",7,3028.0,2372.2,"OKGE"
"01-04-2012",8,3106.0,2499.9999999999995,"OKGE"
"01-04-2012",9,3196.0,2567.4000000000005,"OKGE"
"01-04-2012",10,3199.0,2591.3,"OKGE"
"01-04-2012",11,3211.0,2625.1000000000004,"OKGE"
"01-04-2012",12,3162.0,2604.3000000000006,"OKGE"
"01-04-2012",13,3093.0,2554.9,"OKGE"
"01-04-2012",14,3029.0,2483.3,"OKGE"
"01-04-2012",15,2994.0,2442.7999999999997,"OKGE"
"01-04-2012",16,3010.0,2461.7000000000003,"OKGE"
"01-04-2012",17,3220.0,2584.1,"OKGE"
"01-04-2012",18,3351.0,2689.2,"OKGE"
"01-04-2012",19,3305.0,2699.199999999999,"OKGE"
"01-04-2012",20,3194.0,2646.624,"OKGE"
"01-04-2012",21,2937.0,2506.7999999999997,"OKGE"
"01-04-2012",22,2609.0,2308.46,"OKGE"
"01-04-2012",23,2308.0,2126.1,"OKGE"
"01-05-2012",0,2169.0,2001.6,"OKGE"
"01-05-2012",1,2035.0,1871.5999999999997,"OKGE"
"01-05-2012",2,2018.0,1838.9,"OKGE"
"01-05-2012",3,1979.0,1797.6000000000001,"OKGE"
"01-05-2012",4,2130.0,1929.3110000000001,"OKGE"
"01-05-2012",5,2461.0,2231.2,"OKGE"
"01-05-2012",6,3158.0,2635.0739999999996,"OKGE"
"01-05-2012",7,3309.0,2753.6000000000004,"OKGE"
"01-05-2012",8,3445.0,2821.7,"OKGE"
"01-05-2012",9,3415.0,2814.6,"OKGE"
"01-05-2012",10,3407.0,2828.4999999999995,"OKGE"
