"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,214.0,235.8,"OVEC"
"01-01-2012",1,204.0,226.7,"OVEC"
"01-01-2012",2,195.0,220.2,"OVEC"
"01-01-2012",3,195.0,218.3,"OVEC"
"01-01-2012",4,193.0,217.89999999999998,"OVEC"
"01-01-2012",5,239.0,249.0,"OVEC"
"01-01-2012",6,262.0,275.3,"OVEC"
"01-01-2012",7,328.0,335.0,"OVEC"
"01-01-2012",8,349.0,356.5,"OVEC"
"01-01-2012",9,354.0,360.9,"OVEC"
"01-01-2012",10,355.0,361.4,"OVEC"
"01-01-2012",11,355.0,360.8,"OVEC"
"01-01-2012",12,356.0,363.1,"OVEC"
"01-01-2012",13,357.0,363.3,"OVEC"
"01-01-2012",14,358.0,366.29999999999995,"OVEC"
"01-01-2012",15,357.0,367.2,"OVEC"
"01-01-2012",16,358.0,366.9,"OVEC"
"01-01-2012",17,357.0,365.4,"OVEC"
"01-01-2012",18,356.0,366.9,"OVEC"
"01-01-2012",19,355.0,365.7,"OVEC"
"01-01-2012",20,355.0,366.0,"OVEC"
"01-01-2012",21,355.0,361.1,"OVEC"
"01-01-2012",22,306.0,313.59999999999997,"OVEC"
"01-01-2012",23,241.0,254.29999999999998,"OVEC"
"01-02-2012",0,272.0,283.5,"OVEC"
"01-02-2012",1,274.0,286.6,"OVEC"
"01-02-2012",2,254.0,267.7,"OVEC"
"01-02-2012",3,254.0,265.9,"OVEC"
"01-02-2012",4,275.0,288.4,"OVEC"
"01-02-2012",5,289.0,288.9,"OVEC"
"01-02-2012",6,322.0,323.1,"OVEC"
"01-02-2012",7,324.0,324.5,"OVEC"
"01-02-2012",8,327.0,328.70000000000005,"OVEC"
"01-02-2012",9,332.0,332.79999999999995,"OVEC"
"01-02-2012",10,335.0,339.2,"OVEC"
"01-02-2012",11,344.0,347.4,"OVEC"
"01-02-2012",12,341.0,347.2,"OVEC"
"01-02-2012",13,344.0,372.70000000000005,"OVEC"
"01-02-2012",14,346.0,379.0,"OVEC"
"01-02-2012",15,347.0,366.20000000000005,"OVEC"
"01-02-2012",16,349.0,363.0,"OVEC"
"01-02-2012",17,369.0,389.301,"OVEC"
"01-02-2012",18,421.0,446.6,"OVEC"
"01-02-2012",19,470.0,491.29999999999995,"OVEC"
"01-02-2012",20,502.0,506.80000000000007,"OVEC"
"01-02-2012",21,509.0,508.5,"OVEC"
"01-02-2012",22,505.0,504.1,"OVEC"
"01-02-2012",23,513.0,515.101,"OVEC"
"01-03-2012",0,521.0,523.4010000000001,"OVEC"
"01-03-2012",1,522.0,525.399,"OVEC"
"01-03-2012",2,523.0,525.1,"OVEC"
"01-03-2012",3,524.0,523.5,"OVEC"
"01-03-2012",4,525.0,521.001,"OVEC"
"01-03-2012",5,525.0,495.70000000000005,"OVEC"
"01-03-2012",6,525.0,508.4,"OVEC"
"01-03-2012",7,527.0,515.1,"OVEC"
"01-03-2012",8,528.0,522.4,"OVEC"
"01-03-2012",9,527.0,519.3,"OVEC"
"01-03-2012",10,526.0,525.5,"OVEC"
"01-03-2012",11,527.0,519.601,"OVEC"
"01-03-2012",12,526.0,520.6999999999999,"OVEC"
"01-03-2012",13,526.0,519.0999999999999,"OVEC"
"01-03-2012",14,525.0,517.5999999999999,"OVEC"
"01-03-2012",15,524.0,520.3009999999999,"OVEC"
"01-03-2012",16,523.0,519.0,"OVEC"
"01-03-2012",17,523.0,520.1,"OVEC"
"01-03-2012",18,524.0,522.0,"OVEC"
"01-03-2012",19,526.0,521.3,"OVEC"
"01-03-2012",20,527.0,523.2,"OVEC"
"01-03-2012",21,528.0,521.201,"OVEC"
"01-03-2012",22,528.0,524.201,"OVEC"
