"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,998.0,1084.7,"PSEI"
"01-01-2012",1,934.0,1021.9,"PSEI"
"01-01-2012",2,995.0,1087.9,"PSEI"
"01-01-2012",3,996.0,1096.1,"PSEI"
"01-01-2012",4,995.0,1095.3,"PSEI"
"01-01-2012",5,985.0,1091.0,"PSEI"
"01-01-2012",6,818.0,897.5,"PSEI"
"01-01-2012",7,818.0,909.5,"PSEI"
"01-01-2012",8,895.0,984.9,"PSEI"
"01-01-2012",9,995.0,1101.3000000000002,"PSEI"
"01-01-2012",10,996.0,1103.3,"PSEI"
"01-01-2012",11,989.0,1090.0,"PSEI"
"01-01-2012",12,797.0,892.2,"PSEI"
"01-01-2012",13,795.0,896.3,"PSEI"
"01-01-2012",14,797.0,903.0999999999999,"PSEI"
"01-01-2012",15,829.0,935.7,"PSEI"
"01-01-2012",16,1005.0,1105.6999999999998,"PSEI"
"01-01-2012",17,993.0,1107.6,"PSEI"
"01-01-2012",18,993.0,1097.5,"PSEI"
"01-01-2012",19,992.0,1088.9,"PSEI"
"01-01-2012",20,991.0,1098.4,"PSEI"
"01-01-2012",21,992.0,1095.3000000000002,"PSEI"
"01-01-2012",22,994.0,1092.2,"PSEI"
"01-01-2012",23,993.0,1094.3,"PSEI"
"01-02-2012",0,993.0,1087.0,"PSEI"
"01-02-2012",1,993.0,1095.0,"PSEI"
"01-02-2012",2,993.0,1094.0,"PSEI"
"01-02-2012",3,994.0,1093.6,"PSEI"
"01-02-2012",4,994.0,1097.9,"PSEI"
"01-02-2012",5,997.0,1088.4,"PSEI"
"01-02-2012",6,993.0,1086.3,"PSEI"
"01-02-2012",7,992.0,1087.6,"PSEI"
"01-02-2012",8,994.0,1101.9,"PSEI"
"01-02-2012",9,1020.0,1116.4,"PSEI"
"01-02-2012",10,1064.0,1163.4,"PSEI"
"01-02-2012",11,1133.0,1247.6999999999998,"PSEI"
"01-02-2012",12,1048.0,1153.9,"PSEI"
"01-02-2012",13,994.0,1100.9,"PSEI"
"01-02-2012",14,993.0,1105.6999999999998,"PSEI"
"01-02-2012",15,998.0,1114.2,"PSEI"
"01-02-2012",16,1128.0,1257.0,"PSEI"
"01-02-2012",17,1382.0,1514.5,"PSEI"
"01-02-2012",18,1262.0,1374.4,"PSEI"
"01-02-2012",19,1276.0,1394.0,"PSEI"
"01-02-2012",20,1341.0,1459.3,"PSEI"
"01-02-2012",21,1051.0,1151.6,"PSEI"
"01-02-2012",22,987.0,1079.9,"PSEI"
"01-02-2012",23,822.0,908.3,"PSEI"
"01-03-2012",0,668.0,758.7,"PSEI"
"01-03-2012",1,669.0,764.1,"PSEI"
"01-03-2012",2,668.0,760.3,"PSEI"
"01-03-2012",3,668.0,759.2,"PSEI"
"01-03-2012",4,668.0,760.8,"PSEI"
"01-03-2012",5,702.0,790.8,"PSEI"
"01-03-2012",6,988.0,1106.8,"PSEI"
"01-03-2012",7,992.0,1103.6,"PSEI"
"01-03-2012",8,1002.0,1126.184,"PSEI"
"01-03-2012",9,1056.0,1165.9,"PSEI"
"01-03-2012",10,1116.0,1159.0000000000002,"PSEI"
"01-03-2012",11,1136.0,1105.5,"PSEI"
"01-03-2012",12,1141.0,1110.1000000000001,"PSEI"
"01-03-2012",13,1071.0,1029.8999999999999,"PSEI"
"01-03-2012",14,1105.0,1065.6,"PSEI"
"01-03-2012",15,1082.0,1034.6,"PSEI"
"01-03-2012",16,1318.0,1293.4999999999998,"PSEI"
"01-03-2012",17,1374.0,1347.2,"PSEI"
"01-03-2012",18,1248.0,1198.8000000000002,"PSEI"
"01-03-2012",19,1238.0,1204.7,"PSEI"
"01-03-2012",20,1151.0,1139.072,"PSEI"
"01-03-2012",21,883.0,986.3,"PSEI"
"01-03-2012",22,669.0,771.2,"PSEI"
"01-03-2012",23,667.0,772.6,"PSEI"
"01-04-2012",0,668.0,773.8,"PSEI"
"01-04-2012",1,669.0,771.4,"PSEI"
"01-04-2012",2,666.0,766.1,"PSEI"
"01-04-2012",3,666.0,765.0999999999999,"PSEI"
"01-04-2012",4,666.0,770.2,"PSEI"
"01-04-2012",5,667.0,767.1,"PSEI"
"01-04-2012",6,666.0,771.2,"PSEI"
"01-04-2012",7,666.0,776.5999999999999,"PSEI"
"01-04-2012",8,666.0,772.3,"PSEI"
"01-04-2012",9,666.0,771.4,"PSEI"
"01-04-2012",10,668.0,773.0,"PSEI"
"01-04-2012",11,668.0,775.8,"PSEI"
"01-04-2012",12,669.0,766.6,"PSEI"
"01-04-2012",13,668.0,767.4000000000001,"PSEI"
"01-04-2012",14,667.0,772.2,"PSEI"
"01-04-2012",15,667.0,759.5,"PSEI"
"01-04-2012",16,663.0,765.5999999999999,"PSEI"
"01-04-2012",17,674.0,782.7,"PSEI"
"01-04-2012",18,923.0,1032.8,"PSEI"
"01-04-2012",19,755.0,855.5999999999999,"PSEI"
"01-04-2012",20,642.0,701.992,"PSEI"
"01-04-2012",21,572.0,633.9,"PSEI"
"01-04-2012",22,466.0,514.6,"PSEI"
"01-04-2012",23,383.0,434.6,"PSEI"
"01-05-2012",0,390.0,440.4,"PSEI"
"01-05-2012",1,350.0,397.8,"PSEI"
"01-05-2012",2,439.0,488.7,"PSEI"
"01-05-2012",3,358.0,408.4,"PSEI"
"01-05-2012",4,446.0,498.6,"PSEI"
"01-05-2012",5,443.0,493.5,"PSEI"
"01-05-2012",6,438.0,487.6,"PSEI"
"01-05-2012",7,331.0,386.1,"PSEI"
"01-05-2012",8,389.0,424.72,"PSEI"
"01-05-2012",9,388.0,418.075,"PSEI"
"01-05-2012",10,333.0,387.5,"PSEI"
"01-05-2012",11,333.0,385.9,"PSEI"
"01-05-2012",12,332.0,386.2,"PSEI"
"01-05-2012",13,331.0,383.5,"PSEI"
"01-05-2012",14,331.0,389.7,"PSEI"
"01-05-2012",15,332.0,383.9,"PSEI"
"01-05-2012",16,335.0,396.7,"PSEI"
"01-05-2012",17,440.0,491.4,"PSEI"
"01-05-2012",18,534.0,583.9,"PSEI"
"01-05-2012",19,477.0,523.2,"PSEI"
"01-05-2012",20,506.0,553.1,"PSEI"
"01-05-2012",21,381.0,424.5,"PSEI"
"01-05-2012",22,510.0,552.5,"PSEI"
"01-05-2012",23,443.0,482.3,"PSEI"
"01-06-2012",0,339.0,382.2,"PSEI"
"01-06-2012",1,332.0,387.1,"PSEI"
"01-06-2012",2,333.0,386.8,"PSEI"
"01-06-2012",3,333.0,394.9,"PSEI"
"01-06-2012",4,345.0,413.832,"PSEI"
"01-06-2012",5,400.0,451.7,"PSEI"
"01-06-2012",6,512.0,497.8,"PSEI"
"01-06-2012",7,564.0,496.5,"PSEI"
"01-06-2012",8,591.0,516.1,"PSEI"
"01-06-2012",9,714.0,618.6,"PSEI"
"01-06-2012",10,791.0,689.0,"PSEI"
"01-06-2012",11,701.0,675.5,"PSEI"
"01-06-2012",12,847.0,813.2,"PSEI"
"01-06-2012",13,829.0,790.6999999999999,"PSEI"
"01-06-2012",14,736.0,689.5,"PSEI"
"01-06-2012",15,876.0,838.2,"PSEI"
"01-06-2012",16,907.0,830.1999999999999,"PSEI"
"01-06-2012",17,962.0,872.6,"PSEI"
"01-06-2012",18,684.0,562.2,"PSEI"
"01-06-2012",19,545.0,463.993,"PSEI"
"01-06-2012",20,329.0,386.5,"PSEI"
"01-06-2012",21,334.0,380.4,"PSEI"
"01-06-2012",22,370.0,410.7,"PSEI"
"01-06-2012",23,370.0,419.7,"PSEI"
"01-07-2012",0,372.0,415.3,"PSEI"
"01-07-2012",1,372.0,415.0,"PSEI"
"01-07-2012",2,372.0,415.5,"PSEI"
"01-07-2012",3,372.0,416.6,"PSEI"
"01-07-2012",4,371.0,415.6,"PSEI"
"01-07-2012",5,351.0,395.8,"PSEI"
"01-07-2012",6,341.0,396.805,"PSEI"
"01-07-2012",7,406.0,446.90000000000003,"PSEI"
"01-07-2012",8,577.0,495.6,"PSEI"
"01-07-2012",9,584.0,497.09999999999997,"PSEI"
"01-07-2012",10,577.0,493.2,"PSEI"
"01-07-2012",11,491.0,461.7,"PSEI"
"01-07-2012",12,493.0,461.40000000000003,"PSEI"
"01-07-2012",13,492.0,461.1,"PSEI"
"01-07-2012",14,493.0,463.70000000000005,"PSEI"
"01-07-2012",15,500.0,467.70000000000005,"PSEI"
"01-07-2012",16,549.0,478.0,"PSEI"
"01-07-2012",17,587.0,492.7,"PSEI"
"01-07-2012",18,585.0,490.5,"PSEI"
"01-07-2012",19,549.0,468.158,"PSEI"
"01-07-2012",20,332.0,378.5,"PSEI"
"01-07-2012",21,332.0,378.7,"PSEI"
"01-07-2012",22,332.0,378.1,"PSEI"
"01-07-2012",23,332.0,377.8,"PSEI"
"01-08-2012",0,332.0,377.6,"PSEI"
"01-08-2012",1,336.0,381.08000000000004,"PSEI"
"01-08-2012",2,372.0,404.675,"PSEI"
"01-08-2012",3,400.0,406.872,"PSEI"
"01-08-2012",4,384.0,412.3,"PSEI"
"01-08-2012",5,408.0,425.082,"PSEI"
"01-08-2012",6,412.0,448.87500000000006,"PSEI"
"01-08-2012",7,472.0,498.20000000000005,"PSEI"
"01-08-2012",8,644.0,545.8000000000001,"PSEI"
"01-08-2012",9,649.0,545.3000000000001,"PSEI"
"01-08-2012",10,658.0,543.4000000000001,"PSEI"
"01-08-2012",11,662.0,549.2,"PSEI"
"01-08-2012",12,631.0,515.1500000000001,"PSEI"
"01-08-2012",13,584.0,493.7,"PSEI"
"01-08-2012",14,536.0,467.77000000000004,"PSEI"
"01-08-2012",15,330.0,381.1,"PSEI"
"01-08-2012",16,337.0,387.9,"PSEI"
"01-08-2012",17,477.0,531.0,"PSEI"
"01-08-2012",18,503.0,563.1,"PSEI"
"01-08-2012",19,624.0,681.0,"PSEI"
"01-08-2012",20,500.0,542.3,"PSEI"
"01-08-2012",21,368.0,418.6,"PSEI"
"01-08-2012",22,335.0,389.3,"PSEI"
"01-08-2012",23,334.0,387.7,"PSEI"
"01-09-2012",0,333.0,388.2,"PSEI"
"01-09-2012",1,333.0,388.6,"PSEI"
"01-09-2012",2,333.0,392.8,"PSEI"
"01-09-2012",3,343.0,403.395,"PSEI"
"01-09-2012",4,391.0,454.2,"PSEI"
"01-09-2012",5,666.0,644.5999999999999,"PSEI"
"01-09-2012",6,782.0,694.51,"PSEI"
"01-09-2012",7,954.0,884.44,"PSEI"
"01-09-2012",8,966.0,890.748,"PSEI"
"01-09-2012",9,857.0,762.4000000000001,"PSEI"
"01-09-2012",10,712.0,689.098,"PSEI"
"01-09-2012",11,570.0,694.8,"PSEI"
"01-09-2012",12,561.0,680.2,"PSEI"
"01-09-2012",13,566.0,682.9250000000001,"PSEI"
"01-09-2012",14,562.0,686.9000000000001,"PSEI"
"01-09-2012",15,576.0,690.5,"PSEI"
"01-09-2012",16,803.0,875.6,"PSEI"
"01-09-2012",17,1006.0,1061.8,"PSEI"
"01-09-2012",18,1003.0,1047.2,"PSEI"
"01-09-2012",19,949.0,1031.0249999999999,"PSEI"
"01-09-2012",20,770.0,992.8,"PSEI"
"01-09-2012",21,692.0,889.6,"PSEI"
"01-09-2012",22,695.0,890.944,"PSEI"
"01-09-2012",23,563.0,758.9,"PSEI"
"01-10-2012",0,542.0,716.0,"PSEI"
"01-10-2012",1,530.0,700.9,"PSEI"
"01-10-2012",2,541.0,702.6,"PSEI"
"01-10-2012",3,554.0,709.8,"PSEI"
"01-10-2012",4,676.0,843.165,"PSEI"
"01-10-2012",5,911.0,1050.919,"PSEI"
"01-10-2012",6,1183.0,1157.1000000000001,"PSEI"
"01-10-2012",7,1538.0,1470.3999999999999,"PSEI"
"01-10-2012",8,1743.0,1566.0,"PSEI"
"01-10-2012",9,1673.0,1478.3,"PSEI"
"01-10-2012",10,1622.0,1448.7999999999997,"PSEI"
"01-10-2012",11,1485.0,1415.0,"PSEI"
"01-10-2012",12,1465.0,1381.0,"PSEI"
"01-10-2012",13,1464.0,1387.1000000000001,"PSEI"
"01-10-2012",14,1411.0,1324.873,"PSEI"
"01-10-2012",15,1523.0,1411.121,"PSEI"
"01-10-2012",16,1787.0,1615.2749999999999,"PSEI"
"01-10-2012",17,1867.0,1645.6,"PSEI"
"01-10-2012",18,1873.0,1644.6,"PSEI"
"01-10-2012",19,1917.0,1695.4,"PSEI"
"01-10-2012",20,1301.0,1292.269,"PSEI"
"01-10-2012",21,938.0,999.1,"PSEI"
"01-10-2012",22,655.0,710.1,"PSEI"
"01-10-2012",23,616.0,651.3950000000001,"PSEI"
"01-11-2012",0,567.0,642.5999999999999,"PSEI"
"01-11-2012",1,566.0,641.8,"PSEI"
"01-11-2012",2,569.0,646.3,"PSEI"
"01-11-2012",3,694.0,772.6,"PSEI"
"01-11-2012",4,999.0,1088.6950000000002,"PSEI"
"01-11-2012",5,1370.0,1469.765,"PSEI"
"01-11-2012",6,1703.0,1686.3,"PSEI"
"01-11-2012",7,1888.0,1686.0,"PSEI"
"01-11-2012",8,1999.0,1764.99,"PSEI"
"01-11-2012",9,1939.0,1736.9,"PSEI"
"01-11-2012",10,1840.0,1686.5,"PSEI"
"01-11-2012",11,1730.0,1650.7999999999997,"PSEI"
"01-11-2012",12,1733.0,1653.7999999999997,"PSEI"
"01-11-2012",13,1736.0,1674.5,"PSEI"
"01-11-2012",14,1735.0,1661.2,"PSEI"
"01-11-2012",15,1793.0,1729.4819999999997,"PSEI"
"01-11-2012",16,1993.0,1804.3459999999998,"PSEI"
"01-11-2012",17,2069.0,1823.0020000000002,"PSEI"
"01-11-2012",18,2099.0,1884.9539999999997,"PSEI"
"01-11-2012",19,2078.0,1887.16,"PSEI"
"01-11-2012",20,1707.0,1674.4049999999997,"PSEI"
"01-11-2012",21,1538.0,1584.8999999999999,"PSEI"
"01-11-2012",22,1308.0,1299.7999999999997,"PSEI"
"01-11-2012",23,1051.0,986.892,"PSEI"
"01-12-2012",0,813.0,759.1999999999999,"PSEI"
"01-12-2012",1,792.0,752.8,"PSEI"
"01-12-2012",2,786.0,756.7,"PSEI"
"01-12-2012",3,846.0,815.1999999999999,"PSEI"
"01-12-2012",4,1103.0,1094.892,"PSEI"
"01-12-2012",5,1427.0,1408.669,"PSEI"
"01-12-2012",6,1930.0,1809.2000000000003,"PSEI"
"01-12-2012",7,2174.0,1884.005,"PSEI"
"01-12-2012",8,2218.0,1893.1,"PSEI"
"01-12-2012",9,2198.0,1871.57,"PSEI"
"01-12-2012",10,2048.0,1823.0000000000002,"PSEI"
"01-12-2012",11,1957.0,1774.6,"PSEI"
"01-12-2012",12,1977.0,1770.3,"PSEI"
"01-12-2012",13,1924.0,1692.4,"PSEI"
"01-12-2012",14,1895.0,1688.5000000000002,"PSEI"
"01-12-2012",15,1937.0,1723.3000000000002,"PSEI"
"01-12-2012",16,2137.0,1844.7,"PSEI"
"01-12-2012",17,2202.0,1861.3000000000002,"PSEI"
"01-12-2012",18,2192.0,1862.8999999999996,"PSEI"
"01-12-2012",19,2176.0,1845.3,"PSEI"
"01-12-2012",20,1904.0,1748.516,"PSEI"
"01-12-2012",21,1769.0,1644.9,"PSEI"
"01-12-2012",22,1479.0,1355.1000000000001,"PSEI"
"01-12-2012",23,1296.0,1149.0,"PSEI"
"01-13-2012",0,1077.0,942.1439999999999,"PSEI"
"01-13-2012",1,1158.0,1011.4999999999999,"PSEI"
"01-13-2012",2,1158.0,1007.1,"PSEI"
"01-13-2012",3,1188.0,1043.8,"PSEI"
"01-13-2012",4,1438.0,1315.4,"PSEI"
"01-13-2012",5,1758.0,1615.5320000000002,"PSEI"
"01-13-2012",6,1981.0,1783.8999999999999,"PSEI"
"01-13-2012",7,2149.0,1830.3,"PSEI"
"01-13-2012",8,2189.0,1846.9,"PSEI"
"01-13-2012",9,2180.0,1840.8,"PSEI"
"01-13-2012",10,2084.0,1796.6000000000001,"PSEI"
"01-13-2012",11,1982.0,1765.8999999999999,"PSEI"
"01-13-2012",12,1967.0,1768.3000000000002,"PSEI"
"01-13-2012",13,1757.0,1555.6000000000001,"PSEI"
"01-13-2012",14,1806.0,1620.4999999999998,"PSEI"
"01-13-2012",15,1808.0,1617.6999999999998,"PSEI"
"01-13-2012",16,1833.0,1629.0,"PSEI"
"01-13-2012",17,2126.0,1845.0,"PSEI"
"01-13-2012",18,2175.0,1848.9,"PSEI"
"01-13-2012",19,1866.0,1695.405,"PSEI"
"01-13-2012",20,1439.0,1392.9,"PSEI"
"01-13-2012",21,1381.0,1329.5,"PSEI"
"01-13-2012",22,1095.0,1029.7,"PSEI"
"01-13-2012",23,877.0,813.1,"PSEI"
"01-14-2012",0,741.0,763.0840000000001,"PSEI"
"01-14-2012",1,612.0,707.2,"PSEI"
"01-14-2012",2,566.0,646.8,"PSEI"
"01-14-2012",3,565.0,651.5999999999999,"PSEI"
"01-14-2012",4,564.0,652.8,"PSEI"
"01-14-2012",5,575.0,669.66,"PSEI"
"01-14-2012",6,628.0,717.3,"PSEI"
"01-14-2012",7,803.0,771.2,"PSEI"
"01-14-2012",8,822.0,774.1000000000001,"PSEI"
"01-14-2012",9,813.0,774.5,"PSEI"
"01-14-2012",10,778.0,761.9,"PSEI"
"01-14-2012",11,725.0,742.4000000000001,"PSEI"
"01-14-2012",12,726.0,738.8,"PSEI"
"01-14-2012",13,725.0,738.0,"PSEI"
"01-14-2012",14,727.0,736.4000000000001,"PSEI"
"01-14-2012",15,742.0,754.465,"PSEI"
"01-14-2012",16,781.0,781.265,"PSEI"
"01-14-2012",17,875.0,819.488,"PSEI"
"01-14-2012",18,938.0,856.0999999999999,"PSEI"
"01-14-2012",19,905.0,832.6899999999999,"PSEI"
"01-14-2012",20,687.0,743.8000000000001,"PSEI"
"01-14-2012",21,685.0,742.2000000000002,"PSEI"
"01-14-2012",22,685.0,742.1000000000001,"PSEI"
"01-14-2012",23,686.0,742.6,"PSEI"
"01-15-2012",0,685.0,743.7,"PSEI"
"01-15-2012",1,685.0,745.5999999999999,"PSEI"
"01-15-2012",2,685.0,748.0,"PSEI"
"01-15-2012",3,685.0,740.6,"PSEI"
"01-15-2012",4,686.0,739.3000000000002,"PSEI"
"01-15-2012",5,698.0,755.3140000000001,"PSEI"
"01-15-2012",6,758.0,802.7000000000002,"PSEI"
"01-15-2012",7,926.0,857.3,"PSEI"
"01-15-2012",8,944.0,864.4000000000001,"PSEI"
"01-15-2012",9,947.0,859.5,"PSEI"
"01-15-2012",10,1057.0,999.2,"PSEI"
"01-15-2012",11,1039.0,1008.7,"PSEI"
"01-15-2012",12,1017.0,995.8000000000001,"PSEI"
"01-15-2012",13,1025.0,1000.5000000000001,"PSEI"
"01-15-2012",14,1022.0,993.5,"PSEI"
"01-15-2012",15,975.0,936.6,"PSEI"
"01-15-2012",16,1068.0,1033.7,"PSEI"
"01-15-2012",17,1259.0,1194.8000000000002,"PSEI"
"01-15-2012",18,1319.0,1232.3,"PSEI"
"01-15-2012",19,1286.0,1189.0999999999997,"PSEI"
"01-15-2012",20,1168.0,1084.0230000000001,"PSEI"
"01-15-2012",21,883.0,936.0,"PSEI"
"01-15-2012",22,686.0,731.2,"PSEI"
"01-15-2012",23,687.0,742.8999999999999,"PSEI"
"01-16-2012",0,637.0,717.2,"PSEI"
"01-16-2012",1,662.0,740.2,"PSEI"
"01-16-2012",2,634.0,711.9,"PSEI"
"01-16-2012",3,638.0,717.7,"PSEI"
"01-16-2012",4,801.0,890.48,"PSEI"
"01-16-2012",5,1149.0,1236.8,"PSEI"
"01-16-2012",6,1616.0,1575.5,"PSEI"
"01-16-2012",7,1619.0,1562.3999999999999,"PSEI"
