"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,954.0,652.5,"SCEG"
"01-01-2012",1,980.0,674.2,"SCEG"
"01-01-2012",2,992.0,693.0999999999999,"SCEG"
"01-01-2012",3,985.0,695.0999999999999,"SCEG"
"01-01-2012",4,992.0,702.0999999999999,"SCEG"
"01-01-2012",5,996.0,706.3,"SCEG"
"01-01-2012",6,1002.0,704.4000000000001,"SCEG"
"01-01-2012",7,1046.0,745.2299999999999,"SCEG"
"01-01-2012",8,1127.0,835.5249999999999,"SCEG"
"01-01-2012",9,1053.0,751.6,"SCEG"
"01-01-2012",10,1057.0,795.4279999999999,"SCEG"
"01-01-2012",11,966.0,735.798,"SCEG"
"01-01-2012",12,936.0,687.9,"SCEG"
"01-01-2012",13,915.0,647.0579999999999,"SCEG"
"01-01-2012",14,862.0,645.7,"SCEG"
"01-01-2012",15,796.0,615.872,"SCEG"
"01-01-2012",16,785.0,604.6,"SCEG"
"01-01-2012",17,805.0,606.1999999999999,"SCEG"
"01-01-2012",18,799.0,605.5999999999999,"SCEG"
"01-01-2012",19,792.0,600.8,"SCEG"
"01-01-2012",20,796.0,602.1999999999999,"SCEG"
"01-01-2012",21,780.0,605.4,"SCEG"
"01-01-2012",22,772.0,608.4119999999999,"SCEG"
"01-01-2012",23,787.0,610.3,"SCEG"
"01-02-2012",0,788.0,612.6659999999999,"SCEG"
"01-02-2012",1,778.0,612.0999999999999,"SCEG"
"01-02-2012",2,791.0,620.6999999999999,"SCEG"
"01-02-2012",3,815.0,642.1999999999999,"SCEG"
"01-02-2012",4,825.0,646.2999999999998,"SCEG"
"01-02-2012",5,825.0,639.4999999999999,"SCEG"
"01-02-2012",6,875.0,662.8,"SCEG"
"01-02-2012",7,935.0,672.1999999999999,"SCEG"
"01-02-2012",8,1054.0,760.4,"SCEG"
"01-02-2012",9,1145.0,855.0000000000001,"SCEG"
"01-02-2012",10,1158.0,861.1,"SCEG"
"01-02-2012",11,1093.0,865.0,"SCEG"
"01-02-2012",12,1054.0,849.5,"SCEG"
"01-02-2012",13,1061.0,848.825,"SCEG"
"01-02-2012",14,1074.0,874.6,"SCEG"
"01-02-2012",15,1111.0,926.7,"SCEG"
"01-02-2012",16,1104.0,925.4,"SCEG"
"01-02-2012",17,1163.0,947.3,"SCEG"
"01-02-2012",18,1392.0,1085.6,"SCEG"
"01-02-2012",19,1420.0,1092.4,"SCEG"
"01-02-2012",20,1416.0,1075.83,"SCEG"
"01-02-2012",21,1378.0,1105.2,"SCEG"
"01-02-2012",22,1365.0,1101.8,"SCEG"
"01-02-2012",23,1297.0,1043.6,"SCEG"
"01-03-2012",0,1284.0,1034.1000000000001,"SCEG"
"01-03-2012",1,1369.0,1082.1,"SCEG"
"01-03-2012",2,1439.0,1113.0,"SCEG"
"01-03-2012",3,1491.0,1136.4,"SCEG"
"01-03-2012",4,1496.0,1137.0,"SCEG"
"01-03-2012",5,1698.0,1190.8,"SCEG"
"01-03-2012",6,1901.0,1311.0,"SCEG"
"01-03-2012",7,1913.0,1313.7,"SCEG"
