"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,2340.0,2360.5,"SC"
"01-01-2012",1,2337.0,2365.7,"SC"
"01-01-2012",2,2453.0,2481.8999999999996,"SC"
"01-01-2012",3,2556.0,2595.5,"SC"
"01-01-2012",4,2570.0,2504.9,"SC"
"01-01-2012",5,2640.0,2669.7999999999997,"SC"
"01-01-2012",6,2733.0,2738.7999999999997,"SC"
"01-01-2012",7,2746.0,2743.9,"SC"
"01-01-2012",8,2759.0,2745.7000000000003,"SC"
"01-01-2012",9,2735.0,2736.0000000000005,"SC"
"01-01-2012",10,2595.0,2603.1,"SC"
"01-01-2012",11,2488.0,2480.5000000000005,"SC"
"01-01-2012",12,2386.0,2396.2,"SC"
"01-01-2012",13,2330.0,2366.6,"SC"
"01-01-2012",14,2230.0,2256.6,"SC"
"01-01-2012",15,2159.0,2181.492,"SC"
"01-01-2012",16,2157.0,2195.6,"SC"
"01-01-2012",17,2294.0,2330.4,"SC"
"01-01-2012",18,2453.0,2488.8999999999996,"SC"
"01-01-2012",19,2559.0,2584.3990000000003,"SC"
"01-01-2012",20,2516.0,2559.5,"SC"
"01-01-2012",21,2382.0,2440.2000000000003,"SC"
"01-01-2012",22,2211.0,2255.6000000000004,"SC"
"01-01-2012",23,2027.0,2093.9,"SC"
"01-02-2012",0,1922.0,1986.8999999999996,"SC"
"01-02-2012",1,1867.0,1951.8,"SC"
"01-02-2012",2,1910.0,2003.9,"SC"
"01-02-2012",3,1930.0,2004.9999999999998,"SC"
"01-02-2012",4,2040.0,2080.6,"SC"
"01-02-2012",5,2283.0,2361.2,"SC"
"01-02-2012",6,2708.0,2757.3,"SC"
"01-02-2012",7,2859.0,2907.996,"SC"
"01-02-2012",8,2896.0,2917.8219999999997,"SC"
"01-02-2012",9,2979.0,3012.42,"SC"
"01-02-2012",10,2995.0,3036.3,"SC"
"01-02-2012",11,2907.0,2968.4000000000005,"SC"
"01-02-2012",12,2848.0,2893.6,"SC"
"01-02-2012",13,2810.0,2845.1,"SC"
"01-02-2012",14,2789.0,2817.6000000000004,"SC"
"01-02-2012",15,2648.0,2667.215,"SC"
"01-02-2012",16,2867.0,2892.16,"SC"
"01-02-2012",17,3146.0,3190.2,"SC"
"01-02-2012",18,3193.0,3231.7999999999993,"SC"
"01-02-2012",19,3271.0,3309.7000000000003,"SC"
"01-02-2012",20,3343.0,3392.7000000000003,"SC"
"01-02-2012",21,3368.0,3405.7000000000007,"SC"
"01-02-2012",22,3289.0,3338.3399999999997,"SC"
"01-02-2012",23,3360.0,3408.6,"SC"
"01-03-2012",0,3358.0,3414.9,"SC"
"01-03-2012",1,3445.0,3486.3999999999996,"SC"
"01-03-2012",2,3609.0,3654.2999999999993,"SC"
"01-03-2012",3,3817.0,3849.4,"SC"
"01-03-2012",4,3874.0,3793.7999999999997,"SC"
"01-03-2012",5,3902.0,3901.8,"SC"
"01-03-2012",6,3982.0,3981.7000000000003,"SC"
"01-03-2012",7,4051.0,4056.6000000000004,"SC"
"01-03-2012",8,4033.0,4023.6000000000004,"SC"
"01-03-2012",9,4129.0,4145.5,"SC"
"01-03-2012",10,4187.0,4218.400000000001,"SC"
"01-03-2012",11,4083.0,4105.6,"SC"
"01-03-2012",12,4025.0,4034.7999999999993,"SC"
"01-03-2012",13,3947.0,3935.1,"SC"
"01-03-2012",14,3854.0,3837.2999999999997,"SC"
"01-03-2012",15,3912.0,3904.0,"SC"
"01-03-2012",16,3943.0,3921.5000000000005,"SC"
"01-03-2012",17,4242.0,4240.1,"SC"
"01-03-2012",18,4477.0,4475.5,"SC"
"01-03-2012",19,4492.0,4491.9,"SC"
"01-03-2012",20,4488.0,4489.8,"SC"
"01-03-2012",21,4512.0,4507.6,"SC"
"01-03-2012",22,4515.0,4510.0,"SC"
"01-03-2012",23,4474.0,4471.500000000001,"SC"
"01-04-2012",0,4462.0,4454.3,"SC"
"01-04-2012",1,4511.0,4507.0,"SC"
"01-04-2012",2,4515.0,4505.1,"SC"
"01-04-2012",3,4512.0,4505.8,"SC"
"01-04-2012",4,4511.0,4401.3,"SC"
"01-04-2012",5,4503.0,4493.799999999999,"SC"
"01-04-2012",6,4501.0,4495.2,"SC"
"01-04-2012",7,4497.0,4484.800000000001,"SC"
"01-04-2012",8,4502.0,4461.199999999999,"SC"
"01-04-2012",9,4430.0,4400.2,"SC"
"01-04-2012",10,4244.0,4243.8,"SC"
"01-04-2012",11,3892.0,3881.4000000000005,"SC"
"01-04-2012",12,3749.0,3684.638,"SC"
"01-04-2012",13,3511.0,3501.3,"SC"
"01-04-2012",14,3307.0,3281.599999999999,"SC"
"01-04-2012",15,3253.0,3245.2999999999993,"SC"
"01-04-2012",16,3283.0,3262.6,"SC"
"01-04-2012",17,3664.0,3654.3000000000006,"SC"
"01-04-2012",18,4010.0,4015.7000000000003,"SC"
