"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,413.0,392.4,"SECI"
"01-01-2012",1,410.0,392.5,"SECI"
"01-01-2012",2,401.0,381.3,"SECI"
"01-01-2012",3,360.0,345.0,"SECI"
"01-01-2012",4,332.0,325.5,"SECI"
"01-01-2012",5,351.0,341.6,"SECI"
"01-01-2012",6,393.0,378.4,"SECI"
"01-01-2012",7,437.0,417.2,"SECI"
"01-01-2012",8,450.0,428.9,"SECI"
"01-01-2012",9,452.0,429.9,"SECI"
"01-01-2012",10,450.0,425.09999999999997,"SECI"
"01-01-2012",11,450.0,425.40000000000003,"SECI"
"01-01-2012",12,445.0,419.69999999999993,"SECI"
"01-01-2012",13,442.0,418.7,"SECI"
"01-01-2012",14,443.0,422.5,"SECI"
"01-01-2012",15,448.0,423.4,"SECI"
"01-01-2012",16,445.0,422.8,"SECI"
"01-01-2012",17,455.0,428.1,"SECI"
"01-01-2012",18,450.0,424.2,"SECI"
"01-01-2012",19,447.0,421.4,"SECI"
"01-01-2012",20,446.0,421.2,"SECI"
"01-01-2012",21,447.0,423.7,"SECI"
"01-01-2012",22,441.0,421.4,"SECI"
"01-01-2012",23,443.0,420.59999999999997,"SECI"
"01-02-2012",0,425.0,403.99999999999994,"SECI"
"01-02-2012",1,424.0,405.59999999999997,"SECI"
"01-02-2012",2,425.0,407.7,"SECI"
"01-02-2012",3,427.0,409.5,"SECI"
"01-02-2012",4,418.0,403.4,"SECI"
"01-02-2012",5,415.0,404.5,"SECI"
"01-02-2012",6,453.0,423.90000000000003,"SECI"
"01-02-2012",7,469.0,438.1,"SECI"
"01-02-2012",8,453.0,429.40000000000003,"SECI"
"01-02-2012",9,460.0,429.2,"SECI"
"01-02-2012",10,457.0,428.59999999999997,"SECI"
"01-02-2012",11,453.0,428.7,"SECI"
"01-02-2012",12,444.0,423.2,"SECI"
"01-02-2012",13,445.0,420.5,"SECI"
"01-02-2012",14,444.0,420.1,"SECI"
"01-02-2012",15,447.0,421.9,"SECI"
"01-02-2012",16,449.0,424.50000000000006,"SECI"
"01-02-2012",17,456.0,427.1,"SECI"
"01-02-2012",18,458.0,424.4,"SECI"
"01-02-2012",19,446.0,420.29999999999995,"SECI"
"01-02-2012",20,443.0,419.9,"SECI"
"01-02-2012",21,442.0,419.2,"SECI"
"01-02-2012",22,444.0,419.4,"SECI"
"01-02-2012",23,443.0,419.6,"SECI"
"01-03-2012",0,420.0,397.1,"SECI"
"01-03-2012",1,418.0,395.9,"SECI"
"01-03-2012",2,423.0,399.7,"SECI"
"01-03-2012",3,424.0,404.59999999999997,"SECI"
"01-03-2012",4,429.0,408.90000000000003,"SECI"
"01-03-2012",5,426.0,406.1,"SECI"
"01-03-2012",6,433.0,413.79999999999995,"SECI"
"01-03-2012",7,449.0,421.0,"SECI"
"01-03-2012",8,450.0,412.59999999999997,"SECI"
"01-03-2012",9,448.0,416.7,"SECI"
"01-03-2012",10,438.0,406.59999999999997,"SECI"
"01-03-2012",11,397.0,368.6,"SECI"
"01-03-2012",12,350.0,336.09999999999997,"SECI"
"01-03-2012",13,332.0,325.6,"SECI"
"01-03-2012",14,349.0,334.00000000000006,"SECI"
"01-03-2012",15,346.0,332.40000000000003,"SECI"
"01-03-2012",16,346.0,328.70000000000005,"SECI"
"01-03-2012",17,388.0,365.79999999999995,"SECI"
"01-03-2012",18,409.0,383.6,"SECI"
"01-03-2012",19,408.0,384.0,"SECI"
"01-03-2012",20,394.0,372.6,"SECI"
"01-03-2012",21,371.0,354.5,"SECI"
"01-03-2012",22,351.0,340.79999999999995,"SECI"
"01-03-2012",23,376.0,364.1,"SECI"
"01-04-2012",0,410.0,388.4,"SECI"
"01-04-2012",1,394.0,371.0,"SECI"
"01-04-2012",2,374.0,356.29999999999995,"SECI"
"01-04-2012",3,397.0,377.5,"SECI"
"01-04-2012",4,427.0,403.9,"SECI"
"01-04-2012",5,444.0,416.90000000000003,"SECI"
"01-04-2012",6,452.0,423.4,"SECI"
"01-04-2012",7,457.0,426.50000000000006,"SECI"
"01-04-2012",8,450.0,423.7,"SECI"
"01-04-2012",9,450.0,417.90000000000003,"SECI"
"01-04-2012",10,424.0,398.70000000000005,"SECI"
"01-04-2012",11,439.0,415.29999999999995,"SECI"
"01-04-2012",12,423.0,395.29999999999995,"SECI"
"01-04-2012",13,410.0,384.29999999999995,"SECI"
"01-04-2012",14,400.0,379.9,"SECI"
"01-04-2012",15,405.0,385.09999999999997,"SECI"
"01-04-2012",16,426.0,399.9,"SECI"
"01-04-2012",17,417.0,394.7,"SECI"
"01-04-2012",18,436.0,406.3,"SECI"
"01-04-2012",19,391.0,368.90000000000003,"SECI"
"01-04-2012",20,410.0,388.8,"SECI"
"01-04-2012",21,441.0,416.0,"SECI"
"01-04-2012",22,449.0,421.9,"SECI"
"01-04-2012",23,451.0,418.40000000000003,"SECI"
"01-05-2012",0,435.0,404.59999999999997,"SECI"
"01-05-2012",1,430.0,405.5,"SECI"
"01-05-2012",2,431.0,405.2,"SECI"
"01-05-2012",3,427.0,403.6,"SECI"
"01-05-2012",4,429.0,402.59999999999997,"SECI"
"01-05-2012",5,432.0,407.0,"SECI"
"01-05-2012",6,434.0,408.1,"SECI"
"01-05-2012",7,446.0,416.7,"SECI"
"01-05-2012",8,437.0,406.4,"SECI"
"01-05-2012",9,432.0,401.7,"SECI"
"01-05-2012",10,428.0,399.59999999999997,"SECI"
"01-05-2012",11,423.0,397.3,"SECI"
"01-05-2012",12,427.0,399.8,"SECI"
"01-05-2012",13,445.0,413.29999999999995,"SECI"
"01-05-2012",14,443.0,412.5,"SECI"
"01-05-2012",15,449.0,419.0,"SECI"
"01-05-2012",16,442.0,414.09999999999997,"SECI"
"01-05-2012",17,444.0,411.6,"SECI"
"01-05-2012",18,449.0,416.2,"SECI"
"01-05-2012",19,448.0,413.8,"SECI"
"01-05-2012",20,442.0,414.3,"SECI"
"01-05-2012",21,445.0,414.2,"SECI"
"01-05-2012",22,448.0,413.7,"SECI"
"01-05-2012",23,446.0,409.99999999999994,"SECI"
"01-06-2012",0,431.0,400.8,"SECI"
"01-06-2012",1,429.0,400.7,"SECI"
"01-06-2012",2,429.0,401.59999999999997,"SECI"
"01-06-2012",3,429.0,400.20000000000005,"SECI"
"01-06-2012",4,431.0,396.1,"SECI"
"01-06-2012",5,401.0,365.0,"SECI"
"01-06-2012",6,367.0,343.7,"SECI"
"01-06-2012",7,368.0,346.7,"SECI"
"01-06-2012",8,401.0,372.09999999999997,"SECI"
"01-06-2012",9,420.0,393.79999999999995,"SECI"
"01-06-2012",10,385.0,357.1,"SECI"
"01-06-2012",11,396.0,372.1,"SECI"
"01-06-2012",12,386.0,354.5,"SECI"
"01-06-2012",13,404.0,379.1,"SECI"
"01-06-2012",14,403.0,376.8,"SECI"
"01-06-2012",15,373.0,355.0,"SECI"
"01-06-2012",16,383.0,362.99999999999994,"SECI"
"01-06-2012",17,361.0,351.6,"SECI"
"01-06-2012",18,399.0,378.4,"SECI"
"01-06-2012",19,439.0,413.4,"SECI"
"01-06-2012",20,447.0,420.0,"SECI"
"01-06-2012",21,452.0,423.9,"SECI"
"01-06-2012",22,444.0,417.80000000000007,"SECI"
"01-06-2012",23,411.0,389.90000000000003,"SECI"
"01-07-2012",0,381.0,366.4,"SECI"
"01-07-2012",1,357.0,350.49999999999994,"SECI"
"01-07-2012",2,360.0,351.8,"SECI"
"01-07-2012",3,344.0,340.40000000000003,"SECI"
"01-07-2012",4,333.0,329.8,"SECI"
"01-07-2012",5,359.0,350.59999999999997,"SECI"
"01-07-2012",6,408.0,378.50000000000006,"SECI"
"01-07-2012",7,416.0,384.0,"SECI"
"01-07-2012",8,407.0,379.3,"SECI"
"01-07-2012",9,385.0,367.09999999999997,"SECI"
"01-07-2012",10,377.0,361.0,"SECI"
"01-07-2012",11,346.0,332.40000000000003,"SECI"
"01-07-2012",12,320.0,309.0,"SECI"
"01-07-2012",13,309.0,301.2,"SECI"
"01-07-2012",14,322.0,315.7,"SECI"
"01-07-2012",15,347.0,337.6,"SECI"
"01-07-2012",16,369.0,356.6,"SECI"
"01-07-2012",17,391.0,372.0,"SECI"
"01-07-2012",18,412.0,395.59999999999997,"SECI"
"01-07-2012",19,427.0,407.6,"SECI"
"01-07-2012",20,428.0,408.20000000000005,"SECI"
"01-07-2012",21,428.0,407.6,"SECI"
"01-07-2012",22,428.0,406.9,"SECI"
"01-07-2012",23,426.0,407.0,"SECI"
"01-08-2012",0,423.0,402.2,"SECI"
"01-08-2012",1,425.0,405.8,"SECI"
"01-08-2012",2,408.0,390.4,"SECI"
"01-08-2012",3,384.0,373.3,"SECI"
"01-08-2012",4,415.0,394.2,"SECI"
"01-08-2012",5,407.0,384.9,"SECI"
"01-08-2012",6,407.0,388.0,"SECI"
"01-08-2012",7,394.0,376.8,"SECI"
