"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,734.0,471.1,"SPPC"
"01-01-2012",1,709.0,458.6,"SPPC"
"01-01-2012",2,690.0,438.1,"SPPC"
"01-01-2012",3,662.0,430.09999999999997,"SPPC"
"01-01-2012",4,674.0,434.8,"SPPC"
"01-01-2012",5,686.0,436.6,"SPPC"
"01-01-2012",6,708.0,448.0,"SPPC"
"01-01-2012",7,666.0,433.29999999999995,"SPPC"
"01-01-2012",8,713.0,451.50000000000006,"SPPC"
"01-01-2012",9,683.0,457.80000000000007,"SPPC"
"01-01-2012",10,696.0,466.20000000000005,"SPPC"
"01-01-2012",11,690.0,466.0,"SPPC"
"01-01-2012",12,689.0,468.70000000000005,"SPPC"
"01-01-2012",13,681.0,464.80000000000007,"SPPC"
"01-01-2012",14,678.0,466.59999999999997,"SPPC"
"01-01-2012",15,688.0,477.2,"SPPC"
"01-01-2012",16,783.0,511.79999999999995,"SPPC"
"01-01-2012",17,802.0,545.0,"SPPC"
"01-01-2012",18,858.0,563.5,"SPPC"
"01-01-2012",19,887.0,579.5999999999999,"SPPC"
"01-01-2012",20,768.0,447.408,"SPPC"
"01-01-2012",21,743.0,422.79499999999996,"SPPC"
"01-01-2012",22,729.0,428.51200000000006,"SPPC"
"01-01-2012",23,674.0,401.70000000000005,"SPPC"
"01-02-2012",0,612.0,353.7,"SPPC"
"01-02-2012",1,540.0,314.7,"SPPC"
"01-02-2012",2,530.0,310.7,"SPPC"
"01-02-2012",3,529.0,310.7,"SPPC"
"01-02-2012",4,543.0,312.33000000000004,"SPPC"
"01-02-2012",5,576.0,335.0,"SPPC"
"01-02-2012",6,709.0,403.852,"SPPC"
"01-02-2012",7,726.0,433.5,"SPPC"
"01-02-2012",8,691.0,422.5,"SPPC"
"01-02-2012",9,687.0,403.6,"SPPC"
"01-02-2012",10,675.0,404.3,"SPPC"
"01-02-2012",11,662.0,398.3,"SPPC"
"01-02-2012",12,674.0,402.70000000000005,"SPPC"
"01-02-2012",13,680.0,405.9,"SPPC"
"01-02-2012",14,677.0,405.4,"SPPC"
"01-02-2012",15,655.0,395.9,"SPPC"
"01-02-2012",16,681.0,410.1,"SPPC"
"01-02-2012",17,706.0,421.6,"SPPC"
"01-02-2012",18,685.0,415.3,"SPPC"
"01-02-2012",19,667.0,411.59999999999997,"SPPC"
"01-02-2012",20,644.0,460.6,"SPPC"
"01-02-2012",21,660.0,479.5,"SPPC"
"01-02-2012",22,760.0,525.0,"SPPC"
"01-02-2012",23,706.0,478.0,"SPPC"
"01-03-2012",0,671.0,434.0,"SPPC"
"01-03-2012",1,653.0,423.9,"SPPC"
"01-03-2012",2,647.0,423.6,"SPPC"
"01-03-2012",3,648.0,424.0,"SPPC"
"01-03-2012",4,659.0,428.4,"SPPC"
"01-03-2012",5,710.0,454.4,"SPPC"
"01-03-2012",6,710.0,463.7,"SPPC"
"01-03-2012",7,751.0,509.29999999999995,"SPPC"
"01-03-2012",8,762.0,533.1,"SPPC"
"01-03-2012",9,772.0,532.3,"SPPC"
"01-03-2012",10,779.0,533.5,"SPPC"
"01-03-2012",11,776.0,533.6,"SPPC"
"01-03-2012",12,783.0,533.1,"SPPC"
"01-03-2012",13,785.0,534.4,"SPPC"
"01-03-2012",14,781.0,533.5,"SPPC"
"01-03-2012",15,772.0,528.2,"SPPC"
"01-03-2012",16,809.0,574.4,"SPPC"
"01-03-2012",17,891.0,623.9,"SPPC"
"01-03-2012",18,896.0,624.6,"SPPC"
"01-03-2012",19,872.0,615.2,"SPPC"
"01-03-2012",20,841.0,598.8,"SPPC"
"01-03-2012",21,799.0,552.5999999999999,"SPPC"
"01-03-2012",22,774.0,545.4,"SPPC"
"01-03-2012",23,704.0,464.9,"SPPC"
"01-04-2012",0,631.0,418.7,"SPPC"
"01-04-2012",1,612.0,413.8,"SPPC"
"01-04-2012",2,586.0,406.29999999999995,"SPPC"
"01-04-2012",3,599.0,410.6,"SPPC"
"01-04-2012",4,626.0,428.5,"SPPC"
"01-04-2012",5,669.0,465.6,"SPPC"
"01-04-2012",6,661.0,469.1,"SPPC"
"01-04-2012",7,732.0,504.2,"SPPC"
"01-04-2012",8,739.0,506.2,"SPPC"
"01-04-2012",9,739.0,506.9,"SPPC"
"01-04-2012",10,735.0,503.29999999999995,"SPPC"
"01-04-2012",11,724.0,497.5,"SPPC"
"01-04-2012",12,722.0,496.29999999999995,"SPPC"
"01-04-2012",13,732.0,500.3,"SPPC"
"01-04-2012",14,723.0,496.5,"SPPC"
"01-04-2012",15,724.0,495.80000000000007,"SPPC"
"01-04-2012",16,759.0,508.99999999999994,"SPPC"
"01-04-2012",17,836.0,556.0,"SPPC"
"01-04-2012",18,834.0,554.6,"SPPC"
"01-04-2012",19,810.0,548.64,"SPPC"
"01-04-2012",20,764.0,517.1,"SPPC"
"01-04-2012",21,733.0,503.90000000000003,"SPPC"
"01-04-2012",22,775.0,520.1,"SPPC"
"01-04-2012",23,680.0,463.5,"SPPC"
"01-05-2012",0,653.0,438.1,"SPPC"
"01-05-2012",1,633.0,426.9,"SPPC"
"01-05-2012",2,608.0,420.5,"SPPC"
"01-05-2012",3,615.0,431.5,"SPPC"
"01-05-2012",4,682.0,473.3,"SPPC"
"01-05-2012",5,726.0,505.4,"SPPC"
"01-05-2012",6,669.0,507.96799999999996,"SPPC"
"01-05-2012",7,700.0,520.5,"SPPC"
"01-05-2012",8,710.0,529.5,"SPPC"
"01-05-2012",9,717.0,530.7,"SPPC"
"01-05-2012",10,698.0,520.8240000000001,"SPPC"
"01-05-2012",11,756.0,554.0,"SPPC"
"01-05-2012",12,781.0,530.92,"SPPC"
"01-05-2012",13,782.0,523.2,"SPPC"
"01-05-2012",14,773.0,519.0,"SPPC"
"01-05-2012",15,771.0,519.6,"SPPC"
"01-05-2012",16,814.0,538.5,"SPPC"
"01-05-2012",17,895.0,594.3,"SPPC"
"01-05-2012",18,892.0,590.2,"SPPC"
"01-05-2012",19,880.0,613.5999999999999,"SPPC"
"01-05-2012",20,832.0,608.0,"SPPC"
"01-05-2012",21,777.0,550.3,"SPPC"
"01-05-2012",22,800.0,518.5999999999999,"SPPC"
"01-05-2012",23,743.0,475.09999999999997,"SPPC"
"01-06-2012",0,693.0,437.9,"SPPC"
"01-06-2012",1,651.0,422.9,"SPPC"
"01-06-2012",2,641.0,418.9,"SPPC"
"01-06-2012",3,650.0,423.90000000000003,"SPPC"
"01-06-2012",4,673.0,451.40000000000003,"SPPC"
"01-06-2012",5,720.0,485.09999999999997,"SPPC"
"01-06-2012",6,777.0,512.6,"SPPC"
"01-06-2012",7,804.0,522.0,"SPPC"
"01-06-2012",8,822.0,531.0,"SPPC"
"01-06-2012",9,823.0,558.7,"SPPC"
"01-06-2012",10,812.0,557.2,"SPPC"
"01-06-2012",11,806.0,552.1,"SPPC"
"01-06-2012",12,800.0,546.5,"SPPC"
"01-06-2012",13,814.0,555.2,"SPPC"
"01-06-2012",14,794.0,546.7,"SPPC"
"01-06-2012",15,786.0,541.7,"SPPC"
"01-06-2012",16,825.0,580.3,"SPPC"
"01-06-2012",17,889.0,616.6,"SPPC"
"01-06-2012",18,889.0,617.6,"SPPC"
"01-06-2012",19,858.0,605.9,"SPPC"
"01-06-2012",20,840.0,580.5,"SPPC"
"01-06-2012",21,800.0,563.2,"SPPC"
"01-06-2012",22,803.0,563.1,"SPPC"
"01-06-2012",23,756.0,528.5,"SPPC"
"01-07-2012",0,717.0,493.6,"SPPC"
"01-07-2012",1,696.0,469.59999999999997,"SPPC"
"01-07-2012",2,687.0,470.20000000000005,"SPPC"
"01-07-2012",3,685.0,469.7,"SPPC"
"01-07-2012",4,696.0,476.29999999999995,"SPPC"
"01-07-2012",5,714.0,496.8,"SPPC"
"01-07-2012",6,692.0,506.20000000000005,"SPPC"
"01-07-2012",7,714.0,513.1,"SPPC"
"01-07-2012",8,748.0,519.8,"SPPC"
"01-07-2012",9,769.0,523.5,"SPPC"
"01-07-2012",10,781.0,527.5999999999999,"SPPC"
