"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,1952.0,1729.1999999999998,"SPS"
"01-01-2012",1,1961.0,1718.9999999999998,"SPS"
"01-01-2012",2,1990.0,1744.4999999999998,"SPS"
"01-01-2012",3,1971.0,1724.9999999999998,"SPS"
"01-01-2012",4,2067.0,1816.1000000000004,"SPS"
"01-01-2012",5,2228.0,1972.5,"SPS"
"01-01-2012",6,2397.0,2096.1,"SPS"
"01-01-2012",7,2491.0,2105.1000000000004,"SPS"
"01-01-2012",8,2575.0,2145.7000000000003,"SPS"
"01-01-2012",9,2612.0,2130.4,"SPS"
"01-01-2012",10,2627.0,2129.8,"SPS"
"01-01-2012",11,2577.0,2101.8,"SPS"
"01-01-2012",12,2508.0,2076.1,"SPS"
"01-01-2012",13,2478.0,2054.8,"SPS"
"01-01-2012",14,2487.0,2045.6000000000001,"SPS"
"01-01-2012",15,2396.0,1926.606,"SPS"
"01-01-2012",16,2431.0,1950.1000000000001,"SPS"
"01-01-2012",17,2553.0,2007.8999999999999,"SPS"
"01-01-2012",18,2650.0,2068.9,"SPS"
"01-01-2012",19,2688.0,2090.6,"SPS"
"01-01-2012",20,2692.0,2156.8999999999996,"SPS"
"01-01-2012",21,2686.0,2135.5,"SPS"
"01-01-2012",22,2685.0,2143.2000000000003,"SPS"
"01-01-2012",23,2638.0,2127.9,"SPS"
"01-02-2012",0,2586.0,2108.2000000000003,"SPS"
"01-02-2012",1,2578.0,2101.7999999999997,"SPS"
"01-02-2012",2,2586.0,2107.0999999999995,"SPS"
"01-02-2012",3,2663.0,2147.2,"SPS"
"01-02-2012",4,2787.0,2222.5000000000005,"SPS"
"01-02-2012",5,2821.0,2243.0,"SPS"
"01-02-2012",6,2917.0,2291.5,"SPS"
"01-02-2012",7,2979.0,2320.2,"SPS"
"01-02-2012",8,3120.0,2390.3,"SPS"
"01-02-2012",9,3258.0,2471.3,"SPS"
"01-02-2012",10,3192.0,2434.7999999999997,"SPS"
"01-02-2012",11,2986.0,2304.5000000000005,"SPS"
"01-02-2012",12,2722.0,2161.7,"SPS"
"01-02-2012",13,2646.0,2130.8999999999996,"SPS"
"01-02-2012",14,2582.0,2102.2000000000003,"SPS"
"01-02-2012",15,2580.0,2105.9,"SPS"
"01-02-2012",16,2632.0,2129.8,"SPS"
"01-02-2012",17,2857.0,2250.0000000000005,"SPS"
"01-02-2012",18,3030.0,2345.9,"SPS"
"01-02-2012",19,2801.0,2209.2,"SPS"
"01-02-2012",20,2692.0,2158.0999999999995,"SPS"
