"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,4914.0,4658.401,"TVA"
"01-01-2012",1,4877.0,4639.0,"TVA"
"01-01-2012",2,4873.0,4623.699,"TVA"
"01-01-2012",3,4733.0,4477.700000000001,"TVA"
"01-01-2012",4,4660.0,4418.2,"TVA"
"01-01-2012",5,4660.0,4424.201,"TVA"
"01-01-2012",6,4486.0,4276.601,"TVA"
"01-01-2012",7,4408.0,4218.25,"TVA"
"01-01-2012",8,4518.0,4333.101,"TVA"
"01-01-2012",9,4564.0,4397.601,"TVA"
"01-01-2012",10,4580.0,4425.1,"TVA"
"01-01-2012",11,4589.0,4439.898999999999,"TVA"
"01-01-2012",12,4581.0,4425.299,"TVA"
"01-01-2012",13,4549.0,4391.8,"TVA"
"01-01-2012",14,4452.0,4305.3009999999995,"TVA"
"01-01-2012",15,4474.0,4334.32,"TVA"
"01-01-2012",16,4567.0,4429.900000000001,"TVA"
"01-01-2012",17,4816.0,4668.8009999999995,"TVA"
"01-01-2012",18,4903.0,4707.898999999999,"TVA"
"01-01-2012",19,4955.0,4756.400000000001,"TVA"
"01-01-2012",20,4972.0,4788.901,"TVA"
"01-01-2012",21,5219.0,5050.199,"TVA"
"01-01-2012",22,5654.0,5423.701,"TVA"
"01-01-2012",23,5994.0,5675.282000000001,"TVA"
"01-02-2012",0,6055.0,5757.399,"TVA"
"01-02-2012",1,6215.0,5874.87,"TVA"
"01-02-2012",2,6384.0,5996.942999999999,"TVA"
"01-02-2012",3,6730.0,6137.5,"TVA"
"01-02-2012",4,6928.0,6206.4,"TVA"
"01-02-2012",5,7105.0,6418.987999999999,"TVA"
"01-02-2012",6,7279.0,6532.599999999999,"TVA"
"01-02-2012",7,7090.0,6448.3,"TVA"
"01-02-2012",8,7345.0,6578.300000000001,"TVA"
"01-02-2012",9,7456.0,6715.9000000000015,"TVA"
"01-02-2012",10,7611.0,6887.1990000000005,"TVA"
"01-02-2012",11,7658.0,6910.799999999999,"TVA"
"01-02-2012",12,7758.0,6959.099,"TVA"
"01-02-2012",13,7852.0,7085.549000000001,"TVA"
"01-02-2012",14,8124.0,7279.379999999999,"TVA"
"01-02-2012",15,8249.0,7352.201000000001,"TVA"
"01-02-2012",16,8647.0,7498.101000000001,"TVA"
"01-02-2012",17,8701.0,7616.498,"TVA"
"01-02-2012",18,8597.0,7585.802,"TVA"
"01-02-2012",19,8702.0,7643.1,"TVA"
"01-02-2012",20,8883.0,7747.9,"TVA"
"01-02-2012",21,8808.0,7780.800000000001,"TVA"
"01-02-2012",22,8947.0,7847.02,"TVA"
"01-02-2012",23,8860.0,7843.0,"TVA"
"01-03-2012",0,8901.0,7861.5,"TVA"
"01-03-2012",1,9121.0,7945.441000000001,"TVA"
"01-03-2012",2,9255.0,7991.1,"TVA"
"01-03-2012",3,9499.0,8118.1,"TVA"
"01-03-2012",4,9679.0,8219.738000000001,"TVA"
"01-03-2012",5,10023.0,8500.809000000001,"TVA"
"01-03-2012",6,11031.0,9053.181,"TVA"
"01-03-2012",7,11363.0,9212.313000000002,"TVA"
"01-03-2012",8,10563.0,8788.347,"TVA"
"01-03-2012",9,10204.0,8480.511999999999,"TVA"
"01-03-2012",10,10274.0,8626.599,"TVA"
"01-03-2012",11,10363.0,8723.501,"TVA"
"01-03-2012",12,10305.0,8685.801000000001,"TVA"
"01-03-2012",13,9918.0,8391.401,"TVA"
"01-03-2012",14,9836.0,8331.298999999999,"TVA"
"01-03-2012",15,9889.0,8376.5,"TVA"
"01-03-2012",16,10081.0,8464.468,"TVA"
"01-03-2012",17,10298.0,8597.498,"TVA"
"01-03-2012",18,10477.0,8664.689,"TVA"
"01-03-2012",19,10364.0,8599.399999999998,"TVA"
"01-03-2012",20,10190.0,8512.739000000001,"TVA"
"01-03-2012",21,10118.0,8447.6,"TVA"
"01-03-2012",22,10058.0,8382.4,"TVA"
"01-03-2012",23,10038.0,8372.899000000001,"TVA"
"01-04-2012",0,10026.0,8338.0,"TVA"
"01-04-2012",1,9953.0,8338.6,"TVA"
"01-04-2012",2,10204.0,8510.522,"TVA"
"01-04-2012",3,10406.0,8705.618999999999,"TVA"
"01-04-2012",4,10579.0,8777.675,"TVA"
