"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,2536.0,2833.3,"WAUE"
"01-01-2012",1,2457.0,2733.1,"WAUE"
"01-01-2012",2,2386.0,2676.5,"WAUE"
"01-01-2012",3,2391.0,2682.1,"WAUE"
"01-01-2012",4,2394.0,2691.8,"WAUE"
"01-01-2012",5,2418.0,2715.7999999999997,"WAUE"
"01-01-2012",6,2398.0,2669.6000000000004,"WAUE"
"01-01-2012",7,2283.0,2579.5,"WAUE"
"01-01-2012",8,2276.0,2583.0,"WAUE"
"01-01-2012",9,2362.0,2671.5,"WAUE"
"01-01-2012",10,2471.0,2793.1000000000004,"WAUE"
"01-01-2012",11,2548.0,2854.4,"WAUE"
"01-01-2012",12,2610.0,2899.4000000000005,"WAUE"
"01-01-2012",13,2503.0,2792.6000000000004,"WAUE"
"01-01-2012",14,2516.0,2823.3,"WAUE"
"01-01-2012",15,2419.0,2705.9999999999995,"WAUE"
"01-01-2012",16,2584.0,2908.6999999999994,"WAUE"
"01-01-2012",17,2859.0,3182.7000000000003,"WAUE"
"01-01-2012",18,2924.0,3226.9,"WAUE"
"01-01-2012",19,2921.0,3196.5,"WAUE"
"01-01-2012",20,2810.0,3076.3,"WAUE"
"01-01-2012",21,2746.0,3010.7999999999997,"WAUE"
"01-01-2012",22,2638.0,2897.7999999999997,"WAUE"
"01-01-2012",23,2567.0,2826.4999999999995,"WAUE"
"01-02-2012",0,2571.0,2832.2999999999997,"WAUE"
"01-02-2012",1,2551.0,2828.71,"WAUE"
"01-02-2012",2,2541.0,2812.3999999999996,"WAUE"
"01-02-2012",3,2586.0,2868.3,"WAUE"
"01-02-2012",4,2649.0,2915.9,"WAUE"
"01-02-2012",5,2696.0,3017.4,"WAUE"
"01-02-2012",6,2967.0,3343.9,"WAUE"
"01-02-2012",7,3275.0,3628.3,"WAUE"
"01-02-2012",8,3287.0,3640.7000000000003,"WAUE"
"01-02-2012",9,3342.0,3720.1,"WAUE"
"01-02-2012",10,3345.0,3709.0,"WAUE"
"01-02-2012",11,3349.0,3712.3,"WAUE"
"01-02-2012",12,3348.0,3722.6,"WAUE"
"01-02-2012",13,3349.0,3734.8999999999996,"WAUE"
"01-02-2012",14,3350.0,3734.2,"WAUE"
"01-02-2012",15,3351.0,3784.6000000000004,"WAUE"
"01-02-2012",16,3352.0,3799.0,"WAUE"
"01-02-2012",17,3354.0,3816.2999999999997,"WAUE"
"01-02-2012",18,3355.0,3818.8,"WAUE"
"01-02-2012",19,3353.0,3818.0,"WAUE"
"01-02-2012",20,3355.0,3815.9999999999995,"WAUE"
"01-02-2012",21,3357.0,3815.8999999999996,"WAUE"
"01-02-2012",22,3356.0,3819.0,"WAUE"
"01-02-2012",23,3330.0,3792.4,"WAUE"
"01-03-2012",0,3276.0,3706.1000000000004,"WAUE"
"01-03-2012",1,3245.0,3684.8999999999996,"WAUE"
"01-03-2012",2,3227.0,3638.3999999999996,"WAUE"
"01-03-2012",3,3198.0,3552.2000000000007,"WAUE"
"01-03-2012",4,3138.0,3492.7,"WAUE"
"01-03-2012",5,3176.0,3571.4999999999995,"WAUE"
"01-03-2012",6,3187.0,3652.0000000000005,"WAUE"
"01-03-2012",7,3248.0,3712.0,"WAUE"
"01-03-2012",8,3337.0,3796.7000000000007,"WAUE"
"01-03-2012",9,3251.0,3692.8,"WAUE"
"01-03-2012",10,3147.0,3567.5,"WAUE"
"01-03-2012",11,3106.0,3542.5,"WAUE"
"01-03-2012",12,2997.0,3404.1000000000004,"WAUE"
"01-03-2012",13,2953.0,3401.0000000000005,"WAUE"
"01-03-2012",14,2957.0,3405.3,"WAUE"
"01-03-2012",15,2957.0,3396.7,"WAUE"
"01-03-2012",16,2953.0,3375.9,"WAUE"
"01-03-2012",17,2968.0,3379.9999999999995,"WAUE"
"01-03-2012",18,3018.0,3434.1,"WAUE"
"01-03-2012",19,3020.0,3439.7,"WAUE"
"01-03-2012",20,3023.0,3409.1,"WAUE"
"01-03-2012",21,2967.0,3328.6,"WAUE"
"01-03-2012",22,2946.0,3289.4,"WAUE"
"01-03-2012",23,2784.0,3140.1,"WAUE"
"01-04-2012",0,2695.0,3063.3999999999996,"WAUE"
"01-04-2012",1,2677.0,3045.2999999999997,"WAUE"
"01-04-2012",2,2605.0,2966.2999999999997,"WAUE"
"01-04-2012",3,2652.0,3019.2,"WAUE"
"01-04-2012",4,2711.0,3094.1000000000004,"WAUE"
"01-04-2012",5,2993.0,3365.0,"WAUE"
"01-04-2012",6,3060.0,3485.6,"WAUE"
"01-04-2012",7,3155.0,3572.7000000000003,"WAUE"
"01-04-2012",8,3176.0,3613.8999999999996,"WAUE"
"01-04-2012",9,3189.0,3621.3,"WAUE"
"01-04-2012",10,3193.0,3603.5,"WAUE"
"01-04-2012",11,3231.0,3673.7999999999997,"WAUE"
"01-04-2012",12,3250.0,3668.3,"WAUE"
"01-04-2012",13,3250.0,3681.9,"WAUE"
"01-04-2012",14,3279.0,3717.9999999999995,"WAUE"
"01-04-2012",15,3295.0,3721.9,"WAUE"
"01-04-2012",16,3296.0,3739.4,"WAUE"
"01-04-2012",17,3344.0,3778.3999999999996,"WAUE"
"01-04-2012",18,3304.0,3741.6000000000004,"WAUE"
"01-04-2012",19,3275.0,3698.6,"WAUE"
"01-04-2012",20,3268.0,3681.0999999999995,"WAUE"
"01-04-2012",21,3267.0,3659.4999999999995,"WAUE"
"01-04-2012",22,3173.0,3541.7999999999997,"WAUE"
"01-04-2012",23,3114.0,3472.2,"WAUE"
"01-05-2012",0,3085.0,3435.9,"WAUE"
"01-05-2012",1,3122.0,3487.1,"WAUE"
"01-05-2012",2,3123.0,3487.7,"WAUE"
"01-05-2012",3,3121.0,3497.5,"WAUE"
"01-05-2012",4,3124.0,3498.9,"WAUE"
"01-05-2012",5,3120.0,3521.9000000000005,"WAUE"
"01-05-2012",6,3125.0,3556.2,"WAUE"
"01-05-2012",7,3095.0,3492.4000000000005,"WAUE"
"01-05-2012",8,3208.0,3597.0,"WAUE"
"01-05-2012",9,3212.0,3626.0999999999995,"WAUE"
"01-05-2012",10,3137.0,3541.0999999999995,"WAUE"
"01-05-2012",11,3077.0,3495.25,"WAUE"
"01-05-2012",12,3097.0,3493.6,"WAUE"
"01-05-2012",13,3096.0,3520.8999999999996,"WAUE"
"01-05-2012",14,3093.0,3512.2,"WAUE"
"01-05-2012",15,3120.0,3532.6999999999994,"WAUE"
"01-05-2012",16,3210.0,3641.7999999999993,"WAUE"
"01-05-2012",17,3274.0,3740.7999999999997,"WAUE"
"01-05-2012",18,3292.0,3714.2000000000003,"WAUE"
"01-05-2012",19,3257.0,3663.2999999999997,"WAUE"
"01-05-2012",20,3280.0,3673.8,"WAUE"
"01-05-2012",21,3191.0,3606.8999999999996,"WAUE"
"01-05-2012",22,3041.0,3437.3999999999996,"WAUE"
"01-05-2012",23,2811.0,3196.3999999999996,"WAUE"
"01-06-2012",0,2820.0,3189.2000000000003,"WAUE"
"01-06-2012",1,2585.0,2963.7,"WAUE"
"01-06-2012",2,2522.0,2920.1,"WAUE"
"01-06-2012",3,2559.0,2970.7,"WAUE"
"01-06-2012",4,2688.0,3083.9000000000005,"WAUE"
"01-06-2012",5,2875.0,3282.4,"WAUE"
"01-06-2012",6,3030.0,3449.3000000000006,"WAUE"
"01-06-2012",7,3110.0,3549.6,"WAUE"
"01-06-2012",8,3177.0,3579.3,"WAUE"
"01-06-2012",9,3252.0,3660.7999999999993,"WAUE"
"01-06-2012",10,3269.0,3693.1,"WAUE"
"01-06-2012",11,3269.0,3671.5,"WAUE"
"01-06-2012",12,3268.0,3657.6,"WAUE"
"01-06-2012",13,3268.0,3658.7999999999997,"WAUE"
"01-06-2012",14,3189.0,3573.6,"WAUE"
"01-06-2012",15,3221.0,3599.2,"WAUE"
"01-06-2012",16,3233.0,3647.2999999999997,"WAUE"
"01-06-2012",17,3272.0,3666.7999999999997,"WAUE"
"01-06-2012",18,3235.0,3608.7000000000003,"WAUE"
"01-06-2012",19,3191.0,3588.1,"WAUE"
"01-06-2012",20,3131.0,3512.3,"WAUE"
"01-06-2012",21,3060.0,3442.1,"WAUE"
"01-06-2012",22,3062.0,3441.9999999999995,"WAUE"
"01-06-2012",23,3036.0,3407.7999999999997,"WAUE"
"01-07-2012",0,3073.0,3432.1,"WAUE"
"01-07-2012",1,3120.0,3493.2999999999997,"WAUE"
"01-07-2012",2,3306.0,3716.5,"WAUE"
"01-07-2012",3,3340.0,3732.9,"WAUE"
"01-07-2012",4,3349.0,3716.5000000000005,"WAUE"
"01-07-2012",5,3380.0,3793.9999999999995,"WAUE"
"01-07-2012",6,3445.0,3897.9000000000005,"WAUE"
"01-07-2012",7,3514.0,3969.0000000000005,"WAUE"
"01-07-2012",8,3531.0,3987.6000000000004,"WAUE"
"01-07-2012",9,3538.0,4014.3,"WAUE"
"01-07-2012",10,3564.0,4044.2,"WAUE"
"01-07-2012",11,3574.0,4068.2000000000007,"WAUE"
"01-07-2012",12,3573.0,4053.2,"WAUE"
"01-07-2012",13,3573.0,4053.2,"WAUE"
"01-07-2012",14,3575.0,4039.8,"WAUE"
"01-07-2012",15,3573.0,4047.0,"WAUE"
"01-07-2012",16,3580.0,4047.5000000000005,"WAUE"
"01-07-2012",17,3584.0,4067.2,"WAUE"
"01-07-2012",18,3579.0,4050.3999999999996,"WAUE"
"01-07-2012",19,3572.0,4049.9,"WAUE"
"01-07-2012",20,3570.0,4042.6000000000004,"WAUE"
"01-07-2012",21,3573.0,4046.2999999999997,"WAUE"
"01-07-2012",22,3575.0,4042.1000000000004,"WAUE"
"01-07-2012",23,3555.0,4018.0,"WAUE"
"01-08-2012",0,3546.0,4009.9,"WAUE"
"01-08-2012",1,3545.0,4001.3,"WAUE"
"01-08-2012",2,3514.0,3974.8,"WAUE"
"01-08-2012",3,3519.0,3977.1,"WAUE"
"01-08-2012",4,3545.0,3989.8999999999996,"WAUE"
"01-08-2012",5,3536.0,3997.0,"WAUE"
"01-08-2012",6,3546.0,4016.2999999999993,"WAUE"
"01-08-2012",7,3546.0,4035.9000000000005,"WAUE"
"01-08-2012",8,3569.0,4049.7,"WAUE"
"01-08-2012",9,3574.0,4056.1000000000004,"WAUE"
"01-08-2012",10,3574.0,4060.2,"WAUE"
"01-08-2012",11,3573.0,4047.3,"WAUE"
"01-08-2012",12,3571.0,4014.4000000000005,"WAUE"
"01-08-2012",13,3570.0,4010.2,"WAUE"
"01-08-2012",14,3495.0,3913.2,"WAUE"
"01-08-2012",15,3409.0,3834.0,"WAUE"
"01-08-2012",16,3375.0,3798.0,"WAUE"
"01-08-2012",17,3373.0,3819.8,"WAUE"
"01-08-2012",18,3368.0,3776.2000000000003,"WAUE"
"01-08-2012",19,3366.0,3750.5999999999995,"WAUE"
"01-08-2012",20,3356.0,3723.5,"WAUE"
"01-08-2012",21,3323.0,3693.3000000000006,"WAUE"
"01-08-2012",22,3078.0,3431.8,"WAUE"
"01-08-2012",23,2718.0,3067.6,"WAUE"
"01-09-2012",0,2612.0,2979.5000000000005,"WAUE"
"01-09-2012",1,2505.0,2880.5,"WAUE"
"01-09-2012",2,2461.0,2842.2000000000003,"WAUE"
"01-09-2012",3,2461.0,2843.6,"WAUE"
"01-09-2012",4,2626.0,3014.1,"WAUE"
"01-09-2012",5,2899.0,3280.2999999999997,"WAUE"
"01-09-2012",6,3062.0,3494.3,"WAUE"
"01-09-2012",7,3086.0,3515.2999999999997,"WAUE"
"01-09-2012",8,3104.0,3518.2999999999997,"WAUE"
"01-09-2012",9,3070.0,3494.7,"WAUE"
