"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,164.0,140.8,"WFEC"
"01-01-2012",1,165.0,141.6,"WFEC"
"01-01-2012",2,164.0,141.2,"WFEC"
"01-01-2012",3,164.0,141.3,"WFEC"
"01-01-2012",4,191.0,156.0,"WFEC"
"01-01-2012",5,214.0,168.3,"WFEC"
"01-01-2012",6,220.0,171.0,"WFEC"
"01-01-2012",7,237.0,181.2,"WFEC"
"01-01-2012",8,229.0,176.4,"WFEC"
"01-01-2012",9,388.0,243.9,"WFEC"
"01-01-2012",10,394.0,241.7,"WFEC"
"01-01-2012",11,385.0,237.09999999999997,"WFEC"
"01-01-2012",12,382.0,236.3,"WFEC"
"01-01-2012",13,382.0,235.4,"WFEC"
"01-01-2012",14,378.0,233.7,"WFEC"
"01-01-2012",15,357.0,222.89999999999998,"WFEC"
"01-01-2012",16,382.0,235.60000000000002,"WFEC"
"01-01-2012",17,399.0,245.0,"WFEC"
"01-01-2012",18,418.0,254.39999999999998,"WFEC"
"01-01-2012",19,374.0,230.2,"WFEC"
"01-01-2012",20,376.0,231.7,"WFEC"
"01-01-2012",21,384.0,235.8,"WFEC"
"01-01-2012",22,388.0,238.0,"WFEC"
"01-01-2012",23,388.0,238.10000000000002,"WFEC"
"01-02-2012",0,394.0,241.60000000000002,"WFEC"
"01-02-2012",1,403.0,246.2,"WFEC"
"01-02-2012",2,397.0,242.5,"WFEC"
"01-02-2012",3,467.0,282.7,"WFEC"
"01-02-2012",4,494.0,293.7,"WFEC"
"01-02-2012",5,435.0,262.7,"WFEC"
"01-02-2012",6,471.0,282.6,"WFEC"
"01-02-2012",7,460.0,275.4,"WFEC"
"01-02-2012",8,431.0,260.0,"WFEC"
"01-02-2012",9,460.0,277.7,"WFEC"
"01-02-2012",10,538.0,321.6,"WFEC"
"01-02-2012",11,476.0,283.7,"WFEC"
"01-02-2012",12,430.0,259.8,"WFEC"
"01-02-2012",13,401.0,245.10000000000002,"WFEC"
"01-02-2012",14,399.0,244.70000000000002,"WFEC"
"01-02-2012",15,406.0,248.3,"WFEC"
"01-02-2012",16,420.0,255.9,"WFEC"
"01-02-2012",17,483.0,293.4,"WFEC"
"01-02-2012",18,578.0,344.0,"WFEC"
"01-02-2012",19,446.0,266.6,"WFEC"
"01-02-2012",20,437.0,263.9,"WFEC"
"01-02-2012",21,417.0,252.6,"WFEC"
"01-02-2012",22,401.0,244.2,"WFEC"
"01-02-2012",23,359.0,223.5,"WFEC"
"01-03-2012",0,333.0,212.5,"WFEC"
"01-03-2012",1,307.0,200.9,"WFEC"
"01-03-2012",2,392.0,239.70000000000002,"WFEC"
"01-03-2012",3,411.0,288.65999999999997,"WFEC"
"01-03-2012",4,409.0,302.0,"WFEC"
"01-03-2012",5,449.0,315.20000000000005,"WFEC"
"01-03-2012",6,574.0,363.4,"WFEC"
"01-03-2012",7,814.0,466.0999999999999,"WFEC"
"01-03-2012",8,907.0,477.69999999999993,"WFEC"
"01-03-2012",9,965.0,482.3,"WFEC"
"01-03-2012",10,932.0,466.09999999999997,"WFEC"
"01-03-2012",11,907.0,453.9,"WFEC"
"01-03-2012",12,902.0,450.2,"WFEC"
