"OP_DATE","OP_HOUR","GLOAD (MW)","CO2_MASS (tons)","BA_ABBREV"
"01-01-2012",0,2586.0,3109.8,"WKPL"
"01-01-2012",1,2575.0,3091.2,"WKPL"
"01-01-2012",2,2566.0,3081.7000000000003,"WKPL"
"01-01-2012",3,2558.0,3072.5,"WKPL"
"01-01-2012",4,2551.0,3065.0,"WKPL"
"01-01-2012",5,2598.0,3127.0,"WKPL"
"01-01-2012",6,2758.0,3309.2,"WKPL"
"01-01-2012",7,2767.0,3323.6,"WKPL"
"01-01-2012",8,2844.0,3190.5,"WKPL"
"01-01-2012",9,2881.0,3219.8999999999996,"WKPL"
"01-01-2012",10,2980.0,3285.4,"WKPL"
"01-01-2012",11,2926.0,3040.0,"WKPL"
"01-01-2012",12,2932.0,3010.7,"WKPL"
"01-01-2012",13,2686.0,2741.4,"WKPL"
"01-01-2012",14,2564.0,2616.4,"WKPL"
"01-01-2012",15,2530.0,2564.4,"WKPL"
"01-01-2012",16,2643.0,2709.3,"WKPL"
"01-01-2012",17,3213.0,3324.3,"WKPL"
"01-01-2012",18,3692.0,3789.1000000000004,"WKPL"
"01-01-2012",19,3704.0,3763.5,"WKPL"
"01-01-2012",20,3533.0,3578.7000000000003,"WKPL"
"01-01-2012",21,3449.0,3495.2999999999997,"WKPL"
"01-01-2012",22,3274.0,3310.9,"WKPL"
"01-01-2012",23,2877.0,2884.5,"WKPL"
"01-02-2012",0,2772.0,2808.2,"WKPL"
"01-02-2012",1,2721.0,2754.7,"WKPL"
"01-02-2012",2,2756.0,2792.8,"WKPL"
"01-02-2012",3,2831.0,2861.0,"WKPL"
"01-02-2012",4,3056.0,3121.5,"WKPL"
"01-02-2012",5,3571.0,3669.3,"WKPL"
"01-02-2012",6,3909.0,4020.1,"WKPL"
"01-02-2012",7,4033.0,4136.8,"WKPL"
"01-02-2012",8,4071.0,4193.9,"WKPL"
"01-02-2012",9,4088.0,4195.6,"WKPL"
"01-02-2012",10,4065.0,4172.0,"WKPL"
"01-02-2012",11,4062.0,4182.0,"WKPL"
"01-02-2012",12,3982.0,4089.2,"WKPL"
"01-02-2012",13,3842.0,3928.3,"WKPL"
"01-02-2012",14,3607.0,3653.2999999999997,"WKPL"
"01-02-2012",15,3575.0,3662.7000000000003,"WKPL"
"01-02-2012",16,3591.0,3663.4,"WKPL"
"01-02-2012",17,3856.0,3933.7,"WKPL"
"01-02-2012",18,4076.0,4126.8,"WKPL"
"01-02-2012",19,4084.0,4170.8,"WKPL"
"01-02-2012",20,4078.0,4170.9,"WKPL"
"01-02-2012",21,3819.0,3870.8999999999996,"WKPL"
"01-02-2012",22,3406.0,3433.1,"WKPL"
"01-02-2012",23,2871.0,2868.0,"WKPL"
"01-03-2012",0,2778.0,2800.318,"WKPL"
"01-03-2012",1,2731.0,2768.1000000000004,"WKPL"
"01-03-2012",2,2733.0,2767.5,"WKPL"
"01-03-2012",3,2789.0,2829.6000000000004,"WKPL"
"01-03-2012",4,2896.0,2957.3,"WKPL"
"01-03-2012",5,3410.0,3526.9,"WKPL"
"01-03-2012",6,4025.0,4152.588,"WKPL"
"01-03-2012",7,4333.0,4404.5,"WKPL"
"01-03-2012",8,4199.0,4266.299999999999,"WKPL"
"01-03-2012",9,4158.0,4210.799999999999,"WKPL"
"01-03-2012",10,3480.0,3604.016,"WKPL"
"01-03-2012",11,3211.0,3332.8879999999995,"WKPL"
"01-03-2012",12,2885.0,2977.0,"WKPL"
"01-03-2012",13,2472.0,2559.7,"WKPL"
"01-03-2012",14,2336.0,2423.7,"WKPL"
"01-03-2012",15,2224.0,2316.1,"WKPL"
"01-03-2012",16,2343.0,2466.7000000000003,"WKPL"
"01-03-2012",17,2654.0,2826.6,"WKPL"
"01-03-2012",18,2909.0,3063.2000000000003,"WKPL"
"01-03-2012",19,3103.0,3252.5,"WKPL"
"01-03-2012",20,3202.0,3337.4,"WKPL"
"01-03-2012",21,3120.0,3225.2,"WKPL"
"01-03-2012",22,2576.0,2634.7,"WKPL"
"01-03-2012",23,2125.0,2198.8,"WKPL"
"01-04-2012",0,2022.0,2108.1,"WKPL"
"01-04-2012",1,1979.0,2071.9,"WKPL"
"01-04-2012",2,1948.0,2042.3,"WKPL"
"01-04-2012",3,1947.0,2044.0,"WKPL"
"01-04-2012",4,1962.0,2067.5,"WKPL"
"01-04-2012",5,2153.0,2266.8,"WKPL"
"01-04-2012",6,2541.0,2753.1,"WKPL"
"01-04-2012",7,3215.0,3240.8,"WKPL"
"01-04-2012",8,3201.0,3300.5,"WKPL"
"01-04-2012",9,3089.0,3198.3999999999996,"WKPL"
"01-04-2012",10,2906.0,3001.3999999999996,"WKPL"
"01-04-2012",11,2711.0,2803.9,"WKPL"
"01-04-2012",12,2320.0,2411.1,"WKPL"
"01-04-2012",13,2151.0,2249.0,"WKPL"
"01-04-2012",14,2151.0,2258.3,"WKPL"
"01-04-2012",15,2172.0,2290.0,"WKPL"
"01-04-2012",16,2219.0,2339.8,"WKPL"
"01-04-2012",17,2417.0,2575.1,"WKPL"
"01-04-2012",18,2756.0,2939.4,"WKPL"
"01-04-2012",19,2763.0,2898.7,"WKPL"
"01-04-2012",20,2915.0,3056.3,"WKPL"
"01-04-2012",21,2762.0,2866.1,"WKPL"
"01-04-2012",22,2401.0,2504.5,"WKPL"
"01-04-2012",23,2117.0,2218.9,"WKPL"
"01-05-2012",0,2074.0,2187.5,"WKPL"
"01-05-2012",1,2039.0,2159.8999999999996,"WKPL"
"01-05-2012",2,2040.0,2160.8,"WKPL"
"01-05-2012",3,2034.0,2154.6,"WKPL"
"01-05-2012",4,2105.0,2234.2,"WKPL"
"01-05-2012",5,2409.0,2570.9,"WKPL"
"01-05-2012",6,2907.0,3145.54,"WKPL"
"01-05-2012",7,3144.0,3311.2,"WKPL"
"01-05-2012",8,3241.0,3177.6,"WKPL"
"01-05-2012",9,3029.0,3229.2999999999997,"WKPL"
"01-05-2012",10,2974.0,3091.3,"WKPL"
"01-05-2012",11,2771.0,2905.3,"WKPL"
"01-05-2012",12,2466.0,2596.7,"WKPL"
"01-05-2012",13,2287.0,2413.2,"WKPL"
"01-05-2012",14,2287.0,2419.1,"WKPL"
"01-05-2012",15,2300.0,2427.7,"WKPL"
"01-05-2012",16,2263.0,2382.994,"WKPL"
"01-05-2012",17,2097.0,2222.3,"WKPL"
"01-05-2012",18,2277.0,2408.2,"WKPL"
"01-05-2012",19,2140.0,2248.8999999999996,"WKPL"
"01-05-2012",20,2158.0,2278.7,"WKPL"
"01-05-2012",21,2100.0,2205.5,"WKPL"
"01-05-2012",22,2013.0,2133.0,"WKPL"
"01-05-2012",23,1982.0,2102.3,"WKPL"
"01-06-2012",0,1927.0,2047.9999999999998,"WKPL"
"01-06-2012",1,1902.0,2023.2000000000003,"WKPL"
"01-06-2012",2,1900.0,2018.0,"WKPL"
"01-06-2012",3,1897.0,2020.6,"WKPL"
"01-06-2012",4,1921.0,2043.3,"WKPL"
"01-06-2012",5,2184.0,2327.2,"WKPL"
"01-06-2012",6,2563.0,2768.3999999999996,"WKPL"
"01-06-2012",7,2828.0,2991.7,"WKPL"
"01-06-2012",8,2458.0,2549.1,"WKPL"
"01-06-2012",9,2396.0,2515.3,"WKPL"
"01-06-2012",10,2390.0,2516.0,"WKPL"
"01-06-2012",11,2326.0,2298.1,"WKPL"
"01-06-2012",12,2212.0,2369.095,"WKPL"
"01-06-2012",13,2126.0,2305.2,"WKPL"
"01-06-2012",14,2090.0,2265.2,"WKPL"
"01-06-2012",15,2061.0,2235.8,"WKPL"
"01-06-2012",16,2020.0,2193.0,"WKPL"
"01-06-2012",17,2252.0,2462.3999999999996,"WKPL"
"01-06-2012",18,2380.0,2550.2,"WKPL"
"01-06-2012",19,2210.0,2360.2999999999997,"WKPL"
"01-06-2012",20,2163.0,2327.6,"WKPL"
"01-06-2012",21,2227.0,2367.7,"WKPL"
"01-06-2012",22,2381.0,2499.5999999999995,"WKPL"
"01-06-2012",23,2447.0,2559.6,"WKPL"
"01-07-2012",0,2459.0,2564.7,"WKPL"
"01-07-2012",1,2446.0,2541.8999999999996,"WKPL"
"01-07-2012",2,2475.0,2562.7,"WKPL"
"01-07-2012",3,2486.0,2573.3,"WKPL"
"01-07-2012",4,2552.0,2634.2,"WKPL"
"01-07-2012",5,2739.0,2823.5,"WKPL"
"01-07-2012",6,3001.0,3122.0,"WKPL"
"01-07-2012",7,3255.0,3375.1000000000004,"WKPL"
"01-07-2012",8,3492.0,3644.4,"WKPL"
"01-07-2012",9,3555.0,3681.4,"WKPL"
"01-07-2012",10,3701.0,3804.7,"WKPL"
"01-07-2012",11,3733.0,3831.5,"WKPL"
"01-07-2012",12,3457.0,3511.5,"WKPL"
"01-07-2012",13,3225.0,3303.8,"WKPL"
"01-07-2012",14,2985.0,3057.4,"WKPL"
"01-07-2012",15,3104.0,3212.2,"WKPL"
"01-07-2012",16,3214.0,3359.4,"WKPL"
"01-07-2012",17,3671.0,3866.0999999999995,"WKPL"
"01-07-2012",18,3903.0,4086.7,"WKPL"
"01-07-2012",19,3700.0,3809.6,"WKPL"
"01-07-2012",20,3379.0,3458.2999999999997,"WKPL"
"01-07-2012",21,3166.0,3238.8999999999996,"WKPL"
"01-07-2012",22,2894.0,2961.9,"WKPL"
"01-07-2012",23,2599.0,2679.8999999999996,"WKPL"
"01-08-2012",0,2546.0,2640.8,"WKPL"
"01-08-2012",1,2541.0,2634.5,"WKPL"
"01-08-2012",2,2540.0,2634.0,"WKPL"
"01-08-2012",3,2534.0,2629.7,"WKPL"
"01-08-2012",4,2533.0,2625.7,"WKPL"
"01-08-2012",5,2543.0,2627.6,"WKPL"
"01-08-2012",6,2594.0,2670.1,"WKPL"
"01-08-2012",7,2827.0,2917.6,"WKPL"
"01-08-2012",8,2989.0,3128.7,"WKPL"
"01-08-2012",9,3203.0,3344.2,"WKPL"
"01-08-2012",10,3250.0,3369.0999999999995,"WKPL"
"01-08-2012",11,3089.0,3191.9,"WKPL"
"01-08-2012",12,2888.0,2995.0,"WKPL"
"01-08-2012",13,2921.0,3040.3999999999996,"WKPL"
"01-08-2012",14,2751.0,2830.3,"WKPL"
"01-08-2012",15,2614.0,2707.0,"WKPL"
"01-08-2012",16,2735.0,2855.7,"WKPL"
"01-08-2012",17,3162.0,3292.8,"WKPL"
"01-08-2012",18,3652.0,3810.7000000000003,"WKPL"
"01-08-2012",19,3972.0,4119.7,"WKPL"
"01-08-2012",20,3786.0,3873.8,"WKPL"
"01-08-2012",21,3318.0,3384.2000000000003,"WKPL"
"01-08-2012",22,3062.0,3099.5,"WKPL"
"01-08-2012",23,2613.0,2677.5,"WKPL"
"01-09-2012",0,2568.0,2649.9,"WKPL"
"01-09-2012",1,2553.0,2637.1000000000004,"WKPL"
"01-09-2012",2,2604.0,2697.3999999999996,"WKPL"
"01-09-2012",3,2851.0,2962.7,"WKPL"
"01-09-2012",4,3078.0,3232.6,"WKPL"
"01-09-2012",5,3349.0,3505.3,"WKPL"
"01-09-2012",6,3923.0,4117.488,"WKPL"
"01-09-2012",7,4156.0,4260.700000000001,"WKPL"
"01-09-2012",8,4119.0,4228.799999999999,"WKPL"
"01-09-2012",9,4125.0,4214.599999999999,"WKPL"
"01-09-2012",10,4149.0,4262.5,"WKPL"
"01-09-2012",11,3994.0,4089.1250000000005,"WKPL"
"01-09-2012",12,3760.0,3855.4,"WKPL"
"01-09-2012",13,3664.0,3780.5,"WKPL"
"01-09-2012",14,3579.0,3667.3,"WKPL"
"01-09-2012",15,3457.0,3562.0000000000005,"WKPL"
"01-09-2012",16,3805.0,3901.1,"WKPL"
"01-09-2012",17,4232.0,4365.7,"WKPL"
"01-09-2012",18,4437.0,4568.8,"WKPL"
"01-09-2012",19,4439.0,4571.400000000001,"WKPL"
"01-09-2012",20,4400.0,4502.1,"WKPL"
"01-09-2012",21,4304.0,4391.0,"WKPL"
"01-09-2012",22,3925.0,3979.8,"WKPL"
"01-09-2012",23,3673.0,3704.1800000000003,"WKPL"
"01-10-2012",0,3240.0,3280.768,"WKPL"
"01-10-2012",1,3250.0,3294.3999999999996,"WKPL"
"01-10-2012",2,3280.0,3308.3,"WKPL"
"01-10-2012",3,3316.0,3361.1,"WKPL"
"01-10-2012",4,3534.0,3610.5,"WKPL"
"01-10-2012",5,3887.0,3981.8,"WKPL"
"01-10-2012",6,4280.0,4427.799999999999,"WKPL"
"01-10-2012",7,4410.0,4498.1,"WKPL"
"01-10-2012",8,4383.0,4504.099999999999,"WKPL"
"01-10-2012",9,4369.0,4482.9,"WKPL"
"01-10-2012",10,4267.0,4357.0,"WKPL"
"01-10-2012",11,4140.0,4227.700000000001,"WKPL"
"01-10-2012",12,3987.0,4047.6000000000004,"WKPL"
"01-10-2012",13,3835.0,3875.0,"WKPL"
"01-10-2012",14,3700.0,3759.7,"WKPL"
"01-10-2012",15,3624.0,3682.7,"WKPL"
"01-10-2012",16,3797.0,3873.8999999999996,"WKPL"
"01-10-2012",17,4200.0,4320.3,"WKPL"
"01-10-2012",18,4434.0,4500.6,"WKPL"
"01-10-2012",19,4412.0,4478.1,"WKPL"
"01-10-2012",20,4398.0,4478.6,"WKPL"
"01-10-2012",21,4302.0,4365.4,"WKPL"
"01-10-2012",22,3936.0,3966.4,"WKPL"
"01-10-2012",23,3524.0,3549.8,"WKPL"
"01-11-2012",0,3317.0,3353.7999999999997,"WKPL"
"01-11-2012",1,3319.0,3364.2,"WKPL"
"01-11-2012",2,3386.0,3430.8,"WKPL"
"01-11-2012",3,3368.0,3398.2,"WKPL"
"01-11-2012",4,3228.0,3244.4,"WKPL"
"01-11-2012",5,3239.0,3260.6000000000004,"WKPL"
"01-11-2012",6,3789.0,3905.8,"WKPL"
"01-11-2012",7,4203.0,4292.6,"WKPL"
"01-11-2012",8,3810.0,3860.5999999999995,"WKPL"
"01-11-2012",9,3508.0,3530.2,"WKPL"
"01-11-2012",10,3189.0,3200.6,"WKPL"
"01-11-2012",11,2866.0,2900.7999999999997,"WKPL"
"01-11-2012",12,2819.0,2867.2,"WKPL"
"01-11-2012",13,2800.0,2803.1000000000004,"WKPL"
"01-11-2012",14,2812.0,2810.2,"WKPL"
"01-11-2012",15,2801.0,2798.2,"WKPL"
"01-11-2012",16,2997.0,3023.7,"WKPL"
"01-11-2012",17,3600.0,3651.7,"WKPL"
"01-11-2012",18,3865.0,3912.7000000000003,"WKPL"
"01-11-2012",19,3939.0,3989.1,"WKPL"
"01-11-2012",20,3876.0,3911.8,"WKPL"
"01-11-2012",21,3673.0,3668.6000000000004,"WKPL"
"01-11-2012",22,3217.0,3196.1000000000004,"WKPL"
"01-11-2012",23,3004.0,3003.0,"WKPL"
"01-12-2012",0,2950.0,2958.5,"WKPL"
"01-12-2012",1,2940.0,2956.4,"WKPL"
"01-12-2012",2,3003.0,3035.1,"WKPL"
"01-12-2012",3,3206.0,3253.9,"WKPL"
"01-12-2012",4,3353.0,3426.7999999999997,"WKPL"
"01-12-2012",5,3691.0,3741.0,"WKPL"
"01-12-2012",6,4075.0,4183.164,"WKPL"
"01-12-2012",7,4371.0,4429.32,"WKPL"
"01-12-2012",8,4345.0,4247.433999999999,"WKPL"
"01-12-2012",9,4278.0,3918.701,"WKPL"
"01-12-2012",10,3989.0,3884.0299999999997,"WKPL"
"01-12-2012",11,3898.0,3848.7,"WKPL"
"01-12-2012",12,3826.0,3777.5,"WKPL"
"01-12-2012",13,3746.0,3666.0999999999995,"WKPL"
"01-12-2012",14,3636.0,3582.4,"WKPL"
"01-12-2012",15,3631.0,3579.008,"WKPL"
"01-12-2012",16,3799.0,3719.264,"WKPL"
"01-12-2012",17,4105.0,3901.1000000000004,"WKPL"
"01-12-2012",18,4167.0,3925.7,"WKPL"
"01-12-2012",19,4333.0,4009.3320000000003,"WKPL"
