DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.92006666453497632, 0.019620977358153577)","(0.93506882110715983, 0.032601747850710579)","(0.94498264940679488, 0.052163685547243099)","(0.90879396574707871, 0.03736409653336939)","(0.63946571951306563, 0.10701618700789978)","(0.9470548887218172, 0.040440457108232512)","(0.99323193045189961, 0.031725563857010912)","(0.92463392783714038, 0.041401858063013851)","(0.80965033567408917, 0.041377910760696739)","(-0.013572999196140237, 0.14183573814727235)","(0.69223925852757429, 0.067169768839736313)","(0.7801097010303103, 0.068057691070990967)","(1.0105100988632982, 0.067189839803123902)","(0.94913896624043204, 0.069592295737125442)","(0.99644800856065185, 0.12394587180992339)","(1.0901195144056091, 0.11141346364837869)","(1.0366398103296277, 0.091704512741692612)","(0.78448497221920743, 0.10290388253492559)","(0.95652379789425801, 0.040773010808634276)","(0.7629216331861709, 0.10003618714109823)","(0.74168493744371611, 0.078206385811662366)","(0.91360609874808496, 0.026204860763255535)","(0.96795613033026828, 0.033997607905266021)","(0.94856566715337798, 0.029034118564900381)"
1,"(1.0169235696781114, 0.040418125731360638)","(1.0306048013166043, 0.038157277125915351)","(0.98336584330524091, 0.022565963512672437)","(0.99129525463721779, 0.023818991697204351)","(0.96600956253560055, 0.014024600598142305)","(0.99261772322570752, 0.032034320781299599)","(0.96722061416561356, 0.028295194899233975)","(1.0558452572076553, 0.025280070672833551)","(0.7734316422930585, 0.082906469656612566)","(0.7304289916744835, 0.071747561068036772)","(0.90484113588018777, 0.085647926036754363)","(0.9915930665149173, 0.06526229927822548)","(0.88330646024454362, 0.066377945366564814)","(0.75675660889595753, 0.083705019768442468)","(0.74918775638773427, 0.042605271514137177)","(0.98782722090862041, 0.052404573569948182)","(0.33698149972965452, 0.10098981321321762)","(0.90500520159872488, 0.029244237892993134)","(0.77334855963253746, 0.082917794461503588)","(0.65571394722179477, 0.073386115686714257)","(0.96057837913653088, 0.054826328325873037)","(0.78382091921977448, 0.036359631611899437)","(0.92669429416022076, 0.029866832665660845)","(1.0637921385071689, 0.026735389520049183)"
2,"(1.0349575551235848, 0.02040497212529551)","(0.95111815363008845, 0.01707399836507479)","(0.94871622845923997, 0.025418095552093126)","(0.99750038222831294, 0.017928740425176965)","(1.0171914922775738, 0.017572985427783988)","(0.93287684183188868, 0.023095375513979565)","(0.96885945658135819, 0.023756404492073856)","(0.92165758446442381, 0.055018643430903263)","(0.8316290797034156, 0.053803538107389998)","(0.97096727851808384, 0.044750819020824728)","(0.75320394726139595, 0.060191205628183884)","(0.81802713190246612, 0.045780244772373975)","(0.83642615351607763, 0.087460713145631627)","(0.85973381637531854, 0.051717939885365286)","(1.0055953814370968, 0.04864959548405446)","(0.89729051476432731, 0.036668349259306038)","(0.97218557176067544, 0.045394368677766625)","(0.96390882101125808, 0.040436400344220295)","(0.8005048565956846, 0.081854204628360225)","(1.0696020488038944, 0.087280380261292256)","(0.87600937331678874, 0.072998001454821632)","(0.91965952752070801, 0.026912512135645886)","(1.1006665507439251, 0.065197678653288682)","(0.91430606276813264, 0.033588536119429573)"
3,"(1.0328180024798712, 0.020002960837907476)","(0.95439251602465214, 0.017025207150495911)","(0.95989054934015028, 0.025759264524261003)","(0.98100871597395778, 0.020486143997665018)","(1.0279709872577134, 0.017517161419817188)","(0.91832796319919097, 0.02428678693590795)","(0.98057011674274419, 0.023717973271579828)","(0.91834102916184401, 0.056744840762229749)","(0.86019812297692588, 0.055761000500850803)","(1.0227436926034998, 0.065128453759228613)","(0.82285615028727976, 0.076404379477812062)","(0.82849344134310765, 0.053017350820942201)","(0.88268482379311786, 0.094565393397002831)","(0.89824064845066964, 0.054618783843606335)","(1.0093686700918301, 0.050931856127637155)","(0.90087883941185709, 0.034085199147143593)","(0.99023314312221178, 0.04165813225994347)","(0.95802819126999406, 0.038522348458571762)","(0.91440139415656307, 0.067293342480283333)","(1.1313663456398371, 0.077912178907741825)","(0.8817949317848065, 0.077036776772239315)","(0.96382841740783454, 0.025107279248384847)","(1.1075080961358441, 0.058633891610923201)","(0.91534035105153178, 0.035314890960260255)"
4,"(1.0026900865308113, 0.021023513535008548)","(0.99608815317154586, 0.0186846870762769)","(0.97115524223103622, 0.01971426303370508)","(0.96883453295114397, 0.016230105761818565)","(0.99089070443256011, 0.019827690763221544)","(0.97182093040384443, 0.022843654733951842)","(1.0303677178415624, 0.019986919515181188)","(0.99406830118048284, 0.027144824586163581)","(1.0064919165326907, 0.0528856133017679)","(0.90320414851064801, 0.03324635796138501)","(0.88014368559905076, 0.044044416904575855)","(0.61290055466448345, 0.075490658586269604)","(0.87254823041281271, 0.053223451240647791)","(0.75398348068311349, 0.082950562578283218)","(0.8817167261865525, 0.035325077722849665)","(0.75057203246861082, 0.071400640512634186)","(0.92357322765592276, 0.084288759635057831)","(0.88473885884615178, 0.024527999501450237)","(0.84829738370473295, 0.075596489647306267)","(0.97013302531529733, 0.050908187859365163)","(0.89459410381502102, 0.065640487010042117)","(0.9504178828483375, 0.023493377534456093)","(1.0346571076475897, 0.041494289790793337)","(0.92099842086386652, 0.028641042721792871)"
5,"(0.92940078682463012, 0.041740792389623256)","(0.98948882022375251, 0.022945093833991036)","(0.95893765411964471, 0.020814499319321444)","(0.97287981129351075, 0.014211913141915179)","(0.97446571982159513, 0.014162638020502565)","(0.99564780431092992, 0.017557124763232599)","(0.97140754980364152, 0.02678679910924766)","(0.90541748915556153, 0.03998804017631883)","(0.73655926357242008, 0.045759186905234471)","(0.8666572798900023, 0.049874272363058345)","(0.94936933071658713, 0.030884743868779877)","(0.92651744268138558, 0.044182519528590078)","(0.87455127387085729, 0.090744665905392749)","(1.0368684578133693, 0.052804396628754739)","(0.8605736603552202, 0.088027830569071389)","(0.77277002633862324, 0.11449581071502681)","(0.89888965990126324, 0.082149015717413801)","(0.93446018460127434, 0.033751322389532074)","(0.88379884938827702, 0.051590690807450296)","(0.73942479023441932, 0.078481761360962687)","(1.0700097525731607, 0.047460849798523171)","(0.94274511358006496, 0.028231019869604329)","(0.98430055012853324, 0.027124777355320904)","(1.0091192101455404, 0.021416645107703292)"
6,"(0.95656310973682912, 0.02192016682873325)","(0.99835195634009666, 0.018279127298612405)","(0.97304339331450662, 0.018490620176266345)","(0.98204131432274144, 0.016262480378743307)","(0.97338307022421955, 0.013939417872461717)","(0.98282629130923937, 0.021719911798829851)","(1.0227813652424227, 0.017353627698221082)","(0.95879852664231391, 0.026315707143101427)","(0.98049226727399597, 0.065598055666459307)","(0.89951898946844999, 0.034873204593185388)","(0.85304649204463179, 0.035013350675684368)","(0.65858890388923907, 0.061204074540439274)","(0.85645287631423361, 0.053221241644099811)","(0.72959783991172911, 0.084343068357105783)","(0.90029783419010789, 0.025855846359850807)","(0.75637528361249751, 0.065428951709740321)","(0.97363446949883392, 0.070299977979481634)","(0.87951582733335221, 0.021778307990923913)","(0.75532750628424139, 0.074551757414972455)","(0.80117251195630923, 0.068984785413167063)","(0.87527792847828212, 0.06552435928199056)","(0.93038718686209021, 0.025321057785873208)","(0.97774470927739254, 0.030287787338305755)","(0.99853902715908471, 0.019747173891672843)"
7,"(1.0250305130421185, 0.026310757817593334)","(0.94950397246988638, 0.018716649514200438)","(0.96913305240088921, 0.035977926915142386)","(1.0127744232338445, 0.02155192033018561)","(0.99742547104487345, 0.017166769409715697)","(0.77085093083516976, 0.058269764244494267)","(0.92187211894736254, 0.033517844282901416)","(1.0041317272399133, 0.090653490906785053)","(0.67140574801914565, 0.056323098052825787)","(0.62688337356797408, 0.095557886981442117)","(1.0508346989851844, 0.1079430033476651)","(0.88501644252399236, 0.042999695829921511)","(0.96460845843963416, 0.079865915160244841)","(0.80606715298419707, 0.047641777800320598)","(1.0379642173269539, 0.049680737799658009)","(0.93537612715131224, 0.060121352666477695)","(0.79156285633140289, 0.076866561152998975)","(0.86442488689388319, 0.069125353089483213)","(0.9843629297798141, 0.043074186128238212)","(1.0185954634633294, 0.065939257398245632)","(0.99345172111463131, 0.07385339982302036)","(0.94653781722371821, 0.032399059150699669)","(1.0042014458119093, 0.031569254713142383)","(0.97337320510245751, 0.027654739291915496)"
8,"(1.0217360999161689, 0.026043124578801487)","(0.95081528555141837, 0.018763963724935329)","(0.94985242593377461, 0.02720952811549112)","(1.0042247921573766, 0.022446417755362637)","(0.97956342945461561, 0.012267742877399641)","(0.77933175510639852, 0.055817380006348588)","(0.93037043264627561, 0.031640870229586858)","(0.95781476779013974, 0.13319396094004657)","(0.86721846475883946, 0.062001748962413963)","(0.65353842393103445, 0.10560998136905719)","(1.0639557131026969, 0.14130594681768746)","(0.89807061634049545, 0.070163888496746638)","(0.84664024612346955, 0.11002835380295606)","(0.81237762132618463, 0.048109960664675572)","(1.0691166625812962, 0.078855871777566977)","(0.90655736034039591, 0.14153687733865486)","(0.66645846702017086, 0.08638848009022973)","(0.72089999139152072, 0.093014148853935566)","(1.0168556436604697, 0.037525728278142795)","(0.84316593380233673, 0.066654697203270372)","(0.98962030366652642, 0.080873878239133029)","(0.95298693741697182, 0.03715031617183763)","(0.9845930547831222, 0.034815247055403092)","(1.0169912543057031, 0.02529862843681174)"
9,"(0.99785809912490653, 0.03725502587210202)","(0.93575791701833555, 0.018831494182062987)","(0.97105316924563567, 0.028691617072346853)","(1.0078744944089795, 0.023682724468329086)","(0.98305664189348452, 0.017516155580195186)","(0.72611991144127108, 0.072529485963582496)","(0.90771836785269355, 0.033088127761603602)","(0.89857937451254333, 0.10615908126862506)","(0.93464239259223247, 0.086042219312029863)","(0.80057398819647174, 0.10618557343305832)","(1.1340539826857807, 0.15477093989567997)","(0.8908399342607034, 0.070388316083036875)","(0.87947581731990288, 0.10954819480793651)","(0.80428732756443699, 0.04899281680355539)","(1.1522763405088086, 0.093124426298319754)","(0.91629445849306068, 0.14173422914443323)","(0.71097342918908002, 0.087487484053104553)","(0.77577269541816862, 0.093362802721486463)","(1.0170062902085033, 0.03936425992999832)","(1.0710169786104762, 0.067400180285427602)","(1.0404555331303951, 0.071421520975677416)","(0.97775057017072808, 0.0529266308364039)","(1.0046960272785559, 0.035079552263204306)","(0.96808048936544444, 0.028993912935469674)"
