DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.2099491742855215, 0.043223358213203528)","(0.80684835779175412, 0.076015491033680258)","(1.0685774329522022, 0.061208722729746069)","(1.2614936619132846, 0.082359707955946826)","(0.85957021842399151, 0.059107654122088557)","(0.82047915264750138, 0.043733098362214416)","(0.59951320815453535, 0.045560206446220219)","(0.66290731788429469, 0.076624182027527465)","(0.71352549065589632, 0.047666344606301855)","(0.58293182016516309, 0.051549790681336118)","(0.66378603532678637, 0.044031912928839213)","(0.67806167900721426, 0.040502132713277475)","(0.65135177631452146, 0.054235123838809372)","(0.58152057461919482, 0.069739981619758182)","(0.70800894768188483, 0.088893608172786756)","(0.80509053228621774, 0.12668574003019112)","(0.69544821154268177, 0.069720212954994656)","(0.59537884931958274, 0.042141349365785508)","(0.86245856118055941, 0.1258364600800311)","(0.679492982826714, 0.031158894051029836)","(0.55712170592891175, 0.036281539304681788)","(0.61663054739186451, 0.039763622306601125)","(0.69581972002627257, 0.042442568111693675)","(0.61069732183198289, 0.045987260012141491)"
1,"(0.98878715858467636, 0.11781675540089709)","(0.88228964980759195, 0.083793546585467366)","(0.5854830882752956, 0.10983676057901974)","(1.0043183211710336, 0.089303708643190052)","(1.0585688717918256, 0.046825427773153842)","(0.95375401479800126, 0.060054353293393675)","(0.84336597375246036, 0.047334040429729995)","(0.58030657948085995, 0.086424564625392053)","(0.63680692097036451, 0.069736274558175396)","(0.63507301822563511, 0.064951004365627257)","(0.61459485052371532, 0.056427657726415288)","(0.61829699610111266, 0.049413243172267043)","(0.677225137241103, 0.069845708951036325)","(0.72233133134437244, 0.062422512311661481)","(0.73901831109464922, 0.084451773556148885)","(0.57004234461713121, 0.062080367444345065)","(0.65845396315119109, 0.063289474233403073)","(0.72122056451376837, 0.033641744238871958)","(0.73322801052603648, 0.048290307010959085)","(0.54898598447298708, 0.060162929852481777)","(0.61898345939431187, 0.089233255601240041)","(0.65246659208963054, 0.05567714110953887)","(0.76397431899000512, 0.067098359921905396)","(0.81880716202765935, 0.056643867393407779)"
2,"(0.83838969394350149, 0.062908607259485883)","(0.86976904363623186, 0.078211744601509536)","(0.94860052761278646, 0.056661393002325533)","(1.0857974326824051, 0.034789463494964132)","(0.99123034056215609, 0.092730452490449741)","(1.0248961998611474, 0.080779859600714363)","(0.66083461118115072, 0.075393928482201292)","(0.75038334776029891, 0.045126568024532902)","(0.73136329949072376, 0.042007950629550629)","(0.72194955900093505, 0.058345147345515602)","(0.7229821797743361, 0.054708161588192458)","(0.54304915310465418, 0.080501292695561014)","(0.79587716018607024, 0.027212846945172904)","(0.7781002596686647, 0.041998031314850602)","(0.7095594967481208, 0.05859432806137508)","(0.70281390019715217, 0.052584000745141454)","(0.81149932728426488, 0.078601863778929817)","(0.75097884658675262, 0.036807873432574738)","(0.73360404377247213, 0.22579716560372995)","(0.176502167070652, 0.076997334291331612)","(0.58152738410676441, 0.06374249840289993)","(0.71822851247701747, 0.046719468315370848)","(0.80671834991308855, 0.056260104515050931)","(0.9164264368809647, 0.070265838530369315)"
3,"(0.92717462714787713, 0.076532394603119655)","(0.96092251390251926, 0.074234315367791889)","(1.2075131632239753, 0.12917964201803106)","(1.0494633480028757, 0.09505779838995633)","(1.0296632717700358, 0.085436860943136433)","(1.0025381127828588, 0.082166454984518564)","(0.8278456024848837, 0.066337638365350074)","(0.62106811945145401, 0.08923511583165962)","(0.75997699407683317, 0.045165541019266446)","(0.73291516369592791, 0.06407552351451444)","(0.74153517391830226, 0.06094931758675827)","(0.66414350760719798, 0.072792483753097006)","(0.78327963990616434, 0.05490001976853115)","(0.71123414535488594, 0.063314505916802225)","(0.64530600912632574, 0.074059421296258185)","(0.58597960616013367, 0.057262838068985751)","(0.76111019961717119, 0.074084926193451694)","(0.7164112199195326, 0.047071903920542328)","(0.79238819661699988, 0.052891610057342227)","(0.55299766116434712, 0.096422768557936564)","(0.69427853672585105, 0.06628766428869258)","(0.63755994930435711, 0.043080655417209235)","(0.75583189562047659, 0.044998321143541485)","(0.73408385098121287, 0.068239481058397472)"
4,"(0.87742389278703803, 0.048055692886036498)","(1.0237720331917672, 0.078113257532510638)","(1.0929816465252111, 0.093682453392857884)","(1.0050741175020272, 0.047778831792233217)","(0.98778793973940193, 0.069832870101537617)","(1.0495375426918101, 0.083206601699231858)","(0.85437026378517633, 0.059012592978786138)","(0.67256249447479644, 0.093224692797426303)","(0.74456403189742948, 0.067710575845685433)","(0.82469354029555131, 0.071232556415290069)","(0.69164466348756293, 0.051606929097844312)","(0.73145301791110251, 0.074735534365728981)","(0.77330727041289193, 0.057176017798274921)","(0.75471570905214391, 0.055566937143427926)","(0.65705770597709356, 0.07675757366758941)","(0.79785552636528267, 0.063954693830961876)","(0.88095146143899017, 0.068041777932283123)","(0.7072279859620938, 0.039802962034334852)","(0.73349017306972197, 0.050577974994766808)","(0.53747253884509982, 0.05778081508633922)","(0.70303640694534797, 0.092278325102501196)","(0.70080057103986937, 0.048388274201362234)","(0.82244387986192269, 0.055576628211913927)","(0.78849841783830232, 0.053138967330110094)"
5,"(0.74514118412083974, 0.072691250766766413)","(0.82357370762835957, 0.077377084149042333)","(0.93557093813443282, 0.089941764677145292)","(0.97523111779134763, 0.17263486451723231)","(0.92737130626597408, 0.076859031928501145)","(0.81592666696440497, 0.053241739083488837)","(0.83741292366572606, 0.066906705159426552)","(0.6751904750921629, 0.067440563908576293)","(0.71140136714038937, 0.040476628763793258)","(0.7068833319961072, 0.17761454271984628)","(0.38628961130043826, 0.10004195869836206)","(0.73326027853298603, 0.13057772388681077)","(0.24391933745519911, 0.12397413392869155)","(0.43783013557331119, 0.1580414373694293)","(0.58906367255248226, 0.20117769268832716)","(0.76772711339238475, 0.099582400747961472)","(0.59516845563742826, 0.061263728188116623)","(0.62522684891167091, 0.14902856369440332)","(0.80679218316132617, 0.037076915737203349)","(0.72928298139762415, 0.12198701930800643)","(0.63452570859158441, 0.052113135555249074)","(0.70280391168110667, 0.041769906364319841)","(0.78772826139054897, 0.04816017558536894)","(0.79829259433132482, 0.059669174324554097)"
6,"(0.75856050372657002, 0.07774216699664907)","(0.77796194863445522, 0.079141201835449607)","(0.92015430681088484, 0.08164889926991728)","(0.87345937532847773, 0.14841353209778363)","(0.95408406407430479, 0.071477741845641596)","(0.81788476726868553, 0.05178645046224143)","(0.81913275399879526, 0.070907364423689653)","(0.69361195993302516, 0.065885371052875022)","(0.7218630189198858, 0.040572056062092673)","(0.65412592668707836, 0.17413476297167943)","(0.42062649679894709, 0.10012716225223928)","(0.7426169675275669, 0.13402891547444282)","(0.23610790252353508, 0.12744880460856525)","(0.44186282309734315, 0.16495283922208159)","(0.64902948747401801, 0.19584206962387746)","(0.72988453974432765, 0.0750578890523661)","(0.71047828152406767, 0.079890755431832855)","(0.61454151872577711, 0.15093193538462069)","(0.80591606723287124, 0.034043790205140333)","(0.67365837351807867, 0.13047444222693133)","(0.5937259126654304, 0.041009947936938795)","(0.72122773179769495, 0.034668653076187397)","(0.81452380727266527, 0.044156231150798378)","(0.81742669238108534, 0.059975972444113283)"
7,"(0.68835584402775774, 0.067248479027076868)","(0.6671674397725571, 0.079415905984544885)","(0.98423144792652961, 0.088576980340713055)","(0.90820962257043603, 0.13963973672569641)","(0.9146765339155335, 0.064640321713195781)","(0.80492349650643125, 0.043023847308833275)","(0.69842632077325562, 0.068439478414715427)","(0.69843487608853838, 0.070741005088026152)","(0.76657508602880087, 0.040760475247277377)","(0.65908475352511886, 0.16801468280136422)","(0.45827800403972907, 0.085789417590328307)","(0.69851264839203786, 0.12899864785571094)","(0.1945262462370505, 0.12848331256683213)","(0.45522120913533143, 0.15586903205590655)","(0.658615359727592, 0.18753001671948927)","(0.78144880438433495, 0.086214865513064218)","(0.65189165153592343, 0.068708093784594762)","(0.58545613841478672, 0.15198572084118775)","(0.79649936515583142, 0.03332515357947332)","(0.70654398676931252, 0.13835555702936558)","(0.61651388331042589, 0.050386286765545581)","(0.73057217706593347, 0.038877567975952106)","(0.80273628310596157, 0.045245521913051936)","(0.80756754868941827, 0.058203988515528757)"
8,"(0.83924851650031451, 0.051693614181712269)","(0.75486834618230303, 0.06400444975489275)","(1.044328795487887, 0.18135103417320539)","(0.82967821963915189, 0.069826041745184336)","(0.84923907681652622, 0.044226486687770572)","(0.5863006446280552, 0.10844093801778742)","(0.86006729023034556, 0.044683528593929628)","(0.65088906730507246, 0.087159812959537536)","(0.72127254926733009, 0.052302766012279713)","(0.40177916980937733, 0.092011154870479922)","(0.61431959614784004, 0.045997461251924221)","(0.63954708447172537, 0.034535732844965771)","(0.58762706837199619, 0.038413687708299595)","(0.49990715509545142, 0.058622128517222018)","(0.44138589047047821, 0.070872084026929627)","(0.74510976235985227, 0.068594765794861901)","(0.52318292263458865, 0.063759459122521706)","(0.57365103452122934, 0.049727672148109692)","(0.46487983056476351, 0.046798516282853281)","(0.42760573896415321, 0.098971526117051095)","(0.59904802572370364, 0.050697577915278326)","(0.58087431640570086, 0.042316570755712039)","(0.67439986530042717, 0.043973951681313746)","(0.73953411587671758, 0.053155440266766198)"
9,"(0.79734426550491988, 0.058572909100947951)","(0.73282165490514972, 0.058797831320858786)","(0.95449968887874204, 0.084774287661233669)","(0.84431589931896001, 0.071384785056845437)","(0.83681979818549435, 0.048346110430472523)","(0.53239307999513774, 0.11347224702071364)","(0.85452126719618759, 0.043958273498744406)","(0.70983035826012086, 0.046618011308673997)","(0.70273323666560505, 0.037832432082423172)","(0.40633203499917148, 0.073062693610123269)","(0.60101102069524581, 0.046479926936161556)","(0.63625105384055136, 0.033574491038550446)","(0.5766150165432421, 0.032518405151063912)","(0.53082441140777925, 0.051275544382594386)","(0.50077193368512041, 0.067415381835846042)","(0.75124516175853628, 0.064548401268534991)","(0.52986475872505012, 0.063618456179601893)","(0.60308717153991021, 0.047193632497028487)","(0.47557010330900484, 0.046754623069582842)","(0.19126580978396648, 0.17628119256396185)","(0.68323597405974434, 0.024534344862800185)","(0.58619300039115485, 0.043409163382167909)","(0.64980020062688892, 0.037055736475845993)","(0.73422785291735015, 0.052675129127240011)"
