DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.90294984777882836, 0.0091861043730486411)","(0.910341403348494, 0.013105131647808946)","(0.90039666312259781, 0.10135681414139021)","(0.65582595402724819, 0.060622449040169786)","(0.85453546918910117, 0.015886026196978906)","(0.82707399512672197, 0.017929178223183285)","(0.88110237413910109, 0.017239850345447279)","(0.74703986189273275, 0.032513583662265283)","(0.87529537863691043, 0.026214029390871751)","(0.85599606369031422, 0.013858181470571799)","(0.85571604514729716, 0.016523012560864723)","(0.88221624012876121, 0.015836142949813097)","(0.86107719332403365, 0.0090953647636859546)","(0.91204572596708489, 0.014753690630493553)","(0.88429156778277307, 0.02312026582294632)","(0.87442140681125913, 0.023664122499927911)","(0.86821859029848791, 0.018811403295292704)","(0.89235070486409307, 0.010873374702812067)","(0.89067144085330707, 0.0094296859936321437)","(0.88472407747783222, 0.0096816587914835724)","(0.90131601849218246, 0.018645652630629183)","(0.91472590491039951, 0.012636247684682004)","(0.89822122334658494, 0.010846845916351988)","(0.88334067173280184, 0.0094125660179287546)"
1,"(0.90560329758778513, 0.008189300380813001)","(0.88172071009542452, 0.0080171002540151762)","(0.94323181410448165, 0.018537052014102235)","(0.95060944641950218, 0.10813271061825033)","(0.78760011865915136, 0.080173214141607982)","(0.86141027973982021, 0.0082678287448418805)","(0.91890621765882896, 0.021032585734877686)","(0.79505874356140915, 0.028739209674341716)","(0.87026523033924574, 0.015323994896065488)","(0.86153751788177857, 0.012749500537769432)","(0.85674613006868583, 0.025553958978664009)","(0.83954489343340033, 0.015668857370413972)","(0.87852495503085215, 0.014119550479012272)","(0.88239247437570112, 0.02099870569802768)","(0.87991742693485708, 0.011043258285325446)","(0.9150007767823457, 0.027511249759960263)","(0.87695622941524498, 0.018914573002113241)","(0.91464731481065242, 0.01024883970826564)","(0.8896674702897458, 0.01167387006350324)","(0.88629626064777001, 0.056084918395299839)","(0.84586757864930839, 0.019063669376612372)","(0.90572355760611056, 0.014350341918271635)","(0.87332733961934594, 0.014534584379015673)","(0.83602617073552277, 0.012975391671476162)"
2,"(0.87046838565590012, 0.011153588238497335)","(0.86092679050362586, 0.02183023169931753)","(0.8835724946334379, 0.023486534488112512)","(0.9028286136261483, 0.039077474430254333)","(0.80565755414657625, 0.062369615621453961)","(0.65557545399238593, 0.033355728368364743)","(0.86610133802624034, 0.016499501182169911)","(0.80435241240139477, 0.033198043615538422)","(0.87441196671531973, 0.018422880674426031)","(0.83139960077707709, 0.018680142059967562)","(0.93101779610426427, 0.014059830499121184)","(0.88871258959347832, 0.02378489411621135)","(0.87493344342783996, 0.021383004957251223)","(0.85875166381441259, 0.017673747770857569)","(0.8673930456706147, 0.014020681918766629)","(0.84394601317804707, 0.026159465753844792)","(0.85050264026980971, 0.023302788350395724)","(0.85301660536921664, 0.012244269568016476)","(0.8794019396874786, 0.012595765814144271)","(0.86782394445066746, 0.022889760159021177)","(0.83269885254977116, 0.022589379453168811)","(0.88466943334655546, 0.029363255359181783)","(0.88745108999441025, 0.015472011546876174)","(0.83276036765187877, 0.012595394531014197)"
3,"(0.87047951876333585, 0.011215682086944199)","(0.8616763836143988, 0.021832500423568661)","(0.88360971281846834, 0.02362759071781104)","(0.90484744370168446, 0.039337000991717365)","(0.80389538432742969, 0.062547597004777869)","(0.65539376169232955, 0.03334585398385622)","(0.86508148783281402, 0.016459744184653454)","(0.80476467511095118, 0.032597692605905601)","(0.87663790125425178, 0.017888770161456579)","(0.83370966914593481, 0.018000737793170612)","(0.91122309291776726, 0.013676527856719896)","(0.8843930318184321, 0.023898504466843218)","(0.88625809860134075, 0.026072274992349473)","(0.86388315147844896, 0.01583260227151086)","(0.87139257159268846, 0.01373929283827649)","(0.84721198350239957, 0.02529274005006401)","(0.84947073138267715, 0.022929912067778831)","(0.85211598131612176, 0.011993228054289092)","(0.88110537970115976, 0.01368819563782415)","(0.89141822320573127, 0.022498332169840006)","(0.83355669967459811, 0.021967758561248271)","(0.87584896580074045, 0.023964716233824037)","(0.88767272461310454, 0.016942433494435125)","(0.83913553525319162, 0.011665894328705134)"
4,"(0.87938163486869025, 0.011239694565558215)","(0.86054350563495585, 0.022159745360079343)","(0.88485072420928124, 0.023047981470136213)","(0.90620805011612826, 0.038706095055095764)","(0.80907982263809175, 0.060144808743351937)","(0.65948235706880409, 0.032755343182713788)","(0.86729701462661701, 0.016301955349912058)","(0.80288838099738857, 0.032774175414858636)","(0.87802485648999562, 0.016801585054726148)","(0.83086397886640562, 0.016657740509824128)","(0.91181340332650318, 0.012928038965369365)","(0.8848902265803773, 0.023687480731789196)","(0.89517433576397609, 0.022759333926358195)","(0.86054177956122557, 0.016807603096340464)","(0.87182344595033956, 0.013825192670785059)","(0.84547983310152985, 0.025175461346746985)","(0.84796374810377595, 0.022504981314070461)","(0.85152212084325263, 0.011987598015206826)","(0.88083983367715302, 0.013982049467845786)","(0.89048930445935237, 0.022236487550145255)","(0.83304241227150921, 0.02168129132196004)","(0.878973704298878, 0.023756998064857492)","(0.88778749388504719, 0.017098652598213322)","(0.83886337812035106, 0.010942323947508473)"
5,"(0.87284521407756099, 0.011219318083419749)","(0.85955253646720831, 0.02173922314879221)","(0.88351031827206516, 0.023575001151505858)","(0.9046512125687628, 0.039418298226028381)","(0.79921994474209845, 0.062512144700926683)","(0.65642567391323881, 0.033516831159597874)","(0.86708459607780775, 0.016412950419527395)","(0.79926071037489332, 0.032981242333328976)","(0.87651812055932854, 0.017669633026682431)","(0.83367122744994293, 0.018144414593786476)","(0.91570864345248881, 0.014286473415863192)","(0.8845731156779012, 0.023242139169027454)","(0.87583662261884387, 0.021011525112669353)","(0.85858601773449694, 0.017663067136777715)","(0.87093118812516834, 0.014070148289412863)","(0.84252270301607413, 0.025961677731666858)","(0.8502970712971103, 0.023245324780285653)","(0.85541949546888407, 0.012461951662191103)","(0.88437690974743766, 0.012462176381702925)","(0.86867489867987657, 0.023745067167340945)","(0.83516747561151372, 0.022827788951570324)","(0.89827410353374082, 0.026205915503184001)","(0.88622988439909778, 0.016698241871489508)","(0.83499895623502374, 0.012561035264149338)"
6,"(0.87046838565590012, 0.011153588238497335)","(0.86092679050362586, 0.02183023169931753)","(0.88357249463343768, 0.023486534488112509)","(0.90282861362614852, 0.039077474430254208)","(0.80565755414657625, 0.062369615621453871)","(0.65557545399238648, 0.033355728368364548)","(0.86610133802624023, 0.016499501182169907)","(0.80435241240139443, 0.033198043615538603)","(0.87441196671531962, 0.018422880674426149)","(0.83139960077707709, 0.018680142059967562)","(0.93101779610426427, 0.014059830499121184)","(0.88871258959347854, 0.023784894116211149)","(0.87493344342783996, 0.021383004957251223)","(0.85875166381441259, 0.017673747770857569)","(0.86739304567061448, 0.014020681918766945)","(0.84394601317804707, 0.026159465753844792)","(0.85050264026980971, 0.023302788350395724)","(0.85301660536921664, 0.012244269568016474)","(0.87940193968747848, 0.012595765814144271)","(0.86782394445066746, 0.022889760159021184)","(0.83269885254977116, 0.022589379453168811)","(0.88466943334655546, 0.029363255359181783)","(0.88745108999441025, 0.015472011546876174)","(0.83276036765187922, 0.01259539453101355)"
7,"(0.87858907995940549, 0.009814777481222758)","(0.85694623000357817, 0.015743798920779539)","(0.8472009189590316, 0.013141763704597355)","(0.89078907980602329, 0.027505612189449181)","(0.78634416639497795, 0.07074792348412326)","(0.67278958210304829, 0.046621940127843486)","(0.88292804127027913, 0.026474894015958324)","(0.84867845077867532, 0.02027932815519334)","(0.87476011857408853, 0.010089158426730534)","(0.82543881677618303, 0.024887686806121769)","(0.84160449595793341, 0.029804672373877569)","(0.785454507974651, 0.042844357639495609)","(0.77307051175789709, 0.031008081596906691)","(0.7637006220144793, 0.020892469933645911)","(0.84119868108814611, 0.016834621324965299)","(0.81091868924225885, 0.030280556825155548)","(0.84979400395279936, 0.052211610977412733)","(0.77371027893393596, 0.019064456163773395)","(0.8378227082258346, 0.019075522106713746)","(0.89081852113703786, 0.031487271313292195)","(0.76683626814227779, 0.040824033491829323)","(0.74030898147439406, 0.036991654085631022)","(0.83756701791920574, 0.032286630604359733)","(0.85738130095370879, 0.013496947286172203)"
8,"(0.88974891317340776, 0.010146402416431621)","(0.85832096353569787, 0.014758852490899498)","(0.84695984231246435, 0.013085813207755764)","(0.89067329984544097, 0.065759287627589161)","(0.7812780331136826, 0.054140621000038025)","(0.87382020114452219, 0.040751582083406283)","(0.9006898376862944, 0.030504682698597629)","(0.84954092512580204, 0.01887392020880168)","(0.86742358649643847, 0.0091557944034934332)","(0.82459479014404014, 0.02492448504345593)","(0.84204916365579574, 0.028867526298738989)","(0.80959141449398553, 0.041030542664911317)","(0.79641148171354503, 0.034769215036354377)","(0.68945319237267799, 0.021288704592428358)","(0.83249064739983469, 0.019743008683153082)","(0.80174307680149948, 0.03133056889297868)","(0.83533879071211126, 0.058953867062277947)","(0.75783136154754482, 0.020666218086446753)","(0.81833780377065379, 0.021299496642488751)","(0.85870851164863848, 0.031361963051012638)","(0.76191592329296576, 0.040935424527047265)","(0.75129728360513293, 0.038167013435851174)","(0.84336388526007589, 0.031421540173972459)","(0.85768436528786418, 0.012748124077277764)"
9,"(0.87046838565590023, 0.011153588238496938)","(0.86092679050362586, 0.02183023169931753)","(0.88357249463343768, 0.023486534488112613)","(0.90282861362614852, 0.039077474430254208)","(0.80565755414657625, 0.062369615621453961)","(0.65557545399238615, 0.033355728368364708)","(0.86610133802624034, 0.01649950118216964)","(0.80435241240139477, 0.033198043615538422)","(0.87441196671531962, 0.018422880674426149)","(0.83139960077707709, 0.018680142059967562)","(0.93101779610426427, 0.014059830499121184)","(0.88871258959347854, 0.023784894116211149)","(0.87493344342783996, 0.021383004957251223)","(0.85875166381441259, 0.017673747770857569)","(0.8673930456706147, 0.014020681918766945)","(0.84394601317804707, 0.026159465753844792)","(0.85050264026980971, 0.023302788350395724)","(0.85301660536921664, 0.012244269568016476)","(0.8794019396874786, 0.012595765814144271)","(0.86782394445066746, 0.022889760159021184)","(0.83269885254977116, 0.022589379453168811)","(0.88466943334655557, 0.029363255359181786)","(0.88745108999441025, 0.015472011546876174)","(0.83276036765187911, 0.012595394531013548)"
