DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.37687473132252985, 0.0073895994795822604)","(0.36397917695573279, 0.010482752818883362)","(0.35446610808557433, 0.0063976582714576433)","(0.33594348505146177, 0.0060303662466415489)","(0.38062257695488749, 0.021496571050138472)","(0.32472614960412877, 0.009843149977568676)","(0.3495776892768106, 0.018626379854203338)","(0.38018088993700233, 0.017405354785230906)","(0.38569035226160625, 0.01542720597077323)","(0.42135110045625873, 0.021837932286122803)","(0.35769161938902583, 0.023824021394557991)","(0.38875231194007664, 0.011149082949760473)","(0.41177754437817632, 0.012538588894771052)","(0.37183764238946043, 0.0085163480918428285)","(0.37453240381044645, 0.010124373347857383)","(0.47157256965333122, 0.01707121458110606)","(0.35270852543901998, 0.0070435071247833781)","(0.38599235758641748, 0.01096749457025485)","(0.41192099028352741, 0.0085677614338779389)","(0.45531130583756729, 0.01744064871693406)","(0.4400921794542304, 0.012592615125754944)","(0.45774646860347323, 0.014383969889022479)","(0.44771748722337118, 0.014787175671813401)","(0.35140784700881306, 0.0085593232008592847)"
1,"(0.37610758724799565, 0.0074767627807610874)","(0.3669181054666395, 0.012141436997199936)","(0.35466452742937382, 0.0063422005034535003)","(0.33618099611058327, 0.0061190771462614436)","(0.39391710888565296, 0.025744316157151163)","(0.32710602859048349, 0.011777177190149256)","(0.3522772575286931, 0.014667296025224092)","(0.38297191392404112, 0.017912611497630817)","(0.38053278377823391, 0.016075732615399966)","(0.42050082300515168, 0.021596978039607865)","(0.3564818748815069, 0.022747905289540744)","(0.37486933251676385, 0.011002633176482807)","(0.41357258783116724, 0.010972438732183639)","(0.37436300055380439, 0.008306318458016439)","(0.37574071851541518, 0.011309239920651559)","(0.40033180306219135, 0.025070355648338032)","(0.3532684062467864, 0.0071191554386370991)","(0.37756105988211852, 0.010674478251155695)","(0.41228868017516046, 0.009612998947358212)","(0.4530376176420578, 0.017337511137914673)","(0.43867842973890592, 0.012354210613560252)","(0.47154832617908576, 0.019958047507854359)","(0.45761985794620402, 0.014726483546401338)","(0.33335873348659839, 0.011604522672496852)"
2,"(0.37722935914746009, 0.0085713264285195868)","(0.35674170227329488, 0.012526784030915743)","(0.35641053375667942, 0.0073128520010790777)","(0.33718244095910704, 0.0074499577766078042)","(0.33567038989362741, 0.020184347900065167)","(0.32274876478548697, 0.0127439488350219)","(0.35211474624133676, 0.015171490929235474)","(0.35171350040260102, 0.017499683793579315)","(0.39095930550365449, 0.015389531473824774)","(0.443265664836554, 0.023160102986783747)","(0.36074010781012089, 0.02213193526765506)","(0.38433157740416601, 0.0156405021876917)","(0.40736329707727764, 0.011879024131733239)","(0.37426210126834347, 0.0085524685344153441)","(0.37806872703218558, 0.011620794121433239)","(0.39897100503657135, 0.024611823486375934)","(0.35451090249745948, 0.0065823725337373767)","(0.3810478109249133, 0.010905926665690211)","(0.40630096896915335, 0.0090379655422225414)","(0.43839301761960159, 0.013365068304365971)","(0.43508379186356139, 0.012711378052251102)","(0.46797859665570496, 0.020962471313001281)","(0.45959287255181014, 0.015648719748239049)","(0.33676118966542268, 0.012122439679285398)"
3,"(0.3761034420317359, 0.0073408785709229256)","(0.35063938040608866, 0.0065647428816532462)","(0.34651754755962477, 0.0038366274533494938)","(0.34064632987932342, 0.012194252152035826)","(0.37944958406313911, 0.017110132913270397)","(0.33263263517615432, 0.011489879011947696)","(0.35536966037022144, 0.011074630154372512)","(0.36594595499871663, 0.016829404587739769)","(0.35330406321294311, 0.011093815854888875)","(0.41124671809885638, 0.024672991077022099)","(0.35548746804520981, 0.02487584223402961)","(0.38485828130714783, 0.012074029020130723)","(0.3904134431674201, 0.011999482467913221)","(0.36845532677627757, 0.0077631526195563157)","(0.37138553392020984, 0.010758430239915876)","(0.4715917353220796, 0.018591453028670862)","(0.35567849858499495, 0.0089344802143499508)","(0.38785837661020067, 0.012001535254408995)","(0.40963562807275711, 0.0096458819566112818)","(0.43925558719479713, 0.016859536595451276)","(0.451132533590478, 0.012135597828466798)","(0.46276767975309951, 0.013252132212101135)","(0.38897264647644886, 0.016189432778047429)","(0.36499769729373577, 0.0094783499958090624)"
4,"(0.37469855020061504, 0.0085347494253658271)","(0.35670564324996168, 0.012748023236908776)","(0.35615315786124135, 0.0071184588928680011)","(0.35949432127819186, 0.017786498417564904)","(0.34273216371001602, 0.02027419130453538)","(0.3261433566632308, 0.012400678462088876)","(0.35232277315581578, 0.015069124217248358)","(0.33985581958664607, 0.01606624548366185)","(0.3885222063174551, 0.014898111393968554)","(0.43840597795498343, 0.022581717387779955)","(0.35981793318993299, 0.024427134012929626)","(0.37794429997882339, 0.018534484706810239)","(0.40836916316142635, 0.011859179607042159)","(0.38178680021027706, 0.0088489311953482541)","(0.38242293947693456, 0.01130161032665262)","(0.39916253079912917, 0.024970350634169948)","(0.35493851782282376, 0.0067240866371825071)","(0.38684030976962164, 0.012428803090789576)","(0.40677292807541943, 0.0093630688119870804)","(0.44152773533620232, 0.013032548484175363)","(0.43736126901373412, 0.012804834234158983)","(0.46824458462739904, 0.020023442420066671)","(0.45607101651481102, 0.016075573706574663)","(0.33829894705358221, 0.011177139172774034)"
5,"(0.37490850427756944, 0.0080668047071449835)","(0.36052925880784464, 0.011702658779842699)","(0.3561096354088189, 0.0071298540383642481)","(0.33702969939244642, 0.0076490811793565698)","(0.33604115735358392, 0.020228891383694797)","(0.32498105327399057, 0.012092488738160724)","(0.35087434630595327, 0.015218632011347046)","(0.34706170591221891, 0.017571361594299739)","(0.38706378614598602, 0.014730884497176976)","(0.43884682013742488, 0.022713307677030434)","(0.35962029674670892, 0.023752970283293744)","(0.38147004246924926, 0.017675169934948522)","(0.40855471966479712, 0.011747863412626356)","(0.37796574580134251, 0.0086298076478114882)","(0.3775693460084607, 0.01142153368172243)","(0.39864848346484411, 0.024748381321104743)","(0.35403371617954343, 0.0066247778242035371)","(0.38158896768488942, 0.010971237114962328)","(0.4065658623935286, 0.0091079405708649405)","(0.43959668107892469, 0.013376925634406997)","(0.43897073926990343, 0.012422611082428845)","(0.46872184172374093, 0.020393032529505594)","(0.45972286012665292, 0.016168821419003117)","(0.33768166895959362, 0.011584871642896242)"
6,"(0.37690914703727357, 0.0076991267929587808)","(0.33809419103908789, 0.0085692634548985725)","(0.33995756980990782, 0.0078879863038053694)","(0.35638389807089721, 0.013256813748497128)","(0.33824672535792194, 0.019838048731460285)","(0.3247437216708563, 0.014500515914827218)","(0.35947442839394544, 0.010690604737986425)","(0.37034226333456116, 0.013633124249399414)","(0.35351459460870371, 0.013344082823897048)","(0.42028173579734579, 0.025443669394842296)","(0.35097637598451858, 0.021138796698011667)","(0.3807475356742171, 0.011415698245539231)","(0.39325891125219947, 0.011028943829003761)","(0.36621118140851244, 0.0076287885974099289)","(0.35796998535352154, 0.0083161103498020864)","(0.47510583735762008, 0.015784304205661834)","(0.37527344790489281, 0.010631045010931603)","(0.37329647536727562, 0.0094949182012632125)","(0.4133015078130714, 0.0084790828281173028)","(0.45588544725557151, 0.01441117127133308)","(0.44166895658378669, 0.01216397506168)","(0.46936662617862901, 0.01352076536527857)","(0.41165201069919549, 0.017683113305014327)","(0.34467907850084101, 0.0086140731706542076)"
7,"(0.3644392278838276, 0.025975607397443725)","(0.40242801941727996, 0.013059197787433975)","(0.33423664850760315, 0.023423380184084349)","(0.35310713909160002, 0.017667477455763123)","(0.37059548231318679, 0.026945939247324125)","(0.36099653403326193, 0.027639202305095804)","(0.36268679583879376, 0.018626679715757769)","(0.30698331641950183, 0.012752457999988299)","(0.40054899193466426, 0.019960817904719364)","(0.36329744256612206, 0.013346437356311185)","(0.35979662239175264, 0.012576871949812135)","(0.39118346002268556, 0.013941360458855216)","(0.37871141976406408, 0.016214037280819028)","(0.39251069014782686, 0.019381098994558438)","(0.38608925497113256, 0.017030720589169809)","(0.35325973532775012, 0.012512646820386631)","(0.30516684347340906, 0.016943427769038205)","(0.35861514134999506, 0.01248529969605407)","(0.37694179678802286, 0.0090366917016560192)","(0.42638440784708986, 0.01039904421446761)","(0.43988320278954607, 0.01057720523960598)","(0.40570303153336795, 0.014529338085761366)","(0.41910113665976784, 0.019619264910764156)","(0.38189684138486196, 0.017442625307569622)"
8,"(0.35137494995227792, 0.029345940135811481)","(0.40794107347757164, 0.012363370790520304)","(0.3347029893781453, 0.023259506505475529)","(0.35340533452115747, 0.017775195090083552)","(0.37085441379770417, 0.02884510852135309)","(0.39602821720003989, 0.033532070239677352)","(0.36127627903345538, 0.017675045003805182)","(0.31328959166100778, 0.015625980668581573)","(0.39143256677710908, 0.018035132981105279)","(0.38717089173523567, 0.016033110365784243)","(0.35540314353810631, 0.0093589322931870722)","(0.39763214314023787, 0.014822077249542183)","(0.3762487929329798, 0.01720462099788268)","(0.395764879597997, 0.018475391485161304)","(0.37731177346442873, 0.019101642775003994)","(0.35241155536266938, 0.014988467682297862)","(0.3226819211498092, 0.019584174883760484)","(0.35968585791479057, 0.013589036977853802)","(0.37997576835902869, 0.0099042923669779553)","(0.42635322455457247, 0.0092574795523123112)","(0.4404750649492965, 0.010886244205772494)","(0.40703273059508882, 0.013290569025833143)","(0.45044809909077194, 0.018226285303254347)","(0.38038517983989356, 0.021093471984405615)"
9,"(0.37976231367345564, 0.0098833217360097207)","(0.35273187234212644, 0.013703923013691955)","(0.34982756533018017, 0.010477258530362531)","(0.36506541363254441, 0.020324771638715471)","(0.33695592899078197, 0.023341998596004512)","(0.32681389384667053, 0.014344501300880781)","(0.34790627329075619, 0.015157356453883141)","(0.3291377741081189, 0.015938902353113436)","(0.38643886082193257, 0.017234480765718048)","(0.4416111738709535, 0.023001392629348673)","(0.36890074214043794, 0.022015101366923626)","(0.37420263197187836, 0.012924717411319607)","(0.39602970374596175, 0.012182750248588677)","(0.38215739785521674, 0.0099982482119641645)","(0.3915240310350081, 0.0090249581832334367)","(0.41268760824629513, 0.021387205642735763)","(0.37279166458130175, 0.008623260837540796)","(0.42142573337342731, 0.012994889103373311)","(0.40893729805965651, 0.010241259084272938)","(0.42361117233194878, 0.014476795623622045)","(0.4254889347636665, 0.01315175828141967)","(0.46650765564712598, 0.018879902736682337)","(0.46072385331169358, 0.016155003864418805)","(0.38632819824557219, 0.022444396928214465)"
