DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.90870335967516502, 0.071585596650792491)","(0.85759672491918115, 0.096443257368931154)","(0.88924824247270173, 0.14669904464255645)","(0.99086152006429862, 0.056289198866403975)","(0.84800311143309237, 0.087345215091885989)","(1.0290765640837825, 0.068665655768918796)","(1.0933944122853492, 0.067340329454045431)","(0.94180838739986339, 0.064176839643200326)","(1.0270321143455443, 0.045939609208373221)","(1.0985437359695465, 0.054209548062782061)","(1.0040256876877349, 0.080065319205867277)","(1.0138333105434829, 0.052574529545300543)","(0.95299507758081581, 0.043462295534760831)","(0.96429405842144555, 0.062459025003960597)","(1.1605347195330566, 0.090786520207048804)","(1.0319171270323342, 0.066452790964367001)","(1.2217775377985274, 0.045554810985548193)","(1.1144513949878416, 0.056929415520305039)","(1.1136756799587599, 0.052592022986418782)","(0.9111018322643889, 0.059663597939261001)","(1.0742028081695114, 0.05062934090402204)","(1.0800031759744728, 0.062870787530371369)","(1.0589889366505343, 0.089175607721864919)","(1.0685486745151123, 0.066671705050627333)"
1,"(0.92935921369404739, 0.11006408925403628)","(0.97955209764082174, 0.081160304518859347)","(0.96868827552698367, 0.086103969884432363)","(1.0888943193038609, 0.11570340919912174)","(1.2723196506969263, 0.15202767726495039)","(0.9988120471322629, 0.081624273999532287)","(1.1368958336493915, 0.064836461836924306)","(0.98315041107823531, 0.060724314500218188)","(1.0265168063031465, 0.053283264694784692)","(0.84444690253848309, 0.058948933136269394)","(0.69798025906296945, 0.042747622438068462)","(0.77985278288867987, 0.039181875382509827)","(0.75659204987695983, 0.035567583973436789)","(0.70122947649197331, 0.048766233420643082)","(0.74143935710963049, 0.047404475487312941)","(0.6802277597638271, 0.048090780668235029)","(0.77955702843352448, 0.054629030052592252)","(0.81568941222479119, 0.043440813974713638)","(0.82083637202516468, 0.043077077089465961)","(0.67245826520372076, 0.059893727504746135)","(0.75740125132547942, 0.067965782627677052)","(0.87683714884039787, 0.070176162957467175)","(0.95300801946489833, 0.1101921460743279)","(1.2899206128771354, 0.1194629577840729)"
2,"(0.97553372297858343, 0.1149750472282311)","(1.0128495080439608, 0.088778592928902889)","(0.9839470793809284, 0.10499542776343468)","(1.0650270055599673, 0.085459446017931789)","(1.3060030060358341, 0.11660987553443579)","(1.0957134779417963, 0.092586327063506169)","(1.1993887734409594, 0.067968585135215157)","(0.932807772197628, 0.068301007942389275)","(0.93146863045141626, 0.068046849610196303)","(0.9620401437369549, 0.031464880223522965)","(0.93694259584518991, 0.033794928189622195)","(0.94624157410577325, 0.025422688282057761)","(0.78528320852519651, 0.033731391066759306)","(0.86964422212522918, 0.034075504192502853)","(0.84494589844174517, 0.065359689015240433)","(0.8466192005232942, 0.073139635474631856)","(0.87854054928054803, 0.059884519965756056)","(0.961233833040121, 0.044857984723761818)","(0.94960605924132535, 0.036379805417171486)","(0.8887406309398862, 0.053083289861257078)","(0.88208245139434194, 0.045997202615262051)","(0.92136786106725577, 0.05013040285593999)","(1.0273963606964331, 0.10495412500609427)","(1.1855822686434399, 0.089682936293097357)"
3,"(0.96074565022356095, 0.10566092084830737)","(0.97384194812260605, 0.082469469239919879)","(1.0073505121536137, 0.096853478324701009)","(1.1701538721547975, 0.11356532027690529)","(1.2454638081825298, 0.095316337790063405)","(1.0627797887819384, 0.08266871792607286)","(1.2129627537800738, 0.067396412483506141)","(0.91369611763725744, 0.064779998128491265)","(0.96746045961620553, 0.064965916290286918)","(0.93031334953069067, 0.034876362067322059)","(0.92630841100083416, 0.026656688971063415)","(0.9697855837196413, 0.024950095080789807)","(0.77760104505656524, 0.032832954287079594)","(0.86817495536493294, 0.03581395518995454)","(0.84138965032553414, 0.049505900599253062)","(0.88456186162821493, 0.075295709813274325)","(0.81944856391093257, 0.061360658666141092)","(0.90527206694703877, 0.042033020018998973)","(0.91286123644036365, 0.030704211176841696)","(0.89120053005870525, 0.052340379979087082)","(0.79312025337762893, 0.044078951484781081)","(0.90836873006261976, 0.049125001334129344)","(0.93620549642136142, 0.097062926591199278)","(1.2410850952071288, 0.096657097179942641)"
4,"(1.0277036835440232, 0.10785553884467432)","(0.97601489030172262, 0.098030484807474158)","(1.0577894507118633, 0.0931569943698385)","(1.056324105892835, 0.11361818582696653)","(1.2616553563191877, 0.082441525909807398)","(0.97224811230245844, 0.067239197025052849)","(1.1103229479665024, 0.092426030580852567)","(0.95193517085183621, 0.070000009609217359)","(1.0344489970356985, 0.044917990340324357)","(0.97779684859616034, 0.041427221502452594)","(0.71492503372876148, 0.039456070099387661)","(0.80163498121466337, 0.036523610971485709)","(0.73983912863848844, 0.03606519875003316)","(0.64765467963306189, 0.045507477159116433)","(0.72218765772397653, 0.049119354142970632)","(0.69292616756162606, 0.071182072584184533)","(0.75930226065597983, 0.057710739649054203)","(0.80805084958121753, 0.043100611740886474)","(0.82668562787180766, 0.040368367940866554)","(0.74011687967975359, 0.063391595145287929)","(0.76552674073644666, 0.06606036859779793)","(0.89248309974981765, 0.06831990393511464)","(0.99927511521576773, 0.10669362851126414)","(1.2697050245552715, 0.10193739235135804)"
5,"(1.1808608145401829, 0.12502326263841576)","(1.0664945089387226, 0.096072991910422706)","(1.1886018183770628, 0.15739633350154467)","(1.0747010536507362, 0.0742876298098685)","(1.1997407909845728, 0.094224608080781397)","(1.0620793661674564, 0.091549232617967491)","(1.2057864726323264, 0.077920574877337279)","(0.96034154088364554, 0.067318788183241565)","(0.93252561076308793, 0.0720043002969184)","(1.0724009293128387, 0.055953063777214394)","(0.94515287340658694, 0.058505142034068716)","(0.95068459090779289, 0.031796457165222294)","(0.82891387354413093, 0.039277440018048351)","(0.89252011553538246, 0.032933989312398951)","(0.85529425176906004, 0.03761470931368327)","(0.92632496244081652, 0.076629443108097231)","(0.96378146467461245, 0.057582697318745303)","(0.98411064048696129, 0.050674971387129182)","(0.93543008570894115, 0.036459714183241981)","(0.91577014490149156, 0.053808394736066467)","(0.95673487402731872, 0.042894713308996919)","(0.89304742531513004, 0.046001097737596607)","(1.0233024054619262, 0.091772534472300452)","(1.1962330220055419, 0.086731678034149037)"
6,"(1.0836273339197371, 0.12114316986520983)","(1.0697237162747502, 0.096674072634459332)","(1.1892196515247286, 0.15753122531577074)","(1.0753031170714025, 0.073827596261277564)","(1.2148651354357689, 0.09420456365672375)","(1.0662294178592662, 0.091744729953208898)","(1.1672135796924055, 0.080158403614764381)","(0.94603527561793943, 0.066371446866072381)","(0.91357750634973356, 0.073162902540550773)","(1.0793993903566679, 0.057528387222396636)","(0.94284356094648269, 0.059789667024129571)","(0.9445205255276844, 0.029210944880206528)","(0.82811257137470295, 0.043522035734870991)","(0.88220721530013801, 0.035607546869554953)","(0.84023945652841647, 0.041896539091402646)","(0.92591564196327292, 0.077779400742155461)","(0.9866682606738818, 0.073832019687968181)","(1.0148043402525961, 0.060532365339529395)","(0.95543659083338772, 0.037800741831266076)","(0.91171759040198685, 0.053710398137399119)","(0.92179678655710562, 0.043564334768203948)","(0.91167864919939423, 0.047101664647214096)","(1.0262695315259822, 0.091714996157903586)","(1.2109426948024211, 0.084895205128525317)"
7,"(0.9030900175607951, 0.097795799283562426)","(1.0099649417611252, 0.11193088482011682)","(0.916554696993092, 0.13857644001767672)","(1.0839119523973777, 0.071305625669898925)","(1.0622806840978769, 0.086956858516943222)","(1.0614567766112117, 0.071774388341917447)","(1.2184137995725053, 0.076521859987636845)","(0.9319681166006859, 0.066370178308138683)","(0.9559263483400201, 0.059307213060637388)","(1.1075084823893699, 0.056104589026744325)","(0.98903450767693946, 0.064923238361132479)","(0.99838677257179187, 0.032334701198417741)","(0.92793743451579058, 0.060635350926829812)","(0.90846561796139602, 0.054303557295923656)","(1.075906743080256, 0.093976727228450574)","(0.94775315159662155, 0.061568956919192973)","(1.0805883105256422, 0.062698304925127776)","(1.0667144783325972, 0.06076417687889283)","(0.95991886549562799, 0.04828694042828776)","(0.90565080622761374, 0.047470918244260599)","(0.91329930217476674, 0.049833630815679611)","(0.95729669416859475, 0.047469149854067853)","(1.0337626219924889, 0.091041496362386884)","(1.1238646416464368, 0.083583477746488832)"
8,"(0.93382705185132131, 0.07105337976847928)","(0.83837699040904301, 0.090605451482518945)","(0.82123068478304861, 0.068906111504984338)","(1.2348017745912994, 0.12250516058374686)","(0.98876669034543996, 0.074192025302594306)","(0.99736605905149767, 0.057147943872200457)","(1.1111535877405108, 0.068654818260596162)","(0.98803651118602454, 0.055510014949002019)","(1.0090239725368768, 0.071180995647373332)","(1.0364226999222308, 0.055335654560515687)","(1.0115592916622749, 0.054147807920556505)","(1.0817505007720887, 0.068778055325472889)","(1.0342969578773809, 0.048028225434440103)","(0.96326880553436833, 0.096748582880744255)","(1.3117845959418664, 0.10856591732468054)","(0.92314660533816673, 0.14548010072993486)","(1.219857154883917, 0.047458330502879335)","(1.1114129282231764, 0.062808199983365343)","(1.0672301023879924, 0.053912191183291262)","(0.83151585516745541, 0.045778561651334239)","(1.0375276954753676, 0.059281286930329372)","(0.97591265475106481, 0.079350373011272179)","(1.0760883103264778, 0.080757446918166387)","(1.1138691080301224, 0.079672683524056181)"
9,"(0.96022217941395394, 0.10238011018410717)","(0.97747701008308863, 0.11274827199484073)","(1.1354062040035322, 0.10856712759606151)","(1.1021157164195785, 0.075760828160793103)","(1.0583188684123055, 0.087519157483160734)","(1.0736449402150583, 0.069470782622310559)","(1.1562646370346124, 0.080927947639910333)","(0.88767591518663969, 0.058041536081858199)","(0.96584538444168111, 0.060103446697537831)","(0.96097119247792728, 0.035892569072971406)","(0.96056864995684776, 0.03936101712779868)","(0.97710479333206235, 0.032028224724810608)","(0.95215644075587125, 0.060323105466453156)","(0.90911374291165237, 0.051576826131801992)","(1.067433811326385, 0.092096750920100598)","(0.95201331503355735, 0.060691458772392765)","(1.0469634118787798, 0.061396746880690571)","(1.0171322849787536, 0.05475939454737442)","(0.98006178888757145, 0.044307820419611697)","(0.89444656247810006, 0.047950443207491214)","(0.92103199193191332, 0.041831123877991969)","(0.93231539323046275, 0.043488531676630159)","(1.0239935698899385, 0.072670675804149681)","(1.0852331195546046, 0.075495832794274909)"
