DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.0984042341368248, 0.069550868386335868)","(0.78232435700733671, 0.072463312711117916)","(0.86028072078783635, 0.062245722519383657)","(0.85730128808835426, 0.068246352924809475)","(1.0681375545036211, 0.078063456657892383)","(0.98550299424776733, 0.077817656500421481)","(1.0238685301052439, 0.077999193127872568)","(0.93444603441466134, 0.085716770162618541)","(0.78670878640137742, 0.097362991022072978)","(0.9038630556023618, 0.087975586191669924)","(1.1735877290672105, 0.073572962094566124)","(0.91217640412311685, 0.051283341130372077)","(0.9511760653336887, 0.068610375278599312)","(0.82521158190227761, 0.08052940304175589)","(0.81394423650932779, 0.088688415600498102)","(0.78091232262695953, 0.096113121502978335)","(1.0022772333101782, 0.088060317692896475)","(1.170919076867611, 0.066998500191301019)","(1.0426107368157254, 0.084245924201971287)","(1.1369080907403062, 0.083139252178302245)","(0.8017161737244004, 0.089139013543092394)","(0.78222780179210039, 0.067266695548634473)","(0.83907497464250502, 0.085369461226806845)","(0.61572650573788423, 0.079545525207616069)"
1,"(0.89564424841029011, 0.077814254585829523)","(0.77877420034558642, 0.059235677935858343)","(0.94452311342153594, 0.046345586034700854)","(1.0104582745904735, 0.0685090405990465)","(0.97245332901122461, 0.065195157895696604)","(0.98951701757823329, 0.060778081934992241)","(1.0253343551748715, 0.10020222723692163)","(1.0161605499811694, 0.10671001584154011)","(0.90905493166799689, 0.058497963196755771)","(1.0290499447242256, 0.048656362333880245)","(1.049525518997801, 0.062114536419838433)","(1.0537296915108481, 0.050280843747079841)","(0.91093833760393594, 0.070462507027115068)","(0.9163331656689131, 0.11706475370708808)","(0.85550606153283859, 0.086626864194517997)","(0.94543651361657621, 0.08653488177058484)","(0.9758971767763589, 0.066086855386020993)","(1.1098541898181813, 0.042262988169527275)","(1.1162192974525533, 0.09297270202737376)","(1.2546021204709537, 0.093869792680814149)","(1.0607358201453738, 0.09053593290439009)","(0.83440653228803563, 0.06257121285336327)","(0.61396024638462787, 0.072987781967146212)","(0.81708957753278122, 0.061170867465250842)"
2,"(0.90617003556050313, 0.05555062760389741)","(0.90510093202307973, 0.044164161752961707)","(0.97698090218017086, 0.041667548832659163)","(1.0992216600935614, 0.050360374135386167)","(0.92494229484419788, 0.060939782417789613)","(0.96686100011684084, 0.05729877978814709)","(0.92471346193497672, 0.045403540412695946)","(0.88095731651750853, 0.060982310077644986)","(0.96587318617531559, 0.044771728579923592)","(0.8895458794554546, 0.05360371966265462)","(0.93575218466640864, 0.028557015442099279)","(0.90753536123575385, 0.031707514441418568)","(0.88285089511610226, 0.046350100260736847)","(0.88048093199604904, 0.039360089473766791)","(0.95093677112796748, 0.047212426793737577)","(0.86403802765891247, 0.059431215292546136)","(1.0683877062046041, 0.059853725987662469)","(1.0445979831852399, 0.034539036211350772)","(1.0483042127788327, 0.03549215293077241)","(0.83130739830617617, 0.045436437595746247)","(0.95751160831139381, 0.049019554226452829)","(0.90249167779403128, 0.054581414634697956)","(0.7124371121741544, 0.058210949226093274)","(0.80583283393007299, 0.079873814492537595)"
3,"(0.85943840297037477, 0.059043525646407052)","(0.88537611972576313, 0.054292700212353613)","(0.96089165578275371, 0.061441989133077253)","(0.97869998323564023, 0.052541151267877832)","(0.94957666016514064, 0.049477201220792015)","(0.91269234817426181, 0.045708776922523571)","(0.85187330016075102, 0.055715486567266555)","(1.0817324373771411, 0.087723497533263889)","(0.98373361899193767, 0.051194259964960749)","(0.96741007931082457, 0.044161405907958633)","(0.84087597915892265, 0.042047654567321791)","(0.85577624774217576, 0.0297598772915805)","(0.87558882300030405, 0.036863556783799115)","(0.8532037125156916, 0.031859165402773039)","(0.81235273564341115, 0.045922264121343204)","(0.8191749550168258, 0.063578424028154612)","(0.80868693553675275, 0.065411082072252325)","(1.0904233951920685, 0.052178578904323092)","(0.97680837213256133, 0.04502173145300753)","(0.80980801204181918, 0.059109759911143339)","(0.79916817223005365, 0.082261884868656113)","(0.90969763742209553, 0.044055777007868904)","(0.77935387047259241, 0.064202298606406083)","(0.88651032728216206, 0.078722912685958935)"
4,"(0.85266618486529022, 0.055565329724697098)","(0.87118774696091206, 0.049289355336692729)","(0.8957084765401524, 0.067287591081192671)","(1.0049170595643488, 0.059870612147354001)","(0.94994298113312592, 0.0472525849596672)","(0.95883750965719849, 0.047867852900226236)","(0.81221631303121911, 0.048172822216008833)","(1.0823474149610495, 0.094787044481089072)","(0.93175186886260042, 0.046288784308507844)","(0.97178519515364414, 0.041857843773330676)","(0.85610001990060225, 0.038188730327977441)","(0.87314076148679964, 0.03014571473428156)","(0.90334542787207295, 0.039351629266532039)","(0.84708715945248159, 0.025089699951239334)","(0.83220124053605593, 0.039406595660436285)","(0.81571634790734915, 0.070391959564347545)","(0.79666136431521262, 0.062000140981135002)","(1.0436691183075648, 0.044917649036612967)","(1.0075790651835115, 0.043112752534527933)","(0.78437773454398629, 0.04910684953300383)","(0.87406409205247393, 0.073733998091415259)","(0.95310296535300121, 0.051713929580142592)","(0.86262030217035646, 0.064893890168759849)","(0.85212992964708789, 0.073301073769022659)"
5,"(0.98902416361076451, 0.041876601221309956)","(0.84745862179653775, 0.060258426100338831)","(0.94968056954863955, 0.046267504385538824)","(1.0464944440580084, 0.052977519763326042)","(1.0263975045092819, 0.067304384113059446)","(0.91655276961004561, 0.058396309028954874)","(0.81341034969496206, 0.055129487917746869)","(0.94361872689386572, 0.078524641553395086)","(1.0202075921725091, 0.043622646267229608)","(0.87150825473906834, 0.051351413540379399)","(0.91256563092314347, 0.028500354753303266)","(0.92172995552747972, 0.034297857594638666)","(0.87356623846744397, 0.045182753797158595)","(0.88986142699631021, 0.033762951125677863)","(0.96655558091390803, 0.089863714073232445)","(0.43637089762417597, 0.073251795416945348)","(1.005092490569877, 0.054435666429795158)","(1.0971847606324667, 0.034267730584225824)","(1.0717653678778578, 0.03705803760441892)","(0.73867549279812994, 0.05576371749164525)","(0.95404292026646709, 0.064948176731136315)","(0.92443496939243297, 0.043711922085426853)","(0.72811665518111257, 0.053646369304660498)","(0.93313778403250802, 0.074894277718406468)"
6,"(0.86524099794583065, 0.062968652339168846)","(0.88682438192351598, 0.041661947438258601)","(0.97776118597564365, 0.05115120261690892)","(1.1228127716347756, 0.065896148416472802)","(0.93810397437406334, 0.065302231100703809)","(0.97247020692322639, 0.046604581704526957)","(0.89309883983662564, 0.047960968467066191)","(0.98382933821385876, 0.064501543155968871)","(0.9267209381523005, 0.035306541540789424)","(0.98172565404739964, 0.046490590907264664)","(0.94053958801223025, 0.032531238427516318)","(0.89206255605820073, 0.0305023461588299)","(0.87732284868421706, 0.040535669481747999)","(0.84181227897094146, 0.034466576553694499)","(0.89727410241129313, 0.043582404831793042)","(0.8627973683519391, 0.054382561992446107)","(1.002379120009014, 0.057095108074628052)","(1.0233018393768376, 0.043002625476624645)","(0.97635683102865856, 0.043324896641773109)","(0.82376620740741591, 0.042276271983005036)","(0.94562569347647807, 0.051549979319035599)","(0.98516663272538452, 0.054483178781311627)","(0.82528315765085203, 0.052492899508237753)","(0.84540613260048458, 0.083644197639505688)"
7,"(0.86612905642512206, 0.066259966744746421)","(0.92396194665053144, 0.046281176396601169)","(1.0003301576131902, 0.0511319624445929)","(1.068461638864006, 0.060801426157789801)","(0.97452567037174609, 0.058419538939864971)","(1.0125589977134568, 0.045461277217460488)","(0.8932602039749058, 0.048085513578335515)","(0.92611723117938871, 0.067435194320555489)","(0.94276909739241654, 0.045166187080973162)","(0.98160025611866697, 0.052048870556581722)","(0.89966608688786165, 0.03657746201176279)","(0.88134119946805334, 0.029330995653087482)","(0.86853036105295389, 0.043702465991127683)","(0.81925972288605586, 0.041153846444687704)","(0.89041262138036692, 0.049701943535156043)","(0.91613172780695373, 0.060940981365208667)","(0.91828386697812536, 0.070609466507086951)","(0.99989968321884004, 0.044396695428121628)","(0.99936578053789493, 0.046134504133495818)","(0.8253235543394547, 0.047024438746211976)","(0.9291787815239857, 0.058516246076966427)","(0.94501317831626397, 0.0547525170671158)","(0.8803609326284989, 0.04962862908829347)","(0.91122698706203631, 0.085306690885421227)"
8,"(0.95541870545203422, 0.046732304543398412)","(0.92608860370055346, 0.070325399362843211)","(0.7440775750817864, 0.051964695778170422)","(0.88054293803878736, 0.040721486644249773)","(0.85330536547627178, 0.047776338761409673)","(1.0052879601979858, 0.055669251765987929)","(0.94827414527874387, 0.067033753562275825)","(1.0301766587101255, 0.079035227596813529)","(0.99868894339278413, 0.054840655931941394)","(0.91325761663421068, 0.033669667262456869)","(0.79667898175932961, 0.032524657232272991)","(0.718352865605414, 0.020908906298064588)","(0.74044354801968104, 0.020489833234794527)","(0.75271764661785145, 0.026620563703197143)","(0.87181704793467829, 0.04373401628045847)","(0.76117850337336945, 0.049841165953036934)","(0.7880213770153881, 0.056290277955534172)","(0.77607020270562155, 0.034927562188076876)","(0.88445849057458625, 0.028307321401480737)","(0.73415075746844327, 0.040237543066362229)","(0.70482240643822702, 0.044973772506539146)","(0.89104952343529464, 0.047311198014660091)","(0.77886675543214134, 0.064886326047734311)","(1.0118159684681769, 0.088408045314819841)"
9,"(0.9541938645529533, 0.047296588819560073)","(0.92517130499634948, 0.064768172340844962)","(0.77711915228239303, 0.054661980207434083)","(0.87582386346435404, 0.042842581003186823)","(0.85649571280451642, 0.054767965009516258)","(0.97053813963001734, 0.061745465883352522)","(0.92454280320699034, 0.061001323045650299)","(1.1086452271296501, 0.084191439323903397)","(1.0071536320936234, 0.057824701145727568)","(0.94651743591004467, 0.032056261363181758)","(0.8416975074032802, 0.032424581076712533)","(0.74725512119436455, 0.02486456170022602)","(0.77981035698156564, 0.023802974279851546)","(0.77569596829380594, 0.026269735439786199)","(0.87282317362356032, 0.043807990207036129)","(0.83347180996108616, 0.058242658345052503)","(0.78542300060290804, 0.066010986685852285)","(0.894890735764997, 0.042245149579568375)","(0.94035013120131694, 0.033966396416021442)","(0.78811788543807171, 0.03745975066594092)","(0.74086557670648012, 0.055153045279794546)","(0.85944300929598316, 0.043393794365890914)","(0.80998173711558674, 0.067102373899197307)","(0.99536211149365494, 0.067875500634542854)"
10,"(0.91518067175738116, 0.048437959985347979)","(0.92647931622334312, 0.053102356251592625)","(0.76412777139511023, 0.05464218017400637)","(0.92409245393191408, 0.027901282489133757)","(0.86880460310255869, 0.055776014350433049)","(0.9507104292620947, 0.058135351708833105)","(0.8733424272697613, 0.058829435103928109)","(1.0606199009960586, 0.071979395269347032)","(1.000865281813218, 0.056909300673809969)","(0.97664647543409266, 0.035451436610206305)","(0.83639496851145334, 0.033222365437657241)","(0.76501294682502285, 0.02835618475954137)","(0.80665958957774297, 0.026292018362207518)","(0.81090677073122841, 0.025434859456084039)","(0.89879259543915402, 0.046027520263499613)","(0.83111350903482306, 0.060967452193259976)","(0.80540863836473586, 0.064154154412552525)","(0.92463697813642942, 0.042978019471691824)","(0.93319894970718609, 0.037545142234335069)","(0.79265553963020741, 0.043614476663513382)","(0.77399223017428931, 0.063864400693827372)","(0.87468206630249101, 0.046566955751921844)","(0.8256384610018479, 0.068806723409619686)","(1.0450326489175226, 0.069381220384327605)"
11,"(0.9370681954175174, 0.045288535667989412)","(0.9204289152511963, 0.066996286106077954)","(0.78417101886131735, 0.055239499155048298)","(0.87815778363067087, 0.043659915560270879)","(0.87035599453632095, 0.056118471456038405)","(0.97085697453327668, 0.061335798467785266)","(0.93187389111303454, 0.060330256575684263)","(1.0938189201943487, 0.080332411118280739)","(1.005730973574982, 0.05806860902191046)","(0.96020137879641332, 0.032980601016649035)","(0.84588806842621045, 0.031966816923911352)","(0.74875608976375319, 0.025279084729638017)","(0.77861922050163546, 0.02563229192692186)","(0.77031460310583311, 0.026605215552037719)","(0.87426245920087842, 0.043794294074379174)","(0.8329935372610191, 0.058005167247594282)","(0.77632249256057628, 0.066548556204357387)","(0.89324751561780669, 0.042493202823875545)","(0.94263232268942687, 0.034558081434883196)","(0.78622133731953614, 0.037599682102613136)","(0.7503050165694205, 0.055624671497078913)","(0.85986464205498647, 0.043554093729088333)","(0.83234258340310141, 0.066648790166098509)","(0.98981529244449329, 0.064814679589151672)"
12,"(0.96878458591400995, 0.046860028730943547)","(0.95781810835903025, 0.061644801162321218)","(0.8205396090490934, 0.051586626939972589)","(0.85262011543871052, 0.044228848559950039)","(0.83763125736471655, 0.064184573399754322)","(0.94136440449315284, 0.079615375046660997)","(0.82907413586006207, 0.074018671629152114)","(1.018377651771935, 0.070278293296795746)","(0.92194441095299418, 0.056970186544869121)","(0.82978955928477427, 0.037392241262553388)","(0.74320606719906224, 0.021768366907897893)","(0.69316514733550771, 0.017857646808807418)","(0.75765640429650671, 0.019735417247195269)","(0.77269855785267849, 0.029858155741766687)","(0.8802607726823195, 0.041250710600466194)","(0.78925772261067895, 0.040175219407596899)","(0.83010242037607995, 0.043731172706841216)","(0.7799458893960427, 0.033148324829050765)","(0.86707028174816558, 0.027248901820879235)","(0.68619506814531439, 0.041754271079899159)","(0.6932250045545254, 0.03964285254895946)","(0.81291371622439923, 0.047701929469493067)","(0.73065853684257354, 0.068098761280097717)","(0.97762732255511864, 0.086764287992403571)"
13,"(0.89973088895482234, 0.054452314539554861)","(0.94218185091680873, 0.064298688493070008)","(0.7639276282131936, 0.055159180016386054)","(0.86800105705041275, 0.044006063224069213)","(0.93228095028755331, 0.052664824823606564)","(0.99218211749137897, 0.058646464689743528)","(0.83742165473758379, 0.064970059058407359)","(1.0088930963464666, 0.055481470719418981)","(0.89627279821456352, 0.052319789457065065)","(0.82106482375445544, 0.041765350134406631)","(0.75138710950142651, 0.02478899507426692)","(0.70067087004565565, 0.022670538232969852)","(0.78356893534460181, 0.026067432682159535)","(0.81689612301316517, 0.032733330522570471)","(0.91364869244784896, 0.044265893096978988)","(0.79488563252900923, 0.042895809849614955)","(0.83519437840219768, 0.046609687002629727)","(0.81746477708106502, 0.040972310634354116)","(0.88119894320537495, 0.032234996538863983)","(0.71260680076188321, 0.044468700207611143)","(0.69199006310296907, 0.041133702797578553)","(0.79601848218854054, 0.054585813082019041)","(0.62307273431437882, 0.075984815594397986)","(0.93106977864732965, 0.10448736229797896)"
14,"(0.82996391340382181, 0.053908972934350922)","(0.89972419520346514, 0.046265678783187825)","(0.92049076400309149, 0.062561210625018543)","(1.0578012902794784, 0.066020305398170359)","(0.99572496265010735, 0.051347466390776496)","(1.0029001243469604, 0.044172488619672864)","(0.86243389781910051, 0.045629529797945052)","(1.0306052133454828, 0.079832439432869051)","(0.94138036556854299, 0.047738544252052706)","(0.96292632446850179, 0.043566197437643339)","(0.86455954420127701, 0.037209488003000113)","(0.87437646190445772, 0.033920751432385939)","(0.89690759573694168, 0.050966413400484259)","(0.83554922407750698, 0.031038621329876597)","(0.80916007099165133, 0.041539218725642056)","(0.83692531894005529, 0.071503136021676975)","(0.80422761090480677, 0.075146458853172768)","(0.98263643463019135, 0.056097026580780855)","(1.0016018918364697, 0.045383954150200405)","(0.76077054018656121, 0.045550574245296953)","(0.9300528399335577, 0.056111443119135997)","(1.0050966285983511, 0.053539014248338561)","(0.77751241636535928, 0.060187648518105243)","(0.83322760135657037, 0.070286615960839863)"
