DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.96956663276783606, 0.037974673099509172)","(0.60088855791248663, 0.052045311278557951)","(0.82556836160884517, 0.080906192414468753)","(0.97933412548802512, 0.064691281554075539)","(0.72208470650270207, 0.04979374421731541)","(0.73570756136183724, 0.034900432100582517)","(0.63117109778603142, 0.033713482167845539)","(0.7746589326407437, 0.047432722678651396)","(0.73272615818855857, 0.023559619623749552)","(0.7054955915759018, 0.026517671351816458)","(0.67704226474353424, 0.043602379296586571)","(0.70517800765789085, 0.032856839257686885)","(0.76563024941461411, 0.041137925111398951)","(0.59036740817686384, 0.039572579363593111)","(0.65794218459058629, 0.05882244303831189)","(0.78872297580611339, 0.076304108346243904)","(0.71730345921271088, 0.057842937488975128)","(0.68710362189519225, 0.032556223618797224)","(0.80301129825480244, 0.03007497059640378)","(0.64435485354347433, 0.050331978775825834)","(0.46752916010765283, 0.040583898600817542)","(0.7632494731940046, 0.042536355132365422)","(0.6799527401882729, 0.04306043391478255)","(0.69022478999797154, 0.051355201977886025)"
1,"(0.66707174184666529, 0.044506952264312109)","(0.80625294285535221, 0.053832057854358038)","(0.95257773181661576, 0.19857716803333689)","(0.66726373143216677, 0.080669413612083227)","(0.52551468326358342, 0.056308137791160999)","(0.69861875200455648, 0.076099272542683616)","(0.65504313841613326, 0.054431606935462402)","(0.61189801045016079, 0.049213457499595367)","(0.394997241912103, 0.077626389557346478)","(0.76638282080511499, 0.085416343904667735)","(0.82450252357122944, 0.13131579001321136)","(0.45776881765686284, 0.14083617860580344)","(0.52723108340404201, 0.047319673810343486)","(0.58889690980735432, 0.061379209853021532)","(0.62413007653700381, 0.069365625703104936)","(0.59409356088886778, 0.07364936292494359)","(0.59231409748668784, 0.053761040685518215)","(0.70253272394689847, 0.045221928888077197)","(0.75060765958796782, 0.047153505875434959)","(0.67106408984776977, 0.053496572636062847)","(0.5595044125251859, 0.040222000850075046)","(0.58613112015305402, 0.048726562093721025)","(0.68223992744637374, 0.059568497775606286)","(0.80905664520064202, 0.060640648537443061)"
2,"(0.59784684849803893, 0.039244044187543153)","(0.59580452108901116, 0.05754937782884996)","(0.91613898290894691, 0.17168209394551459)","(1.0741903950015617, 0.058600350245827493)","(0.68855197701418225, 0.043247072456006883)","(0.71061796562279278, 0.064771310385326353)","(0.70213556965919566, 0.05032996674220544)","(0.6565583943920964, 0.060194948206423078)","(0.75032060215347762, 0.029720768434966034)","(0.71644772079477659, 0.031240393483053346)","(0.61060206069757739, 0.10593021575837493)","(0.61260242010660537, 0.044312253354344487)","(0.62680954995004512, 0.060432072295123519)","(0.68378411146343288, 0.056556359596267994)","(0.57137986627043102, 0.058409445817233993)","(0.58699426444293523, 0.062778348872930281)","(0.63157773055065658, 0.052778893325011622)","(0.68918349726386341, 0.042905122745526644)","(0.73647293690968729, 0.057724798213066891)","(0.67893428742745088, 0.052459074732148753)","(0.56175129808533331, 0.04666526307592913)","(0.88194032548114809, 0.047476596879179066)","(0.67971043722653379, 0.050768734486652194)","(0.65847014521137659, 0.050329362816809151)"
3,"(0.66548225825810647, 0.041548074481142623)","(0.79220401122406692, 0.055924331416727487)","(0.95617696500098537, 0.19379299187620705)","(0.64230908432862943, 0.072410537759681384)","(0.54023322637043536, 0.056528245358067268)","(0.69610984752009208, 0.074759181421971466)","(0.65408149865724008, 0.062996609812696489)","(0.61921704234103025, 0.050130163741095572)","(0.39866508960992164, 0.073140662391239411)","(0.72411686128441899, 0.064186047730121321)","(0.7095343131898153, 0.086873799121615039)","(0.62987835857352215, 0.047789929669568541)","(0.60721722074227213, 0.053239634713721187)","(0.58842896791541999, 0.061324026245762407)","(0.6015633419995271, 0.067376792038645356)","(0.58066927843113691, 0.072098935569698069)","(0.59392616411127019, 0.053721262490824873)","(0.69631570158239564, 0.04428473296057623)","(0.74812259372378698, 0.049820305789605099)","(0.67629220499642428, 0.053155263635147755)","(0.55245950834758584, 0.034542363032828462)","(0.68267513991639661, 0.050767336549102697)","(0.68148108316070322, 0.059876065732637075)","(0.79122551427333154, 0.06707699250073669)"
4,"(0.67063594011003336, 0.043537688861353133)","(0.80980736481256166, 0.054048901216305539)","(0.93985025862326332, 0.19849829557845208)","(0.66492549279809943, 0.080538477716802503)","(0.52445791518867735, 0.056292262892295775)","(0.69840851724266084, 0.076544734756604185)","(0.64629316957053606, 0.054495175452155792)","(0.61296651642791689, 0.049737885557153673)","(0.39451164913531822, 0.077616214143808246)","(0.76699114010975822, 0.085376956013499677)","(0.83144491791635922, 0.15301115826153255)","(0.42070004887850992, 0.14432489378008254)","(0.52417271649462571, 0.04729945160590103)","(0.59119746168049359, 0.061428812178036814)","(0.62427676572564672, 0.069395167859292686)","(0.58274706419087863, 0.07037401115818448)","(0.68979484369161759, 0.056494035548495282)","(0.70208513931075711, 0.045324327298445252)","(0.73736107212102331, 0.047623228979168673)","(0.67092286571734427, 0.053596469233439838)","(0.5526659899962959, 0.041043223386577059)","(0.58472790960581, 0.052334895129696982)","(0.66910402471940622, 0.057282479089458216)","(0.80425674404277625, 0.055858533448294306)"
5,"(0.63865380401780369, 0.042451106440714557)","(0.65330421567733532, 0.058693838647897748)","(0.97508540066833393, 0.20201164560719706)","(0.6632574323658611, 0.07628805779032094)","(0.53373792808634246, 0.056820274035410588)","(0.69117969252612232, 0.075694369386423266)","(0.65839989018033995, 0.066201923042652086)","(0.64497497274893745, 0.052072954951300016)","(0.43300314062061401, 0.07468690801956894)","(0.72344946801418697, 0.069122075049383919)","(0.61121251681817268, 0.091773415092031449)","(0.63283527697530007, 0.046350234689992706)","(0.5989558334663373, 0.053342732566111106)","(0.59170822562104952, 0.062686236884656799)","(0.56854477452757912, 0.073095192113337981)","(0.5876875648603529, 0.064569785933267732)","(0.62060480166052601, 0.055204461423832341)","(0.71766028000570514, 0.040311986286453765)","(0.72889628251884975, 0.052034257039171562)","(0.65594981193585011, 0.052493796194789916)","(0.55228792597280607, 0.034796405491079901)","(0.79212095262997295, 0.051500682926750967)","(0.63204442076535916, 0.061557861713848014)","(0.80630734555000949, 0.061644704596168332)"
6,"(0.60290227494860249, 0.043686022952987007)","(0.56834254114959304, 0.08763049677560926)","(0.95710368259535272, 0.085733554198872713)","(0.5843821717598755, 0.062033184666962483)","(0.64207613752065262, 0.050634313581631375)","(0.67155112114022275, 0.079016833509407233)","(0.6760019606279154, 0.058628387618828236)","(0.67750800264474909, 0.06379501750577414)","(0.76996376845433201, 0.036389477542109569)","(0.71894295711643152, 0.035917146629467753)","(0.63201124372341866, 0.067057085032823094)","(0.6543577084271256, 0.050483247926637109)","(0.61662749201760059, 0.053950969459480934)","(0.57662036683225049, 0.053608623214230725)","(0.56240421667981155, 0.070501367108983332)","(0.96808431560053454, 0.10076142236907817)","(0.60760842370483925, 0.048711653469084425)","(0.73872980748699146, 0.039853643593258305)","(0.64904018764104676, 0.054710539477241076)","(0.64505952019262425, 0.053058611532106913)","(0.56524255787330924, 0.042977900099174939)","(0.81443089649057232, 0.051453567692711831)","(0.66417683228349877, 0.057383287513920474)","(0.72840403449673452, 0.061946631774511138)"
7,"(0.63293683594528216, 0.036526639849347009)","(0.76231734972762966, 0.064175120669795707)","(0.93430396078364641, 0.19855717402914394)","(0.65593604759249069, 0.077913493674831261)","(0.50374376985076852, 0.05688860307347169)","(0.69181834858423863, 0.075816837062950462)","(0.65552269107028183, 0.053330114237901641)","(0.61668346664520801, 0.051135030234253837)","(0.35603537312810224, 0.078929254038283256)","(0.75496195275585132, 0.061510737284881246)","(0.80260187852040676, 0.1447388735992009)","(0.51949358607405804, 0.11709234016451911)","(0.56507421474280695, 0.052824824742784486)","(0.59535667250154622, 0.053392000388052321)","(0.73495101438330324, 0.082102851714407565)","(0.54225920044624543, 0.062644645161205756)","(0.71361333050757647, 0.056177625854527319)","(0.69095642973829241, 0.047246273954398954)","(0.74729307553549973, 0.043760524753450381)","(0.69048723215759233, 0.054407654169124457)","(0.54287159951597763, 0.041601020263666008)","(0.53946232135009675, 0.057300196752771815)","(0.70271930560336182, 0.054571304540848145)","(0.81910176989161287, 0.058905582078596849)"
8,"(0.57260358632031638, 0.052201781547891173)","(0.73188320990444089, 0.054328853998283522)","(0.50817215294531282, 0.03667377139837151)","(0.63790825111008065, 0.047783754635503391)","(0.67428714118851152, 0.058368831816028144)","(0.60830270619215843, 0.029452466498042632)","(0.62415935995169369, 0.031659235834028097)","(0.57913221219489963, 0.039449327602208838)","(0.70387325517993493, 0.029695832774667211)","(0.63390464163954319, 0.044314332455273012)","(0.58684230582984198, 0.032812666852248422)","(0.51245088979917131, 0.02862229702802422)","(0.63065111515271144, 0.045706154657036313)","(0.64105399084247205, 0.030360665689212734)","(0.68308521238256359, 0.053610169731019723)","(0.55011655133868365, 0.049659330270533111)","(0.44883689618329153, 0.023969390734831317)","(0.57057950551563108, 0.027180217471118154)","(0.62012796568517892, 0.023717740951734272)","(0.55621870733329237, 0.19400071141374037)","(0.24892044586682138, 0.05587899873792003)","(0.51253186974702925, 0.04747214555083118)","(0.74818767406362685, 0.044894711715796953)","(0.66203792480723211, 0.048423795092798261)"
9,"(0.5534043990120121, 0.047498211082739189)","(0.78323520551957126, 0.053713294141953506)","(0.52427282234588013, 0.045797825523530913)","(0.65425992488002238, 0.055618837330325036)","(0.63750250954217325, 0.05123442994726015)","(0.6018828195605862, 0.030658361407627104)","(0.63724445857669254, 0.034089665188063077)","(0.61557063476978358, 0.038633141945249486)","(0.72248570540352886, 0.030208864443151903)","(0.65520386527459673, 0.032873419782287416)","(0.51223239085313199, 0.025620189904036837)","(0.61317265758298156, 0.039210650415806445)","(0.50242283365425111, 0.046009826561694049)","(0.66424104294496944, 0.032951989496499329)","(0.63705432962417985, 0.049551202697301081)","(0.48492835354512326, 0.046350978537172551)","(0.46352542395587443, 0.022582437374523756)","(0.57177144740909036, 0.026565731049490372)","(0.61822099562629296, 0.024589816006570137)","(0.45674351461513757, 0.18990087268785025)","(0.38497759701561496, 0.071571498859204372)","(0.51542990084750429, 0.03265155878897702)","(0.50088723995984796, 0.034216969025643459)","(0.65944367022384398, 0.041823361839459165)"
