DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.0490308127882662, 0.025217912809156105)","(1.0078993370920348, 0.01680137918705878)","(1.0894841761250642, 0.057092107361225782)","(1.0106533492513703, 0.013160883079871883)","(0.97470036655410874, 0.0093680375973077597)","(0.98480945356402261, 0.01254148821676003)","(1.0706292476384056, 0.017108992546196675)","(0.95794227563839784, 0.024123855147138325)","(1.0031429459351329, 0.018486709248387415)","(1.1104284073734503, 0.031898834977129531)","(1.0510152822585153, 0.032587614447611428)","(1.1429422840963448, 0.024803205687551129)","(1.0315815064959708, 0.043447389593379855)","(1.0654427226390906, 0.020437703696138686)","(1.0212080718964436, 0.025757623001220017)","(1.101565697912404, 0.039910567006024127)","(0.95746248641323473, 0.019216870851069053)","(1.025095825493068, 0.054680173248707414)","(1.1628937288039125, 0.048162896461813848)","(1.0744448622690235, 0.022614739377200949)","(1.2016615875779919, 0.11837901519953463)","(1.1143444877103912, 0.0060695001114356622)","(1.0968362113600465, 0.015921286791753437)","(1.0671619888436807, 0.021939721631999164)"
1,"(1.1014940521454226, 0.022610054565613835)","(0.98184968976025266, 0.013387207727888626)","(1.0119418736807919, 0.050949020026411752)","(1.0471952900981734, 0.018902896221436739)","(0.98820135488760152, 0.0096103250949639216)","(1.0020147556568677, 0.013402358220709192)","(1.043626215599297, 0.025145541227450968)","(1.0124844591211617, 0.07068777683547546)","(1.0268707503333943, 0.10364027713131441)","(1.1147457131463525, 0.043022150850092471)","(0.9124300344732944, 0.030881247979901088)","(1.094255801359834, 0.053557070067814572)","(1.0101161134844989, 0.034794328604717067)","(1.0999437396557685, 0.038630597260210876)","(1.2456928955298159, 0.17885171901156427)","(1.2811738585542363, 0.082750020550801412)","(1.0623883255929416, 0.022757418230166894)","(1.1770593737009838, 0.039240173414053912)","(1.0216605876102161, 0.049889673665129662)","(1.2230155292953073, 0.076568387773307003)","(1.0656507275149241, 0.017577040563004805)","(1.1341633123166976, 0.017325721798074716)","(1.1189139081366506, 0.0068563057402484476)","(1.1002916094887507, 0.013686739065808392)"
2,"(1.0750689497807497, 0.10333825966924601)","(1.0829298482068117, 0.017970650981944912)","(0.92024337741070994, 0.071337854354088029)","(0.8890649269959584, 0.15696302804598364)","(1.0270453482935811, 0.19197863794891193)","(0.87247091739066296, 0.13609243198581122)","(2.4652875653557471, 0.47946307337133209)","(1.2974392719323695, 0.14357770292090313)","(1.2923779311033474, 0.091498177216016705)","(1.0788973014948549, 0.11869601431404327)","(1.1051906985794866, 0.054753339547622085)","(1.0557454890788143, 0.32879113009971067)","(1.3415450121654509, 0.33696146202014432)","(1.0793257731378569, 0.044802635787666141)","(1.1183733770071076, 0.048343838168012951)","(0.38607720224348735, 0.45507562445843425)","(0.44527972027971163, 0.32602061195656684)","(1.3078971674876867, 0.20304702239032521)","(1.0566177425639816, 0.15290084881233573)","(1.3054973821989522, 0.1894571012503975)","(1.1806208559373026, 0.2172874432829606)","(1.0384826168864769, 0.26792608158906461)","(1.1487448614960707, 0.023472197472315222)","(0.66675580173814508, 0.18420956274870909)"
3,"(1.0750689497807497, 0.10333825966924601)","(1.0829298482068117, 0.017970650981944718)","(0.92024337741070994, 0.071337854354088043)","(0.8890649269959584, 0.15696302804598364)","(1.0270453482935809, 0.19197863794891187)","(0.87247091739066318, 0.13609243198581117)","(2.4652875653557476, 0.47946307337133209)","(1.29743927193237, 0.14357770292090302)","(1.2923779311033481, 0.091498177216016455)","(1.0788973014948549, 0.11869601431404321)","(1.1051906985794868, 0.054753339547622085)","(1.0557454890788147, 0.32879113009971067)","(1.3415450121654513, 0.33696146202014438)","(1.0793257731378567, 0.044802635787666301)","(1.1183733770071076, 0.048343838168012875)","(0.38607720224348746, 0.45507562445843425)","(0.4452797202797118, 0.3260206119565669)","(1.3078971674876871, 0.20304702239032518)","(1.0566177425639818, 0.15290084881233576)","(1.3054973821989524, 0.18945710125039752)","(1.1806208559373024, 0.21728744328296054)","(1.0384826168864767, 0.26792608158906456)","(1.1487448614960707, 0.023472197472315388)","(0.66675580173814519, 0.18420956274870914)"
4,"(1.0812598923710044, 0.10551986144401505)","(1.0839996905598219, 0.017527448454503054)","(0.91833474099099088, 0.07162641069481343)","(0.90360824742267709, 0.15455790156055535)","(1.0410822749861828, 0.18567800433274331)","(0.87858809801633186, 0.13301467356594332)","(2.4713314323316351, 0.50782066162576645)","(1.3027011222188205, 0.15188350605341197)","(1.30266987446171, 0.094882686774576355)","(1.083835294117647, 0.10985326035848095)","(1.1027399012139498, 0.05443005952320517)","(1.0253164556961936, 0.32187942455765328)","(1.3337935266145127, 0.33734077098894949)","(1.1220620443693057, 0.043869520390230454)","(0.97307876681324679, 0.038372246213334398)","(0.97968661690475634, 0.037037597921066485)","(0.8005652654148645, 0.17403156130876293)","(1.130281768571116, 0.17494510255621396)","(1.0733935394234231, 0.12523134275361891)","(1.3209192294694156, 0.20240050781004351)","(1.1822831833118923, 0.20543925904470575)","(0.99103781730273666, 0.25851998843787077)","(1.149115601035162, 0.023626166346398032)","(0.57397103658538184, 0.17596697024409266)"
5,"(1.0690727938186249, 0.11029901539804189)","(1.0923983861713573, 0.022962208819479683)","(1.0492287351256022, 0.069702215442273299)","(0.87714337502265249, 0.15103015399985309)","(1.1173502232374508, 0.17424684723962966)","(0.83937425998349025, 0.12432266339450629)","(2.5351494046281555, 0.5163377348292959)","(1.2859491936920899, 0.15425057775680839)","(1.2983342183639999, 0.09483608783260758)","(1.0992754078777767, 0.10902881401627783)","(1.1064306580565775, 0.05298677486755049)","(0.96803519061583843, 0.49353057934665601)","(1.574723247232493, 0.36451964713118795)","(1.1226811225461195, 0.041351291063353328)","(0.97300963411720809, 0.038251223516197842)","(0.9793625811101534, 0.037050216471528466)","(0.81822620560498804, 0.17330587700756869)","(1.1188971229293863, 0.17235726066252657)","(1.0536672082126752, 0.12836920873617425)","(1.2528473804100317, 0.26284686615865038)","(1.1847498655190907, 0.19350913468965647)","(1.0309800128949276, 0.24651663671349219)","(1.1073634899721685, 0.24478645346935315)","(0.86774193548388767, 0.15991617786682902)"
6,"(1.0686084470488044, 0.11014950396748889)","(1.0912939393155379, 0.02210705312752009)","(1.0671220802115442, 0.068932234545585946)","(0.89046013008913072, 0.15551300377614094)","(1.0726365489859313, 0.18810762496376401)","(0.85883710864232787, 0.11763214750542041)","(2.5099691963035395, 0.51196013356162384)","(1.2865177231057785, 0.15356723229738034)","(1.2985443169487203, 0.09480273074317247)","(1.0916134685192129, 0.10916729702472262)","(1.1020832183455638, 0.054239437240561524)","(1.0194906953966565, 0.3432596231648144)","(1.3096688350088737, 0.3343370271111592)","(1.120030227998511, 0.041858450460662507)","(0.97314347015174396, 0.038711978764550771)","(0.97888879246756544, 0.03711389686713587)","(0.82740897937530122, 0.1729051736827395)","(1.1179460467156537, 0.17290725935674556)","(1.0770781510242162, 0.12249872180490785)","(1.286748944462488, 0.1984973584730568)","(1.2112903225806375, 0.19974022472813593)","(1.0336879432624333, 0.24595120808547635)","(1.0971264367815943, 0.2408926618515751)","(0.92440267240405094, 0.17742012705355695)"
7,"(1.0771482588278343, 0.10818805970842564)","(1.0895075459012469, 0.022315857580359897)","(1.0895662006578928, 0.071631258235179962)","(0.89422382671479794, 0.15276913575913345)","(1.0380550871275913, 0.18823278139510491)","(0.874458842585774, 0.12659705090854662)","(2.4358649562556876, 0.46592058627191263)","(1.2895408662037537, 0.1435799427918025)","(1.2872780588158514, 0.090496571079995439)","(1.0740217391304341, 0.11954954780824575)","(1.1066212264013413, 0.05473190539177946)","(1.0161836825679773, 0.34917315457795572)","(1.3454710969503874, 0.33682518706061249)","(1.1196501105410415, 0.044759529189354184)","(0.97306822954619876, 0.038177505966929391)","(0.97769449240574546, 0.037493007230803649)","(0.80966383833150979, 0.18147038265890894)","(1.1511117287381936, 0.17715392710836741)","(1.0776427072743511, 0.12406065565002934)","(1.3344350374470852, 0.19802742802319345)","(1.1857964347325962, 0.21218443052827482)","(1.0407763595034345, 0.2708565350729939)","(1.2129927254271555, 0.25194611693594637)","(0.95493975903616035, 0.1840148620817392)"
8,"(1.0750689497807497, 0.10333825966924597)","(1.0829298482068119, 0.017970650981944721)","(0.92024337741070994, 0.071337854354088043)","(0.8890649269959584, 0.15696302804598364)","(1.0270453482935809, 0.1919786379489119)","(0.87247091739066318, 0.1360924319858112)","(2.4652875653557462, 0.47946307337133226)","(1.2974392719323697, 0.14357770292090313)","(1.2923779311033479, 0.09149817721601658)","(1.0788973014948549, 0.11869601431404327)","(1.1051906985794866, 0.054753339547622085)","(1.0557454890788143, 0.32879113009971062)","(1.3415450121654511, 0.33696146202014438)","(1.0793257731378567, 0.044802635787666301)","(1.1183733770071076, 0.048343838168012958)","(0.38607720224348763, 0.45507562445843425)","(0.44527972027971163, 0.32602061195656684)","(1.3078971674876867, 0.20304702239032524)","(1.0566177425639816, 0.15290084881233573)","(1.3054973821989531, 0.18945710125039755)","(1.1806208559373026, 0.21728744328296062)","(1.0384826168864767, 0.26792608158906467)","(1.1487448614960702, 0.023472197472315721)","(0.66675580173814508, 0.18420956274870914)"
9,"(1.0750689497807497, 0.10333825966924597)","(1.0829298482068117, 0.017970650981944912)","(0.92024337741070994, 0.071337854354088057)","(0.8890649269959584, 0.15696302804598364)","(1.0270453482935809, 0.19197863794891187)","(0.87247091739066296, 0.13609243198581122)","(2.4652875653557462, 0.47946307337133226)","(1.2974392719323695, 0.14357770292090313)","(1.2923779311033474, 0.091498177216016635)","(1.0788973014948549, 0.11869601431404327)","(1.1051906985794866, 0.054753339547622085)","(1.0557454890788143, 0.32879113009971062)","(1.3415450121654511, 0.33696146202014438)","(1.0793257731378569, 0.044802635787666141)","(1.1183733770071076, 0.048343838168012951)","(0.38607720224348752, 0.45507562445843425)","(0.44527972027971169, 0.3260206119565669)","(1.3078971674876867, 0.20304702239032524)","(1.0566177425639813, 0.15290084881233584)","(1.3054973821989528, 0.1894571012503975)","(1.1806208559373024, 0.2172874432829606)","(1.0384826168864767, 0.26792608158906456)","(1.1487448614960707, 0.023472197472315222)","(0.66675580173814508, 0.18420956274870909)"
