DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.50258035228478926, 0.066268090462831025)","(0.58196178382824493, 0.11623913585343987)","(0.71284398879165456, 0.081779545871531065)","(0.78596257795370472, 0.06006255421777288)","(0.64129725920170044, 0.046160254965458503)","(0.54014189177154126, 0.046256931231690376)","(0.57365804999004266, 0.050095068344422691)","(0.61194966170270093, 0.029435786733729402)","(0.63433283856502976, 0.035286418598087205)","(0.59127980552936343, 0.059279554288454779)","(0.50606945439920337, 0.053207040760130685)","(0.52658904475488133, 0.038097582529080194)","(0.57864088889722676, 0.040330494302079196)","(0.70570383403296344, 0.036672522134440763)","(0.52162297910719058, 0.042652353584521796)","(0.48135904527737539, 0.054352574655348061)","(0.62198069684269852, 0.039519274924134443)","(0.70295824576633259, 0.035619622648112755)","(0.59320981893390201, 0.032059529209293627)","(0.57120423913823581, 0.023494971578104047)","(0.56183844974486241, 0.040038162766804129)","(0.51787923888515253, 0.028005797577894675)","(0.51690288679520857, 0.044588198951360229)","(0.6478128423399343, 0.045522225242978644)"
1,"(0.61618028776450295, 0.064532799129631266)","(0.66707486554625106, 0.057912068459296223)","(0.77973254886130072, 0.069698407698859877)","(0.73052774246057328, 0.060945515709849379)","(0.63997735912368858, 0.045419435363152391)","(0.55696019880721936, 0.037395345140051314)","(0.63828649773587265, 0.038438154995884023)","(0.76854797184268087, 0.054702726386164267)","(0.61138427042625332, 0.023800521808818403)","(0.58199328655147287, 0.024286369082006307)","(0.47855568672855775, 0.022341852424389883)","(0.48811011997402842, 0.023194362446108861)","(0.50764228544324319, 0.025328128558846075)","(0.61984267122169201, 0.04217950022886887)","(0.61959887864791774, 0.039196058183043295)","(0.5913041107536906, 0.035787589249485989)","(0.64914029133557904, 0.027152339404064557)","(0.58977819563166223, 0.016350114600593428)","(0.58388918423038627, 0.019053010255861976)","(0.54414784615717393, 0.041483511277275245)","(0.5203398093896876, 0.037855687234886699)","(0.52705204615127699, 0.034736691005803864)","(0.51592171627523242, 0.029006994250328752)","(0.56022418438543931, 0.040154635042711731)"
2,"(0.62693572098630812, 0.074605148013832154)","(0.74189556116029398, 0.073831968476437637)","(0.74086378265388642, 0.050701266454385947)","(0.56547924319616971, 0.047199909904021793)","(0.67675294884324433, 0.050561616294164738)","(0.55742730499343296, 0.038307371828365119)","(0.63875038756646652, 0.04136015320728674)","(0.81734533988563851, 0.063103304062439317)","(0.64359879699260747, 0.024878361849955854)","(0.54629391657789828, 0.020083704738850971)","(0.49963437837790564, 0.019470509423499992)","(0.49628678104699681, 0.022673783585907346)","(0.51374717389957847, 0.023176259560986578)","(0.61534827079724774, 0.032865549936132603)","(0.60765444730597229, 0.046112269526534966)","(0.61004094127822317, 0.047446423506583561)","(0.58401699118809214, 0.024276866252224125)","(0.63731379278243383, 0.021637215727583762)","(0.60049448976827791, 0.021912317636525479)","(0.54206551669619163, 0.037668266641742346)","(0.53813245113994135, 0.036923130406308402)","(0.51497515936589588, 0.030411548310048504)","(0.51483683387147128, 0.034379459897667594)","(0.63190455637010945, 0.041617678558559135)"
3,"(0.53193907545121277, 0.080423351923656891)","(0.80001346018925712, 0.10417939049365925)","(0.81611549921864579, 0.076162420179267318)","(0.7299464393729681, 0.083580241705529468)","(0.67937093063405296, 0.06984165937121968)","(0.51062901855991616, 0.063276789653988336)","(0.52223915533340493, 0.039771195556352883)","(0.57042145533747768, 0.054485124394955661)","(0.65515522008656091, 0.03849800864817067)","(0.59051630840278235, 0.029699638669130942)","(0.49045337928782118, 0.027017126672592678)","(0.50028890504648305, 0.020055591016356664)","(0.52232323707333239, 0.030572294204225685)","(0.60353408739613512, 0.026070260284890075)","(0.62910878184438568, 0.037119195278396216)","(0.56624014353306185, 0.054598941655908048)","(0.67558820983428303, 0.037533830967481731)","(0.63321336364921765, 0.020122473618999451)","(0.5698856286216234, 0.021137569736975698)","(0.59364590419114049, 0.04441170317960276)","(0.62031503809269795, 0.02945845066495589)","(0.51086133553443702, 0.040394401732908723)","(0.58978030483266386, 0.040385721785256359)","(0.55262818342905617, 0.051456316411104944)"
4,"(0.50373222740206225, 0.073660363517644711)","(0.66346936314313143, 0.079411776203284573)","(0.88491460844969949, 0.074503177610757532)","(0.75206241494515691, 0.079262843313179815)","(0.72407406494842896, 0.064159505805290784)","(0.58920314903337834, 0.057714790446367112)","(0.54861368117424725, 0.036093988061769985)","(0.63501199667413666, 0.055369548332531694)","(0.62128051026796605, 0.036619465088632737)","(0.57581947072330131, 0.027015014591072292)","(0.51321418258221307, 0.022816364018253679)","(0.50207402308801052, 0.018159390867723856)","(0.52644279239515634, 0.029052327785378081)","(0.5854032628692436, 0.024315156771896919)","(0.59697710328893561, 0.035179824562985365)","(0.56550208964817683, 0.046802190049242784)","(0.67442038585691277, 0.0364077097923843)","(0.61627760253508879, 0.020579917036748628)","(0.55245625576181023, 0.022615850598796085)","(0.58503119507470414, 0.04293288210965153)","(0.60313718321395571, 0.025513536030113134)","(0.48631295757265391, 0.037681558184533101)","(0.59475105165723319, 0.037616150976139955)","(0.57755011535350353, 0.049185072478302651)"
5,"(0.51067110674983685, 0.059562664129006682)","(0.64388252519929556, 0.071180862641328169)","(0.84858686334056532, 0.0853554036548623)","(0.73841286620778668, 0.080307727879378565)","(0.64405609245136886, 0.054674101122869363)","(0.53208632419340207, 0.05086354286092986)","(0.56908285425854221, 0.035552672607224507)","(0.65877965758881218, 0.054992317420644546)","(0.60374678811731763, 0.027187460203674435)","(0.57200527094957421, 0.024707229188786265)","(0.492423962542472, 0.019393468671274637)","(0.50337842920124831, 0.018759315719792845)","(0.49759367612197664, 0.031955565028349411)","(0.60050833915704638, 0.037129986779597654)","(0.60996365298343647, 0.035311539241215516)","(0.53221198895783206, 0.043192078908372879)","(0.63630584299535098, 0.03631396419909478)","(0.61060651542195243, 0.020915064521121265)","(0.56060714081152041, 0.022239862447235848)","(0.58956032609178333, 0.052426887716189252)","(0.6279741788898362, 0.03380550040152587)","(0.49307932583318137, 0.032416454746322751)","(0.57919719734637498, 0.039248455749829221)","(0.51275885973100011, 0.048525481909135255)"
6,"(0.49994060641478172, 0.065954767547078783)","(0.64131821661945443, 0.080338852386975801)","(0.8661499594444233, 0.090208170259216305)","(0.74751040137770852, 0.08022785967642139)","(0.66451666624023753, 0.057518835096659518)","(0.553402798184643, 0.058670022992902006)","(0.56359594528647328, 0.03546273899338679)","(0.65971139532258649, 0.058453878275891498)","(0.61847147899441646, 0.034507483453088274)","(0.56773886192076484, 0.022716642418736836)","(0.49175712255343651, 0.019724610158529259)","(0.5002699113326623, 0.016810644695789741)","(0.50125237877656792, 0.030253141150661279)","(0.57444414350956718, 0.022927320100101831)","(0.61924182802014027, 0.035453237170883174)","(0.53190265342977872, 0.042403513254986577)","(0.62995336011968306, 0.034403754743499326)","(0.61567443048630377, 0.020090537328359716)","(0.57098880965499321, 0.022124269375746995)","(0.6044106368565888, 0.048803992847369713)","(0.60609139161602654, 0.027776016137329513)","(0.48743417276988849, 0.032695816920346517)","(0.58762135583057007, 0.037956118775364131)","(0.51109123219725594, 0.048998544820352201)"
7,"(0.62506956578024064, 0.064617844960848755)","(0.69360860789676582, 0.062918231899913954)","(0.78240943730406487, 0.070698953501257364)","(0.71362539022550597, 0.061375709749368089)","(0.59529570857847569, 0.047302475505836002)","(0.54315999897566403, 0.039988611668986644)","(0.63737089470105857, 0.038246475134145044)","(0.76679718081004022, 0.055202747997227686)","(0.6157211692266894, 0.023162686134415744)","(0.58207898762134402, 0.024247682398742677)","(0.48096545776378458, 0.021721770556664608)","(0.49115594302022469, 0.023065876346028712)","(0.50670196486033658, 0.025175490730357918)","(0.61936766975420376, 0.042342282727178458)","(0.61737944451895921, 0.039088951550077564)","(0.59217717681490678, 0.035839944242257567)","(0.64993261893266352, 0.02657331458893716)","(0.58473281860768478, 0.015541280553287181)","(0.57624784571811904, 0.018979522241626631)","(0.54243710125402245, 0.036171334475773385)","(0.52058477471309739, 0.037434241557003742)","(0.52765056448685732, 0.033593963746319684)","(0.51097579021734407, 0.027662281732653227)","(0.56379222012169394, 0.039379977708287398)"
8,"(0.62418736317279744, 0.064950405078520998)","(0.76586997879493413, 0.073632789314112185)","(0.73897867417862806, 0.064790313545624104)","(0.61095720840556111, 0.058363804426154353)","(0.64171225262750808, 0.06264131732931609)","(0.5912723275689441, 0.042253447283491966)","(0.69085864374549588, 0.05440918495380849)","(0.86337687274809338, 0.065225314847562568)","(0.62061189819413121, 0.025939921181129356)","(0.56971426462326791, 0.019352761719674132)","(0.51759042891791995, 0.024085412311128322)","(0.49340260347693993, 0.024650316077705629)","(0.52220363715384044, 0.024110232027952178)","(0.6111638838661394, 0.033237529126919838)","(0.56240181991089733, 0.041477362363817369)","(0.60314776907280421, 0.050092847698113313)","(0.54453575475240856, 0.033091238718173856)","(0.60417274984145264, 0.023299079666806992)","(0.59266958205116649, 0.026781522892061326)","(0.48850785026411159, 0.032974176426558269)","(0.56171064765565326, 0.040939287350146666)","(0.47791288085796202, 0.024568124542426125)","(0.51678616355329843, 0.029870626160036731)","(0.64770178952663282, 0.039651800354778367)"
9,"(0.64993314134713298, 0.060609086485895074)","(0.84216403591439559, 0.063651879476114476)","(0.694484568838872, 0.076036598866630042)","(0.61312369397585931, 0.066000233740425504)","(0.62506857201602029, 0.057368464707047075)","(0.61992208044318509, 0.039062442224095724)","(0.58293679300867551, 0.052388274107071392)","(0.72767848571518068, 0.054296803286931608)","(0.57061984269477728, 0.024910838886509641)","(0.52868584141877573, 0.018335091021922156)","(0.52543134379743461, 0.016248878085549093)","(0.50918719415075309, 0.02297253962880106)","(0.51693383445084606, 0.021918756045836166)","(0.58244740800783934, 0.030115605433707629)","(0.55540770134524842, 0.044524849268192473)","(0.52158630634186542, 0.054458445329149639)","(0.49607741439476394, 0.039310080888707515)","(0.61575449466150789, 0.022376715454743342)","(0.56106598181302125, 0.023856486020464342)","(0.495751206493031, 0.043104683923237186)","(0.63863751220009934, 0.043145075462005557)","(0.48942131035517955, 0.030376449470192132)","(0.43780108925504885, 0.031301179954911093)","(0.53772303317240033, 0.048266764051525475)"
10,"(0.59026190048651805, 0.046698951295046129)","(0.76194610861412937, 0.066579121154034415)","(0.60966533523676414, 0.077325393625225114)","(0.61139515966941305, 0.047573452262315935)","(0.70351953356056562, 0.066443669044044168)","(0.64558723532372808, 0.047355054967247852)","(0.58984471366628755, 0.059877876159801328)","(0.62274398156575972, 0.041773402214682426)","(0.59985229194108747, 0.03514716259610938)","(0.52734582338974412, 0.020675796127628116)","(0.49325747315511292, 0.026633961534185898)","(0.54242033474107387, 0.025851703434651062)","(0.49681715268766613, 0.021696985307822225)","(0.52808138436561458, 0.048504208628746388)","(0.51022510043666136, 0.042358878032206025)","(0.48010183199657458, 0.047310560469117018)","(0.56888295384904208, 0.038370936000821476)","(0.5698095581295971, 0.02163576345716138)","(0.57531631243768777, 0.02108439090715751)","(0.49597848278139173, 0.035239270523473663)","(0.6996068334349157, 0.037613971916955882)","(0.51682061448633332, 0.043669045635412372)","(0.44220448909347237, 0.028545263249253241)","(0.44278393636929936, 0.033798989820051473)"
