DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.65559479135368615, 0.05401779364979209)","(0.87864016758207986, 0.037665935769724469)","(0.91997285739891921, 0.041720813303780552)","(1.0273766083595905, 0.055146862331576472)","(0.94136913284618717, 0.12299152318928058)","(0.92378476390037845, 0.053235023213819829)","(0.91382708712560268, 0.10209334435569334)","(0.85545468007450831, 0.083899717688446229)","(0.7881173282180709, 0.034523826728560726)","(0.81079890455904591, 0.042800839302808757)","(0.90404860378231067, 0.043669621792584705)","(0.84342984050389713, 0.034322903496678089)","(0.82875258551138375, 0.029216114639782544)","(0.83640790292176581, 0.035824824075979096)","(0.83510048754426369, 0.037249779357610383)","(0.91683302567145841, 0.0424285117129128)","(0.85461196182867094, 0.044849382738822101)","(0.85840104533937145, 0.030340647467793479)","(0.816840350129452, 0.041087158588487216)","(0.8641584851614279, 0.03412904518312844)","(0.88411974837777496, 0.052184953533690057)","(0.8891594180855843, 0.045793752251759051)","(0.89392072275996182, 0.024573025591627582)","(0.80347280461716142, 0.031400994527160261)"
1,"(0.94595161501019387, 0.030823478260147429)","(0.92291126882317553, 0.033119078229868537)","(0.95488755783788026, 0.035350809286713351)","(0.95161992254763084, 0.028784240280346755)","(0.89302713365054343, 0.09860970857872553)","(0.98855379193597426, 0.049909897267133699)","(0.81024001752880237, 0.057781636712694227)","(0.90759376004917769, 0.042400771504464564)","(0.92168124165749665, 0.039230158316703942)","(0.87258548544163095, 0.038560423603955424)","(0.90109375138390868, 0.028103491630476235)","(0.83172962372106418, 0.034056945364261487)","(0.84573673217540402, 0.04761328778735905)","(0.78115048535267251, 0.06354275188882795)","(0.83839888830372, 0.040912874899124319)","(0.88616587460298124, 0.041648337890634421)","(0.80723043419330331, 0.043948701491193398)","(0.72370231415406361, 0.043912577905062186)","(0.73615018780447039, 0.028999831964174449)","(0.73119688525174786, 0.038514866634974339)","(0.77595077297287973, 0.05680169290424724)","(0.78415131070112176, 0.053395399192848719)","(0.79338523628355939, 0.047394998435702537)","(0.90427171688809005, 0.029320220970226039)"
2,"(0.92425422483349939, 0.030312014329667913)","(0.87886888295112198, 0.03123936617221184)","(0.86154777283371897, 0.034229504691401146)","(0.91373315380652398, 0.034279784636500214)","(0.83235997848272214, 0.14145101838863411)","(1.0573493857785861, 0.055251310429782617)","(0.80113400225531406, 0.083745928308343431)","(0.88806712074867822, 0.046529352377005798)","(0.88668552699665992, 0.042433661769450896)","(0.73994980425705204, 0.040162559581801385)","(0.84464133840927269, 0.024629421942876567)","(0.71693412824654723, 0.032624167779085785)","(0.8212619883217287, 0.04053684329316376)","(0.64124986047160626, 0.051345998197491027)","(0.7851079180509517, 0.034551770557796548)","(0.76383227145856769, 0.046741716518225195)","(0.80885861622944166, 0.04024348388495811)","(0.71996394706921341, 0.036505229447417756)","(0.71947713886341291, 0.023394495891622128)","(0.73779880857186142, 0.039908381536617306)","(0.67624178577721594, 0.052500503749150142)","(0.78065989519028922, 0.0593100104807366)","(0.75714320551746872, 0.044731819036434937)","(0.84525860158470723, 0.036910507136934466)"
3,"(0.94703689697434568, 0.029976298143612842)","(0.9105629923284293, 0.032209266892969941)","(0.96524633412444005, 0.034306658764210962)","(0.95552480798246764, 0.028222929620323502)","(0.87566792023127871, 0.108364991726061)","(0.99503085243086942, 0.052348894281389315)","(0.8146968677872366, 0.05976115006815453)","(0.90880698399265991, 0.04261355456633132)","(0.92597724288816174, 0.037598767774637269)","(0.87641568978277218, 0.03872398968949723)","(0.90319864100150038, 0.028212794045319397)","(0.81867255047327925, 0.030909133932990673)","(0.82113990642942836, 0.044860555954053111)","(0.74989737261945122, 0.07101856544543779)","(0.83945315391056419, 0.040819316949750224)","(0.89796969518826442, 0.041840402903018825)","(0.81576824542559223, 0.042541674631059352)","(0.75016364853458528, 0.042369495559251166)","(0.71657730566075817, 0.026341404654696522)","(0.71538261361853328, 0.040743727659115617)","(0.73659062229951833, 0.057455503802848092)","(0.7872486157433739, 0.053801631697629471)","(0.80456662591351835, 0.046040901120181804)","(0.90597814680841882, 0.030807698312726662)"
4,"(0.9265174382143857, 0.024577085090728111)","(0.84767656735228758, 0.030328314718288757)","(0.93828298662330034, 0.031848638353518283)","(0.94448094766947888, 0.02824372866246681)","(0.90968429445876831, 0.097301944669519219)","(1.0506339519667003, 0.054380825946740936)","(0.78200516354962657, 0.06384172740794157)","(0.88897464351081279, 0.044141423522909708)","(0.94900521790607606, 0.034949901985525805)","(0.81776101067923412, 0.040661032416989561)","(0.8764508999692191, 0.027075083131747973)","(0.69604020858472704, 0.027695681925566196)","(0.79717450414692892, 0.047015881123684378)","(0.63276571545790161, 0.063793957653357589)","(0.76994236606288091, 0.038554841727376631)","(0.77784435224731252, 0.047945940371409354)","(0.74944107312157848, 0.042216527785944827)","(0.73733027928603978, 0.038549491918388412)","(0.70854323120870821, 0.029304237593820778)","(0.67086099637159191, 0.039017630457503977)","(0.70458372274960313, 0.051989938292115227)","(0.77973913135868311, 0.054859003396345224)","(0.73840511753645266, 0.056508748715671908)","(0.89094182408197176, 0.034443124924203067)"
5,"(0.9520683340019932, 0.027292923718764236)","(0.91113703975338067, 0.030203421600719753)","(0.9406161587641052, 0.033754227999969424)","(0.95224266237207211, 0.026898029672938001)","(0.82857764832894731, 0.10591186977923885)","(0.97551452208040479, 0.05057164571856354)","(0.79634519839072082, 0.058120675199948825)","(0.88742237909490407, 0.044319776929803656)","(0.90803417362189498, 0.032061684292972466)","(0.88521997913068073, 0.038815651870160804)","(0.8942783596301318, 0.028348027977254196)","(0.80344730432196798, 0.03271316969063575)","(0.79209615748057849, 0.043246364678550302)","(0.70193641061982215, 0.070144451912438385)","(0.7708887906932802, 0.044212151633814714)","(0.86937497878551162, 0.044703924530491455)","(0.81525632795984915, 0.045359087791499719)","(0.74377364559252168, 0.040570952712458509)","(0.69626573931994729, 0.026994850423613929)","(0.71065437020216704, 0.03840169577739426)","(0.70351845597048379, 0.051419010838443878)","(0.79913300799585751, 0.054141272944308323)","(0.80807510038298969, 0.047297889859372562)","(0.88417136479869696, 0.033293976602213865)"
6,"(0.9531581991852659, 0.026531852969023158)","(0.92213964415637284, 0.031277338524706898)","(0.95440091812479499, 0.032003868271836378)","(0.95064186964465469, 0.028851623677087764)","(0.86585223910735654, 0.10845834934534429)","(0.97948609237416684, 0.052055640581279657)","(0.80471848025641834, 0.059102697232441645)","(0.9032089914362762, 0.041641750496186021)","(0.89668144718060039, 0.036244063124897044)","(0.88132286728084686, 0.037769322015093768)","(0.89830478928797808, 0.028077056731385028)","(0.81344602736231042, 0.032098434879991568)","(0.81031571121845292, 0.045986120016385745)","(0.72681373312688013, 0.07055103598217019)","(0.83358587783413385, 0.0397200569845374)","(0.82586784760752785, 0.043799003815908698)","(0.81199276261037334, 0.04143097729437957)","(0.74917042566216474, 0.041510224182952825)","(0.70609066955073951, 0.024679325683596008)","(0.70956199002548326, 0.039979339203578927)","(0.72847372670753063, 0.056507290123431086)","(0.7895484961436362, 0.055053321783969274)","(0.8125207837171895, 0.045853858254771937)","(0.89716954597655096, 0.031849812422850017)"
7,"(0.93191666738316914, 0.033301969283669353)","(0.84137690946449195, 0.037631281656545112)","(0.84083260672398263, 0.032592115662306749)","(0.86755038162290177, 0.028255313276739445)","(0.96074364401748025, 0.11086562036945645)","(1.0140180340582794, 0.062204874050785827)","(0.92075118448802784, 0.09057780632810708)","(0.93941707502940708, 0.028929532323642402)","(0.85903839311421648, 0.047136400410325498)","(0.67575845091242215, 0.043119540349411144)","(0.795786878774697, 0.026213519501610581)","(0.74114925036600288, 0.031958392134342213)","(0.81811211925551708, 0.031186120065673284)","(0.70054842011475971, 0.039059122705737435)","(0.7665781576896169, 0.030851227317317494)","(0.69914200920381619, 0.032072966826042423)","(0.77079565310167053, 0.041282969784945722)","(0.61814452548725807, 0.03473891623027784)","(0.75185977564394324, 0.025422739710166644)","(0.82512623597009094, 0.038987364460458085)","(0.7007727316042226, 0.048428376218406982)","(0.73921319246067929, 0.041080824163388645)","(0.78050967087717049, 0.039122766941615296)","(0.83230757896600516, 0.048556190743602685)"
8,"(0.93134015588153651, 0.036190670984694175)","(0.84501366280752577, 0.036897179082470248)","(0.8450096236845791, 0.03332722544749335)","(0.86475953731438382, 0.028517204146769184)","(0.7850795598601441, 0.12267412229931413)","(0.98479474462536332, 0.062160464584083808)","(0.88662578718246965, 0.053418535585688508)","(0.95123059609369121, 0.031241228366663275)","(0.77173340485006392, 0.044807159545017426)","(0.6799530334059487, 0.040132827332533198)","(0.79521725000561616, 0.024982180282200731)","(0.76691508251971974, 0.028298572683842678)","(0.82792840990811889, 0.024173345090016049)","(0.73558202760618541, 0.035671685765120538)","(0.7604072749489087, 0.031837773121010965)","(0.70052954431414882, 0.029386305529313463)","(0.78019669142072745, 0.044865391179561356)","(0.62428845050490256, 0.033385403500859188)","(0.72956883341917111, 0.027269177764052036)","(0.80878895681576224, 0.041281717291969298)","(0.70244431210612057, 0.045311183384365697)","(0.74949897386313302, 0.032959230756754263)","(0.7677156421883411, 0.038872339767805505)","(0.82618150131320633, 0.051793257722096857)"
9,"(0.95710510494097123, 0.029177032977189859)","(0.91971873443776719, 0.031587381186502728)","(0.94281264074992055, 0.029279018300590747)","(0.96248021700067576, 0.02490504101861905)","(0.84407102352292163, 0.13239568680874375)","(0.98566331537582752, 0.057919666131068706)","(0.77631934866640684, 0.064764727590143178)","(0.93794235668433357, 0.042135933238997239)","(0.832278171803296, 0.032365831540532998)","(0.79371349775157951, 0.040983435720240158)","(0.85050152217543662, 0.027455965359446409)","(0.76727986939311532, 0.032986227080681767)","(0.85734282056881683, 0.051081804605034246)","(0.67654089269956019, 0.048105948086700455)","(0.77012444307774508, 0.038228596623789649)","(0.79814078535115773, 0.044379240056348308)","(0.77506715452912989, 0.044023534226676819)","(0.80516168983286829, 0.029493230818771827)","(0.73799910256898749, 0.027053566806747142)","(0.7772648063912434, 0.038665242837705414)","(0.73419376587717844, 0.049120627820025776)","(0.79952492123131547, 0.055963883742903106)","(0.7866866129639154, 0.042282545850775649)","(0.9239975127380502, 0.02877355444953493)"
