DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.57314228325126537, 0.090153109856067601)","(0.47185306065629756, 0.14096411254350841)","(0.61072877474881093, 0.066445087279846507)","(0.53824870735766184, 0.021208953033186751)","(0.55512919384158654, 0.014695978132210746)","(0.5788480090972753, 0.016341018289443017)","(0.54992854070885866, 0.028628366006016627)","(0.58826035754780037, 0.013612756191467488)","(0.58701071910977853, 0.013947031465431655)","(0.72369306049620585, 0.14556895054297325)","(0.56932277162222245, 0.064710797954591573)","(0.64588989613422654, 0.16412042078226766)","(0.54598847398655592, 0.071616176547067673)","(0.75060347452902265, 0.11994263751835488)","(0.64620482886532826, 0.099563169447844102)","(0.58861667041649579, 0.044746828012079999)","(0.69088262158238578, 0.097779252967409774)","(0.59427406507614688, 0.034391679368331464)","(0.50737847077937737, 0.063803291636119489)","(0.53079178696921503, 0.026277923850119754)","(0.64247937888769413, 0.022857450726676366)","(0.56227569554696577, 0.035623687515892635)","(0.57887835500219742, 0.037235788912223643)","(0.58314086752391303, 0.04527697516153778)"
1,"(0.58303754127175078, 0.084044682244809571)","(0.4931772239747631, 0.13054341707267905)","(0.53626618988040309, 0.035280740393165269)","(0.57088538369631392, 0.0085002341394518812)","(0.57056827140372979, 0.0085352296010604775)","(0.58070637890763999, 0.016565601010513322)","(0.53886959913764887, 0.033991419119326509)","(0.56732600058481164, 0.013367416984814289)","(0.58735428385238031, 0.014770196440068464)","(0.73036837588108561, 0.14683582994999883)","(0.56465697046255325, 0.067260063717399204)","(0.63304563233376765, 0.15596564525751416)","(0.53341790860255767, 0.081391596380220893)","(0.40030179580146524, 0.14100890895092988)","(0.61674595853453751, 0.088908369107581486)","(0.50545964827752354, 0.03321981285448064)","(0.6865486081241936, 0.1150736642046242)","(0.59955281023581475, 0.032977226999458688)","(0.53793717528111862, 0.069071653934497629)","(0.53582862095202455, 0.020308503780808701)","(0.63867299256830734, 0.026023647155428181)","(0.62187326835125134, 0.03551725801949239)","(0.58080062338131644, 0.044576670395867643)","(0.56114908214247505, 0.054668958306151462)"
2,"(0.624899933833439, 0.046901945094974702)","(0.45961865878267377, 0.15266304382527546)","(0.59113932520917667, 0.069554622065664026)","(0.52275240817336199, 0.024718496207222454)","(0.55866554949615799, 0.014425165513776893)","(0.57617213361030639, 0.0081785514927649877)","(0.56812626623231732, 0.018799373111671902)","(0.7057358216686993, 0.040270723903783841)","(0.65190885249411279, 0.064823283021909775)","(0.80508337264249663, 0.15350099587427685)","(0.5676836827711943, 0.018940174427347696)","(0.36698067388251449, 0.20627158819500024)","(0.57534104314774381, 0.049545788982690415)","(0.58848356019213, 0.029445177331244798)","(0.51309410514710718, 0.040196801078652943)","(0.6132354628710136, 0.042701435952624017)","(0.69114313603284872, 0.087876731251031501)","(0.637031141993459, 0.03381189269374045)","(0.50550669171885732, 0.066591559018379431)","(0.62493789733076566, 0.047352091871170426)","(0.59330039430792902, 0.016594832441967636)","(0.5461125124639552, 0.034027960062685707)","(0.56120113368907276, 0.033717508737123612)","(0.53095165215616391, 0.028948483517323233)"
3,"(0.61999074429311318, 0.055268712256130767)","(0.50369345929482257, 0.038405642673217701)","(0.64369874041504704, 0.060538542243173614)","(0.48795870934786267, 0.027709349013172058)","(0.53851804384115254, 0.014243472137422207)","(0.56653713059279565, 0.0078699572998592818)","(0.56960511084266707, 0.0057646629042107638)","(0.72270039847259993, 0.047503665685520759)","(0.62193557561274282, 0.060786455788429325)","(0.58264058503807548, 0.014877461137152902)","(0.63260384610859, 0.047713547234241774)","(0.39025925925925914, 0.19830068206017587)","(0.53463874367329955, 0.026688306134404847)","(0.57419684491234058, 0.027848410986593984)","(0.53809516338454855, 0.037876256839064225)","(0.63914934479650531, 0.041556230988308393)","(0.71178474155566973, 0.08759367487464105)","(0.60890715491125647, 0.025494404133128753)","(0.42898869869961143, 0.071735655787840483)","(0.6311245310639112, 0.048386816130552464)","(0.59150827723964272, 0.017097888151509932)","(0.48042182516243354, 0.039557398056802723)","(0.54610474729395719, 0.0078861135432578989)","(0.55980479452054754, 0.017275578910177409)"
4,"(0.63582575441734956, 0.053541831933533325)","(0.49452802491103265, 0.039855359877493113)","(0.64592677681739796, 0.064025262753714465)","(0.47096359494541379, 0.029277209236651201)","(0.5378079122760212, 0.014308154409247233)","(0.56748328987344787, 0.0084049526268145797)","(0.56997628801814315, 0.0056981262874494804)","(0.74085459858297753, 0.048365675092123771)","(0.62412001592474031, 0.060159733779114058)","(0.85451473163304115, 0.15874655280719599)","(0.58147762400608149, 0.021228819918044421)","(0.39294288329677518, 0.19540770769088567)","(0.5255702982695809, 0.02652634607472009)","(0.58981909192871684, 0.030600228656144434)","(0.50330990116004626, 0.044929935278929911)","(0.61962181792804272, 0.03590574686357477)","(0.68784924891069221, 0.087881467106166941)","(0.64111460429049738, 0.03501902464585669)","(0.50067441504128629, 0.069485970373399292)","(0.62538058261092733, 0.048233230390812239)","(0.58504559617639296, 0.015536040984534087)","(0.51128760630031966, 0.035523299743921918)","(0.54107351098990852, 0.0094267061550094844)","(0.53384062913397012, 0.02078196540738016)"
5,"(0.60313280403227265, 0.054798087476553424)","(0.49672196265640345, 0.039439738247924953)","(0.64245020958298216, 0.061750810587133456)","(0.4778470805931998, 0.028427292602073599)","(0.53943607854739095, 0.013495213330235959)","(0.56766426026639938, 0.0079691791441422431)","(0.56911294238469023, 0.0058039154436795798)","(0.72859011282604746, 0.047608622668018435)","(0.62053895040035645, 0.06169421383886476)","(0.59066296054565059, 0.015583569379963967)","(0.61976000574298318, 0.042932061069882933)","(0.36853865280810394, 0.20666409764104762)","(0.55605038341247293, 0.020926673502096222)","(0.57931378811382983, 0.025369974097685734)","(0.54333482197845517, 0.039035851346114751)","(0.63982464712269227, 0.040875414306739716)","(0.71196477730691643, 0.087190221626059994)","(0.63598205648574591, 0.034359178988192685)","(0.49228517931923133, 0.071788550672676532)","(0.62867802526066419, 0.04710293751265681)","(0.59522538530331393, 0.016644723177703571)","(0.50495359374393611, 0.036840668425548735)","(0.5470645131532873, 0.0076871278217652619)","(0.55923735084676318, 0.017391615705737225)"
6,"(0.70512508942172525, 0.074267301200572233)","(0.45349597578084677, 0.024535478245479778)","(0.64541529614721072, 0.063147495184012845)","(0.47437549147641944, 0.029202555542233753)","(0.5392619767963408, 0.014550102052930993)","(0.56607974117650361, 0.0080084787041264632)","(0.57275974037060018, 0.0057606725063112096)","(0.57045206393947301, 0.012801220254947931)","(0.56535948628137778, 0.0070235242724680947)","(0.58033294677734359, 0.01508563090674345)","(0.58853337396029448, 0.020751903724277945)","(0.42582667304015265, 0.16211134495233592)","(0.56905317240914299, 0.018592748039396211)","(0.55669123017263777, 0.032162853717282155)","(0.51989406859246445, 0.036623711963028133)","(0.44336869743017776, 0.051208509384813396)","(0.85583228435145564, 0.092091798942902259)","(0.66446061944467438, 0.043412130367955645)","(0.43496126312161093, 0.070420686463353754)","(0.62925891271615964, 0.046680667009902567)","(0.58819802456704084, 0.015853648766991298)","(0.47237782539392198, 0.041401826748207644)","(0.54747414134788253, 0.0078457613977669684)","(0.16517719075327322, 0.14049923224044514)"
7,"(0.6617828075090233, 0.061077917598916245)","(0.59356304295514994, 0.035092984223617153)","(0.66238741094778608, 0.060869084476003046)","(0.47489571234578581, 0.029749472750385624)","(0.53991358971082981, 0.014610465690923721)","(0.57079002491846731, 0.0085271328401821146)","(0.57090406688820783, 0.0060194373975884143)","(0.74152950314490262, 0.048545830302241445)","(0.62678665373503495, 0.059983027832151814)","(0.57595510162351049, 0.013603883333147113)","(0.63999427900935635, 0.04164662018015354)","(0.41668013473009446, 0.18001989247936617)","(0.5424787329944859, 0.024561471856536527)","(0.53849508303076499, 0.026451141724518429)","(0.49739727373203946, 0.038131858481342887)","(0.58622671846336427, 0.028789800227118904)","(0.64513899211056425, 0.11194139948226134)","(0.56370330528313117, 0.018641416045205059)","(0.38647583236993699, 0.065450159102349484)","(0.62983261057341544, 0.047740680025264264)","(0.56743460169826554, 0.0090492195382743442)","(0.51761513734658093, 0.019295943319335301)","(0.54662334996606654, 0.0076343776953661027)","(0.56388444084278777, 0.018285626775598283)"
8,"(0.71230985081361575, 0.076685036552830474)","(0.44827981248168802, 0.024482660801085375)","(0.6492832524029567, 0.063660838711271997)","(0.46884620494454687, 0.029010751497419128)","(0.54025939566605741, 0.014338859912218895)","(0.56745959485053932, 0.0055833738872575712)","(0.57112224566968772, 0.0059914010323698355)","(0.581786007217444, 0.013009691968907243)","(0.57754178492695418, 0.0067741131009168513)","(0.87929335097662664, 0.10551654976682596)","(0.58058442486306283, 0.019178712485329204)","(0.39025923596164824, 0.17648627915167059)","(0.55332516696494793, 0.020024685173602605)","(0.58794940791986727, 0.026763003206716762)","(0.49832224174329465, 0.04352780793011396)","(0.45571237550328436, 0.047510588005124872)","(0.84367202134498298, 0.09475814266854421)","(0.692195041569174, 0.048304767273401439)","(0.46328601563917748, 0.078448821599450269)","(0.6280087819560336, 0.045018785193548197)","(0.57069807434000208, 0.011905080993775232)","(0.50893070307545962, 0.03743604635898503)","(0.54793036382634075, 0.0080784490136808929)","(0.1517532470150646, 0.1333843164339206)"
9,"(0.7204517822453127, 0.078354657775374856)","(0.49923246183324099, 0.042077456667518623)","(0.66567839195979883, 0.061182097356222605)","(0.47802426962819339, 0.029449141620898157)","(0.53903528802721534, 0.014550309206510412)","(0.57118612439401695, 0.0085710842991084685)","(0.5711066344940694, 0.0060599250357839763)","(0.74225704394487357, 0.048570253718251161)","(0.62645456301760871, 0.059900996115889067)","(0.57812866842016608, 0.014143314832584635)","(0.64000140014137374, 0.041692007475293759)","(0.42193955286373119, 0.18224047357574402)","(0.54236199401877483, 0.02472763331230677)","(0.53750464154792532, 0.026487904716676797)","(0.50326701192340095, 0.038124393215448388)","(0.58692022164227831, 0.028791518510279779)","(0.64696866749286042, 0.11228917062992136)","(0.57353560650225743, 0.017047559870979737)","(0.37924708283757896, 0.069244222921267348)","(0.63129104792851387, 0.048380217633110331)","(0.56751024212942258, 0.0088476570294824808)","(0.51883841343312964, 0.037914184518445734)","(0.54854518177224398, 0.0075288328093876793)","(0.56479173137244809, 0.018463441399816156)"
