DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.86359680847186959, 0.094503850997614838)","(0.6866289098368451, 0.074623371775932687)","(0.75122101371925598, 0.10892473766516395)","(0.75374597271163735, 0.058395706413122229)","(0.43672865946474837, 0.080585809208565423)","(0.60662162955911292, 0.063168593242310361)","(0.80865736064002969, 0.045454314136250985)","(0.73704952080942887, 0.082576582913931884)","(0.72772386955138735, 0.049810282156312675)","(0.83335093987068165, 0.030136413736090443)","(0.77495655438869082, 0.080165773858112591)","(0.69619016234393927, 0.062278989794548975)","(0.73713990177558986, 0.051486902101594727)","(0.58636373993984359, 0.10408897785488545)","(0.56632999571539, 0.10483708209935493)","(0.50030893561869749, 0.059703676049069884)","(0.33853300105480688, 0.071131761258792392)","(0.73420472382850499, 0.052914587024774765)","(0.76788838847423491, 0.066317708018226951)","(0.82058025020440684, 0.062074682197331005)","(0.58206808239538177, 0.066247872878144251)","(0.81558194941724849, 0.091165053392727693)","(0.78923608609173435, 0.079222338824618641)","(0.85355365758546298, 0.081988019408317361)"
1,"(0.85574506979702436, 0.093579172821331949)","(0.70534001906281307, 0.074500928251945944)","(0.72373843200800447, 0.10121838896268134)","(0.74210008605781363, 0.061454398759667989)","(0.44118953337669287, 0.081207083853453613)","(0.61848071465961796, 0.059487019170996469)","(0.81722150970141294, 0.045284668488167819)","(0.72891003782641273, 0.082748328474751665)","(0.72872835768487698, 0.047970106361071116)","(0.82458523910942438, 0.030540302289179255)","(0.77588978471295011, 0.0759728764435008)","(0.70927815033645969, 0.064443643862768893)","(0.78299081750655841, 0.045849209344731752)","(0.60680270823268667, 0.11040449565970503)","(0.54557842392760714, 0.10740092997753112)","(0.4958583536055523, 0.056551932619483547)","(0.34311878737606216, 0.065876983347546422)","(0.7318555900611422, 0.050500821387343853)","(0.75479513169991275, 0.058267122693121558)","(0.80552885907576866, 0.057393180410390855)","(0.61327229225402191, 0.066570660688173952)","(0.82107680257937199, 0.087310900629886945)","(0.79469725571525074, 0.074192237554706525)","(0.86126001120345019, 0.083419210409714992)"
2,"(0.85111341118318673, 0.077305303555104898)","(0.68879667289217072, 0.089201334824273226)","(0.65972940031594285, 0.083021786564377836)","(0.61453588076950849, 0.13414250484429441)","(0.68773954607189169, 0.063394641287105216)","(0.76287906057088162, 0.032818428795733691)","(0.79243685520513463, 0.052508456847614605)","(0.68361197420739384, 0.073709075901112198)","(0.74191303023753896, 0.049263848155744139)","(0.77479212088864913, 0.030805025789811886)","(0.75206354676751996, 0.079452061434716628)","(0.65855477162077902, 0.088271708926712794)","(0.71983274116938634, 0.054526704358741282)","(0.57845691085095141, 0.080156925866852385)","(0.57768539567361288, 0.10102175193875441)","(0.33282097133668997, 0.055566697385804734)","(0.48582377444141744, 0.12848206152158287)","(0.47624780351977675, 0.048212559762429739)","(0.73708871129059284, 0.04631594474919664)","(0.70845403220381831, 0.044314474543368967)","(0.77806237948612222, 0.13183127559471874)","(0.87102763363855373, 0.096040406444949933)","(0.78568766813076063, 0.082668937313419941)","(0.77805679831657182, 0.10810495841615878)"
3,"(0.85818335982495519, 0.085706716868400451)","(0.663856416905382, 0.080844606197111341)","(0.60152249719946582, 0.10286236789538321)","(0.59645205362487375, 0.14323694210538093)","(0.71567558248942797, 0.055770779548632597)","(0.76740742844889043, 0.032549783167181046)","(0.80422919277889859, 0.049607446004050357)","(0.66822018932729299, 0.065256901149060714)","(0.73970415193733652, 0.037378546384869489)","(0.78526277841609038, 0.030403749012868169)","(0.85452617429911037, 0.08402243503108113)","(0.72487165258338737, 0.0894101960940695)","(0.74523971109658349, 0.060994344005632889)","(0.55709673989033415, 0.083460917978924395)","(0.66123100655605049, 0.083910300429731591)","(0.62400947516047744, 0.067666786233931187)","(0.44087971130883685, 0.12024364266562597)","(0.49168435577594943, 0.047697207603369984)","(0.75524741806569329, 0.046211062586063535)","(0.71520070511870582, 0.047115756733299166)","(0.77907118175040813, 0.13483861030698374)","(0.85162388735190875, 0.092694653329016288)","(0.73413014818818334, 0.081514310576036822)","(0.72105206314079018, 0.10099076237013463)"
4,"(0.85469806288206562, 0.083003212411386737)","(0.63038754159597243, 0.089043546125065196)","(0.62654315874021382, 0.071701178524853401)","(0.63947731946344399, 0.12705501738953084)","(0.71100301172317337, 0.062155933568607311)","(0.80078377566131498, 0.037079603648215526)","(0.79249472180162017, 0.053367388376454307)","(0.55002009009138519, 0.064340530612547991)","(0.70438587901070437, 0.051120684011402157)","(0.77904623821211161, 0.032262009725310167)","(0.65015322571690581, 0.060419354032560359)","(0.69718809391014858, 0.080509042692635965)","(0.70586999111134441, 0.054515441313066619)","(0.55608492344026073, 0.088915158215615089)","(0.59357103719777193, 0.09770955394506374)","(0.35924832403598067, 0.054034232815990915)","(0.74075145991187918, 0.076001746558872055)","(0.64516566044103651, 0.032369403929729493)","(0.64206765060458459, 0.043860745046067719)","(0.73165580868112889, 0.037640841179659316)","(0.73022308019023763, 0.13269837025036454)","(0.71194131719836573, 0.059592582034245251)","(0.75160674189930454, 0.08135644651328354)","(0.80041208346110115, 0.090363940324359182)"
5,"(0.85292471528698688, 0.078641253150628129)","(0.76035706319590357, 0.091543544416783584)","(0.86810892644810755, 0.095027133109972434)","(0.78400618329566363, 0.13439708882912654)","(0.70047438016755614, 0.049686945717128478)","(0.70252893452189402, 0.052162077412754256)","(0.70591490686021252, 0.043689361925990579)","(0.61981982740318209, 0.061884097141675636)","(0.652334215191122, 0.06038162630749596)","(0.65370263483757618, 0.052562869211379919)","(0.58971573967075763, 0.027040670846831143)","(0.65381999935708746, 0.03240960577860718)","(0.74069320447862841, 0.04118004663079463)","(0.74949548472073335, 0.035800092149176635)","(0.7347039045637388, 0.033907706499342473)","(0.64248216599805674, 0.040569103491698726)","(0.68792586664026745, 0.052746964791524055)","(0.64847547680042483, 0.02341787222918796)","(0.71080481922693173, 0.023339817702735671)","(0.67838687876091974, 0.096074378072754804)","(0.74805415659855612, 0.059426319275666328)","(0.59525004893412936, 0.055504467416730076)","(0.64592717161605218, 0.065758263971473316)","(0.61566464139596211, 0.096733067862224367)"
6,"(0.84459095251742045, 0.076246284188326532)","(0.77826015889604339, 0.085822387792588009)","(0.93947161737910145, 0.17079485689157736)","(0.63715679850736839, 0.13662556720621238)","(0.72390407364610754, 0.059805258147504418)","(0.68750394230735212, 0.046845692080756222)","(0.72503103144392356, 0.044785316241689604)","(0.59125529385914977, 0.070529012100646424)","(0.60752843744696539, 0.051505814809214637)","(0.62747925175991959, 0.039243346018423948)","(0.6438145596580892, 0.027523589907294466)","(0.66857614251777453, 0.036472317078911763)","(0.74639905309040322, 0.038807187654005149)","(0.7483420346261046, 0.02936079817311827)","(0.77283716363718491, 0.029145254737543771)","(0.7002759849258956, 0.027534803291471358)","(0.72068149761585665, 0.049499214986727859)","(0.65770696037307985, 0.020362965606485827)","(0.72560621791258018, 0.025757217077034347)","(0.73650547830227031, 0.059034382574542611)","(0.63207824269311097, 0.049700986585061065)","(0.64716601620733505, 0.055091897470678185)","(0.70025170826911021, 0.049980129560128171)","(0.66574044883197603, 0.099442860374180972)"
7,"(0.82164066443035877, 0.11105261345005656)","(0.81745510720023395, 0.090242893947264827)","(0.96835081665390066, 0.13309299735438676)","(0.83689384068257555, 0.088508132244697446)","(0.69510668808946208, 0.058357018270764997)","(0.72652941145721495, 0.048382423386831991)","(0.67150431088898099, 0.054167811147583081)","(0.67664304044834456, 0.056947776708120616)","(0.73782296839985895, 0.048587761651367189)","(0.77116443541278457, 0.059299819704678798)","(0.60563313550070519, 0.052364491761192747)","(0.60492698359736152, 0.049702268558308393)","(0.68169300143676814, 0.042180971229388575)","(0.65476508270532385, 0.056090361555192723)","(0.68790631603473384, 0.056721798787009191)","(0.55338144135723211, 0.058492773293513406)","(0.67163844672672801, 0.057087586664085366)","(0.6021225163955809, 0.034814327405414354)","(0.67522494490545548, 0.037694687546264552)","(0.75369495860051794, 0.084012010987437935)","(0.68059925227909079, 0.077358776130299817)","(0.67781548467746633, 0.05643907132459032)","(0.62020636661570472, 0.061115695901931326)","(0.73117632134283206, 0.096280256007193588)"
8,"(0.86406556839957516, 0.066639598096897082)","(0.7196910841482167, 0.089334119723460476)","(0.83475571341115429, 0.14309633061530921)","(0.71210755913113921, 0.10569402009281886)","(0.63547917380176411, 0.06691140634505649)","(0.65411335685161631, 0.034856387643904807)","(0.71209388921753425, 0.033935580067860037)","(0.54032084462327012, 0.081438323065029683)","(0.68449122975259435, 0.040655534836126932)","(0.64305734616318733, 0.028351358303711254)","(0.68650828404508712, 0.024280619156056896)","(0.63845845014612601, 0.036177430910666816)","(0.70724359225897315, 0.030627124060801206)","(0.70170698971634105, 0.028287296679510302)","(0.74333862488986313, 0.040569811742925649)","(0.72656614004071207, 0.034962713299207873)","(0.72217062055807113, 0.043540463481255266)","(0.65015386917515416, 0.017817975404959385)","(0.71666587640610646, 0.020831536744464259)","(0.79199501105423475, 0.052648876510523891)","(0.63387007271227958, 0.038861990334559608)","(0.6341279839816184, 0.05200653101429388)","(0.68758195868734029, 0.042400545079955256)","(0.76631718276284388, 0.10059374642490164)"
9,"(0.73132471154906342, 0.11148773229120167)","(0.815005568743292, 0.084888622700970473)","(0.96963829007834346, 0.1235030115727925)","(0.88543296009996186, 0.076554838236517125)","(0.74114395613437123, 0.073274969159469711)","(0.82637128317505293, 0.051413298767420151)","(0.66577365939730693, 0.052377090725654218)","(0.57477536612489677, 0.053995517891142569)","(0.73368962692018735, 0.042190601799487824)","(0.75305875098036301, 0.047800187513007485)","(0.54969264219504699, 0.054106886667946316)","(0.46239783006806212, 0.05987503582126967)","(0.66238881988436293, 0.046991618092277081)","(0.56657725012591198, 0.088190491947042426)","(0.36932595731118895, 0.1169410464918106)","(0.30106049426069548, 0.057114495588250484)","(0.74445510564764605, 0.069402346481480429)","(0.62590191398849204, 0.038808647180804914)","(0.65784180889888455, 0.040992309594433791)","(0.67913724846723522, 0.073419189454949102)","(0.74346463221584191, 0.056352084752053291)","(0.68397043898746712, 0.052966773281123966)","(0.58837349584713494, 0.058027607611601958)","(0.67656331928583968, 0.088563527144600904)"
