DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.34073575780935034, 0.046345113493938481)","(0.40625739049027082, 0.025090998666691167)","(0.42881482931806736, 0.027720103474319462)","(0.57702923029805975, 0.060895662074660586)","(0.48334918945371069, 0.044184941837728031)","(0.41071848685365325, 0.040422009201380907)","(0.36881786634005781, 0.016480704854635889)","(0.45227414692236356, 0.032334572136724908)","(0.44996443184949014, 0.025173787784682475)","(0.46456795232767617, 0.015257617028777601)","(0.45414202098788437, 0.027772139619260415)","(0.43160592873301823, 0.028539909352079947)","(0.40975453992230487, 0.014651462151601641)","(0.40153453406189099, 0.02947947409337268)","(0.38955069824311783, 0.049635666354850172)","(0.44916702659738095, 0.036732630834153741)","(0.43340933947137011, 0.04670445431239547)","(0.36459634662415286, 0.046584907521012915)","(0.41120775366281936, 0.025799419931334087)","(0.40657638554922682, 0.036074877432100257)","(0.42589616243621414, 0.039822680243286501)","(0.35328944182016908, 0.047328982987959067)","(0.43135998684897869, 0.049722948315245055)","(0.40949623802883883, 0.04445775379941317)"
1,"(0.49285303494090232, 0.053239585201172938)","(0.40797371306682606, 0.024364713635681243)","(0.42608868915178622, 0.028245017244964404)","(0.56538605145439158, 0.060794979490453156)","(0.49624947161610367, 0.044576551045423178)","(0.39846406342514129, 0.042185473609997526)","(0.36240810701251797, 0.016556175929466399)","(0.46350175956266182, 0.034525159749886354)","(0.44357882853939778, 0.024500700814384047)","(0.45119642848431729, 0.015050912179715267)","(0.45567736468535874, 0.027387165737659491)","(0.4423662520703327, 0.028897492829588829)","(0.40979677914754725, 0.014696423686349342)","(0.40056870017738727, 0.02993513761930661)","(0.38998885035501202, 0.04970190198504839)","(0.45273752854906191, 0.036352431207767953)","(0.42820634988574646, 0.049066554203757162)","(0.3784175554825297, 0.04470533467653693)","(0.41139152602084877, 0.025912734035748515)","(0.4132713547745136, 0.036483797254556014)","(0.40411419651394292, 0.041925021879584225)","(0.33049317135007383, 0.048941271290530546)","(0.44670342760667664, 0.052933605058453223)","(0.39750727289838894, 0.044704059844929193)"
2,"(0.51675087581615509, 0.052644247499020115)","(0.42554322951661322, 0.024078433259498454)","(0.4214832210032613, 0.028388806180075915)","(0.48845402789058634, 0.049919225443026009)","(0.5182541546049293, 0.042009817850858867)","(0.42588843094398815, 0.034243961182362476)","(0.37278974693008099, 0.016625897198853549)","(0.44918596532498756, 0.031576795985003417)","(0.45308222993637098, 0.023525519474008896)","(0.45620512577094635, 0.016112842534083745)","(0.46205268755518619, 0.03028428793239793)","(0.42181850392377618, 0.028408813311371274)","(0.41581177313977119, 0.019306142593501909)","(0.39854765515087021, 0.045669412075745729)","(0.36719268336350463, 0.057695271879994958)","(0.45691613374792217, 0.058829759890995016)","(0.31579608843190715, 0.06143843766666833)","(0.37042238021578133, 0.038970258920931485)","(0.40638872826031941, 0.025953953702908969)","(0.44260339020568928, 0.033324130087196285)","(0.45646064191130187, 0.035664949814650057)","(0.34032815980266246, 0.039824682019293921)","(0.385894354226402, 0.047082136720856614)","(0.42045942407640408, 0.053804478870146166)"
3,"(0.49358144678382254, 0.051726413413970114)","(0.3944409357220936, 0.023657413518931018)","(0.42617494773075715, 0.027158485365804307)","(0.55209650178573888, 0.058098915144519002)","(0.50435195290569612, 0.041414695789132844)","(0.40250418806798594, 0.03941917033590709)","(0.37440779026788445, 0.016767057278845542)","(0.47463550778513336, 0.034282056404789513)","(0.45305867204775907, 0.022768982530419646)","(0.45020110064101876, 0.014146713933960293)","(0.46097084957322787, 0.028453729534293606)","(0.43892148438133388, 0.029229512157452481)","(0.39939731364490433, 0.01713214746703658)","(0.39077217832370142, 0.031994524165234989)","(0.40381721613242449, 0.049133759542200096)","(0.46348755055775864, 0.032021083073260674)","(0.41869306195957251, 0.035978508339243653)","(0.37012275554776397, 0.043650927859964037)","(0.40829759406615418, 0.02714139122049725)","(0.4459626857950208, 0.035526009235177784)","(0.41772570775480949, 0.037460227054752403)","(0.34180812059973814, 0.046885049622190096)","(0.42878766235900018, 0.049579402558731674)","(0.41254501116861592, 0.052343671787673643)"
4,"(0.51260731690889139, 0.054677743316959231)","(0.40771388694583055, 0.027530327416977658)","(0.43259651551889128, 0.02959759396593848)","(0.49253841546301602, 0.046838062500775844)","(0.50361754730556796, 0.040416301854636391)","(0.42487461048420805, 0.036767408125791878)","(0.3727446793119073, 0.016545098378897474)","(0.45890968093693901, 0.032029995641551574)","(0.44838623926100768, 0.023156471522937403)","(0.46849828068865274, 0.015595600085322509)","(0.46972159436471411, 0.029688904936664706)","(0.43233309266172598, 0.028138673331981598)","(0.40494897385794709, 0.018879690545305101)","(0.40007641907633024, 0.042714942567567617)","(0.37443085910061635, 0.057237104387453754)","(0.44358153728799682, 0.057605466666550892)","(0.34496147049719478, 0.048280661575328947)","(0.36995106852375126, 0.038820860514073782)","(0.40017018911249191, 0.025824992453986867)","(0.44628093497302213, 0.035449295793169099)","(0.453593266876268, 0.035657828845088571)","(0.34202899234188644, 0.04124848001924139)","(0.39707839783745463, 0.048083258134343325)","(0.40252232931523146, 0.052976285977063248)"
5,"(0.49285303494090243, 0.053239585201172918)","(0.40797371306682612, 0.024364713635681202)","(0.42608868915178622, 0.028245017244964383)","(0.5653860514543918, 0.060794979490453142)","(0.49624947161610383, 0.044576551045423136)","(0.39846406342514135, 0.042185473609997533)","(0.36240810701251797, 0.016556175929466399)","(0.46350175956266176, 0.034525159749886375)","(0.4435788285393979, 0.024500700814383967)","(0.45119642848431735, 0.015050912179715223)","(0.45567736468535885, 0.027387165737659397)","(0.44236625207033264, 0.028897492829588825)","(0.40979677914754736, 0.014696423686349311)","(0.40056870017738727, 0.029935137619306613)","(0.38998885035501207, 0.049701901985048397)","(0.45273752854906191, 0.036352431207767953)","(0.4282063498857463, 0.049066554203757155)","(0.37841755548252981, 0.044705334676536895)","(0.41139152602084877, 0.025912734035748515)","(0.41327135477451343, 0.03648379725455602)","(0.40411419651394281, 0.041925021879584252)","(0.330493171350074, 0.048941271290530504)","(0.44670342760667664, 0.052933605058453223)","(0.39750727289838889, 0.044704059844929214)"
6,"(0.49285303494090255, 0.053239585201172904)","(0.40797371306682606, 0.024364713635681243)","(0.42608868915178622, 0.028245017244964404)","(0.56538605145439169, 0.060794979490453135)","(0.49624947161610367, 0.044576551045423178)","(0.39846406342514129, 0.042185473609997512)","(0.36240810701251797, 0.016556175929466399)","(0.46350175956266171, 0.034525159749886347)","(0.44357882853939778, 0.024500700814383995)","(0.45119642848431729, 0.015050912179715267)","(0.45567736468535874, 0.027387165737659439)","(0.44236625207033264, 0.028897492829588825)","(0.40979677914754731, 0.014696423686349309)","(0.40056870017738727, 0.029935137619306613)","(0.38998885035501191, 0.049701901985048418)","(0.45273752854906191, 0.036352431207767953)","(0.42820634988574646, 0.049066554203757162)","(0.3784175554825297, 0.044705334676536909)","(0.41139152602084872, 0.025912734035748546)","(0.4132713547745136, 0.036483797254556014)","(0.40411419651394292, 0.041925021879584225)","(0.33049317135007383, 0.048941271290530546)","(0.44670342760667664, 0.052933605058453223)","(0.39750727289838894, 0.044704059844929193)"
7,"(0.49285303494090232, 0.053239585201172938)","(0.40797371306682612, 0.024364713635681205)","(0.42608868915178622, 0.028245017244964404)","(0.56538605145439169, 0.060794979490453115)","(0.49624947161610367, 0.044576551045423206)","(0.39846406342514135, 0.042185473609997498)","(0.36240810701251797, 0.016556175929466399)","(0.46350175956266182, 0.034525159749886354)","(0.44357882853939778, 0.024500700814384047)","(0.45119642848431729, 0.015050912179715267)","(0.45567736468535858, 0.027387165737659508)","(0.44236625207033275, 0.028897492829588783)","(0.40979677914754731, 0.014696423686349274)","(0.40056870017738727, 0.029935137619306638)","(0.38998885035501202, 0.04970190198504839)","(0.45273752854906191, 0.036352431207767925)","(0.4282063498857463, 0.049066554203757183)","(0.3784175554825297, 0.044705334676536909)","(0.41139152602084872, 0.025912734035748595)","(0.4132713547745136, 0.036483797254556014)","(0.40411419651394292, 0.041925021879584225)","(0.33049317135007394, 0.048941271290530518)","(0.44670342760667664, 0.052933605058453223)","(0.39750727289838877, 0.044704059844929207)"
8,"(0.50738693366091614, 0.053403748488404471)","(0.40862316476584254, 0.02234452489710478)","(0.41960774715662102, 0.02679885921417547)","(0.53836439151210058, 0.057642363550875389)","(0.49457786758969446, 0.044203883457784102)","(0.39761273522044277, 0.032815623378274816)","(0.37079521039875696, 0.017410662609221861)","(0.47266113797557285, 0.02995281853623448)","(0.45704752678211363, 0.023214806015510538)","(0.44893600945371165, 0.015319028296217835)","(0.46633806781721382, 0.031345455490318135)","(0.43216853609428824, 0.030397200038256592)","(0.40042564435245326, 0.019193078474818492)","(0.36634294648509086, 0.036524470782989565)","(0.38247538941804804, 0.048528198583081439)","(0.44846709086766079, 0.031662431008116353)","(0.36420271322150016, 0.048801886188098248)","(0.36872018902511722, 0.042242047359792229)","(0.412118400294534, 0.027469155880879496)","(0.43793047733106066, 0.034919680602039448)","(0.42569306549764524, 0.035479056203922103)","(0.34790033311045354, 0.043029315016422709)","(0.43585495452003192, 0.048213221371865504)","(0.41376118491149927, 0.051434091184985702)"
9,"(0.44906451638075112, 0.058204735816238772)","(0.3908618755895093, 0.029209023867397967)","(0.46776613263050232, 0.044192716021538611)","(0.48752660578727791, 0.047632404757468265)","(0.56307381608631857, 0.037315799620698302)","(0.48897386217812328, 0.036367626263167759)","(0.32708616873696744, 0.032720791430094695)","(0.4053084544428408, 0.036983530918199101)","(0.41990988490638009, 0.022137441967529502)","(0.47800727423159961, 0.022496159181783888)","(0.47235564351204629, 0.025213430763766465)","(0.42206611925717724, 0.026248021186621281)","(0.38016356202380658, 0.026856028398927253)","(0.39141856845243211, 0.027872511745448757)","(0.416586104096756, 0.036685311674497775)","(0.442750425418169, 0.046191462293559075)","(0.34149376951043497, 0.062010404604923679)","(0.38593598090579728, 0.027823390363951324)","(0.42964228880782673, 0.020659935489800503)","(0.38235097705162552, 0.026707647756296738)","(0.5164524370311333, 0.042601348134868107)","(0.45043778255614586, 0.025475637225651011)","(0.33298350111116976, 0.041981443859171998)","(0.46588631996534779, 0.042014358773153272)"
