DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.77262782840346989, 0.060189741947038536)","(1.0519278369263607, 0.032214296005406658)","(1.1089314427027985, 0.026013146401307068)","(1.2696576167735656, 0.073841369717980818)","(1.0732614816840205, 0.21500776676441299)","(0.26594608821089666, 0.064742014745129126)","(1.102672074009583, 0.048583695210736653)","(0.84413890379963874, 0.091616380086880694)","(0.97459413145082219, 0.049160384195687835)","(1.1189790504848969, 0.071064643709896513)","(0.97671105295566607, 0.074883625505797538)","(0.92287585909788261, 0.071619915719812244)","(0.73174382950636152, 0.080087313397301213)","(0.87252265825271125, 0.079860877091081861)","(0.88699837496399059, 0.06338787677140624)","(0.87838096041889424, 0.064773303047138409)","(0.80994732340706765, 0.05994094510187481)","(0.73078390172943597, 0.052633831209743562)","(0.54151291993424311, 0.0571327143451709)","(0.85337631162742356, 0.085951123097981003)","(0.91554969345243464, 0.064460104006009183)","(1.063715505075409, 0.035027170731600145)","(1.061608540760788, 0.033630246648900602)","(1.0211338602468438, 0.028704834165693405)"
1,"(0.57758805476583508, 0.050722289485427272)","(0.93541456030130521, 0.059076775418126504)","(0.95207432717235885, 0.043153196693370262)","(0.88644825579139308, 0.059075452290940127)","(0.63213294641371265, 0.059732948682350663)","(0.45463379199686277, 0.056649339123781672)","(0.59448232021033898, 0.088512203152591534)","(0.742630810324441, 0.057758743478719614)","(0.43455223813575516, 0.12394204211900878)","(0.64054008800047724, 0.048965212514821332)","(0.40801567634353941, 0.042172675095520556)","(0.6138639251051079, 0.10396167384957257)","(0.40734483572259411, 0.033849811762718361)","(0.45694545074032922, 0.040639518193573879)","(0.37005814209108945, 0.085397841175476594)","(0.64315008715626543, 0.047417830901971068)","(0.56435343418077644, 0.071837734380423235)","(0.52840121781472904, 0.058300622999643316)","(0.52750676819416109, 0.04467944762138782)","(0.45806154253079284, 0.05254638722635406)","(0.43587287837631805, 0.055147809352424478)","(0.47391759369803171, 0.044248582399719551)","(0.47146298864619524, 0.034715208550561184)","(0.46611282669358239, 0.032406037615639864)"
2,"(0.64597416483470282, 0.053134705023913979)","(0.69720144068952405, 0.070744284167565799)","(0.93932606218363701, 0.064135362501254858)","(0.76489640148174309, 0.061802460009813598)","(0.44510578697171505, 0.04713485366454577)","(0.57621268402740566, 0.053455853399787159)","(0.51900880352852241, 0.070770068121744995)","(0.76785497377713452, 0.058964764468170811)","(0.84041228265587908, 0.24361974811999024)","(0.38840952825852543, 0.031156400985934977)","(0.38616271490296722, 0.052053085028459886)","(0.61057648709556589, 0.10211545652953515)","(0.37694845133716837, 0.028265864404894491)","(0.55131849954326873, 0.056825836439254054)","(0.49648030536207061, 0.07436744737208717)","(0.61786543758262746, 0.048051118130544995)","(0.55953747166377032, 0.064658162562664948)","(0.48179231081199825, 0.048261317806556493)","(0.53158561113261671, 0.050411075294136062)","(0.44137743553899955, 0.05345942238939886)","(0.53358499611696431, 0.04282767102245319)","(0.55308899709850201, 0.053033898824754636)","(0.4935810978846778, 0.037684074462972172)","(0.46461786293132429, 0.029480867651156161)"
3,"(0.56283225912181645, 0.048562143596866329)","(0.69683264897171682, 0.064221390191205346)","(0.94985494279977822, 0.041902732169213544)","(0.57645760336732976, 0.073688612682931282)","(0.50762711205050537, 0.042162917238095773)","(0.48091178913542382, 0.053905718002757445)","(0.55712272247097405, 0.086885614644334475)","(0.75930051928588715, 0.061514715258734282)","(0.46990248253286826, 0.12180201771753041)","(0.61386534507542934, 0.050663856764731778)","(0.41076239537564319, 0.040383749818979693)","(0.64039382840362225, 0.097620603972827028)","(0.46589024828414416, 0.04537191065063572)","(0.49415731197727242, 0.044317925496258043)","(0.48326211162349086, 0.08473745863937282)","(0.66746355199339646, 0.050703948342044614)","(0.52949053258261347, 0.069726388033801157)","(0.53614724371095812, 0.058496905841571391)","(0.49675385213103768, 0.044138618864765465)","(0.45222383560667023, 0.05089087406959146)","(0.42434493868887152, 0.051332295634465036)","(0.47015726253974677, 0.040195931670882805)","(0.45194376036249978, 0.032620749656291526)","(0.47786490740978937, 0.033174682881832354)"
4,"(0.59853456164229202, 0.052042195270342928)","(1.0374839387615125, 0.043051596095974476)","(0.836771449158355, 0.05975036322403067)","(0.93876105663093545, 0.041178898592316868)","(0.56229012510538068, 0.066016951812060853)","(0.55557419718715884, 0.060063994311591422)","(0.64367598513824753, 0.076200624978016065)","(0.77249531158429452, 0.054833951319595502)","(0.69339445726996307, 0.076087784548469248)","(0.88580959458637765, 0.051725181745334685)","(0.48154680371329606, 0.029963379399800403)","(0.51099140339667037, 0.04365430835107096)","(0.56661881679907833, 0.035030694412942522)","(0.95227292951983211, 0.082748443998225965)","(0.56909388476721756, 0.065123798314974321)","(0.80326010591211738, 0.086145850621467263)","(0.63923888358701486, 0.056151558255707834)","(0.48866780766530282, 0.041072312207411234)","(0.41100404565592091, 0.045491712183643986)","(0.48263334995044571, 0.053668841040311402)","(0.55716876088059764, 0.042376180882381514)","(0.50979180041906236, 0.056001084728090386)","(0.75594449324522583, 0.085660458388073193)","(0.58775274971375591, 0.053180944577583357)"
5,"(0.59853456164229202, 0.052042195270342928)","(1.0374839387615125, 0.043051596095974476)","(0.83677144915835489, 0.059750363224030753)","(0.93876105663093545, 0.041178898592316868)","(0.56229012510538068, 0.066016951812060853)","(0.55557419718715872, 0.060063994311591415)","(0.64367598513824753, 0.076200624978016065)","(0.77249531158429463, 0.054833951319595467)","(0.69339445726996307, 0.076087784548469248)","(0.88580959458637798, 0.051725181745334643)","(0.48154680371329606, 0.029963379399800372)","(0.51099140339667037, 0.04365430835107096)","(0.56661881679907844, 0.035030694412942466)","(0.95227292951983178, 0.082748443998226076)","(0.56909388476721756, 0.065123798314974321)","(0.80326010591211772, 0.086145850621467263)","(0.63923888358701486, 0.056151558255707772)","(0.48866780766530304, 0.041072312207411171)","(0.41100404565592091, 0.045491712183643986)","(0.48263334995044571, 0.053668841040311402)","(0.55716876088059764, 0.042376180882381514)","(0.50979180041906236, 0.056001084728090386)","(0.75594449324522617, 0.08566045838807318)","(0.58775274971375591, 0.053180944577583357)"
6,"(0.55114775289393458, 0.051356188479755566)","(0.79543763919424215, 0.052690999552882853)","(0.82379546059108399, 0.047156699590313468)","(0.82322521314207764, 0.037286942065413768)","(0.52343760651352766, 0.050041426880298626)","(0.46644187439978396, 0.049597180705092045)","(0.56305728357337592, 0.073252059475678519)","(0.59489813573137895, 0.055770672705629493)","(0.70136554151335539, 0.067105892641990059)","(0.94890346490149113, 0.042429569886486294)","(0.45955374466819821, 0.027692855303911305)","(0.54905463413314415, 0.042402861665360385)","(0.50126780106673385, 0.039232597092977571)","(1.1408123296194721, 0.074527652728481664)","(0.58492189800600325, 0.065293956194868413)","(0.7172594091368214, 0.098212813916089006)","(0.65430170083950157, 0.070616475106689766)","(0.4816364502877124, 0.049419944241322386)","(0.51650033635643067, 0.051695957669384736)","(0.60361397923907256, 0.075513510204764045)","(0.44839448067881932, 0.051434116854218906)","(0.42812658588467672, 0.039983795037072209)","(0.52405325180047446, 0.036713770444491665)","(0.56505939047872511, 0.046085561090944166)"
7,"(0.56769068914287479, 0.051899577773039059)","(0.7489828763453229, 0.05795373352678411)","(0.86265676572379568, 0.074584331308405777)","(0.7370827742123679, 0.051454800204918681)","(0.50731047342189384, 0.049971421031096669)","(0.52754474188744815, 0.044077202953033925)","(0.48749763229942161, 0.061392740178611183)","(0.71531097511378683, 0.050932018027570268)","(0.57187545763977332, 0.19401961867751052)","(0.36484950121794235, 0.029277040654651251)","(0.39065654852879467, 0.039078638874401321)","(0.42302915416396047, 0.03807680930207042)","(0.45676343781972928, 0.033560495509076742)","(0.53302589471513506, 0.054305774396032985)","(0.56493592586001973, 0.061666502071740847)","(0.39184237433237307, 0.037969049445162141)","(0.39563583702742389, 0.04093175021277029)","(0.50134771313304038, 0.036277319150101628)","(0.57589729414809099, 0.066463300914232873)","(0.37988896875921357, 0.061482543576658041)","(0.55484250226195464, 0.056416539292362879)","(0.38973439557268269, 0.039797613364713796)","(0.52963551780973195, 0.028611463802701097)","(0.52635884564499513, 0.028855501086309583)"
8,"(0.49903246319208983, 0.040391738062713504)","(0.77757717316273745, 0.066084243067463647)","(0.86032466133854113, 0.064749549989515612)","(0.73155835715396245, 0.057388434993009441)","(0.44223212933425837, 0.049503607714648991)","(0.56780749416148468, 0.048178591673175425)","(0.57810353931608605, 0.063997317915408553)","(0.72745739901292839, 0.052109791195204404)","(0.74500664542681305, 0.22397523915450773)","(0.38545006265110326, 0.033936113196032312)","(0.33935171516366086, 0.044764802822398864)","(0.43266584603621777, 0.039823305051532948)","(0.43689341770086371, 0.030490997863652777)","(0.53048000212893953, 0.052966184203059478)","(0.57358916684083205, 0.066373720055554655)","(0.41904662682943161, 0.044349689468450949)","(0.50137798729333694, 0.063131876125548089)","(0.49368460761952698, 0.038227454671979591)","(0.54257356002017898, 0.057929036115009831)","(0.40252024305307199, 0.06394552048212955)","(0.53016360991591838, 0.056323559344163894)","(0.49735552616602591, 0.055317731036916437)","(0.52881373612227422, 0.029460221760163385)","(0.47486600879570406, 0.031804304354899122)"
9,"(0.55578606539009823, 0.046580455019028605)","(0.63444045698490026, 0.070688901217462061)","(0.86662229146741154, 0.069015030076568284)","(0.74121854256164554, 0.05708709246171316)","(0.46960311374459596, 0.051181879923996851)","(0.57681277824553101, 0.050140918924676627)","(0.56313123368857576, 0.069964554097823609)","(0.7501226695422748, 0.059695531077148478)","(0.78021427691277778, 0.24470596682746362)","(0.42802055417858692, 0.039257813107754162)","(0.42208255226580693, 0.056471412837945344)","(0.64572181305166076, 0.11724994305186363)","(0.39738202927489558, 0.0289410161918905)","(0.51084478538560218, 0.052549836465785378)","(0.58639079878362199, 0.08551494641017586)","(0.61274032684750412, 0.04740747410111272)","(0.57091457979723925, 0.060406481103540514)","(0.47732612359950366, 0.046303833328664085)","(0.53331370201171802, 0.052169734909952775)","(0.44537589249633353, 0.065715082680494544)","(0.52927967693921862, 0.052507177919538961)","(0.43820920405486929, 0.039065760818346548)","(0.54932551314355005, 0.02958546838907445)","(0.45160073702935083, 0.028939671208971098)"
