DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(-0.018391494173622288, 0.07064973003668984)","(1.0589420466092518, 0.082106313423626676)","(0.96256018284344025, 0.025213789626140567)","(0.74438076226539351, 0.031775208906501609)","(0.66131288156730827, 0.08704337796877365)","(0.98683110367893001, 0.091793239507693275)","(1.2589622692962168, 0.10772847334855799)","(0.78468476610512661, 0.096447253066154051)","(1.0185580881292939, 0.033643495663173421)","(1.1194997862334333, 0.062606271097133764)","(0.94568923648908865, 0.065098872585927101)","(0.81422821969696979, 0.09751770670408029)","(0.82725426402445035, 0.079781568330669947)","(0.89601331397967887, 0.071793665569889142)","(0.86620306190103014, 0.068902613581317981)","(0.88929180967384969, 0.10035832863436539)","(0.91068707586838593, 0.033450349711757969)","(0.69431006602883705, 0.067690600523222996)","(0.919366419806393, 0.044657444995597706)","(0.69217345319936563, 0.087489341171359217)","(0.8003042753839118, 0.10190188517655674)","(0.97492550188205807, 0.08575853984244991)","(0.9654811967127922, 0.051350432112597565)","(-0.4926176171181062, 0.22315363925586088)"
1,"(0.86672699910518169, 0.096882684500892741)","(1.0181162477118815, 0.043376970481907556)","(0.97297446464051773, 0.021972848829566804)","(0.82760556138734787, 0.061587503361280584)","(0.98036286019210195, 0.075469353551583365)","(0.99901971174226356, 0.067205490163005588)","(1.0995253804563621, 0.078934723016696726)","(0.98081673137206349, 0.056188040083564615)","(1.0305003599372542, 0.045066846349707292)","(1.1657039918152792, 0.081311342753909624)","(0.89952265126846198, 0.070889674462017105)","(0.98356761124724645, 0.062387681532706615)","(0.94890327769438865, 0.073953582344953139)","(0.92736250882768412, 0.078007351875487907)","(0.77881347738863471, 0.073046845338947522)","(1.0061091301285441, 0.11794743431656696)","(0.95020176848144788, 0.052339686809038999)","(0.93772132658158025, 0.062389015958036302)","(0.92497080937816945, 0.045533668795575265)","(0.87273695096727066, 0.10399511295216418)","(1.0058217340975184, 0.12851914132233094)","(0.95570826251797647, 0.075936219066816094)","(0.96290712779015863, 0.065682480841445151)","(1.0026503199492576, 0.062095722596767912)"
2,"(0.92761699005380738, 0.049468715591370852)","(0.9264948073254774, 0.041454795287500221)","(0.71383196721311437, 0.05594654231040589)","(0.86734593146241656, 0.098747743636208141)","(0.962820363602506, 0.076227730475001684)","(1.0264097837505697, 0.054693907044185842)","(1.0915232719122827, 0.054513472023084646)","(0.94667625470120953, 0.056051202775443315)","(0.84558279464975428, 0.052039384988322661)","(1.1393832029587936, 0.063007421966837604)","(0.9374537568567417, 0.062428239518295812)","(1.0131363940884957, 0.066415593630836114)","(0.89352705788458531, 0.056215166152727924)","(0.84617047071846585, 0.053819402254472619)","(0.75351022051023508, 0.065968255528686806)","(0.89350007592064984, 0.049053945046558842)","(0.97002717994231147, 0.033790213681842318)","(1.0149489231570046, 0.041700314173809989)","(0.98465466149710867, 0.034916532556764128)","(0.88046582059417322, 0.063003085266672282)","(1.0204642739545602, 0.055753425857602852)","(1.0552816925369686, 0.064962954685790358)","(0.85611895394959714, 0.041454645621474884)","(1.0028158926417376, 0.053579127404309437)"
3,"(0.94810638727316121, 0.053546522748539306)","(0.9501129698300339, 0.046597242148926216)","(0.79573213657162978, 0.054494561209964765)","(1.0177330086340488, 0.11691318010951365)","(0.99594234272288062, 0.071678093624094566)","(1.0041296060991105, 0.049106050467082718)","(1.1256266702136661, 0.056770827316162079)","(0.93485400949986075, 0.049639527011708796)","(0.90574463582350773, 0.051462468282680973)","(1.1921922770171471, 0.054935482642465776)","(1.0759863752483676, 0.081648291023135408)","(1.0062928046868549, 0.0732580014233319)","(0.86066979876320659, 0.072481976749298752)","(0.88804587990642081, 0.054188678151638407)","(0.74012785302446127, 0.089272342289055687)","(0.88908118655991397, 0.072336485529184008)","(0.90403912971541922, 0.052349756080439694)","(0.93047588910842194, 0.058529194048297796)","(0.99931334076165179, 0.042475290840784302)","(0.95093130191557895, 0.088905688661758395)","(0.75454397728438938, 0.10553544584948037)","(1.0735180927628949, 0.053589205276687479)","(0.8670870459769503, 0.038807053566718555)","(1.0351157071760182, 0.062330667014028028)"
4,"(0.91795390422093104, 0.060242021742172747)","(0.95644635972167591, 0.046344823139623695)","(0.8107446377984624, 0.052885817857100281)","(1.0287878787878788, 0.10425903356695924)","(0.99745104854593925, 0.066471182282103303)","(1.0701732884128146, 0.056433242585280298)","(1.0814745920555213, 0.060570993886670157)","(0.94477026255707786, 0.05373519122829111)","(1.0013774388568291, 0.046238259764741649)","(1.0923915362731149, 0.063477738951030246)","(0.91864092397344621, 0.092219505392841988)","(0.99325190996563728, 0.057937537650684323)","(0.85183200643187562, 0.070643003507318045)","(0.89208634605683657, 0.067640793390374251)","(0.74610668789808909, 0.086585099651880423)","(0.95952413758549038, 0.10823555328105332)","(0.89111374407582888, 0.057510600001424467)","(0.9223238398740724, 0.056703779149053668)","(0.97980963956384537, 0.044297793366655264)","(0.96625261445503097, 0.077414980308364592)","(0.80081685437401728, 0.10218857918608536)","(1.0400846361322724, 0.062424678234481536)","(0.93511681806698277, 0.047622920742304488)","(1.0073663290165409, 0.075874135914059893)"
5,"(0.98565958613678639, 0.025548357811930194)","(1.0087842163214082, 0.033086545711021612)","(0.73047113914373119, 0.05200874634242815)","(1.0843665205593802, 0.10674191453239423)","(1.0244612068965526, 0.075242062600944223)","(0.99969822443680179, 0.044788101271110312)","(1.1181000753795904, 0.047175052833638514)","(0.94636602749601295, 0.056209781661150537)","(0.87017612664004595, 0.052168418263566246)","(1.2341899524009174, 0.05980807476225785)","(1.1085546248440559, 0.061462529214028172)","(1.0203512690404248, 0.059533609463139181)","(0.86968648640642932, 0.063530463787587435)","(0.89240661359461171, 0.049331732007988655)","(0.76387578161185754, 0.082389291026450165)","(0.89336711999275165, 0.048664919484286945)","(0.9452339952566936, 0.03505265162124082)","(1.0471296897022309, 0.047647223053445938)","(0.98944687006276977, 0.03837909420842428)","(0.90257669659408879, 0.06514575640732069)","(1.0401440209485011, 0.056123222272085049)","(1.0846084593727499, 0.046980941277880675)","(0.88001657831001923, 0.032719409916077684)","(1.0309833557854302, 0.043242842195590443)"
6,"(0.92915831269410676, 0.048517356490480557)","(0.90717369884083221, 0.044431861974964217)","(0.70976547481737762, 0.06031969165792269)","(0.88523530296196007, 0.1038358189968185)","(0.98172351503559752, 0.081029765358721417)","(1.0489393961697542, 0.055182297822248122)","(1.0848827611506833, 0.057395535270384122)","(0.95423406232697927, 0.055420269738504578)","(0.84472258866507677, 0.051569893160760862)","(1.0137788232958873, 0.053498543153369126)","(0.86448896501261063, 0.044017610007305634)","(1.0166826174727821, 0.066029748772438251)","(0.88493929527817827, 0.055155669607248624)","(0.87055669022160664, 0.051381455704872271)","(0.74250643510163061, 0.066751290525972479)","(0.89402525777316011, 0.055443251165911672)","(0.97677315390283592, 0.036309830478929141)","(0.99609279732943357, 0.041513905189754306)","(0.98677038973036812, 0.033655480651674237)","(0.89380400967853491, 0.064664582026687262)","(1.0169361712692091, 0.048699588948123429)","(0.87180090327436954, 0.078479120811600855)","(0.85329316586088755, 0.041627137898434571)","(0.99338938205698446, 0.049054403605435989)"
7,"(0.98657981195576672, 0.02229902148658458)","(0.98718252624449643, 0.030901635257985654)","(0.72127900180427451, 0.053323136050681598)","(1.1065270997936678, 0.10347405318907033)","(1.0295738338838321, 0.072180149179708331)","(0.99324524740461095, 0.044116275632576273)","(1.1213557594291534, 0.046570744148607346)","(0.94870558427844587, 0.056619902985806346)","(0.8387662333002005, 0.042600919269430798)","(1.1985547385461564, 0.061529423675675876)","(1.0757080107976933, 0.076922954234693891)","(1.0251975895550665, 0.060212551468507465)","(0.87721949918476616, 0.063941903966755864)","(0.8970033491979561, 0.048290997295652414)","(0.76949020855955386, 0.083741558969460325)","(0.89376660825497145, 0.047696886401430508)","(0.945961393122559, 0.035307332182600543)","(1.0504971203940938, 0.047456681107925058)","(0.9897967655669635, 0.038171241484596018)","(0.90257485444968077, 0.063193046451996665)","(1.0471072510969368, 0.05608130716550213)","(1.0882712946726909, 0.049920586575717303)","(0.87560243271570526, 0.031086734996589534)","(1.0278483132712388, 0.042938028098955888)"
8,"(0.9881365808375433, 0.025392447822020599)","(1.0095327421555249, 0.032544204346728979)","(0.74090204187128494, 0.054714149006825565)","(1.0766581632653047, 0.10788685570804853)","(1.0275458740208192, 0.075493548616521661)","(1.0086431145091828, 0.042825339121064052)","(1.103803271203541, 0.047773449794217444)","(0.96702583224417615, 0.055234190445486532)","(0.86604814994467283, 0.054523537965569906)","(1.2113933236574739, 0.058760635477274503)","(1.1036366730965619, 0.064554755504334177)","(1.0240729206592565, 0.059107489192437433)","(0.90885493300267595, 0.056345425607632421)","(0.85662219329645373, 0.043853008734911103)","(0.76918441905199386, 0.07013137700712152)","(0.89642151811780979, 0.049698565878430752)","(0.94414276287699317, 0.034535193208737748)","(1.039717439313619, 0.04368383478828191)","(0.98810806098291748, 0.036752308758243903)","(0.90191665754623973, 0.064548554136247854)","(1.0192090102247362, 0.054327606573375598)","(1.0698724555203085, 0.045540712165646736)","(0.8749007959307179, 0.032549923001489622)","(1.0303665430795919, 0.043279223808359746)"
9,"(0.98657981195576672, 0.02229902148658458)","(0.98718252624449643, 0.030901635257985654)","(0.72127900180427451, 0.053323136050681598)","(1.1065270997936678, 0.10347405318907033)","(1.0295738338838321, 0.072180149179708331)","(0.99324524740461095, 0.044116275632576273)","(1.1213557594291534, 0.046570744148607346)","(0.94870558427844587, 0.056619902985806346)","(0.8387662333002005, 0.042600919269430798)","(1.1985547385461564, 0.061529423675675876)","(1.0757080107976933, 0.076922954234693877)","(1.0251975895550665, 0.060212551468507465)","(0.87721949918476616, 0.063941903966755864)","(0.8970033491979561, 0.048290997295652414)","(0.76949020855955386, 0.083741558969460325)","(0.89376660825497145, 0.047696886401430508)","(0.945961393122559, 0.035307332182600543)","(1.0504971203940938, 0.047456681107925058)","(0.9897967655669635, 0.038171241484596018)","(0.90257485444968044, 0.063193046451996804)","(1.047107251096937, 0.056081307165502005)","(1.0882712946726909, 0.049920586575717303)","(0.87560243271570526, 0.031086734996589534)","(1.0278483132712388, 0.042938028098955888)"
