DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.52378573706026288, 0.0018734706199861504)","(0.41690647482014437, 0.044453366739729716)","(0.0, 0.025520889276702062)","(0.040201005025125851, 0.026419979836120131)","(0.006722689075630243, 0.033100913376052747)","(0.62152058600656734, 0.011037089834628517)","(0.61188118811881198, 0.017695108846411688)","(0.59747530186608178, 0.041067347656862097)","(0.56521739130434789, 0.035972303607210612)","(0.29909090909090913, 0.06132295302089695)","(0.56706081081081083, 0.013594811242826218)","(0.51095617529880466, 0.03443119948840187)","(0.50084745762711913, 0.044287689902040961)","(0.14358974358974405, 0.043744268457396353)","(0.31033210332103228, 0.05270970760174401)","(0.57695473251028784, 0.024054452572207768)","(0.50029498525073679, 0.021563571561704371)","(0.51306532663316518, 0.04334290635359047)","(0.47669491525423702, 0.024101429553976778)","(0.44149659863945545, 0.027187243579373827)","(0.56193483202828987, 0.011807330665107127)","(0.54383610031790885, 0.017157811291127784)","(0.56863596872284994, 0.031996443995288899)","(0.37641025641025666, 0.033915603715242791)"
1,"(0.52378573706026277, 0.0018734706199870067)","(0.41690647482014498, 0.044453366739729619)","(0.0, 0.025520889276702066)","(0.040201005025125774, 0.026419979836120103)","(0.0067226890756302369, 0.03310091337605274)","(0.6215205860065679, 0.011037089834628004)","(0.61188118811881209, 0.017695108846411265)","(0.59747530186608255, 0.041067347656861972)","(0.56521739130434823, 0.035972303607210696)","(0.29909090909090924, 0.061322953020896999)","(0.56706081081080928, 0.013594811242827192)","(0.51095617529880466, 0.034431199488401842)","(0.50084745762711813, 0.044287689902041044)","(0.14358974358974408, 0.043744268457396381)","(0.31033210332103234, 0.05270970760174401)","(0.57695473251028773, 0.024054452572207535)","(0.50029498525073901, 0.021563571561703784)","(0.51306532663316506, 0.043342906353590331)","(0.47669491525423691, 0.024101429553976605)","(0.44149659863945545, 0.027187243579373854)","(0.56193483202829109, 0.011807330665106305)","(0.54383610031790885, 0.01715781129112811)","(0.56863596872285016, 0.031996443995288781)","(0.37641025641025683, 0.033915603715242791)"
2,"(0.52803213315610031, 0.0037315017408297529)","(0.57206491712707219, 0.009550427731223594)","(0.56578616352201272, 0.019928192548552357)","(0.59364493644936567, 0.027096995650644811)","(0.64008810572687314, 0.024251365081380077)","(0.61190476190476228, 0.0091607924195827532)","(0.63564407159553016, 0.0076228450722753199)","(0.63247342648990879, 0.0092358395793514861)","(0.60429783433802198, 0.011174956507113453)","(0.57687257535064207, 0.010087503175543107)","(0.60851793248945085, 0.0061329370006857221)","(0.57412241224122362, 0.0081526069187781679)","(0.63386167146974071, 0.016389866946623529)","(0.48855808523058997, 0.019735274980554725)","(0.69997023455173268, 0.046578414204702517)","(0.56102484472049685, 0.014745891103942848)","(0.56950051158031845, 0.0083829031832004675)","(0.58570828079024762, 0.012226559010469455)","(0.57548716080859563, 0.0071478055686266225)","(0.57631298320447799, 0.0063750413518773013)","(0.56755563405157272, 0.0084698586705623524)","(0.56341708542713642, 0.013719120946463307)","(0.58333333333333348, 0.013516761848800617)","(0.56769043431200084, 0.017551978924697523)"
3,"(0.52378573706026266, 0.0018734706199878626)","(0.41690647482014426, 0.044453366739729716)","(0.0, 0.025520889276702066)","(0.040201005025125851, 0.026419979836120128)","(0.0067226890756302395, 0.03310091337605274)","(0.62152058600656734, 0.011037089834628415)","(0.61188118811881198, 0.017695108846411556)","(0.59747530186608255, 0.041067347656861972)","(0.56521739130434767, 0.035972303607210661)","(0.29909090909090907, 0.061322953020897013)","(0.5670608108108105, 0.013594811242826429)","(0.51095617529880466, 0.03443119948840187)","(0.50084745762711824, 0.044287689902041037)","(0.14358974358974405, 0.043744268457396381)","(0.31033210332103234, 0.05270970760174401)","(0.57695473251028773, 0.024054452572207535)","(0.50029498525073868, 0.02156357156170385)","(0.51306532663316473, 0.043342906353590449)","(0.47669491525423696, 0.024101429553976546)","(0.44149659863945545, 0.027187243579373823)","(0.56193483202828987, 0.011807330665107129)","(0.54383610031790874, 0.017157811291127839)","(0.56863596872285005, 0.031996443995288795)","(0.37641025641025683, 0.033915603715242749)"
4,"(0.5262378094523632, 0.0029700623016176977)","(0.58840245775729594, 0.022198236071777452)","(0.53564356435643545, 0.036792021177030787)","(0.59413369713506226, 0.026143763735231692)","(0.60273972602739689, 0.037073872493651239)","(0.61171155364505592, 0.0090893846732083804)","(0.62639968383612299, 0.01438251771268206)","(0.62948862356386648, 0.017170169925600359)","(0.59950175518061333, 0.021516409511905782)","(0.40221729490022179, 0.052367110990770266)","(0.58873873873873961, 0.0069189479363608785)","(0.58053691275167907, 0.0137464595701634)","(0.59601510067113928, 0.0076485375374163453)","(0.26388888888888978, 0.061834501073970968)","(0.36785714285714227, 0.053680965709312842)","(0.580743243243243, 0.024347342218872855)","(0.49955752212389531, 0.019853198283719901)","(0.57479147358665428, 0.03165065581470225)","(0.50482315112540177, 0.019169517659202891)","(0.57653631284916151, 0.0089949298245504059)","(0.55439963336388698, 0.011998924324901959)","(0.54362416107382727, 0.018079133908796619)","(0.57446808510638325, 0.022354252373443646)","(0.54809688581314875, 0.019331666894390403)"
5,"(0.52372873167856737, 0.0019077868574451586)","(0.41726618705036023, 0.044794454947797525)","(0.0, 0.025520889276702066)","(0.03969849246231176, 0.027397912045293668)","(0.0058823529411764653, 0.03225932335924013)","(0.010256410256410171, 0.050875582114913685)","(0.2947368421052633, 0.027334839828241735)","(0.58518518518518525, 0.041509341277928817)","(0.56528326745718083, 0.035992044911488975)","(0.30000000000000004, 0.061403053085572777)","(0.56638513513513511, 0.013185445870555507)","(0.5199999999999998, 0.033956390226980264)","(0.50169491525423771, 0.044249266102536697)","(0.143589743589744, 0.043744268457396346)","(0.3103321033210325, 0.052709707601743996)","(0.57736625514403284, 0.023951964426326956)","(0.50014749262536862, 0.021396466388147902)","(0.50705725699067894, 0.044437047840248219)","(0.4771186440677963, 0.023698129134665642)","(0.44149659863945595, 0.027187243579373688)","(0.56055276381909536, 0.012114672907409366)","(0.54383610031790874, 0.017157811291127836)","(0.55296052631578974, 0.03279568709387664)","(0.37692307692307725, 0.033936818818883559)"
6,"(0.52346064176606621, 0.001733345994118605)","(0.1618090452261314, 0.052885214439735137)","(0.0016806722689075445, 0.032443138655323445)","(0.048717948717948982, 0.031787034861942835)","(0.0042016806722689126, 0.035652442748901572)","(nan, inf)","(0.77789386689865192, 0.010989764507044386)","(0.39669498910675377, 0.039501144317466839)","(0.44574574574574577, 0.058116889289604623)","(0.29545454545454553, 0.058556657372685027)","(0.58216080402010051, 0.031980742631603956)","(0.5199999999999998, 0.033956390226980257)","(0.50084745762711924, 0.043268850352728948)","(0.143589743589744, 0.043744268457396346)","(0.30922509225092187, 0.052261849932600024)","(0.57158024691358011, 0.046830879262049957)","(0.49646902654867242, 0.071936919498661392)","(0.50705725699067872, 0.044437047840248232)","(0.47669491525423713, 0.023634241896921187)","(0.44149659863945584, 0.027187243579373764)","(0.15000000000000036, 0.05269075620517967)","(0.5569819819819819, 0.0097923432698725672)","(0.45234215885946999, 0.02297053171629657)","(0.3791666666666671, 0.048128346317926264)"
7,"(0.52346064176606621, 0.001733345994118605)","(0.1618090452261314, 0.052885214439735137)","(0.0016806722689075445, 0.032443138655323445)","(0.048717948717948982, 0.031787034861942835)","(0.0042016806722689126, 0.035652442748901572)","(nan, inf)","(0.77789386689865192, 0.010989764507044386)","(0.39669498910675377, 0.039501144317466839)","(0.44574574574574577, 0.058116889289604623)","(0.29545454545454553, 0.058556657372685027)","(0.58216080402010051, 0.031980742631603956)","(0.5199999999999998, 0.033956390226980257)","(0.50084745762711924, 0.043268850352728948)","(0.143589743589744, 0.043744268457396346)","(0.30922509225092187, 0.052261849932600024)","(0.57158024691358011, 0.046830879262049957)","(0.49646902654867242, 0.071936919498661392)","(0.50705725699067872, 0.044437047840248232)","(0.47669491525423713, 0.023634241896921187)","(0.44149659863945584, 0.027187243579373764)","(0.15000000000000036, 0.05269075620517967)","(0.5569819819819819, 0.0097923432698725672)","(0.45234215885946999, 0.02297053171629657)","(0.3791666666666671, 0.048128346317926264)"
8,"(0.52369630495022779, 0.0018712293405912426)","(0.16281407035175949, 0.054625778564349206)","(0.0, 0.026870792204254274)","(0.039195979899497718, 0.028295189359906645)","(0.0050420168067226868, 0.034031019716498495)","(0.010256410256410177, 0.050875582114913685)","(0.29473684210526324, 0.027334839828241756)","(0.58518518518518559, 0.041509341277928692)","(0.56528326745718083, 0.035992044911488975)","(0.3009090909090909, 0.061478803852905252)","(0.56621621621621598, 0.013155086130025516)","(0.52051282051282022, 0.034237301433374785)","(0.50169491525423771, 0.044249266102536697)","(0.143589743589744, 0.043744268457396346)","(0.30922509225092187, 0.052261849932600024)","(0.57736625514403284, 0.023951964426326956)","(0.50014749262536862, 0.021396466388147902)","(0.50745672436750966, 0.044659512024659148)","(0.47669491525423713, 0.023634241896921187)","(0.44149659863945595, 0.027187243579373688)","(0.15000000000000036, 0.05269075620517967)","(0.3901960784313725, 0.050880270025032981)","(0.46707317073170779, 0.039654507458827169)","(0.37222222222222273, 0.044197045347103295)"
9,"(0.52346064176606644, 0.001733345994117681)","(0.16180904522613135, 0.052885214439735144)","(0.0016806722689075453, 0.032443138655323445)","(0.048717948717948975, 0.031787034861942835)","(0.0042016806722689195, 0.035652442748901565)","(nan, inf)","(0.77789386689865148, 0.010989764507043892)","(0.39669498910675377, 0.039501144317466895)","(0.44574574574574577, 0.058116889289604623)","(0.29545454545454553, 0.058556657372685027)","(0.58216080402010029, 0.031980742631604019)","(0.5199999999999998, 0.033956390226980264)","(0.50084745762711913, 0.043268850352728941)","(0.143589743589744, 0.043744268457396346)","(0.30922509225092187, 0.052261849932600024)","(0.57158024691358011, 0.046830879262049957)","(0.49646902654867242, 0.071936919498661461)","(0.50705725699067894, 0.044437047840248219)","(0.47669491525423713, 0.023634241896921187)","(0.44149659863945595, 0.027187243579373688)","(0.15000000000000036, 0.05269075620517967)","(0.55698198198198212, 0.0097923432698726661)","(0.45234215885947038, 0.022970531716296493)","(0.37916666666666726, 0.048128346317926222)"
