DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.44946776137796934, 0.023956261365410153)","(0.38292544297844822, 0.034272338232793541)","(0.39419796903037296, 0.026642682522658959)","(0.43998664845546093, 0.019828376869247957)","(0.45730312245853705, 0.018356207714527794)","(0.46923219780582592, 0.016865383954811384)","(0.39166612732702538, 0.025181963741765692)","(0.43104449089824698, 0.023085351561525656)","(0.46081995320345936, 0.021450881925698138)","(0.40489675225419136, 0.015984836396164364)","(0.49534082948009123, 0.037321255619158396)","(0.42020501390039372, 0.025773118511473361)","(0.48031740005338203, 0.022175094779059511)","(0.51519774343109337, 0.032407456991575927)","(0.44809352851005396, 0.030918281985325913)","(0.44746387623564665, 0.03014684035933619)","(0.4236816452701081, 0.016524768208136628)","(0.48058708965862135, 0.017365918560848681)","(0.45408088568986066, 0.040486870354748766)","(0.52023658201038481, 0.029602979708352972)","(0.46320523149611059, 0.026465957290552386)","(0.49112712418044002, 0.030584529215637826)","(0.44330738543076675, 0.038729929024644609)","(0.39927255302191828, 0.034727064196641753)"
1,"(0.43709889568978411, 0.046509182804375694)","(0.39721170554818513, 0.020729148388519827)","(0.46308480528101936, 0.032654330157023584)","(0.51248385070950608, 0.03294744152631944)","(0.53531224194389493, 0.026347535524185464)","(0.43384490605300535, 0.025373371341920973)","(0.4248216637402536, 0.0414489609021053)","(0.4341647561167078, 0.0331844383798644)","(0.45653299085053645, 0.02161157011754963)","(0.48815799645642194, 0.032823912198131355)","(0.57672465439075149, 0.050272666390668026)","(0.27818096319400765, 0.043842358686492139)","(0.52600713160486212, 0.038384362767578853)","(0.48704771677086545, 0.029164093922763444)","(0.54304598743775778, 0.045339663178411357)","(0.5049963922899936, 0.034232884381084641)","(0.51470932376255463, 0.018381587678694935)","(0.49432267426327925, 0.018877880122549973)","(0.52839546196257559, 0.018299142702749564)","(0.54715833874509789, 0.024232262082350495)","(0.49855611285826673, 0.042573981341647096)","(0.5844803854157079, 0.03173316416246167)","(0.42953927705853734, 0.040848561136396302)","(0.46084869497777592, 0.030699186732926622)"
2,"(0.46397631699341624, 0.030151502942864897)","(0.44339094052068917, 0.031455165001415764)","(0.38919711603735357, 0.029165267307230822)","(0.51433743220540973, 0.042207982120120016)","(0.49484977366183985, 0.032270362079618017)","(0.42920115546219639, 0.016894167874627636)","(0.49117433526143089, 0.031323131967629168)","(0.45975703142136221, 0.024313758157484443)","(0.5014825719685615, 0.025049059966640707)","(0.44981158674034138, 0.032351993080868599)","(0.51474367735337012, 0.036622865283661189)","(0.59318991039975499, 0.029482601751665484)","(0.56204600675592797, 0.037741441312285892)","(0.56271732688212139, 0.032689618083319737)","(0.58435496158959266, 0.044103324489642971)","(0.43481977852206682, 0.067066850481908011)","(0.48835578739443863, 0.0238974844531138)","(0.51430871855763072, 0.022383910977009518)","(0.60840673656492505, 0.035992608736426852)","(0.55706824163520041, 0.031929306139406498)","(0.55738268569092775, 0.028573376943890075)","(0.56126146497593377, 0.026624324512485396)","(0.42693720989349815, 0.030814569791136646)","(0.4702874412933839, 0.031953439548260583)"
3,"(0.46221898362756891, 0.032606277447829922)","(0.41105033167961313, 0.029929047184836369)","(0.44413417882590794, 0.032999033345803806)","(0.50423167027721005, 0.036083524993351414)","(0.46009968232786536, 0.025247370807269198)","(0.40733309566462922, 0.023848935366304714)","(0.46787068981227314, 0.025937687265600699)","(0.4476558492156974, 0.043912141779468117)","(0.49892532226351832, 0.022447956216672685)","(0.51892724527559742, 0.034033163955374104)","(0.51191083078593669, 0.040762094280169733)","(0.61548277861606226, 0.024467591416629395)","(0.58505301032720081, 0.031808316699359525)","(0.5366076965411396, 0.028456480342619737)","(0.60324197984647687, 0.035190135743770848)","(0.53190894876026074, 0.058820531761398377)","(0.48991926924836471, 0.025655326046579632)","(0.53872566090605856, 0.024899111044408666)","(0.5967018272014214, 0.029256997788841312)","(0.53119214954315919, 0.033165096208274555)","(0.57250357360721571, 0.032391849443434144)","(0.58291047922041928, 0.03016185140883141)","(0.47481497116148863, 0.033516276029532069)","(0.4978576324467141, 0.029269196792120273)"
4,"(0.44875797221656288, 0.053209319975749077)","(0.45248800230529551, 0.031226303166787966)","(0.51040579705960065, 0.035592815156367773)","(0.54775459793953907, 0.044504306490062547)","(0.49577415125701108, 0.0269620518662416)","(0.5105565398423404, 0.038857925956835675)","(0.47563377423351821, 0.026217190471580814)","(0.36484011246473308, 0.046047179667293388)","(0.47918774693406202, 0.025023583777087268)","(0.48787771759012138, 0.026480609728722883)","(0.53418979261159227, 0.032915564125387126)","(0.58087073496881603, 0.028679304041634001)","(0.60471263776060025, 0.038543404700674494)","(0.50819024487131514, 0.033956606818601333)","(0.43191661677546506, 0.057702008745986251)","(0.5145079707279856, 0.054350334240055684)","(0.5006881694222961, 0.020752351050977148)","(0.51322638422527822, 0.020133755722733758)","(0.6253233282330487, 0.033288937596787124)","(0.50881473006301403, 0.03403583894188944)","(0.48625928133554652, 0.029953132496216221)","(0.60120157669100394, 0.030355457795075844)","(0.49563886635291921, 0.040382960130178377)","(0.56180476291473469, 0.031710332832768355)"
5,"(0.4358261832008366, 0.055836155640379519)","(0.50686946067505489, 0.033711720216169506)","(0.47354187071320947, 0.041003045698931199)","(0.55536646315053972, 0.044230268883545983)","(0.52792930625269407, 0.033964741234899114)","(0.56889903900447714, 0.034164138027713765)","(0.46706307740624758, 0.029321583117203939)","(0.39097939266070725, 0.040050141155029702)","(0.49573568891426129, 0.025570548004315838)","(0.52440797411701645, 0.029671032093354512)","(0.57437701407700015, 0.069008958295201664)","(0.27523412865387625, 0.048518232633344434)","(0.52795339643356165, 0.033082456033999688)","(0.49150238913964078, 0.037732683977837238)","(0.37852081563724926, 0.0581184094737561)","(0.5049036250653175, 0.042627061381165184)","(0.49351015291361722, 0.022016258277205658)","(0.520636367811245, 0.022179372582384976)","(0.6335333124257766, 0.034649306351529997)","(0.47168445094699807, 0.043755260860002115)","(0.53929446539871351, 0.042523604191839835)","(0.58193386176537898, 0.030715008888159739)","(0.37827016162224608, 0.052357150440114297)","(0.59474450307254501, 0.039312022056068298)"
6,"(0.46562450390435661, 0.030996279495544475)","(0.37156889192212583, 0.026400353899585855)","(0.40521587316356544, 0.029506600123561821)","(0.48909887432800148, 0.035397918092206167)","(0.45166671106493256, 0.024219101300788026)","(0.42471691249478016, 0.018423603863398207)","(0.4471807761595139, 0.028998269222320603)","(0.46512406419355351, 0.04095574895199635)","(0.48434721561958327, 0.021804031487392617)","(0.4648922670124484, 0.029053264152166944)","(0.47538355569548235, 0.038349682447513189)","(0.61683079970141319, 0.026928825613441155)","(0.5823557701889408, 0.034711874413200429)","(0.53280646079653116, 0.029020327745645395)","(0.60203163081929301, 0.040089405141282564)","(0.5122172043762282, 0.073907562344917868)","(0.48471212044431361, 0.026749933096063543)","(0.50508947088343137, 0.026074505249561359)","(0.61412597445651917, 0.034863722231044073)","(0.54212563637087108, 0.032216067814840418)","(0.53991319069319577, 0.029427509887620353)","(0.53226185508124979, 0.02884349033128996)","(0.48290797988241019, 0.031216283261095761)","(0.48128573862839547, 0.029870366250697913)"
7,"(0.43584791266218098, 0.031130289852158242)","(0.46794732692742103, 0.024594668850800479)","(0.42747592985106175, 0.021594383827841311)","(0.51685466422970194, 0.030406916438299337)","(0.50727451622261732, 0.029494711357033365)","(0.40712239652119209, 0.026926952131482523)","(0.43886288804117157, 0.031613816826608278)","(0.4552526772959149, 0.023347566404471956)","(0.40154194191980896, 0.038108979087640348)","(0.46027074532687134, 0.030371072790120128)","(0.51034310518691106, 0.031312910556541257)","(0.46094731109519022, 0.042840006431118828)","(0.52207867396632646, 0.038045794802589593)","(0.55886711082369434, 0.039711236773770864)","(0.6103709095844535, 0.04238487557365022)","(0.57418381872660051, 0.054231905767484025)","(0.48968352445345281, 0.015878366037074706)","(0.54712908997899012, 0.020451509397190294)","(0.57984494753871774, 0.035143760061813578)","(0.56415539504057233, 0.043541832472049589)","(0.52998103490252257, 0.029304409474744549)","(0.56656462483957748, 0.033550616916818314)","(0.51476835357042316, 0.038347846379284872)","(0.45860368484905673, 0.027397682798369016)"
8,"(0.41761865514396784, 0.033706151957503594)","(0.4343252683110268, 0.028638078132738817)","(0.5122123717243372, 0.036555985326888495)","(0.57038189751368451, 0.044168547550043881)","(0.54366249298261882, 0.028054885504383106)","(0.43799618444378835, 0.020363850644640542)","(0.46386733433639482, 0.029209516831272687)","(0.44341218146154548, 0.025857552729251852)","(0.43007826615943667, 0.041194022049082894)","(0.50675617418343277, 0.036944316847324625)","(0.58064425853510604, 0.050141597242245553)","(0.41734654954657252, 0.052696601841960899)","(0.50233012849328273, 0.032952562080210079)","(0.65968562514195284, 0.047908165868235812)","(0.56460914038904875, 0.035517210594237132)","(0.58072161579520842, 0.049305510140826805)","(0.47854681448469821, 0.024909413698104135)","(0.56143398873017425, 0.022414994899785965)","(0.57456677288048386, 0.031964883176378002)","(0.48408843874881125, 0.038589029516663667)","(0.56485064359067805, 0.025672057731406264)","(0.56317309708023422, 0.037094844222254647)","(0.46687960740330203, 0.031728312588774073)","(0.46048167558033876, 0.027723971999545516)"
9,"(0.45488237245122048, 0.056064447700765123)","(0.51288257608683374, 0.033742681783871485)","(0.48086587870579123, 0.040018036587456965)","(0.56295496607239293, 0.045078557727240426)","(0.53680463813267987, 0.034411067183460244)","(0.57116444432138957, 0.035281783265853343)","(0.46841881089199872, 0.029244225812705252)","(0.39479788309491609, 0.042203642916723967)","(0.49956619063424024, 0.025660780291445799)","(0.5199112759714265, 0.028839936458063202)","(0.56830941001744273, 0.068752668170261447)","(0.275080893852857, 0.048571638165138653)","(0.52774625548764376, 0.033248955047267062)","(0.49750139797268383, 0.038198381779717912)","(0.38169270967182112, 0.058304736230413851)","(0.50113606586785198, 0.041863790801045568)","(0.48792697767014781, 0.021864205699682445)","(0.51567484642193573, 0.023193704182990871)","(0.63259826341377989, 0.035785268180150084)","(0.46761788598593046, 0.044063737305108194)","(0.54044350137394348, 0.042867007304485935)","(0.58011800011912373, 0.031398297565981427)","(0.42185587468380786, 0.055809713525886734)","(0.59489802028701766, 0.041107398197379956)"
