DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.78386433121094889, 0.060022982264699168)","(1.0021512209697376, 0.083140798521323014)","(0.89584148110134176, 0.088047478828124359)","(0.90779933251794043, 0.057549580330866774)","(0.8240432596412739, 0.073451170872784771)","(0.89938653506240074, 0.040382998723202133)","(0.96631850331201363, 0.063723354141849528)","(0.91520098325104327, 0.059020328909671606)","(1.1516557935464213, 0.082819344303582731)","(1.0075704454717109, 0.061704272413463192)","(1.0386928091809287, 0.051887889149929506)","(0.77572700010171902, 0.049446907481768596)","(0.91250905590268261, 0.078087931780744385)","(0.86134794181365759, 0.08591093663227703)","(0.95378057439886721, 0.070675327083079317)","(0.73293775060053334, 0.047809328407842806)","(0.98470153330025822, 0.067480673721173279)","(1.105357231936932, 0.074652321191752039)","(0.95407694820341793, 0.074486990773081296)","(0.7877113947482971, 0.075603696870444978)","(0.91816158373397738, 0.077449851410687401)","(0.73102087638980562, 0.068869364168594668)","(1.0834464377098714, 0.079003755978400689)","(1.0284882265087536, 0.081230825318141131)"
1,"(0.7741942925661579, 0.055160866418213127)","(1.146669201083206, 0.080649211455540146)","(0.86874902676100629, 0.046711514155107277)","(0.73118926186437372, 0.057427039892821004)","(1.0460654980104782, 0.062924445087631203)","(0.82619762360197935, 0.050296806608799829)","(1.0606052370947778, 0.045428126499667203)","(0.89056661098468937, 0.04158788136711291)","(1.0145636945330467, 0.053531018392602187)","(0.94947806448070082, 0.052245614950865119)","(1.063858580714389, 0.044673918477766687)","(0.89164978725681043, 0.060714676394850293)","(1.1288133110774266, 0.063503339793868754)","(0.93628271455287559, 0.067864509707018128)","(0.98777792044457913, 0.071660833661347081)","(1.0309962417642133, 0.056397233249360267)","(1.0465832298547824, 0.072734346248088028)","(1.0733462286063367, 0.072892558413300362)","(1.0143191657540296, 0.052487611603511751)","(1.1802307231633382, 0.070257499160566436)","(1.0540517506406148, 0.11882060962680871)","(0.89363360687230875, 0.054625443851445604)","(0.87029530725911519, 0.060017219342946487)","(0.83107775544479123, 0.063262560677093863)"
2,"(0.88832809920735178, 0.072002007017183622)","(1.127270144355198, 0.070955204756047122)","(0.86675853525666524, 0.039149919681934028)","(0.89128044542412599, 0.056720090839982792)","(1.0698416724817532, 0.05790524427375348)","(0.86256204534386105, 0.043363069427271743)","(1.13674842281308, 0.035829728523382932)","(0.99431945946198907, 0.04263853869130934)","(1.0535723731510582, 0.042341061961945245)","(1.1061211891053624, 0.038496343726095297)","(0.99653271374690855, 0.068043287708303438)","(0.66955094162021689, 0.072325865034756256)","(0.90505473543622983, 0.058705074841007912)","(1.01461354350038, 0.05716348256658791)","(0.92875743003586175, 0.063369503543668687)","(1.0320257154639849, 0.076688508637980907)","(0.92423387837898519, 0.061347421162263695)","(1.0265033614399406, 0.046694969312599012)","(1.0416788888757846, 0.051188689440856208)","(0.97491607433249505, 0.069059839909684353)","(1.0864650876588493, 0.11162967983160757)","(0.90507928171319252, 0.046957083742635825)","(0.90308361760491496, 0.046630864363696609)","(0.92556053242680314, 0.061716722881168647)"
3,"(0.90394751706269116, 0.066165893365429315)","(1.1821941991137026, 0.077964078779456561)","(0.77313319768163158, 0.044047275707929795)","(0.8457252047723296, 0.058223468916667617)","(1.070450704901547, 0.053733798001204668)","(0.8233123863939299, 0.047733314943921225)","(1.1164345025729399, 0.033233426153913601)","(0.9965976172450477, 0.038909921405679421)","(0.98839463171331399, 0.049723740611880833)","(1.0809638235816079, 0.052690427091373476)","(0.93836906252391739, 0.072242124972117197)","(0.80526171785931755, 0.087659635446055678)","(1.0757566819239623, 0.053042254199819526)","(1.0141194950159476, 0.044696820206700259)","(1.002201805659519, 0.065831819419298221)","(1.0583207378207953, 0.055734804742093656)","(1.1200249558403392, 0.059718637864402992)","(1.0308401999928354, 0.067962791018235783)","(1.0443777517269079, 0.053715642545401066)","(1.1721990162689002, 0.057107366664572369)","(1.0841507158231316, 0.095615626650268168)","(0.95262657453524646, 0.057074744482743238)","(0.88546563673509959, 0.057376034816074756)","(0.88920254090811046, 0.064462453347294432)"
4,"(0.91061905906427687, 0.0660929598593617)","(1.1603064428412635, 0.067209846690101396)","(0.87118539072455337, 0.038547153043800013)","(0.88116615011500821, 0.056138969598796711)","(1.0693439189748803, 0.058326827364948174)","(0.86817915795142886, 0.041006772379827028)","(1.1318215317905269, 0.036489706500255993)","(0.99235950385562821, 0.040257696258720381)","(1.0632041069108318, 0.045514564511606362)","(1.0925983460296813, 0.03991922974896011)","(1.040767513719129, 0.06985383435183673)","(0.79139926783510983, 0.077134178060771511)","(0.980628472265617, 0.058936197348065836)","(0.98662882166904742, 0.048502475186561707)","(0.87910651283157115, 0.050944008707089053)","(1.0163533583972229, 0.073356342886965645)","(0.92994181962691669, 0.060825275264891086)","(1.0787639362150194, 0.069260687921280095)","(1.0489430520417502, 0.049831287291600669)","(1.0947757562898386, 0.060923940191466651)","(1.1171563067212813, 0.11006858461644456)","(0.91483218144710365, 0.044396741964414822)","(0.87616393265673942, 0.059386559048180396)","(0.95946212560442312, 0.062165494616431088)"
5,"(0.85025316648652249, 0.069926969531949545)","(1.1442881295835607, 0.080402867846446291)","(0.77926719109819487, 0.043609107586076473)","(0.88519115616655375, 0.050319808369991691)","(1.0633013821390567, 0.050415503182106566)","(0.84615834237877774, 0.045032283204295379)","(1.1220257656022645, 0.037299949770373389)","(1.0106332186841689, 0.040130378665623689)","(0.99787212157044081, 0.051400022587227735)","(1.0879372160219376, 0.052333340514469334)","(0.92700685582569731, 0.068242237461463143)","(0.82029788775547818, 0.084709083496388254)","(1.0886772540357927, 0.044829649104803956)","(1.0224206366275947, 0.048519099915384764)","(0.95109556972866383, 0.06978437859235824)","(1.0920196091560574, 0.052581752220669152)","(1.0348196079694161, 0.073590507674573549)","(1.0307614829173604, 0.05896839539614248)","(1.0530363619153198, 0.053404202279803532)","(1.1444862068953645, 0.061002559709805892)","(1.0615216459380616, 0.10013949469294049)","(0.92164090339311622, 0.058569037574316821)","(0.85609325418258286, 0.05276827959483435)","(0.88503971947779769, 0.077945906669558446)"
6,"(1.0306164476630226, 0.073156235100316963)","(1.0722040212228034, 0.067255518078188165)","(0.89850424880988289, 0.049740944914661418)","(0.7276310774949224, 0.066518391362892795)","(1.1350729983393877, 0.070544776824695649)","(0.85018135245786253, 0.041184590657870543)","(1.0589540789230196, 0.039832840550170952)","(1.0291183454775386, 0.049507673110374864)","(1.0868287625174269, 0.045581206687440277)","(1.1323242166779068, 0.049003466258580923)","(1.0166643955713575, 0.070207460149386974)","(0.66048135486489556, 0.071389143875182762)","(0.85552344652049206, 0.059744854385217899)","(0.96595043393840585, 0.072040743859128745)","(0.99293018757609619, 0.064323902398092922)","(0.92489853919347875, 0.061464719724655212)","(0.85285997511557166, 0.043824812215990473)","(0.87372210235218317, 0.044646467818158377)","(0.95589345610642318, 0.041917069972631268)","(0.87554320491698201, 0.048574279443163733)","(0.88098702283093056, 0.074113758065232169)","(0.91018286827581951, 0.065869507280827105)","(1.0289672049205141, 0.060096969421026651)","(0.98236098537841265, 0.065220579288968072)"
7,"(0.74793844138337084, 0.057028778086935343)","(1.0711722658921363, 0.099390993445760856)","(1.0019697776141818, 0.09668147886210017)","(0.87336585037283421, 0.056758876001901652)","(0.8224146392829621, 0.053493189390549069)","(0.86191971761728337, 0.037958996673981046)","(0.91198300348533645, 0.039510864149092703)","(0.87005317706127028, 0.044642621337653586)","(1.0296361472201772, 0.072020124021904816)","(0.94950169187331079, 0.065591065242691426)","(1.0168937092749588, 0.051862036137390224)","(0.87765967431334702, 0.052385910967766833)","(1.0967899135219061, 0.074259620519395581)","(0.92364943807817024, 0.074428854397743216)","(1.0060993362642348, 0.071773379761848291)","(1.0194431055494819, 0.059170829360533701)","(0.99809769283047001, 0.069959859874519498)","(1.098874871770168, 0.077444911436187994)","(0.98836285650725331, 0.058267422507199094)","(1.1379653936805323, 0.071859646103835328)","(1.053095540436797, 0.1284935085647004)","(0.87819301619033185, 0.062018405844047456)","(0.93283542334663228, 0.06896390525521337)","(0.94955436196227727, 0.07541732725863147)"
8,"(0.78569558626161484, 0.057601240187217621)","(1.1006324629877102, 0.062265628644048207)","(0.87335796421803102, 0.044779894898369282)","(0.89476121737915171, 0.067628054710885691)","(0.76665357218968111, 0.057908123408412927)","(0.88560070208549369, 0.035233898213693236)","(0.9924650793206603, 0.050407750253200288)","(0.84057523200951101, 0.045166718159838061)","(1.0769961349439914, 0.071747850935432025)","(1.0543479207219815, 0.056684960318182966)","(1.0351662942196069, 0.049300896139278273)","(0.73167509136812259, 0.052187621120054706)","(0.84805013021729592, 0.083263120016639519)","(0.75532124691913127, 0.081002079532275298)","(0.91155832344739296, 0.065438395814499867)","(0.84490362512281814, 0.054371035552309023)","(0.98880751051999893, 0.064655659318373249)","(0.98203156944481473, 0.057621337305456273)","(0.9572483131129359, 0.070990062596054573)","(1.0740581528779285, 0.087807723827919362)","(0.69042827370070325, 0.12030948492601819)","(0.50793488544552046, 0.066939416637721294)","(0.98209802617054642, 0.081900074868202222)","(1.0287990851864877, 0.079193653832334898)"
9,"(1.0494677795494867, 0.085237030360226035)","(0.92327127535572617, 0.048053415331976532)","(0.71233970245041234, 0.034776393402813424)","(0.89089149347143848, 0.04234926831041657)","(0.95791823559980516, 0.059332871815240107)","(0.97580663065450679, 0.042011140794069271)","(0.89665448218628585, 0.050906589820341977)","(0.96188174782933211, 0.060034602908030421)","(1.0092537652178371, 0.053469978633395275)","(0.93215785711130383, 0.062759954012313393)","(1.059794913275276, 0.058571501196598895)","(0.91930109011271244, 0.066211458518481231)","(0.92334435641212642, 0.074226358017485422)","(1.0009248394327459, 0.073870297682106859)","(0.7783729391070614, 0.078704440919717414)","(0.8725749221014526, 0.081151499405578129)","(1.0692624597538205, 0.062120460435583238)","(1.1074372241215382, 0.043231907052061251)","(0.96183490197751664, 0.052855118524097223)","(1.1712797451445194, 0.067950486233542537)","(1.0744148007327166, 0.082906207688762862)","(1.0003129474657979, 0.11272279683689652)","(1.0964903339989727, 0.085315539248475541)","(1.0306378534581866, 0.099953784487125982)"
10,"(0.96142483381088606, 0.086101616855625784)","(1.1789034060712336, 0.062980604161191986)","(0.86280379236974036, 0.041317777874196743)","(0.88677963470624588, 0.12949036646643219)","(0.81354753384305412, 0.04488576864899764)","(0.91797426529234938, 0.048858210779903467)","(1.0480650503115148, 0.053568905753822199)","(0.90194437033344399, 0.047796808258367421)","(1.1050515298511361, 0.06619339826151141)","(1.0583130466298158, 0.049571666748561977)","(1.0759152245336376, 0.052220578035058265)","(0.75941398909648106, 0.066274740170207957)","(0.81192652480712124, 0.097752734232518304)","(0.83940290714634802, 0.10223136114406799)","(0.90613209455148969, 0.06853859237634892)","(0.91425190560567937, 0.051279107111720526)","(1.0133370695607797, 0.055239400315565609)","(0.89484888259349438, 0.043541796250228783)","(0.926502118900561, 0.061590239521355561)","(1.1444626179747435, 0.077636409150944274)","(0.77593791579888327, 0.11287931219150195)","(0.57599645749495798, 0.080249341902809787)","(0.90965812605657026, 0.095956190667864719)","(1.0472987105685114, 0.080833051075632448)"
11,"(0.89314940164143086, 0.069134077185233275)","(1.1234268554515099, 0.067338733167183251)","(0.8629027590346533, 0.037423426019797083)","(0.90647650925784851, 0.057742920536173248)","(1.0668660788781708, 0.057656813481275535)","(0.86542853605678016, 0.042411965651313381)","(1.1391031293395513, 0.034924495695249719)","(1.0486293395964583, 0.045822777965816672)","(1.0631263399174007, 0.042857335244214333)","(1.1155948222293144, 0.037569285152719942)","(0.98945376917602967, 0.066927320670220641)","(0.68995512723504915, 0.073223728300394308)","(0.87430930770401594, 0.050222381316537973)","(1.0089968830863323, 0.053473163366201018)","(0.89820211928180982, 0.067152162298355411)","(1.0072863355954873, 0.074915182303951264)","(0.90895031214103827, 0.057477508593277243)","(1.0115156853097773, 0.044932136024715644)","(1.0226775289210661, 0.049813807943865855)","(0.93552870203754424, 0.056448922860413343)","(0.9995222073581127, 0.074218761815921852)","(0.92426836213136443, 0.049716542596111531)","(0.92072073188091652, 0.054004110545881515)","(0.92379139192282844, 0.06198658636587627)"
12,"(0.92429416067824832, 0.069171473854449078)","(1.1417252770288133, 0.06775978180740734)","(0.86166536180547981, 0.037732151526320167)","(0.8682101566629552, 0.060923257611851064)","(1.0592308034457625, 0.060561786945693988)","(0.85452635954898093, 0.042797646030255744)","(1.1301632050414963, 0.036201003954571855)","(0.97144014696418124, 0.038709892451811598)","(1.0018086661641752, 0.038112614477568169)","(1.1035416629837083, 0.039998145799705294)","(1.0380004200278139, 0.066812799227598307)","(0.7908448906674056, 0.075081039925911183)","(0.97303315312348437, 0.06034439444926637)","(0.97811176522433041, 0.048445100631751899)","(0.874572136041885, 0.060235163579376083)","(1.0918446259086814, 0.067990829016560145)","(0.96631107412020145, 0.066104237451228745)","(1.0628614195924901, 0.068741812737803928)","(1.0410103619027724, 0.045871099426498883)","(1.0830172499263988, 0.06213671619011038)","(1.1177087821556879, 0.10340604706845392)","(0.8977655361547211, 0.050841337996540788)","(0.8924182525397889, 0.057365065993026994)","(0.92019530147332185, 0.05859599019395318)"
