DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.5015607801008185, 0.014147435901260833)","(0.43184150215109957, 0.045043292839387024)","(0.40917260302886399, 0.0093628498249025988)","(0.41397886416358765, 0.011053263226469684)","(0.42355748250960729, 0.0041782326616232471)","(0.42549407206060963, 0.010090450354134573)","(0.44372034240787706, 0.0089649224096121517)","(0.42140588467494594, 0.016478982101526807)","(0.42340291742566583, 0.027045732746325039)","(0.39892150954766264, 0.015532150542633204)","(0.42700161210872761, 0.010006585083798954)","(0.41279269197830437, 0.017015562170773518)","(0.42001099345242898, 0.0047926611192868904)","(0.41118804341956028, 0.012082976259926962)","(0.44794768441073335, 0.016378227517296083)","(0.43193585226582426, 0.011509417971290063)","(0.41361496810164577, 0.0045840812128268901)","(0.41245097110374229, 0.0070679518601807273)","(0.42909957173447544, 0.0045287422702825035)","(0.43042225163058878, 0.0065337034029505385)","(0.43054831848103514, 0.0088084046756363166)","(0.43187423669238323, 0.0035048312767874115)","(0.42287977798598164, 0.0036727344522109965)","(0.41524045391811065, 0.012949258563954107)"
1,"(0.49952453395033064, 0.010810068044653022)","(0.42095810727669347, 0.053225557738910891)","(0.41280707536805078, 0.0095533709693143912)","(0.43417427221686306, 0.0059488942701948185)","(0.42500192027037387, 0.0048447409857120469)","(0.43091874115712586, 0.0081220869112079413)","(0.43802562864226163, 0.011157880661514737)","(0.42380179940610729, 0.015602900507822925)","(0.42624684431977555, 0.021244997027554748)","(0.40425084402430783, 0.01520961932514176)","(0.43064933026752794, 0.0043492292212385514)","(0.42726745334022864, 0.014860627246374023)","(0.2919027968282582, 0.03998124953585748)","(0.25589758412093461, 0.039040650466981089)","(0.45850670685051281, 0.024151885807275328)","(0.43416973313442719, 0.01099594514764987)","(0.31846351009498342, 0.028672887743910868)","(0.30678016714227474, 0.031318655795039403)","(0.43492369194154201, 0.013274246677966478)","(0.44198270126413824, 0.0071513235523567803)","(0.4340654213126095, 0.0052266110259272837)","(0.43334052697954512, 0.0037747140700598696)","(0.42341761692282276, 0.0034640813283211337)","(0.41521341168893905, 0.013232848336661164)"
2,"(0.50328682842287698, 0.014495629497622281)","(0.41572321765767278, 0.0073181493429821222)","(0.41611524914833431, 0.0092155769482602373)","(0.41474921080322713, 0.010680001466887414)","(0.42361857956630639, 0.0042531590168711506)","(0.42727677763873584, 0.0094811079810713256)","(0.44203686315423413, 0.0088222288884888533)","(0.42613148942464152, 0.0035608298259244922)","(0.43080253623188408, 0.016933894215038058)","(0.39441912539515284, 0.016626865965086706)","(0.42698100086033841, 0.0089661946916448215)","(0.41322911160805048, 0.016018096515070454)","(0.41604467216395796, 0.0052079807503584473)","(0.41638491828558055, 0.010707017878790293)","(0.44400067634038348, 0.013403532765755779)","(0.42297307944845697, 0.011580696837620192)","(0.41270221995406992, 0.0040484166144168212)","(0.41835129002437182, 0.0066544013773624632)","(0.4242887064817436, 0.0040910871270649421)","(0.42620677024970305, 0.0056299987288306709)","(0.42734960474308292, 0.0083450322116157567)","(0.43341979054516966, 0.0037367902982103898)","(0.42248615466737832, 0.0042597936534795834)","(0.41980867263117383, 0.0034365717911502901)"
3,"(0.50076513772479037, 0.010897823304511641)","(0.42175806097828505, 0.052746661907825669)","(0.41215121317157699, 0.009027312388104362)","(0.4337493881546744, 0.0058891177256063902)","(0.42489697064395793, 0.0049345405025599427)","(0.42897921478060058, 0.0075169187398781067)","(0.44061662391055478, 0.011356326168252318)","(0.42372432745154781, 0.015786993127840755)","(0.42677091980184773, 0.020732551490488332)","(0.40420677270395078, 0.015313698494453912)","(0.43292935750121381, 0.0043948476711612016)","(0.4292806480522352, 0.01476410723704036)","(0.29237711568427277, 0.040762463646375272)","(0.28529986692776238, 0.037616077254239086)","(0.44804211436953834, 0.021899180147659278)","(0.4374184752201184, 0.012011553915367873)","(0.31995217729393471, 0.029039621348330692)","(0.30459254863512042, 0.031327841972289806)","(0.43403223402273144, 0.013321916519651896)","(0.43706799727495332, 0.0066626485114843438)","(0.43337756032838531, 0.0052194085539759259)","(0.43289807130559249, 0.0036872607964156191)","(0.42288106878358095, 0.0032331246852814488)","(0.4143198353485979, 0.013301249171721244)"
4,"(0.51000867574115372, 0.015006944971345412)","(0.43768983268983258, 0.048245995490575781)","(0.40849400691227289, 0.0098955925633120393)","(0.42176053564395444, 0.010198599218728319)","(0.42078930279237248, 0.0042188218696524865)","(0.4266546082380992, 0.0047267868792950953)","(0.43047712434733787, 0.0033511767121346468)","(0.42278382981458273, 0.014742817224375138)","(0.41860509714862487, 0.025313686002347444)","(0.40159541365940343, 0.015161799501366983)","(0.41883873251902987, 0.0093942365193675353)","(0.41316317208739206, 0.009505045657787356)","(0.42021140797285816, 0.0039954078830156982)","(0.41902508856495724, 0.0097808773715384427)","(0.43959307409685638, 0.014092754747942287)","(0.426030114538201, 0.013979985408772877)","(0.41457867769615431, 0.0040167195584755637)","(0.41015162454873655, 0.0072429321779461436)","(0.42126740592619527, 0.0043427831432903494)","(0.42676118169904864, 0.0059971030723019493)","(0.42710294192757553, 0.0095296672194651131)","(0.43179132930798286, 0.0032377428687733086)","(0.41726642231336264, 0.0039156655910126056)","(0.41510999045610386, 0.0040760719817587582)"
5,"(0.50682546777780302, 0.014481377201921389)","(0.41746138347884504, 0.0073371278977218731)","(0.41309760673071466, 0.0092457434648552592)","(0.41174611535422717, 0.011093331181185386)","(0.42406419301573445, 0.0038839172969802284)","(0.42424920949675748, 0.0097715867755656938)","(0.4428648056444191, 0.0088041578540867648)","(0.42656482307463606, 0.0034702230688469205)","(0.42698225573071374, 0.019599619094551022)","(0.39665181704451818, 0.016069823276772262)","(0.42526945028537094, 0.0092549317688363445)","(0.40797487673445765, 0.017318661742901149)","(0.41664694403247221, 0.0052132764825096566)","(0.41642753238479502, 0.010507606974874283)","(0.45014124248973852, 0.015157820139975279)","(0.41624784106460305, 0.013787622359667332)","(0.41450220930041565, 0.0040719440147023592)","(0.41615958493604083, 0.0069473136244431726)","(0.42992428623057466, 0.00445747393036187)","(0.42573310810810805, 0.0056212427829627912)","(0.4266898066688975, 0.0087238428601002053)","(0.43459473494652034, 0.0035477520702523959)","(0.42556533270710445, 0.0042065341600605209)","(0.414032034697915, 0.012959541940105771)"
6,"(0.50457145359289901, 0.013857217909571423)","(0.42190481677805969, 0.054125764004246422)","(0.41752380952380941, 0.0091088594054480592)","(0.4329958538231608, 0.0057761871385370259)","(0.42338922960357955, 0.0043734716511145905)","(0.42906725146198843, 0.0074617548350315267)","(0.44185072247770402, 0.011075173420566924)","(0.42458373822778828, 0.015755835802619252)","(0.42465236051502142, 0.020820418489087826)","(0.4048506453698803, 0.015183978017128719)","(0.43416672224074676, 0.00477568985831204)","(0.4319862375190337, 0.014789534650578322)","(0.42457757650765077, 0.0047720334803504237)","(0.42100000000000004, 0.012413445813872897)","(0.44699026657419905, 0.021515999260827607)","(0.43850154502882993, 0.012400452739939142)","(0.41096456692913402, 0.0079215855357456285)","(0.39771665200820866, 0.019133325180521858)","(0.43318401943782403, 0.013277942788244505)","(0.44014084507042256, 0.0066410254082771283)","(0.43110881841876614, 0.0045480340138291404)","(0.43106619711795757, 0.0036313179850417277)","(0.42214644404917473, 0.0032295355028614543)","(0.41561461661341847, 0.013120641919424253)"
7,"(0.50281247481666536, 0.011083667636850923)","(0.41154997007779759, 0.0073892822794940872)","(0.41767113095238084, 0.0080751563489710899)","(0.43327607113985445, 0.0059291029355140251)","(0.42837708830548921, 0.0052430945250827058)","(0.42621385706492076, 0.0079508789590207272)","(0.43853708823110754, 0.0083049577537565658)","(0.4289804743808151, 0.0034793030479145191)","(0.43190391726936556, 0.016575501170117156)","(0.39785175577150383, 0.016484273441223173)","(0.422454019139195, 0.011210713170417948)","(0.41075121138878917, 0.017756741046335078)","(0.41618933736648084, 0.0056045743876346685)","(0.37598843357567752, 0.032693216222518348)","(0.41161667842860494, 0.026225514693058314)","(0.42924335280791692, 0.0099625510905016826)","(0.40797361435121876, 0.0055151098173881934)","(0.41168614395591796, 0.0084434030315016003)","(0.42534124365592724, 0.0085451123967123892)","(0.39957696427205264, 0.033402566784020871)","(0.43201304856374667, 0.010324813648436832)","(0.44035362077489515, 0.018712129608331948)","(0.42099939134274555, 0.0043673499049339771)","(0.42217582985390567, 0.0031935317810371728)"
8,"(0.4497119908204239, 0.029842505489820481)","(0.40311070381231678, 0.058861833736501203)","(0.39329981454770241, 0.020740752445410515)","(0.45520511750799619, 0.035679927545058679)","(0.50650140056022397, 0.023397881721063062)","(0.38525913430478786, 0.015012499487865904)","(0.44454781025937423, 0.010202078297131946)","(0.38364777919941517, 0.02073697789690879)","(0.44750612790350075, 0.0094324223623945911)","(0.54464323968703698, 0.024380446491093305)","(0.4537476062811181, 0.017757576564987811)","(0.43415278089677378, 0.019976508397118863)","(0.44359995185942963, 0.0074557674695308381)","(0.43816197951863578, 0.030132954555663706)","(0.4307542997542998, 0.050355586710032714)","(0.4383770491803281, 0.011449409960971052)","(0.42801277557061629, 0.0066141344725223648)","(0.43267942397002729, 0.0069282851314458067)","(0.44412296083745123, 0.0061149178608042535)","(0.43381474547561732, 0.003496385265887597)","(0.43924006724124165, 0.0056775991932742622)","(0.4047380829069212, 0.003080679883146956)","(0.36555499120922036, 0.057355338101713498)","(0.43858067839011111, 0.0052190850377013369)"
9,"(0.57380545275523731, 0.03312509659989156)","(0.54496938775510173, 0.029866048838116686)","(0.4391242968608246, 0.013017085212459855)","(0.45775252525252585, 0.038196808706224335)","(0.50240695030854121, 0.024432003539856174)","(0.3848504392083516, 0.020609284553817209)","(0.43076537258989051, 0.0036346412404795786)","(0.43445607642308448, 0.0088477967314568029)","(0.43907933901568846, 0.0096671517758180406)","(0.55815225059968965, 0.019301557075439825)","(0.41862859022144217, 0.019550922094574683)","(0.49835803186193184, 0.014244867694681293)","(0.41838828093335623, 0.0082646689039168227)","(0.42228621396695226, 0.017568824962275086)","(0.4374764966689102, 0.029528899587311853)","(0.43900031147796303, 0.011123612497540509)","(0.4330335195530724, 0.015763953332573955)","(0.43516099038023542, 0.012722478293546899)","(0.43231306425916083, 0.0080166665544209002)","(0.43727131995550894, 0.0068371841737962765)","(0.45816623207301194, 0.0093143877344991025)","(0.43077654255227782, 0.0049718418670423687)","(0.4253570368415851, 0.0069133826982639432)","(0.44125045067973107, 0.0049761911485273142)"
