DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.3488361345804159, 0.0063778967787080382)","(0.4979813830735757, 0.027090043226229626)","(0.51068224299065401, 0.048052290535838954)","(0.30431932773109233, 0.10906429643806007)","(0.53402327663384086, 0.04005841782972943)","(0.45814413910605262, 0.013830083086210018)","(0.72445945841895298, 0.071424623383187572)","(0.40716847247999094, 0.063112375212772714)","(0.51437234573290513, 0.043389699848443271)","(0.43757044261501521, 0.029090062017781314)","(0.37156151963297768, 0.021397090834086675)","(0.54919402340615953, 0.020883549465585072)","(0.49947050939240734, 0.037800812394490124)","(0.48818299103981272, 0.033997746526419841)","(0.57265352124633906, 0.036165409770896259)","(0.59780139653095354, 0.011725288985365075)","(0.5791730421519653, 0.012320179428905627)","(0.52697979149302487, 0.014186507873127396)","(0.40466657925789973, 0.091065200125084678)","(0.47477203754081343, 0.023655461627183221)","(0.39179005266261263, 0.012062221922806137)","(0.42784549511518494, 0.017860411841284805)","(0.49757037406950783, 0.062532914082110355)","(0.51398432188137411, 0.011446486261167333)"
1,"(0.35396999943637897, 0.0074892662177892802)","(0.49554513068322031, 0.027076348474727684)","(0.49166587757862723, 0.046461367031720102)","(0.30803053435114414, 0.10935843337462933)","(0.53040862792091092, 0.040114327322563065)","(0.45956192268098617, 0.014975873978621415)","(0.7664803267630973, 0.073108519151374743)","(0.54804216483305712, 0.06124526687952965)","(0.30566156026360697, 0.020942063048175974)","(0.44225220770045898, 0.027142814329622945)","(0.34893085596920231, 0.019629950401028051)","(0.51632987309707734, 0.017786293736497632)","(0.50307208583927521, 0.01624744436826521)","(0.52526528670173123, 0.02928727221922571)","(0.55553789610106852, 0.030777768496062757)","(0.6003686740900227, 0.015586801619895998)","(0.57873812106484668, 0.012443715239911732)","(0.52963319848510904, 0.014371657213406689)","(0.48217347436420194, 0.052274471953251252)","(0.49265269717938498, 0.015549370913259825)","(0.37657785211377087, 0.0074196513833935549)","(0.42017280046155636, 0.012123879915829897)","(0.40768259311804167, 0.017277725483785179)","(0.51231361001791809, 0.0095523209015173239)"
2,"(0.43369018071293824, 0.017073849110525913)","(0.43059500693481284, 0.02888099010278676)","(1.4082655363172638, 0.15844906487705324)","(0.17006350775087375, 0.025188728464783969)","(0.4461034976540128, 0.028027739397392424)","(0.47490531389202595, 0.04228147843221236)","(0.40913076537177134, 0.03997257999697066)","(0.31009028805226829, 0.042487185309251232)","(0.29123497039481422, 0.032050907792153575)","(0.39491277012730558, 0.020585100650378729)","(0.38951573632150505, 0.020690504365729213)","(0.41835685488035096, 0.018231394733213894)","(0.38412533297067947, 0.016033875315621584)","(0.53343374953410361, 0.016323783889465988)","(0.52472491022258871, 0.02846322779795446)","(0.4945150384070181, 0.014598731777429895)","(0.46284992236858336, 0.01062152635115181)","(0.49373563517415192, 0.021386131057938993)","(0.508763960192256, 0.010937676195175636)","(0.47906812389249898, 0.0074097495954845048)","(0.42261052202717797, 0.012373250572575784)","(0.43591006503995428, 0.0093632219481396359)","(0.43340925416746473, 0.0119579700713459)","(0.40400839820879103, 0.012266965003045156)"
3,"(0.42697003953751045, 0.019829129893360161)","(0.4241614330883221, 0.027434141489602038)","(0.39076004343105381, 0.13986949168547289)","(0.20489250335251108, 0.026304999081215832)","(0.4274392152415516, 0.037938774256340131)","(0.45852496567172185, 0.037571879152394586)","(0.44489466159878066, 0.032562830813729141)","(0.46776416191511994, 0.055086064400369665)","(0.32142071070324973, 0.03778592788202223)","(0.39449392850846732, 0.019941462093678329)","(0.3996973437422246, 0.02359921003561306)","(0.42267042200042498, 0.023824482656805517)","(0.36182520397499995, 0.015375442897823763)","(0.52782320060199561, 0.010404876301599987)","(0.52579630450468273, 0.027817217695802827)","(0.49302501313598568, 0.014561195538369501)","(0.45889004401866096, 0.011316867739053979)","(0.48610476992064267, 0.022715498293910796)","(0.50627066452389535, 0.010591630457087492)","(0.46923848845185412, 0.0082077052627387882)","(0.4507794312986016, 0.012188327814239367)","(0.42408131641836588, 0.010576561743078163)","(0.44328636635852725, 0.013576921005951483)","(0.41137488932567218, 0.014066535759858738)"
4,"(0.45079285440532818, 0.01510544912253667)","(0.40115692847956896, 0.01813253840599684)","(0.34380763696273181, 0.018230493646185786)","(0.50616425523056108, 0.027259146926481993)","(0.43939409070430996, 0.048717639538765123)","(0.43866841674633644, 0.030963223735053648)","(0.41302945774510547, 0.023339709702895957)","(0.48841966430988881, 0.037230400407759649)","(0.35825775561368361, 0.019158492359100276)","(0.47507999037333498, 0.023610318006609763)","(0.50215397367516434, 0.018369784789788388)","(0.39883392736993328, 0.021806267007025548)","(0.43050741475167204, 0.031510341481902529)","(0.5064137718533458, 0.009202916764658061)","(0.56974546589760322, 0.023365578803631847)","(0.54851224297634904, 0.012634380869965999)","(0.52803138837539221, 0.02015477345167099)","(0.50754910084411475, 0.019759667362769111)","(0.58233624179812959, 0.024786452209009172)","(0.50407144524697667, 0.011835163514125242)","(0.55643289430081644, 0.026706742360136339)","(0.42563801859303962, 0.013896264518967735)","(0.4511873620590271, 0.0083957806116396524)","(0.47670998740733367, 0.027912647945960194)"
5,"(0.37957013173066606, 0.0070433549562896047)","(0.41650455599958919, 0.007046664699104469)","(0.45760963142160616, 0.025670907195140848)","(0.46364573603840104, 0.027587308571539144)","(0.49467546460840123, 0.047994414484225825)","(0.42314626623289098, 0.029570036184984355)","(0.36261042175184977, 0.030978089478340361)","(0.37218815760351398, 0.040041577322779555)","(0.36884323320347895, 0.024126744831924254)","(0.3946793698057639, 0.022555550596103889)","(0.33317232066744384, 0.021496481242244962)","(0.45011430571017197, 0.024579605196288962)","(0.40129934237095677, 0.020550325140285805)","(0.34313396730285251, 0.013931213302110099)","(0.43455169953439726, 0.025949642753129627)","(0.44127776281350456, 0.017428711895080967)","(0.46015618724188956, 0.020230360936936108)","(0.37961603724482995, 0.019298753177778096)","(0.4901468255293378, 0.01244495482688311)","(0.42919919128090522, 0.013722977207370238)","(0.42791510719518172, 0.011325844917645296)","(0.42222200149683492, 0.014404734803557908)","(0.44013225529418903, 0.014306974210790168)","(0.45079049675892224, 0.015747583746715255)"
6,"(0.43366998505052906, 0.02144619565801606)","(0.42454630610947086, 0.026838501642791297)","(0.39099416047869739, 0.13781193467685265)","(0.19957367162316733, 0.023252294419089839)","(0.44588448337628461, 0.028118022063155734)","(0.46371268499768015, 0.037597141854095135)","(0.44252874914816992, 0.037308973271233316)","(0.48063583800727122, 0.048664305337983459)","(0.30248239742001071, 0.029102457747603276)","(0.44717884296165739, 0.023734794512556157)","(0.38752381085088111, 0.021052357588288977)","(0.43436799860600356, 0.023404458568526351)","(0.36185297006398659, 0.01727565003403515)","(0.53973689901091793, 0.010004880730984421)","(0.52606188805129506, 0.027160446708145505)","(0.49440149923901255, 0.014768838881954247)","(0.45666230686343184, 0.011586082328284853)","(0.51668899262119472, 0.022260622302124933)","(0.51242548575851044, 0.011194317175752293)","(0.47996452165362796, 0.008092469023252424)","(0.45107996124462069, 0.013393267446402504)","(0.44501794791980986, 0.010299501652051931)","(0.44023638840090845, 0.01369848158824038)","(0.41196189255728249, 0.012362330765776223)"
7,"(0.41826267343424622, 0.023567491067055656)","(0.40830323153191705, 0.027516328804498356)","(0.40292102335928814, 0.13710545601614324)","(0.26181719345929561, 0.042209809905147028)","(0.42074739110320419, 0.04709805841572328)","(0.46483810173822732, 0.031260409319269163)","(0.39980076495338468, 0.026718159912038787)","(0.41689792446410334, 0.039575942880699572)","(0.33272484560423121, 0.031308301132917167)","(0.46041428663805084, 0.01855778898971102)","(0.47168416246769668, 0.018789357333310254)","(0.39468484937909459, 0.025223450770009207)","(0.35397707285147428, 0.020563939691040315)","(0.54471455252618628, 0.01492373971826339)","(0.52809378951214736, 0.028285398499679489)","(0.47853417696541928, 0.01614267772574747)","(0.38358201937354158, 0.017151200896705694)","(0.36560101462858069, 0.014543300433105744)","(0.493463657449636, 0.014616508769743634)","(0.46518478020192894, 0.010880494350829941)","(0.46319848159392735, 0.016827433618811276)","(0.39149705420737158, 0.011359209956918314)","(0.46344080567787821, 0.013387323134616701)","(0.43764152160995035, 0.011017309285834659)"
8,"(0.38128505466903034, 0.0063459859915497773)","(0.41626584435583691, 0.0069381634051504928)","(0.46232683638983618, 0.024820323818217097)","(0.43072841699904491, 0.023669481124379659)","(0.47555244524493689, 0.049113956177011524)","(0.40390465672241865, 0.025299532462110193)","(0.3605562430886628, 0.022374836883996621)","(0.38262302372801016, 0.034405040262604554)","(0.3954057175161062, 0.024625884569151837)","(0.42686624424683811, 0.021993262842596565)","(0.3451259017633016, 0.021107170598944319)","(0.4018224989961397, 0.018260656206008093)","(0.39206348198049296, 0.018336044556285055)","(0.35141474426952329, 0.013522901868758397)","(0.42296235784159314, 0.020222029255959402)","(0.49995711217266203, 0.0069607606584005718)","(0.45269031606826393, 0.016609530139715951)","(0.38039605568665297, 0.018423911512641236)","(0.43756730656060527, 0.012475205135096522)","(0.38184003181666215, 0.011666317395034062)","(0.42304686093506022, 0.011448720044224345)","(0.40283684652861657, 0.010550254474446673)","(0.43025729640161303, 0.015041783517944178)","(0.40398910787227149, 0.0081468700383165397)"
9,"(0.40871392797317091, 0.013323249860706182)","(0.42646504284171394, 0.013278172409318797)","(0.45343397622385911, 0.025346763246036852)","(0.459566267628645, 0.027960637090841199)","(0.54875032103665644, 0.058580769814248541)","(0.42157894951442038, 0.032269659585234027)","(0.34714336393636108, 0.02527591333699547)","(0.32706136501871114, 0.038461507469751015)","(0.42366424868442598, 0.029302450539402624)","(0.37518779668451996, 0.021124231036469057)","(0.36342886013992831, 0.020306977827989361)","(0.44944391845639531, 0.028893081953907756)","(0.33766101428066497, 0.018454347914178278)","(0.44079499262225541, 0.018412726755735923)","(0.57715649472796304, 0.041859096541437497)","(0.44365989909690595, 0.022583395653750917)","(0.47682410329796465, 0.021928730940553972)","(0.42708998853688912, 0.012781817493596285)","(0.44451368325925045, 0.014148158933735408)","(0.43535675053232703, 0.020487029509110979)","(0.41483326223652234, 0.01200046179853414)","(0.39032055325538212, 0.0090001507434545082)","(0.44013774727892463, 0.014536356905566785)","(0.4100486204554542, 0.0091725730646025055)"
