DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.1676888751539101, 0.030963539922439377)","(1.0879812018798121, 0.04549918084278716)","(1.120663383099892, 0.037077572113867474)","(1.3325757282829771, 0.063381302331841083)","(1.0471849408789751, 0.038837704291072632)","(1.1109127554331584, 0.03109907953727685)","(1.2092168332467561, 0.031242350256028843)","(1.2271576295903486, 0.036980332188475309)","(1.2982165837055346, 0.021276814157484072)","(1.2034959290823315, 0.041406187967211003)","(1.1767188974907845, 0.042404595756205435)","(1.2461428310710623, 0.039954424949357754)","(1.2351337526703066, 0.040559162624616965)","(1.2755787533404161, 0.0270290902298886)","(1.2913520741796594, 0.043516085432749547)","(1.2750683569475516, 0.051238856645563623)","(1.2713648433351035, 0.034325314942371607)","(1.2052284109880105, 0.026108924224367117)","(1.2131738101498817, 0.041294723446538326)","(1.2401137538586382, 0.02374345640795238)","(1.3305869122166019, 0.031851477614109162)","(1.284423660292904, 0.029962752561346864)","(1.2881061331977504, 0.039198405261824928)","(1.1535230497352953, 0.04578063579838753)"
1,"(1.1486926504349937, 0.033463457612179816)","(1.2599310409512743, 0.050734867626107572)","(1.1481028052537696, 0.03890901283756755)","(1.1168359489726867, 0.06057544460464321)","(1.1527794075650966, 0.052662666482654906)","(1.1562138361727616, 0.038778734317839923)","(1.2679674559440934, 0.022103710004484189)","(1.1074459736349505, 0.049700796159013447)","(1.3142138627979785, 0.018796102298211555)","(1.2037196555888305, 0.04619103231424701)","(1.1991419410888633, 0.042374606160926781)","(1.2661776447105784, 0.050454417483190815)","(1.3099795973700257, 0.046027905421458536)","(1.1533250248458642, 0.03831837557101643)","(1.2929601977061909, 0.037007242392451754)","(1.1304064910941176, 0.056759039262844958)","(1.2168248157389725, 0.024499141525988137)","(1.2297865684093436, 0.033356867502878959)","(1.1861223182121288, 0.027207018731003875)","(1.2902803514854446, 0.028593970492590225)","(1.2304810221845204, 0.028015070431059757)","(1.2661748137529325, 0.03319393384040642)","(1.3029895064377186, 0.042208249775948579)","(1.1065003347211189, 0.037253742765986156)"
2,"(1.2061633131470988, 0.035281539615576195)","(1.1645020475797687, 0.059900856334805026)","(1.2941353770188253, 0.040632721160555607)","(1.2311864435587361, 0.037153522856180031)","(1.161260298807038, 0.045644427309150998)","(1.0906009040148894, 0.044565409563969587)","(1.2818040482867945, 0.037202530461319328)","(1.2074927194215705, 0.037382481368236985)","(1.1897537862763345, 0.031513988179219632)","(1.099942680270549, 0.078652275418135645)","(1.3200986472627827, 0.056984504380017099)","(1.2538538234051542, 0.046568967914578797)","(1.3272694679115904, 0.053419261243710103)","(1.0809008607839512, 0.034002807822338436)","(1.1906515588111193, 0.048160861411880793)","(1.2912872270382976, 0.032184640983503751)","(1.2951473692060997, 0.032682004335026736)","(1.2683253988619654, 0.033238748867571902)","(1.1949426264343386, 0.033309689418230086)","(1.2885514817165455, 0.028124432338966061)","(1.2164915681886224, 0.060140428703735135)","(1.2984215638659555, 0.027958164508592266)","(1.2405357862116027, 0.037027673088328973)","(1.1851870979065826, 0.040935870006456883)"
3,"(1.1903690822846673, 0.035619202492694839)","(1.1653457273320293, 0.063656354528889944)","(1.2924124881740775, 0.041338550128853367)","(1.1398540145985405, 0.03984293404605406)","(1.1587391521340271, 0.043960157217860292)","(1.0942678651255766, 0.047568365894171891)","(1.2765688299841709, 0.039959416511849838)","(1.2572718938740299, 0.030733219285711898)","(1.1881690720059621, 0.033160698872713772)","(1.1723136397161669, 0.073734015580781812)","(1.4169688564862499, 0.051005904982507975)","(1.2793054786939686, 0.047464523843967717)","(1.3890465438652773, 0.051257336144031281)","(1.1924275024888396, 0.040404903582347405)","(1.2104277062831181, 0.043865077824062557)","(1.3419407636548319, 0.031790603394325698)","(1.3090936270275457, 0.034069907049251912)","(1.260800485391304, 0.03634085485861295)","(1.1561626016260163, 0.044052592241281156)","(1.4175141751417517, 0.071640110606426444)","(1.1185630905530535, 0.059237062625583536)","(1.3032434495039433, 0.029121875273754538)","(1.2619658104961988, 0.04131771047653595)","(1.2078877005347595, 0.034959700255466186)"
4,"(1.1254688274577926, 0.047481532921522976)","(1.2227407512591997, 0.061725413760561593)","(1.2519801775758834, 0.070606559612691092)","(1.0649305801134694, 0.051525984402877895)","(1.1730928197093304, 0.040354351288440581)","(1.1256089256096378, 0.04161627171782141)","(1.3183735450571441, 0.043193179094314658)","(1.10980182386036, 0.054066461365352168)","(1.1550451403348045, 0.046029993613312128)","(0.87127323138968193, 0.083629855210605064)","(1.3178357043380922, 0.080250818642430971)","(0.85310915258007192, 0.10217654672955054)","(0.92375281330817072, 0.060388418235284499)","(0.92235242294029551, 0.057234678812418283)","(1.0944212991880073, 0.061119206275454599)","(1.0869522208458682, 0.04511754150079586)","(1.1921611507539314, 0.052401809608678067)","(1.2546997027864204, 0.031120568669085715)","(0.88019974941413959, 0.036288173746926333)","(1.0369639141329567, 0.068230493515459373)","(1.3082994806844175, 0.030937904559230588)","(1.2060550311950091, 0.039033910982710848)","(1.242556793971878, 0.053640885656207664)","(1.2305958223228886, 0.032641525122234082)"
5,"(1.2331810499918221, 0.03868133826836237)","(1.1317583088200007, 0.058433093379298064)","(1.2824200629420492, 0.037686455783575684)","(1.213874311938006, 0.029677584291833568)","(1.1217248305010463, 0.04659828184735592)","(1.1106069878250018, 0.044920735689291696)","(1.2888122534658948, 0.031757090393959714)","(1.205741397082704, 0.038977798124339318)","(1.2827565306988296, 0.051335348275464675)","(1.2266122106608617, 0.072788066360198078)","(1.2194146894104574, 0.047800001233220701)","(1.3243307881101714, 0.04914049385400035)","(1.365048676902973, 0.050471801522286502)","(1.0465906429511282, 0.04501156143014564)","(1.2739930614859092, 0.038326262431374762)","(1.2303005057226508, 0.05095699224387077)","(1.3110483320697495, 0.035802694673218352)","(1.2687799322947941, 0.038020054018661043)","(1.1603927569497574, 0.024642982271181467)","(1.2465589887640445, 0.051214455657130578)","(1.2910090924206494, 0.054021706648558182)","(1.2286046511627911, 0.031355344295623547)","(1.2616390065789675, 0.042299719342337908)","(1.1915539788718568, 0.041380706189343211)"
6,"(1.2483955600176468, 0.041984343343369479)","(1.126879017532364, 0.042858156351994851)","(1.212361992097778, 0.02718528253324726)","(1.2654791645336332, 0.040230778981454787)","(1.0299360122856411, 0.041178085028891975)","(1.0857341957617122, 0.026661415896221483)","(1.2416357132087883, 0.020941785211209558)","(1.2214303079497935, 0.02869121868189187)","(1.2778389676267867, 0.02822969358877403)","(1.2599188915174047, 0.050029284796053661)","(1.2161867587098376, 0.048400389426528856)","(1.2872836825322307, 0.04606269292996993)","(1.2607734366925067, 0.040617734423726411)","(1.1433504302852118, 0.039567516998419622)","(1.3058401119749197, 0.036170172218582)","(1.1698394429906267, 0.047009296393265981)","(1.3429962251221024, 0.035137859700091693)","(1.2030514741638607, 0.038914942369808171)","(1.1860735687874533, 0.024357233790820668)","(1.1995425796250283, 0.020658288412257461)","(1.3693218206770359, 0.036793131504675947)","(1.2320730993144786, 0.022567633163864263)","(1.3241941692656982, 0.039307078683262567)","(1.1753890674846874, 0.04981855698957071)"
7,"(1.1463804465841276, 0.038360720809561009)","(1.2600762655583884, 0.048327731757962469)","(1.2956160446517826, 0.032621799893867785)","(1.1768679711116943, 0.03415029146004267)","(1.1609894362990627, 0.059244291156777283)","(1.1164669079379765, 0.049264538742393622)","(1.3518295993539831, 0.039541768447477019)","(1.2273442870286486, 0.041875375630737323)","(1.2379019908116384, 0.03853804119381421)","(1.1433515482695806, 0.084169679049369978)","(1.3525385779838204, 0.046170184778178802)","(1.2173539967373572, 0.061259291317606934)","(1.3598462769781732, 0.049743625694843578)","(1.0353608462972275, 0.046390985045983241)","(1.2375467454245883, 0.03936462698545401)","(1.2074920052163363, 0.046758219627654113)","(1.3180783068230868, 0.032427971828471507)","(1.2922743924228552, 0.033760956054832307)","(1.1455049694258554, 0.022713459260885548)","(1.3137017369178001, 0.056890271996653717)","(1.4248550195455132, 0.075736249189226501)","(1.4015175219023785, 0.052582204049956519)","(1.2975804460538229, 0.041724539652665246)","(1.1875908009617406, 0.033367528414837706)"
8,"(1.1998560708415151, 0.056856496758267143)","(1.2310208151564248, 0.046770425049118561)","(1.1767867880465936, 0.062363698617685745)","(1.0893946172629212, 0.045866702879949935)","(1.0814147290834182, 0.037939959408807705)","(1.211223707932692, 0.024961851975258187)","(1.0349580783312387, 0.073942448962247873)","(0.79772173472831576, 0.06410980724324078)","(1.2052880036391023, 0.064400374734390364)","(1.0653518385742082, 0.070412457938217918)","(0.80835939107784427, 0.10155856517921685)","(0.86253819370384732, 0.096484881525319074)","(0.82105141611486265, 0.054756696722702877)","(0.8114086221122111, 0.059654768516552735)","(0.60449615922784838, 0.094644878435672208)","(1.0051602831623703, 0.053258723778745257)","(0.85659923793770576, 0.079053193069407168)","(1.0246970075121078, 0.059700028931597024)","(0.73428362358914145, 0.040096817570163749)","(0.80716077834123545, 0.042299175583044121)","(0.90296298795180807, 0.063306010853150227)","(0.80739209082738495, 0.073333962922309842)","(1.1824529838852491, 0.042493672849483403)","(1.1201909786087916, 0.033677253314621895)"
9,"(0.99988853153826973, 0.072671924694651696)","(1.2389311496279123, 0.062941130829483771)","(1.2481610740496445, 0.031441902755813302)","(1.2966424022226068, 0.044754586334698331)","(1.1884857306925272, 0.05079396843416506)","(1.0152974396831771, 0.060395022542148624)","(1.0466844357741276, 0.065710199648641235)","(0.9921323566849497, 0.076748217549073391)","(0.76728387556066513, 0.082523933071539393)","(0.58393702669461833, 0.089205143182704449)","(0.69062575690254224, 0.049947544688868632)","(0.71407006540300955, 0.078430586029862012)","(0.72523710903021765, 0.045404753247291159)","(0.73782837293151193, 0.043363577341775907)","(0.60813479954940397, 0.033895668786296275)","(0.74117971428298668, 0.043449510081164704)","(0.54505988763074753, 0.035832615173825202)","(0.5989981295942961, 0.048576265936584921)","(0.59807250079846697, 0.039053327311150271)","(0.66413556263269669, 0.030460763259531246)","(0.62167719105329722, 0.065095731710081386)","(0.52013600051964348, 0.044667973645284249)","(0.52541756954426011, 0.073234500716467477)","(0.82041304535333603, 0.072952904264603213)"
