DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.038189909829804, 0.033861578980436242)","(0.92443026926021776, 0.05714023081932857)","(0.93373963260859971, 0.041210669319292015)","(0.93425600746257698, 0.034703941431160519)","(0.89389196725581588, 0.021273134635220292)","(0.83549526983499978, 0.030274502202597146)","(0.86093122081178608, 0.042079466497787023)","(0.87790280647552998, 0.046548371480648186)","(0.88553449642649862, 0.045225128051228324)","(0.94291260941033561, 0.033687545712963694)","(0.95653158265690053, 0.047903489988315416)","(0.87399769462868815, 0.055974488157284043)","(0.83887290743030007, 0.04682030354422919)","(0.96268461399753968, 0.055089880812537212)","(0.78163557522908633, 0.06181350849769162)","(0.8924733135257642, 0.062471288994150762)","(0.88881173766556409, 0.035490620105104786)","(0.82719684849542197, 0.034253850753260484)","(0.91139154851623705, 0.034094340977884843)","(0.9326931924694748, 0.054947344487177648)","(0.95264185012555125, 0.037734324062980606)","(0.94165729818761668, 0.066811571387065477)","(0.79889418374566268, 0.065969850837548624)","(0.82415392430384071, 0.047342352531352105)"
1,"(0.90252626781888012, 0.045678942085662956)","(0.90245006162986896, 0.044373783348686108)","(0.8279245811590491, 0.034041194459792819)","(0.95967517103536704, 0.043356144288204237)","(0.89588323294348804, 0.027053912462394938)","(0.82336960185786101, 0.032553017742755812)","(0.80051606391659469, 0.044509448668038437)","(0.87490152547243694, 0.041193655515460351)","(0.96304747539524604, 0.038991459857040625)","(0.81023739610028322, 0.039862817499791557)","(0.62977625287581851, 0.06261084129663208)","(0.79536223283255369, 0.044997911620173775)","(0.87564182382712175, 0.048563840220549721)","(0.78264993420753526, 0.04920963871747179)","(0.75730653176112162, 0.058976262360720101)","(0.84171233443958249, 0.057965641754633257)","(0.77669092066134604, 0.038173439715480761)","(0.775651604218764, 0.031946705139429481)","(0.79919419128109215, 0.039649097572637515)","(0.80611868928444075, 0.051770000790819524)","(0.77122090528117992, 0.052819713600634303)","(0.83988826913402082, 0.060074454305884269)","(0.91294843957766991, 0.069562690886739539)","(0.87630755580606468, 0.043373483656874892)"
2,"(0.8127218234062511, 0.039392043505825397)","(0.80785299338515937, 0.052864874018615032)","(0.91691054343782474, 0.043102920996368491)","(0.88443296981093367, 0.042303192283429734)","(0.78104080924466901, 0.044792583023181294)","(0.79555545616259582, 0.043950935913278991)","(0.83077987009302878, 0.055664828008650795)","(0.81272334549524639, 0.037747472243475182)","(0.8439067683591287, 0.043697980061520349)","(0.78926111618237615, 0.044884876618444453)","(0.69784018084962918, 0.043796792478668994)","(0.6636794105975542, 0.049389647582312728)","(0.67977205411745945, 0.037997246269245159)","(0.68475389151452581, 0.0541210216325013)","(0.77070797341054742, 0.061252937065358448)","(0.83637917255731042, 0.060919179487586503)","(0.69163257925240174, 0.030904350544667579)","(0.72763670496912325, 0.032432403946286992)","(0.76504338471870181, 0.051052203743911354)","(0.7569208902986847, 0.055478162268793714)","(0.77460090170369866, 0.043917066037796326)","(0.82879709005240843, 0.053348989810995062)","(0.90862648823050618, 0.071001182580019778)","(0.85194144352255374, 0.040445336514171336)"
3,"(0.84102494890346036, 0.035584094245522314)","(0.84811188032780183, 0.041140282275398538)","(0.91213631752396196, 0.053457317293483977)","(0.90536493085890701, 0.030121517698910961)","(0.81586633961155841, 0.038260221413312014)","(0.73340140413381472, 0.047965278285025559)","(0.72080156048827781, 0.0397479945905648)","(0.96391880518526685, 0.058285529131113137)","(0.90521038258773101, 0.035243455397904404)","(0.80140331085702365, 0.041803686193087559)","(0.74625134749718347, 0.039978224365528892)","(0.67573008609505869, 0.049132334487585402)","(0.69314886693583377, 0.04572897961362863)","(0.56304585751729708, 0.069042042352573038)","(0.64066394321114883, 0.12713228495132436)","(1.0921728820925198, 0.13886719066968792)","(0.69812791799884621, 0.039892745397905723)","(0.73027605828555642, 0.041287828764733872)","(0.79023128024059097, 0.036677658872739813)","(0.74622608047317129, 0.047608683003037798)","(0.7623757720067954, 0.067205973638702413)","(0.84421539978865068, 0.068410726111453837)","(0.93849086627614886, 0.064849919066391856)","(0.90142282593762246, 0.057476214355109578)"
4,"(0.90591735261768824, 0.041023975636809214)","(0.83422956129688908, 0.04846043356391256)","(0.9408319724215396, 0.034588828894035972)","(0.87172402936002391, 0.038721259238450295)","(0.82469218590403737, 0.040522305777616202)","(0.78903540103917325, 0.038474271642473669)","(0.78635483629951863, 0.04493106408498674)","(0.86580123679969601, 0.04381259960835112)","(0.90110458312347519, 0.046876651329510195)","(0.91442774717969322, 0.040791136609576312)","(0.75440410421113668, 0.064569880575747668)","(0.80492824900837434, 0.045714613493781586)","(0.73244517942964771, 0.040055630419407337)","(0.79396381660041382, 0.063703605526429397)","(0.74939004527133535, 0.053420534508482255)","(0.73492283309488771, 0.067366315369310079)","(0.71658797102035732, 0.040356744667667178)","(0.73961464534603505, 0.036602270076341495)","(0.7769983054539733, 0.056242358410984468)","(0.81346657337732531, 0.054696346025084004)","(0.76360709238139235, 0.048923215047225507)","(0.87734017925528662, 0.053995398176048641)","(0.95174391478395559, 0.072827328032848207)","(0.89988178981500555, 0.053864804582238551)"
5,"(0.85158792534007677, 0.039628495707775047)","(0.82159120971936384, 0.042156374671886848)","(0.84802740616854511, 0.046215578765984158)","(0.87770762501623001, 0.034930805467863951)","(0.73302635509866765, 0.046078252309223647)","(0.72791762659769532, 0.047570881190570055)","(0.74710134315880394, 0.039885267462385389)","(0.91704030849659168, 0.053966308932366883)","(0.88741130117925937, 0.040024198168114283)","(0.78549436004957418, 0.046045837786861429)","(0.72996611425617963, 0.044171900570294596)","(0.65588718556713144, 0.054691135041360979)","(0.65598835287021395, 0.05103156578766653)","(0.63881498858575658, 0.063985870361173675)","(0.68351273708588034, 0.12305146184778497)","(1.0390624725004152, 0.13163402550513317)","(0.70002035283104858, 0.038597741978896379)","(0.69204346485034585, 0.0374658827344138)","(0.78159568496934873, 0.038647371481213888)","(0.71940776994036981, 0.058929235385364917)","(0.77570615988864533, 0.066160874698746278)","(0.76642570260845511, 0.065352217680587507)","(0.89731708738770166, 0.066622378337989147)","(0.86405561346027338, 0.058812189835152857)"
6,"(0.89981770516286175, 0.042414379141811287)","(0.8401988310602988, 0.046691034653943836)","(0.929794468910358, 0.034473833490726524)","(0.88663668486024783, 0.038906628738332401)","(0.81649265769323298, 0.041265259926545617)","(0.79436128808883599, 0.037628617205484133)","(0.76680893641972359, 0.043599716462191129)","(0.82329861944228999, 0.04123266382877927)","(0.88686247881490732, 0.03937841065505903)","(0.90135652879204708, 0.03959410178544507)","(0.77249876553112218, 0.044767340079810022)","(0.79291959345120111, 0.046627223839760909)","(0.74078796604184372, 0.039451497059562531)","(0.80063733124313563, 0.062453633130377419)","(0.79846116040139137, 0.059052758507105195)","(0.73166543862528877, 0.055108189750088098)","(0.71083627858893772, 0.036796348759390016)","(0.72100753695704622, 0.032658187719968784)","(0.78897536813170011, 0.061193286727570961)","(0.74571445870551778, 0.054261879712261672)","(0.76023019358349486, 0.045438300204457716)","(0.86095220370912517, 0.051560537500760083)","(0.94480427729833938, 0.070275032408461502)","(0.89287673535676049, 0.045317622163998213)"
7,"(0.8412491534398201, 0.03831535561733207)","(0.84807649943191621, 0.040724420057364444)","(0.92520444861273987, 0.053224570251432672)","(0.88501694301822431, 0.029742580544197865)","(0.81524196115435499, 0.039135480613367579)","(0.72929428481037206, 0.04789423680517222)","(0.71684856392807506, 0.039278259209294883)","(0.9635873746523177, 0.05853099517119751)","(0.90682165056375841, 0.033952388457884113)","(0.81003524736794041, 0.036286425064377778)","(0.76214711831309856, 0.037258992383303109)","(0.70443943615407001, 0.050657470510778575)","(0.69664328828959732, 0.047682982286159664)","(0.55214043978634486, 0.070529017453294582)","(0.65811774443043569, 0.12297224207788501)","(1.1113489412905728, 0.13716314066956972)","(0.70667439260171849, 0.039488015911946582)","(0.72941131921141034, 0.041796231603041488)","(0.79920609465129233, 0.036785743379101059)","(0.74526907666867415, 0.047635579919944049)","(0.76208349346439619, 0.066795360084963354)","(0.93072279063768137, 0.064574270186283839)","(0.95680575527551226, 0.06501008729504909)","(0.89910514153934473, 0.056835760170725697)"
8,"(0.84741902169807171, 0.042974144210242128)","(0.81137791259882852, 0.051276574834679851)","(0.90513061943690476, 0.041959269474757463)","(0.88867668538556022, 0.042573587365326182)","(0.79616664854178176, 0.045491999477778683)","(0.79471906095699762, 0.048376111060373983)","(0.83025883038705162, 0.059022949447336819)","(0.79722580999948678, 0.03628222436252293)","(0.82858630815246492, 0.046697258958921413)","(0.77952885960468665, 0.050050068286875957)","(0.67744971827376366, 0.049051379988753752)","(0.70636087960386318, 0.05213376684016241)","(0.70362819987464376, 0.03913228706218614)","(0.73184199465816147, 0.059529985135212994)","(0.73858975209267097, 0.070541803937886838)","(0.76412151208794543, 0.062490121022525186)","(0.71023666137691188, 0.029383292101100595)","(0.72452651664818313, 0.032225763269915088)","(0.76677285050514743, 0.052152081968112093)","(0.7542577977594358, 0.055345234961027785)","(0.7840863422573181, 0.044750413030478879)","(0.83004362073529125, 0.05583907652829892)","(0.91619600936987233, 0.070580392240112005)","(0.88117633716493005, 0.035406786473498486)"
9,"(0.92397125179289785, 0.044744768222823465)","(0.87981603805645869, 0.041425230634873932)","(1.0224138443141524, 0.048865309836386921)","(0.96709268696679296, 0.043949770534432706)","(0.9635500449247566, 0.026509333922819445)","(0.88803493502839659, 0.048808913203623384)","(0.72349021777280609, 0.089094579074585137)","(1.083739432563555, 0.0736833888752913)","(0.80049184799380646, 0.053258933715349795)","(0.66855961154177612, 0.070916988711340029)","(0.62301730593367177, 0.087142410056459202)","(0.65515702514673624, 0.042675502492461145)","(0.64750293308271378, 0.039103185385119962)","(0.54695548866512356, 0.064517163674146158)","(0.65885304730360883, 0.055705991273097596)","(0.78601181306311085, 0.047061090473425306)","(0.6027624207573965, 0.053611674245433782)","(0.60220718155611686, 0.033343728020721219)","(0.69331209568991459, 0.044310950834881055)","(0.5574233128722077, 0.049387465653085473)","(0.73947759617699049, 0.058638286076304884)","(0.82019841769718593, 0.050663719034153155)","(0.94729607098302848, 0.069169680883018794)","(0.93662915229876287, 0.061683126413726516)"
