DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.98574952476252242, 0.027512381266320905)","(0.94957536316311086, 0.031937452185948706)","(1.1159979276655025, 0.069514293856482279)","(0.72773237146768932, 0.044652557412723198)","(1.1726883714744771, 0.063901981423025528)","(0.96070894020410214, 0.075578051539628072)","(1.0457649025553852, 0.05015318133741662)","(0.92710791567209494, 0.034350648788507632)","(0.95734602011853653, 0.034751239430706626)","(1.0451478533708656, 0.026675433726396389)","(0.97521723245416947, 0.029081570180505254)","(0.95337020572315279, 0.029753655753746867)","(0.91403185561519229, 0.037646017446498481)","(0.87082798808032136, 0.034534628509595898)","(0.97786266190980686, 0.05224700156316666)","(0.9146783584749052, 0.027014520141596065)","(0.95507165037753827, 0.068338292053426369)","(0.89523795389172456, 0.028964163299035492)","(0.91530130097585216, 0.02545475026878314)","(0.91535323578334093, 0.034701008837808724)","(0.9146731437663812, 0.048483338870907819)","(0.83081670012167907, 0.042016445513895037)","(1.0083226467545352, 0.027593338636600757)","(0.99028491282106712, 0.019626001128541657)"
1,"(0.96378997167880442, 0.031790218039699496)","(0.95670914942807161, 0.030669475907209788)","(0.9145631818605009, 0.035456760098763453)","(0.9195827311625997, 0.067928214968919057)","(1.0723329147224865, 0.065183252095830591)","(0.9793812093502362, 0.068687183698420987)","(1.0157022313003217, 0.051243808804085043)","(0.92723009365091513, 0.037249523643294667)","(0.95489905195543046, 0.03369052886175946)","(1.0393583708931542, 0.031581311468553877)","(0.97793032622040765, 0.030091255044496598)","(0.95048930256889341, 0.032273700578673389)","(0.90437609125551877, 0.038539651857664385)","(0.85616784109617372, 0.034826191834362599)","(0.99263473162683924, 0.050497718590626198)","(0.91610969280799948, 0.026782460414238925)","(0.94258951206910091, 0.062369448377630421)","(0.87225680122790172, 0.0323137567111959)","(0.91371767012404015, 0.025861041918641539)","(0.904436032183492, 0.035422911991672919)","(0.91214812941908974, 0.048750939188397062)","(0.86243062895966416, 0.041231615856792109)","(1.0128175265239745, 0.026851437942991656)","(0.99671811066411609, 0.020959875674008213)"
2,"(0.96780120166489658, 0.026249774694863708)","(0.90969645780559494, 0.027284158340288602)","(0.94418917839693028, 0.035167043613034493)","(0.9213555760483273, 0.05746334026785363)","(0.99629448584160496, 0.039316780665922452)","(1.0587564032372951, 0.047442630337044975)","(0.85337614401628548, 0.072627538746556919)","(0.88508374449221383, 0.094077110171808379)","(1.0149489834891892, 0.098779524978967997)","(0.86447240415727256, 0.018493551671097019)","(0.92498669424022162, 0.086536470134156315)","(0.78233601561690536, 0.054192846598567893)","(0.92600038531381101, 0.03668463489648955)","(0.95265024478748228, 0.036260768837504238)","(0.93520762908178301, 0.031626801771772954)","(0.98533566226591118, 0.045930871372818642)","(0.85078706991976727, 0.066996727665780131)","(0.9893133077886167, 0.035047733126306921)","(0.95268272702480483, 0.036387936814407308)","(0.86210308552172799, 0.057645695736307762)","(0.91698142971863517, 0.063389198012767531)","(0.96592879037686741, 0.03991938013935932)","(0.99899756772283965, 0.043316483477586612)","(0.9995507285370111, 0.024325883142772398)"
3,"(0.95444205213381084, 0.050437541621424983)","(0.98766791867579384, 0.028159264945382265)","(0.88537573028924776, 0.063912488148500007)","(0.9599737012722982, 0.047650988862383621)","(0.97572312262219585, 0.080987146056249432)","(1.0966619821767016, 0.047078122847554568)","(0.98587529849787026, 0.04304779821633483)","(1.0230328981884178, 0.090486955384274495)","(0.96851730643712874, 0.065597799254849265)","(0.85755664799815889, 0.084300959525388408)","(0.85087252233578303, 0.07251458593238537)","(0.98375928338693763, 0.081302122398521817)","(0.99483846305968571, 0.037486987003237944)","(0.8251262967357178, 0.078715011144726788)","(0.95550136657323481, 0.037318596885366886)","(0.91760569401356229, 0.031308367246974902)","(0.92107066609084121, 0.04637915175462462)","(0.93709382934014018, 0.0522836890390838)","(0.87108391492528703, 0.05117665837990383)","(0.92564411404600277, 0.074021120752632674)","(0.98103803268524814, 0.10456496530076707)","(1.1732796124063796, 0.054794658730057101)","(1.1274458758217734, 0.069051105050513664)","(1.0473963133374571, 0.069597390686105681)"
4,"(1.099487114196968, 0.055234771729530459)","(1.00364160510018, 0.049308821909803575)","(0.95575913447632399, 0.036893765625962999)","(0.90607113640114356, 0.059723613888298555)","(0.97497011792480293, 0.043392084718914085)","(1.2583607269068628, 0.082743519721180686)","(1.0563825635209445, 0.081196163151204009)","(1.11435250256098, 0.11688463849556233)","(1.1173278865887624, 0.066723731423721219)","(0.82601966157172313, 0.070072665697225534)","(0.86558707094355303, 0.15054334009825374)","(0.62093462485667383, 0.13782742797681469)","(0.61398689040624144, 0.15804471428660091)","(0.95212623771624727, 0.10874596166206377)","(0.8722323358569295, 0.096647622363533636)","(0.91242226144795735, 0.073583934781774649)","(0.82958575434660964, 0.079073545083636246)","(1.0104635404698177, 0.069653645003649872)","(0.71940392495359951, 0.07353361403138696)","(0.66614483792156409, 0.1300152341534882)","(0.80959597599441413, 0.11613652798751142)","(1.0869209121273491, 0.05713522874159762)","(0.9726114218803531, 0.068421177691716364)","(0.96267158436917122, 0.072476430630761618)"
5,"(0.94297982750827136, 0.049560330655562632)","(0.96237863671727819, 0.027362199205453987)","(0.85781335715326457, 0.063745275610261179)","(0.95077593079074418, 0.049617937338009614)","(0.97641609256486206, 0.08043400427065571)","(1.1000974904767122, 0.044633543758747174)","(1.0273579741863885, 0.050889735699739314)","(1.0660546380655371, 0.094754942290244767)","(1.1097134095721144, 0.05681749711639824)","(0.84305100182946902, 0.077786918444249925)","(0.83464493479690161, 0.073821129332776944)","(0.99279683766043469, 0.072774716398063516)","(0.96381413723123643, 0.040109743265566267)","(0.78302441581174953, 0.084203746785046565)","(1.0244477455625414, 0.06243564332610025)","(0.91813626096615064, 0.029834865403728195)","(0.89365226902327277, 0.048323249624009107)","(0.86138175349294077, 0.060312267745975201)","(0.91619639318923396, 0.058480413235840127)","(0.90852511578760964, 0.076936459465658205)","(0.95632526055377787, 0.11434070292351098)","(1.1827273761253425, 0.05450720649141428)","(1.1560974772710768, 0.07344217476327522)","(1.051971091787306, 0.069714386436520184)"
6,"(1.0839189954421442, 0.033472997512176826)","(0.99828376032916211, 0.025133679830340483)","(0.90191226384231771, 0.031432822177481924)","(0.99721086827466454, 0.040065439022762162)","(1.0148985038728167, 0.066154507623393796)","(1.0739083345170373, 0.055668762691951132)","(0.98341759811522922, 0.040394040298448515)","(0.77357842719732595, 0.27658652264067413)","(0.5222543133317552, 0.036970642866105081)","(1.0332761581107939, 0.069784588782036736)","(0.92780139617311441, 0.082247035894612311)","(1.0006831782551331, 0.050850143713443707)","(0.98624302403143971, 0.027302631760954644)","(0.84637645392687411, 0.057434921857697441)","(1.0079035701580803, 0.040229738850432989)","(0.98276154569736096, 0.045652596918344883)","(0.85939575939041812, 0.049318089198853735)","(1.0021650439202532, 0.049842292247757949)","(0.93655262732794931, 0.04901215480365962)","(0.91805408139041078, 0.091498283371649211)","(0.85294785576106558, 0.073694649919356509)","(1.0830899355399761, 0.060236730161180939)","(1.1362125917166064, 0.058817877729291)","(1.0229176913722036, 0.056841628362151959)"
7,"(1.0801275663332643, 0.055669848005674039)","(0.94721782639949481, 0.044459119849136863)","(0.85555024169265026, 0.071084889770387155)","(0.93561367137299256, 0.052164100226311058)","(0.90581043158607033, 0.062830852998893905)","(1.1262307747779139, 0.060837154656810458)","(1.0175846822930046, 0.069372693009935801)","(1.1137499927648009, 0.090661946190804851)","(0.94141459996942811, 0.076074996260234631)","(0.92540958529141293, 0.0996985009206659)","(1.0764529239530438, 0.094344803810538974)","(0.96510796447952574, 0.077633144476806179)","(0.96249172991318599, 0.040019546250240158)","(0.7520763204903862, 0.088556191876711002)","(1.0077278834486942, 0.063238013644390217)","(0.91004946325091596, 0.028976195126102583)","(0.91130838837606587, 0.049125514279494839)","(0.92028320541699471, 0.065795057300142942)","(0.88486043837396011, 0.062599426308001679)","(0.91142149076897283, 0.089127725836849803)","(0.89436816635290362, 0.11235644002827665)","(1.1173106091496061, 0.066051508079454382)","(0.9611157981113736, 0.079077851625372453)","(1.0084724127831499, 0.075517700030823101)"
8,"(1.0571897791766534, 0.052237148145689936)","(0.96201293686391132, 0.047124785502331422)","(0.95490262263590742, 0.036801641283975582)","(0.86535709868824784, 0.055206174789237249)","(0.9832191199308985, 0.043352530772970424)","(1.1215377875296351, 0.06108888641863653)","(1.0395670207825385, 0.086150786218192221)","(1.1829185374625328, 0.077954965103374435)","(1.11956186385223, 0.064636899596994923)","(0.81733306276293971, 0.074687948626522005)","(1.0957186175254552, 0.10499161441507619)","(1.0162849767763804, 0.077445966897921797)","(0.96088854406653168, 0.051821198364713564)","(0.74838184510227201, 0.088343730876269386)","(1.0076615275283027, 0.064065136362034911)","(0.91417798827546715, 0.028054745400193638)","(0.88831510671361336, 0.053588828696317883)","(1.0329686400904148, 0.070955649882151639)","(0.87570693956771273, 0.052840944121400744)","(0.85144741442062033, 0.097083114006886503)","(0.91556591437427326, 0.11331692203205293)","(1.0936108451836106, 0.06641507471368216)","(0.9533204707600974, 0.080004624745954406)","(1.016443386113792, 0.072569269736615552)"
9,"(1.1248609451496969, 0.11354976289206749)","(0.7495590908476476, 0.035085605206962522)","(0.98434741377074808, 0.03133025803222729)","(0.94477114023579489, 0.070168616087383368)","(0.97674599729755784, 0.040010998480345047)","(1.0436728546310514, 0.047925570101801832)","(0.97575644445117415, 0.062208458449721796)","(1.1073552967793365, 0.080672244714133257)","(0.97500953263610957, 0.054389385462584344)","(0.93403215385461513, 0.072167687340466025)","(0.66591703742476183, 0.10695770410741122)","(0.50192469279473406, 0.16483096661794894)","(0.79084423152842842, 0.15268159623762848)","(0.83264086011568217, 0.082281765073499893)","(0.75562608880390747, 0.084121388902739944)","(0.93035843340461633, 0.076090300198279642)","(0.93218089069754184, 0.089012247295839633)","(1.1514029698761015, 0.089858152616751313)","(0.78100592105369782, 0.054396353697019645)","(0.77884130244541827, 0.13844489914954738)","(0.72395203303426292, 0.069003952209432978)","(1.0349923556001188, 0.068786018012913938)","(1.0332881896302608, 0.066325173893471423)","(0.98477609375382136, 0.066792755346869334)"
