DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.3987547367948332, 0.021794025491035224)","(0.53677466456467371, 0.059943620000921308)","(0.37863938176024059, 0.035512816614970751)","(0.34182809840631362, 0.022032977332249463)","(0.37932794214579452, 0.037408343116634386)","(0.40751001625297911, 0.015007566639556992)","(0.42858783412887808, 0.019369954286254681)","(0.36368725844562666, 0.026962224503333521)","(0.40096907809738114, 0.020673720368643584)","(0.48811356952978863, 0.030099910535230825)","(0.42054460510739033, 0.023991431977644081)","(0.4035284800301866, 0.021280861330910814)","(0.38444363400924275, 0.023543048941595604)","(0.3019343804013257, 0.035393226656691694)","(0.35741136039126692, 0.016540775554581194)","(0.37801526101717775, 0.021767714874711793)","(0.36060678247667977, 0.038591522111347192)","(0.34919931662486692, 0.041178680721107516)","(0.43997665273315345, 0.022403520541102166)","(0.38764052578607516, 0.032249672314445706)","(0.51257573886956198, 0.042542693520967484)","(0.43976219107116071, 0.024123997501582475)","(0.46321563399409171, 0.044103724576227681)","(0.42336063138279989, 0.029004128209063226)"
1,"(0.40196241663263926, 0.024046261380305359)","(0.41975453373010985, 0.038255474658833645)","(0.39161524463710012, 0.036383999830759087)","(0.3739174419579267, 0.023261163091653547)","(0.35746696462765459, 0.033237777365206417)","(0.4019058056070251, 0.015880193091134632)","(0.42864525265721604, 0.021112521423160092)","(0.35088467183998173, 0.022818494660689914)","(0.36272928901296397, 0.020449891491545236)","(0.42222162916183104, 0.021976063193924818)","(0.40244701516502784, 0.02903223826831863)","(0.41996544479697479, 0.030784418142462598)","(0.37836023623550202, 0.030446557362438273)","(0.34633267838170967, 0.05548337378376219)","(0.3645196016709451, 0.020674941551516952)","(0.36848763098445703, 0.023566539984806886)","(0.36388057332341056, 0.03077284171774932)","(0.33968160717430174, 0.029659939680749623)","(0.43311813188886944, 0.022960551768549459)","(0.37485269965823309, 0.013958856033516783)","(0.42155369561531669, 0.023891556616179793)","(0.48971299261964307, 0.024715337054702646)","(0.44217849951367977, 0.040742566634442305)","(0.42177375179641019, 0.023286335940635609)"
2,"(0.44749064968708979, 0.02598627677475587)","(0.38333276790823695, 0.032488571179936192)","(0.33400745417593219, 0.038655887562498277)","(0.53153148049299259, 0.044221852867695373)","(0.33413981154316785, 0.039436231820328557)","(0.37429066311349485, 0.022156724135146334)","(0.40776506244178806, 0.021303787711092648)","(0.28224945918255434, 0.036077877590909711)","(0.40334025580597488, 0.027300549048045818)","(0.40188845457156058, 0.034952913614144578)","(0.63404231791404653, 0.059584839460714127)","(0.42173800117807447, 0.024807895568005042)","(0.38433110062134063, 0.029253954373235892)","(0.3591273507684361, 0.026658959134387226)","(0.33664503331768542, 0.024642689939275614)","(0.38835037756345109, 0.029353574341842062)","(0.38322688387067994, 0.031805579214555853)","(0.3182416648190266, 0.032885825633826068)","(0.42763226471533045, 0.023679106340723458)","(0.41267755853747323, 0.027251313688413267)","(0.37400975987243734, 0.035734303027581869)","(0.50292165871575856, 0.023024168536876909)","(0.48413629533042923, 0.047418597223699017)","(0.50288757100480586, 0.041933491874581487)"
3,"(0.44584709090540575, 0.028060035460168248)","(0.37497932454912752, 0.030822313107157915)","(0.31763106723300022, 0.035847027586841357)","(0.35802426530281628, 0.046604410222560726)","(0.32526985422658666, 0.039084033870943335)","(0.37521373762791138, 0.022745503152642659)","(0.41618609356336167, 0.021179761759921516)","(0.27518369851046343, 0.037192689942754917)","(0.39523388099396906, 0.026831762244744546)","(0.41216737412849558, 0.034479727686603706)","(0.39913567386667093, 0.033965432040805196)","(0.43038951213851517, 0.022943998238263201)","(0.38473003341338946, 0.030594073069976028)","(0.31830511543826628, 0.034989279618323155)","(0.35573386571132343, 0.020677687827306564)","(0.39916825689862079, 0.030595808037463895)","(0.38321682019039832, 0.031171559763636347)","(0.33247094345616912, 0.030987186049868023)","(0.42701576216028247, 0.022893206824503028)","(0.39552173928257367, 0.031402047451277088)","(0.43031326162961692, 0.049727172417138935)","(0.49603867912914412, 0.02373987913866878)","(0.51424317804904951, 0.045888298128642993)","(0.44651829799504372, 0.043274213002867809)"
4,"(0.44845635295141573, 0.028775258787154926)","(0.38858961388432545, 0.033786468954194321)","(0.33237350356641826, 0.038653657574180468)","(0.51397094061420978, 0.044116750072586738)","(0.3275713180584216, 0.039047503106483028)","(0.35802977741768932, 0.023618876063078532)","(0.41831588979850381, 0.020318042934889625)","(0.2865166963597785, 0.035259424820652363)","(0.39595155318736586, 0.02483855884008164)","(0.40643640919836643, 0.035671823837775229)","(0.6648130742895042, 0.06003316106160668)","(0.43137851005384009, 0.023541011333980642)","(0.39047306440028934, 0.025453789571765233)","(0.32066209215846292, 0.032673228049346061)","(0.35392797361031175, 0.019526491530825689)","(0.39385335061356902, 0.029304680638717228)","(0.3784577241874385, 0.032352194475412585)","(0.32951944215056989, 0.032646103524477096)","(0.42731787411906857, 0.021949140072769272)","(0.36506244490328954, 0.037797461231456386)","(0.44117119128236415, 0.049448153533393588)","(0.51384718032135712, 0.023747120967497943)","(0.50065280895008901, 0.046685321651209859)","(0.48202823516489368, 0.040396899561377562)"
5,"(0.4198298932891838, 0.026037048004429998)","(0.43701408505341016, 0.043242606680320199)","(0.40502400316587384, 0.038008225866042272)","(0.47810716038023338, 0.035224050011099059)","(0.38642114124016186, 0.043015086686670895)","(0.3928024206753597, 0.021017643319121402)","(0.44001473328338991, 0.020929366682291946)","(0.37717622606026274, 0.022983918515289629)","(0.38930061810820799, 0.022292346357376799)","(0.41353211519586069, 0.026095174526246576)","(0.68343953844886485, 0.056592142706674349)","(0.43950339770001867, 0.027344531858219528)","(0.38088881256063861, 0.031872076395684838)","(0.35409181905889547, 0.062945836872852767)","(0.36700367121313898, 0.018960442949804208)","(0.37828228987112611, 0.023067714395319596)","(0.33111709274714779, 0.035842511154677716)","(0.32281810077755857, 0.034373251311443642)","(0.43331846269235069, 0.024004332020800698)","(0.35244269421194713, 0.020321614070454491)","(0.48002358425896507, 0.048109748100333999)","(0.46609710643911284, 0.026208490082071656)","(0.475399425129366, 0.043888848779062038)","(0.44570745650895327, 0.026205142625716219)"
6,"(0.39170666417185945, 0.02046774779753352)","(0.41063270580266931, 0.03979013744203435)","(0.40263013987090046, 0.030236812431269407)","(0.3685301420794071, 0.025825683054805423)","(0.40937987407970977, 0.037238506558011378)","(0.40624199020384483, 0.017010740341399575)","(0.43299335919067589, 0.01826949427002993)","(0.35371215342701773, 0.01991466155617606)","(0.35058070349640347, 0.01348961587396633)","(0.43551766949075349, 0.025154288310755564)","(0.37935167275453147, 0.022339799036069231)","(0.42543608354517987, 0.022888182834779239)","(0.38358845393524016, 0.031844662732675028)","(0.37627899653708669, 0.054818709142181996)","(0.38566425898778595, 0.016910325270714895)","(0.38519009908279966, 0.02052720881947603)","(0.36438417510597615, 0.02994434239282746)","(0.37723061945806113, 0.047627878412291755)","(0.4263465311495222, 0.018869102835151034)","(0.39853978454480649, 0.023640475271893849)","(0.49563865702501925, 0.038623260556172927)","(0.44374640980034114, 0.023532450194092364)","(0.4535318274708991, 0.038012556734491429)","(0.40608398357421316, 0.019669228626759121)"
7,"(0.38521530993659409, 0.023906117799066297)","(0.40827439037715701, 0.036534946044502789)","(0.41323756544502555, 0.031084895582505712)","(0.39059930373562529, 0.021431028643057976)","(0.3628750087455988, 0.033110439048442936)","(0.39249733850872798, 0.017855958744087429)","(0.40423007074681888, 0.018003755893840519)","(0.36171063574845735, 0.020784257615083727)","(0.36399019792083026, 0.01127142105786676)","(0.4161672109486827, 0.017102523657892832)","(0.39153035513393136, 0.025352169054323283)","(0.39411133500813594, 0.022115414010368969)","(0.35960387383386261, 0.03062180782185138)","(0.43990558826764503, 0.047109716579272556)","(0.42471462338862187, 0.022865639023177807)","(0.41567819629302294, 0.020895282167429811)","(0.37315745315910143, 0.030818711631203307)","(0.38876121760662175, 0.038189424364378104)","(0.39915663932468792, 0.019481157137054794)","(0.42502078621188827, 0.01626365030081612)","(0.40625359590057902, 0.026936559820090293)","(0.44140700198150318, 0.02068596233922039)","(0.43064380955859588, 0.033219551981191593)","(0.39045812844359107, 0.020094632540887211)"
8,"(0.39493268738256437, 0.018844706092039736)","(0.42518836979597446, 0.041389872686267121)","(0.39135393225179399, 0.021339245804866919)","(0.37876428773727466, 0.023782442555216828)","(0.41382635221502817, 0.038492766365704513)","(0.40623472746553496, 0.017995008568968445)","(0.41649145161268208, 0.01980672108393447)","(0.35885482949799752, 0.017447854389694758)","(0.3551000769893079, 0.010215446565687361)","(0.43002658570396057, 0.024109801657568493)","(0.38477132177417855, 0.025147005028568137)","(0.4140089658819609, 0.022643977579862369)","(0.38001712262431619, 0.03205792943016416)","(0.37866488248458868, 0.055081212492651042)","(0.40594393212292806, 0.019494981705129914)","(0.4127330813064426, 0.021682113727588499)","(0.37044089878414932, 0.030430912363269762)","(0.38197209594557147, 0.022061909273918184)","(0.41452544132062835, 0.018496538696579426)","(0.39415622748190782, 0.024349085851192283)","(0.49391275022980674, 0.040670217895476819)","(0.37873734460938002, 0.023409945656514171)","(0.43360302573393111, 0.034208620699978445)","(0.40203629938503038, 0.018002220300614005)"
9,"(0.45217693250519336, 0.028230305098451643)","(0.37119643654063683, 0.030520777443758387)","(0.31429935056858072, 0.036059139019594004)","(0.38215927189897908, 0.048322303798391648)","(0.33714023876821064, 0.040004799266344988)","(0.37350794697360135, 0.02191890295120633)","(0.40452834863429366, 0.021614627789799761)","(0.27076171950009159, 0.038394882760940115)","(0.40560238969421986, 0.025177189329205599)","(0.40040412119772861, 0.033377781621240631)","(0.39141705749559019, 0.034867837341479552)","(0.42205975255879635, 0.02287384132869302)","(0.38170974574115585, 0.028726867616274642)","(0.32009635320819629, 0.034640874175130523)","(0.3463066172682725, 0.020108430011176626)","(0.39586789872896133, 0.029407290433982981)","(0.38035724214652106, 0.030345337101747662)","(0.33209074973622754, 0.030221326789647899)","(0.43168587218679766, 0.023205516375075817)","(0.43403934965029228, 0.023584629923716172)","(0.36738214747124082, 0.029061717639909845)","(0.50253402852413254, 0.022580042581996654)","(0.48423697299492008, 0.045365113875287362)","(0.46463555121604178, 0.043156801871404971)"
