DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.0975794203842628, 0.0095041997938228213)","(0.99818249679778115, 0.028940519444990997)","(1.1458972703545385, 0.028840067392404221)","(1.0705990976081388, 0.027577584112244473)","(1.0551488484416069, 0.025448333806873603)","(1.0622841837067216, 0.025315469484308812)","(1.0198334567655949, 0.039479702331451483)","(1.0757447727314531, 0.047312798785975371)","(0.95173075885206226, 0.065977253908244313)","(1.0425580810462445, 0.038967096799071607)","(1.1584759350300682, 0.032239123139910439)","(1.063197300857222, 0.045853604263063605)","(1.0584364893236575, 0.033209033434634744)","(0.98953180943873342, 0.038752616774096756)","(1.0698188369308588, 0.027773508812608209)","(1.1610466879708805, 0.021232480734471558)","(1.0788821017512924, 0.034021783457956117)","(1.077148075643799, 0.024084745958937205)","(0.94774824084870057, 0.059919707112431123)","(1.0703998822685934, 0.018651400848205685)","(1.050132227994822, 0.026168019206159299)","(1.0572159170519841, 0.033946121163756428)","(1.0973822811156957, 0.032202084825189464)","(1.0769785428758192, 0.022281496822150915)"
1,"(1.0992698681490103, 0.009496525418278931)","(0.9952337751392335, 0.02762306575465481)","(1.1409510361560795, 0.029154527197309456)","(1.059790715189302, 0.026273074464963835)","(1.0546745108936915, 0.024005751778892821)","(1.0589172309073389, 0.024671164860968806)","(0.98689136400159816, 0.037402829987498956)","(1.10221586449274, 0.048903362684964216)","(0.94492013228135785, 0.066470682155387373)","(1.0390777234919835, 0.040998840269946227)","(1.1549185507864226, 0.033568205728946178)","(1.0796502455722619, 0.049019403497905671)","(1.0542905536615885, 0.035175501289434287)","(0.99816103379721632, 0.041504872244481072)","(1.0661907303516642, 0.028596006553816788)","(1.1617326865241189, 0.022902070358705614)","(1.0768215687850142, 0.035449094764758202)","(1.0584478040751391, 0.02662372023620023)","(0.96496151297344313, 0.060198327157185337)","(1.0610594551846086, 0.022030781496018951)","(1.0541368211501598, 0.025629328733984845)","(1.0398488621228794, 0.035228119268582263)","(1.1046726336687764, 0.032568647569977016)","(1.0835653853021405, 0.0240896331483152)"
2,"(1.100281062258581, 0.010280231439904483)","(1.0774376395503733, 0.041544041236794699)","(1.1212730027158608, 0.031728706307704829)","(1.045429617745169, 0.027983219216816877)","(1.0708416463359811, 0.036317166195641376)","(1.1237150148614428, 0.023577431806356353)","(1.180490102965341, 0.073213858711605934)","(1.0942451443429833, 0.043330032009279013)","(0.97207943838086319, 0.074777603272285748)","(0.97724392159203621, 0.061569885360311924)","(1.2240310521676407, 0.036761199728146857)","(0.91408311121518315, 0.086271864689773589)","(1.08892226317553, 0.029179730909958838)","(1.0058035473973204, 0.050320908912557735)","(1.1518103777166155, 0.038137036228677618)","(1.1598534900039028, 0.026737748192589429)","(1.1320570235321368, 0.034775816466942361)","(1.0906965431574827, 0.026685399668784218)","(1.0816525197364533, 0.057362895789020485)","(1.0871497740682294, 0.021196945225388463)","(1.0550229440127277, 0.03474735106611241)","(1.1000999083898695, 0.027357834694143299)","(1.1556371559917076, 0.028948200758404801)","(1.0864203237103014, 0.025166067815784982)"
3,"(1.1002810622585808, 0.010280231439904827)","(1.0774376395503737, 0.041544041236794442)","(1.1212730027158608, 0.031728706307704829)","(1.045429617745169, 0.027983219216817116)","(1.0708416463359811, 0.036317166195641376)","(1.1237150148614425, 0.023577431806356512)","(1.180490102965341, 0.073213858711605934)","(1.0942451443429833, 0.043330032009279103)","(0.97207943838086319, 0.074777603272285692)","(0.97724392159203588, 0.061569885360312077)","(1.2240310521676407, 0.036761199728146857)","(0.91408311121518349, 0.086271864689773575)","(1.0889222631755302, 0.02917973090995872)","(1.0058035473973201, 0.050320908912557805)","(1.1518103777166158, 0.038137036228677507)","(1.1598534900039028, 0.026737748192589578)","(1.1320570235321368, 0.034775816466942361)","(1.0906965431574827, 0.026685399668784218)","(1.0816525197364533, 0.057362895789020318)","(1.0871497740682299, 0.021196945225388304)","(1.0550229440127277, 0.03474735106611241)","(1.1000999083898695, 0.027357834694143299)","(1.1556371559917076, 0.028948200758404805)","(1.0864203237103014, 0.025166067815784982)"
4,"(1.1006995925130438, 0.0097120831501505203)","(1.072538117364171, 0.043435202634670718)","(1.1223844792004947, 0.033159930818169286)","(1.066918856395755, 0.031576497418665896)","(1.0899192983002757, 0.039640296456143136)","(1.1409300393176278, 0.027210939169799112)","(1.1441312866498834, 0.073832504019632414)","(1.1062871027956525, 0.044425096371527278)","(0.93195804190199572, 0.064656500472680623)","(1.0288552256224086, 0.072668313533157863)","(1.2161998339084528, 0.036410460220977874)","(0.90967214366838589, 0.08548968860891612)","(1.092910947083447, 0.029472801450628364)","(1.1133347286516309, 0.075329540206404116)","(1.1550280326972184, 0.038474047766821978)","(1.1589848747572733, 0.027397226834834729)","(1.1340347732106721, 0.035399897903638039)","(1.0910951736178283, 0.026770777852709558)","(1.0750107281581638, 0.062063525582559328)","(1.0910481649788559, 0.021436752380281334)","(1.0630142105388305, 0.035153064203787179)","(1.1014671097093958, 0.028330904468764698)","(1.1558205911426565, 0.029564556561553015)","(1.0372863365432707, 0.035509403294857265)"
5,"(1.1006995925130438, 0.0097120831501508863)","(1.0725381173641713, 0.043435202634670551)","(1.1223844792004944, 0.03315993081816928)","(1.0669188563957546, 0.031576497418666215)","(1.0899192983002759, 0.039640296456142955)","(1.1409300393176278, 0.027210939169798973)","(1.144131286649883, 0.073832504019632469)","(1.1062871027956525, 0.044425096371527278)","(0.93195804190199538, 0.064656500472680706)","(1.0288552256224086, 0.072668313533157863)","(1.216199833908453, 0.036410460220977756)","(0.90967214366838611, 0.085489688608916037)","(1.0929109470834473, 0.029472801450628368)","(1.1133347286516306, 0.075329540206404214)","(1.1550280326972184, 0.038474047766822193)","(1.1589848747572733, 0.027397226834834431)","(1.1340347732106726, 0.035399897903637824)","(1.0910951736178285, 0.026770777852709291)","(1.075010728158164, 0.062063525582559245)","(1.0910481649788564, 0.021436752380280841)","(1.0630142105388309, 0.035153064203786985)","(1.1014671097093958, 0.028330904468764698)","(1.1558205911426567, 0.029564556561552748)","(1.0372863365432712, 0.035509403294857085)"
6,"(1.1006995925130438, 0.0097120831501508863)","(1.0725381173641713, 0.043435202634670551)","(1.1223844792004944, 0.03315993081816928)","(1.0669188563957543, 0.031576497418666215)","(1.0899192983002759, 0.039640296456142768)","(1.1409300393176276, 0.027210939169799254)","(1.1441312866498832, 0.0738325040196324)","(1.1062871027956527, 0.044425096371527278)","(0.93195804190199583, 0.064656500472680567)","(1.0288552256224088, 0.072668313533157697)","(1.216199833908453, 0.036410460220977874)","(0.90967214366838611, 0.085489688608916037)","(1.0929109470834464, 0.02947280145062885)","(1.1133347286516309, 0.075329540206404116)","(1.1550280326972182, 0.038474047766822297)","(1.1589848747572731, 0.027397226834834872)","(1.1340347732106726, 0.035399897903637824)","(1.0910951736178283, 0.026770777852709555)","(1.0750107281581638, 0.062063525582559322)","(1.0910481649788564, 0.021436752380280841)","(1.0630142105388309, 0.035153064203786985)","(1.1014671097093958, 0.028330904468764698)","(1.1558205911426567, 0.029564556561552748)","(1.0372863365432712, 0.035509403294857085)"
7,"(1.1001065535679473, 0.010393790386313835)","(1.0758072418643627, 0.041291958176855194)","(1.1128906943472685, 0.033004283422855343)","(1.0460412184015151, 0.02659922767542577)","(1.0541955076903471, 0.038418250187095014)","(1.1176704100809833, 0.024514869135435473)","(1.1083816445796719, 0.077059536356800726)","(1.10821657308829, 0.038644071885248682)","(0.97624524441022398, 0.075503225534717222)","(0.97179649117577072, 0.066994794598597862)","(1.2240658838261707, 0.03673438485663643)","(0.91426327205174107, 0.085901383777891915)","(1.0895834330572971, 0.029897152502033716)","(1.0089837286265859, 0.053719290403771235)","(1.1545816316927624, 0.040165713324252006)","(1.1597943415152685, 0.026798260958949938)","(1.1319434374695638, 0.034791385819326219)","(1.0922286517448416, 0.026781808767594097)","(1.0819943733905697, 0.057461595458406685)","(1.0972984631256897, 0.021116792831805856)","(1.0380584067721579, 0.030131736526712551)","(1.0605298949457431, 0.022558788412961554)","(1.1377073941498654, 0.031799353085516117)","(1.0984793434434619, 0.026699122164250182)"
8,"(1.1005918093290294, 0.0098164583681035131)","(1.0703951333255524, 0.043275070825463759)","(1.1131964830588132, 0.034738604360439761)","(1.0659258886347267, 0.030022044641248385)","(1.0711176528428925, 0.041899337407713545)","(1.1353839760607132, 0.02834645457513112)","(1.0689477222871133, 0.075754968343071771)","(1.1207806243648992, 0.039546803480774863)","(0.93506700234708995, 0.065226771223587984)","(1.024081835394661, 0.079359505962871349)","(1.2162145169663641, 0.036391772677509898)","(0.91007545294890435, 0.08512689823272275)","(1.093770766749109, 0.030174857466800202)","(1.148851899668019, 0.083265830091515808)","(1.1586908436638563, 0.040528615162957866)","(1.1589231788337502, 0.027453062464280909)","(1.1339107035698464, 0.035416817811002449)","(1.0926664531673682, 0.026872572418951544)","(1.0753627496464893, 0.062173691788187685)","(1.1010511548991861, 0.021310178416471006)","(1.0436857546021086, 0.030442284018590313)","(1.0599565944946625, 0.023123936239430945)","(1.1367505776806834, 0.032420474674404613)","(1.0487761437908496, 0.042723107870934959)"
9,"(1.1006995925130438, 0.0097120831501508863)","(1.0725381173641715, 0.043435202634670475)","(1.1223844792004944, 0.03315993081816928)","(1.0669188563957548, 0.031576497418666)","(1.0899192983002759, 0.039640296456142955)","(1.1409300393176278, 0.027210939169798973)","(1.1441312866498832, 0.0738325040196324)","(1.1062871027956525, 0.044425096371527278)","(0.93195804190199538, 0.064656500472680706)","(1.0288552256224082, 0.072668313533157849)","(1.216199833908453, 0.036410460220977874)","(0.90967214366838589, 0.085489688608916106)","(1.092910947083447, 0.029472801450628611)","(1.1133347286516306, 0.075329540206404214)","(1.1550280326972184, 0.038474047766821978)","(1.1589848747572731, 0.027397226834834719)","(1.1340347732106726, 0.035399897903638046)","(1.0910951736178285, 0.026770777852709291)","(1.075010728158164, 0.062063525582559245)","(1.0910481649788564, 0.021436752380280675)","(1.0630142105388307, 0.035153064203787186)","(1.101467109709396, 0.028330904468764441)","(1.1558205911426569, 0.029564556561552612)","(1.037286336543271, 0.035509403294857175)"
