DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.56091814361936865, 0.047952711109766018)","(0.46759242270825524, 0.041290776007585746)","(0.53713285109017583, 0.048850143502692137)","(0.60825490585418363, 0.044053719430794391)","(0.54837268695733221, 0.044011967949162401)","(0.56615469068556534, 0.03307128847353611)","(0.47233497761741383, 0.042245007216452142)","(0.5999837094123136, 0.042545980215143386)","(0.53180916815605328, 0.045283288043235392)","(0.56565239584429139, 0.040990081319761437)","(0.49140657123613563, 0.049664971169900873)","(0.49750557978756987, 0.048978699041273575)","(0.53794561970150478, 0.0446342787454602)","(0.58513418604624323, 0.033771811993574631)","(0.45449844482969798, 0.045923550588132286)","(0.53435645894181372, 0.02715910871600203)","(0.47850956151467178, 0.021142752554879043)","(0.54981957424230832, 0.01983733441615395)","(0.60128468288213721, 0.033930785228967246)","(0.5788130440991639, 0.029228605149968067)","(0.64765686116310051, 0.040070554614172402)","(0.51300160936062555, 0.033110030071431422)","(0.47764094539521701, 0.041367280293340448)","(0.49641115172929756, 0.061792600720470152)"
1,"(0.43895322746015808, 0.034749387502603507)","(0.53056977947207429, 0.062242719868731165)","(0.63150756545237774, 0.042110852358388698)","(0.5846843235182706, 0.03555188671993733)","(0.57008736266220117, 0.037064795858206025)","(0.58120952320189889, 0.034232966565042169)","(0.5396039296904106, 0.030638518563632131)","(0.53751348283599576, 0.037863878184679726)","(0.57456887909221555, 0.035371951859390904)","(0.64388785588801833, 0.03538141436355962)","(0.57273092941859083, 0.027273727841154349)","(0.63791788354364021, 0.03219299093520419)","(0.54957705433062265, 0.049634420097596124)","(0.62058491797585269, 0.044086799402687137)","(0.59731009146420844, 0.051691944578367982)","(0.61176686056731899, 0.032867501083296058)","(0.58015023044719305, 0.021664040149950652)","(0.65164772463500331, 0.024927312918173895)","(0.59101019762061957, 0.023279755982802408)","(0.59308284065746819, 0.029408601142017449)","(0.61393005034049319, 0.038372844970284516)","(0.53414734909337269, 0.031945552786863167)","(0.5447930017502578, 0.045682926099605926)","(0.50203207627518742, 0.039074101608531975)"
2,"(0.60801775570719119, 0.053918361654106024)","(0.52190934893699303, 0.070987904054004736)","(0.61208492951001636, 0.042477139113318983)","(0.6045122922195616, 0.048347108150515794)","(0.5052033852450698, 0.03035355086456876)","(0.51037256462483116, 0.026319725016698593)","(0.51225632273612154, 0.040668468879703906)","(0.53345158143868232, 0.031771183504472465)","(0.45981143226869864, 0.036598229659035149)","(0.56855755137657482, 0.043178333283839611)","(0.55755893694275804, 0.039799396007000568)","(0.51019900885037273, 0.032674883894096875)","(0.54255200178196006, 0.052780868115981268)","(0.50324578592617575, 0.052911074479320121)","(0.58752650765258196, 0.042803981398021038)","(0.59655446638254117, 0.03876757580047982)","(0.49721864805419819, 0.025009943425434916)","(0.53279171786537805, 0.019888681302546847)","(0.5739553826084387, 0.030425999999230392)","(0.523585123563863, 0.028437172301843831)","(0.55605014360427618, 0.048986658865403078)","(0.59544455343868552, 0.030625389373988569)","(0.47858670694945316, 0.042010190085924548)","(0.51885441015744038, 0.037873872169684873)"
3,"(0.53263554359693277, 0.047394375700541169)","(0.63946353913921195, 0.040393818770624944)","(0.74765502340661283, 0.045121724674345276)","(0.58703774711923806, 0.048089558854890128)","(0.5193349914063311, 0.035957106579660607)","(0.5351465508238934, 0.027146643572086914)","(0.50706899902541702, 0.033927747654985269)","(0.54741011166795051, 0.02988064241785281)","(0.45964942443255757, 0.039348637431180097)","(0.55440317008453444, 0.046362956023929987)","(0.58712933055548877, 0.039816596990227111)","(0.60267389633444612, 0.038212771236200864)","(0.5232233918481517, 0.035082035579154749)","(0.4846843312951305, 0.042776874772660844)","(0.5374374482536749, 0.04084178329154417)","(0.49470732759139202, 0.040606272126993158)","(0.54871857277681391, 0.020588093691012537)","(0.55137587077154671, 0.016163074838371688)","(0.57175564700714454, 0.028883263450765684)","(0.57693098534853515, 0.032055619669293378)","(0.54556369894205503, 0.038274616301965714)","(0.63793669514153784, 0.041589888099461715)","(0.53738544880960259, 0.050630544303605092)","(0.44109752192870411, 0.036965204109278414)"
4,"(0.40002769251931991, 0.062955262749163202)","(0.60256696276769017, 0.054179542065732604)","(0.68413751114935639, 0.051339583404764563)","(0.64438090434804318, 0.047415402236785809)","(0.5778441897621226, 0.034840533492154449)","(0.56968325030742883, 0.033720568480863453)","(0.54758668977484204, 0.038012649973362428)","(0.54934725240505733, 0.03577491566508597)","(0.44459174847538352, 0.038555971025953067)","(0.53131382022401608, 0.040705761226564004)","(0.62624364812169198, 0.039285107173160451)","(0.61408393987525745, 0.058327843075357461)","(0.58112675047085305, 0.049344563907603334)","(0.4845858227829748, 0.044776633774492612)","(0.5561129187229068, 0.032674661583540626)","(0.54894148870732085, 0.041353121743711141)","(0.51683993350631208, 0.03879254436206158)","(0.56284914619513426, 0.025542398736443581)","(0.5919233312200759, 0.032093279130693979)","(0.56011815115059227, 0.033011865668433393)","(0.56641550585551437, 0.043688653167803224)","(0.56250169514237403, 0.035719384462286938)","(0.5297758172557766, 0.052416819786443192)","(0.5078608151332189, 0.037578723850446069)"
5,"(0.48972898347810384, 0.041313935417705366)","(0.63122235002095317, 0.039041395910514545)","(0.83857598245140219, 0.038321055749870984)","(0.6414373426895591, 0.042417124408849823)","(0.59017657332379081, 0.038357761847836264)","(0.61024047946123605, 0.030390376721539998)","(0.55116785682020686, 0.039827285761806261)","(0.53732661064747267, 0.035772960869508465)","(0.54252170214471873, 0.035312376743872144)","(0.58658095091063911, 0.036236429807268912)","(0.61458454360378256, 0.039903027227697084)","(0.55481764657391497, 0.04103596174535034)","(0.56337351799617386, 0.036312217387861133)","(0.52139107042991206, 0.051077430853760444)","(0.51466863360343251, 0.045073274090430521)","(0.52597877224779754, 0.042310862289532084)","(0.57037305618785561, 0.028141886481839296)","(0.5646261239693986, 0.016652642588459006)","(0.55606887869549593, 0.021840349652929383)","(0.5412859682863953, 0.029168342512784752)","(0.48662535315651012, 0.033569105511004532)","(0.65183764198197414, 0.046968261231768449)","(0.58457081996799209, 0.04826144609184118)","(0.45948839241678652, 0.040426485582691775)"
6,"(0.58294677199803246, 0.066181958182495976)","(0.49832059657469185, 0.060923301968873508)","(0.57552634243339251, 0.044575066335555871)","(0.60220817340122146, 0.045222211386912362)","(0.50294626794675212, 0.032795733713245206)","(0.48049474235316858, 0.029781861134795654)","(0.5314134879442286, 0.035190101387465374)","(0.46778862532725973, 0.040649614077067353)","(0.49776008351902112, 0.034191239787269671)","(0.51057906297703703, 0.047453271376366159)","(0.54785407455943425, 0.052747872618744612)","(0.54469361149609385, 0.034113460279822309)","(0.51865716119382255, 0.055436137591038166)","(0.48978313197078516, 0.069039058404265732)","(0.61997888969345749, 0.042877500814466896)","(0.45065321249395146, 0.044515234019747676)","(0.51634319603383683, 0.02564767066072637)","(0.56369655592866708, 0.015869724914816905)","(0.57959778783020044, 0.031827502746908647)","(0.53510783458542632, 0.029140887315552789)","(0.51992658835583916, 0.036060556933441179)","(0.57766330896935159, 0.032003078599243139)","(0.42431237457253618, 0.040761584256390995)","(0.43227718871305759, 0.049524223299380173)"
7,"(0.57868418928658427, 0.043420688566655673)","(0.48993843956496846, 0.049417848674696799)","(0.60106234606079667, 0.038856980258086989)","(0.54723408372359328, 0.045414207918161198)","(0.54089094876147237, 0.033598509673971426)","(0.55292381503482069, 0.020285684452690415)","(0.3651918937705938, 0.23816835517110707)","(0.92850797763357251, 0.2668957166704955)","(0.56669395566514225, 0.041970315041498105)","(0.55863573865943283, 0.044317111562386338)","(0.67717466116984415, 0.032349545189727325)","(0.61664407780058839, 0.041442557638908681)","(0.64195018581797703, 0.051867467329139133)","(0.64897019899138786, 0.060536131667299473)","(0.64329047871903011, 0.043453387568495323)","(0.54522031525723957, 0.039998434989803384)","(0.56107820673733699, 0.024772036519272702)","(0.59416893189298903, 0.022639671661394554)","(0.53939295094436734, 0.0334056710698621)","(0.55857046133728272, 0.026095341609387899)","(0.6353769421785419, 0.038641040142292173)","(0.50021733522648482, 0.034421373063593476)","(0.50220912841185439, 0.04200582530897902)","(0.52449511934980309, 0.048793610661947831)"
8,"(0.60027173646110987, 0.035034479141935713)","(0.46909623692481001, 0.050365237933547156)","(0.71051548570381595, 0.03300813023422712)","(0.57433741733558252, 0.050605656333454194)","(0.58875600621036916, 0.028936626607140248)","(0.58092126634071273, 0.024968975595736118)","(0.44106249515801693, 0.22667120845458241)","(0.92993871525712979, 0.27008257506649636)","(0.6105924827723419, 0.036077560975928943)","(0.48417160124589859, 0.038347378323474242)","(0.63559013800893904, 0.02671357002815904)","(0.54049693833657741, 0.042128386906911529)","(0.64204289421875482, 0.039620327029118121)","(0.61870107039831956, 0.054416274825780958)","(0.57561108010054951, 0.058633499532549559)","(0.56768542659303478, 0.04609160555103535)","(0.53222861086889373, 0.034463873749098262)","(0.56838144532536106, 0.025967935569086366)","(0.52474741766739974, 0.024935170537812665)","(0.54047286779616122, 0.033629714411265034)","(0.60616659123132555, 0.039702503784848554)","(0.55456701964856325, 0.035245246242937837)","(0.50232403180682894, 0.059088906673804592)","(0.5706391559951719, 0.043108347081776598)"
9,"(0.51096988264716736, 0.058010551533479254)","(0.64213855095656314, 0.046307224611036639)","(0.71558277283501681, 0.055879409952232735)","(0.69221597454585937, 0.043900568654924775)","(0.56319050386532077, 0.035435178438481554)","(0.53704409071048642, 0.030619802399002721)","(0.53377581833794185, 0.03143931210275705)","(0.51650470627374878, 0.031523838520288228)","(0.48675887323098255, 0.047548071736979523)","(0.55646215058374993, 0.036779862356317285)","(0.60695677623072697, 0.035506507491883457)","(0.58980057554624687, 0.04655573108879605)","(0.57091597513184877, 0.043069290653762533)","(0.48439409500707936, 0.042605562574532962)","(0.51605147858137523, 0.033958079853029753)","(0.53213633951879191, 0.038268752805411727)","(0.54337762003074019, 0.030680365849459188)","(0.53862056492356036, 0.020717751713476576)","(0.55002704762190113, 0.02887646405912744)","(0.57245355101796824, 0.033890422345321414)","(0.5214799144302189, 0.042263032050756058)","(0.60364675005368484, 0.040941600152149739)","(0.51646798232183511, 0.047682903608612305)","(0.48594034558368565, 0.03283709664661115)"
