DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.0007939085195294, 0.049255256809017794)","(0.90772050783439862, 0.043670036402795633)","(0.96840810204362604, 0.031732704005589966)","(0.70937430118802047, 0.039763774790791163)","(0.70734615559832748, 0.064314761692212286)","(0.55419032425470172, 0.057262898035160541)","(0.56500213897841767, 0.064367744870501689)","(0.61896771084818458, 0.062632420228646166)","(0.49926246811761354, 0.03620787705273773)","(0.48447349039936938, 0.02833407422320847)","(0.44949432587754073, 0.033344202149909075)","(0.48682430012247069, 0.027012043299810679)","(0.57729798298656354, 0.041119058422365108)","(0.67262272151944258, 0.052690148163008786)","(0.70824844802702092, 0.061380266170219244)","(0.7945484764502132, 0.075663331103483986)","(0.58105509295881497, 0.038099459731036962)","(0.70280927548264527, 0.052660126195051823)","(0.56927728038738168, 0.039631298049711189)","(0.53199104420313748, 0.043736963893278628)","(0.56195109195650783, 0.039852374380781874)","(0.56065443281330285, 0.049923119116658629)","(0.47626911468835409, 0.071675421333691716)","(0.38033104398895567, 0.058301445526366603)"
1,"(0.91850799320037491, 0.059463226189362464)","(0.80168426349610222, 0.06219891350916644)","(0.98314641459981678, 0.030755874620331754)","(0.78154454713356758, 0.041851042781284473)","(0.77304374129626396, 0.059102693980234114)","(0.64664436835933337, 0.04271831643838804)","(0.72841632711728355, 0.050990628593556603)","(0.6647007743668808, 0.052998509533687906)","(0.54884555598406837, 0.049238467584580788)","(0.49943636154750343, 0.036024987287903897)","(0.44253274567856105, 0.035397874071238858)","(0.58542282825340586, 0.034460705240329376)","(0.61310549772753231, 0.039696362058349706)","(0.63074513717540015, 0.056559249536651014)","(0.65495788806439759, 0.073190404306345033)","(0.6814741092614911, 0.055093663782604226)","(0.62971193859426444, 0.044101730001641588)","(0.69793932047780827, 0.055834832107650584)","(0.57342744279341018, 0.043923361961856075)","(0.46778729757862575, 0.043362133996428284)","(0.55717172453484975, 0.053309329926080867)","(0.65061374908742697, 0.044101080477146434)","(0.53768233634193474, 0.078617423691976551)","(0.5177140065335144, 0.069187970546973399)"
2,"(0.7058243415468809, 0.063088130692460873)","(0.75788307276979772, 0.049501843841425849)","(0.8480684578624178, 0.041697402517530506)","(0.8309801417150422, 0.036472620254714802)","(0.58612358583482649, 0.033000642090380679)","(0.61128396929348527, 0.049577268907016622)","(0.53592114619002729, 0.048713405736449653)","(0.51676806333156555, 0.054775938860678171)","(0.58737864354861957, 0.045310346914481582)","(0.62279733033465867, 0.047127556750506693)","(0.57849899171563834, 0.036457317003093632)","(0.50870017110591503, 0.036761835660200352)","(0.472114479464116, 0.018487846515163945)","(0.49832064190431963, 0.032428760574642064)","(0.58583035434258623, 0.028232574930797831)","(0.56437211109468077, 0.033415192008151448)","(0.59061236249998283, 0.035654662401522312)","(0.56484187966753119, 0.020145223177349878)","(0.52789755274747074, 0.028019797747885364)","(0.53249925479988158, 0.036646411256961463)","(0.63845225772008785, 0.034228931085585605)","(0.58171786097843803, 0.046672799023580444)","(0.54025877288819735, 0.060436016517183229)","(0.47465083378032324, 0.083066225983248768)"
3,"(0.96149464275783736, 0.049945221148239759)","(0.92465787446377046, 0.043286079162656491)","(0.84813761347911165, 0.050809748681176839)","(0.70394289172877078, 0.044792226276874784)","(0.65154013883074613, 0.056248052079924213)","(0.58840664324061698, 0.040201506916348571)","(0.55632964851872591, 0.046575056923644519)","(0.592774031038384, 0.058776247244072176)","(0.48956822834576985, 0.039242873746990772)","(0.52210004848815195, 0.029175430581770925)","(0.52243784656258585, 0.040651313773683556)","(0.51552696950693377, 0.023079010336428046)","(0.50648355978691084, 0.026336779051858845)","(0.54941447696104195, 0.050188715984939014)","(0.61024838929153191, 0.05844963626430856)","(0.67915973536154017, 0.062731835481483172)","(0.60767803817766275, 0.054309865778122551)","(0.59470368112316774, 0.044806264404061637)","(0.52761760910212185, 0.033834155905951971)","(0.4153895077854623, 0.049515450221167059)","(0.64358218303124526, 0.04994409079290181)","(0.61275375645206798, 0.033706891886354291)","(0.5097450905060279, 0.053254823311620417)","(0.34256964704021342, 0.062321669419648534)"
4,"(0.85472879906157595, 0.057402915460026342)","(0.87633645395528825, 0.044428332675349243)","(0.8396613624071787, 0.049408802643086988)","(0.72550134996444127, 0.046733617185700349)","(0.66211829146408552, 0.047880224315425934)","(0.64341567108400921, 0.043484878005488607)","(0.5901072223232019, 0.049447721827617551)","(0.55381680208611306, 0.052432591139039891)","(0.48093329235384397, 0.038479373743981714)","(0.51436247918557199, 0.030637009537447621)","(0.54656753101561228, 0.037153878954837925)","(0.50078551906077728, 0.021140758485931138)","(0.47244289949067841, 0.023445325240587681)","(0.53390175742195611, 0.049206152774597042)","(0.60015918237773125, 0.048122092430419219)","(0.65303849602098818, 0.056038246988728682)","(0.6434384458882928, 0.044309721017641704)","(0.56597548442870849, 0.041493566926813441)","(0.51401763228036046, 0.031293981621889552)","(0.45060698652226905, 0.050493719538430584)","(0.62955679712000046, 0.029126148747228846)","(0.56733807451799634, 0.0397202919196121)","(0.504138421534294, 0.060355889645369525)","(0.40952387583502786, 0.069520176097033398)"
5,"(0.96433416214937662, 0.046853252349750574)","(0.88753380075395527, 0.040957692154653849)","(0.82542790191007354, 0.046406569057740009)","(0.73115117908633842, 0.040505571919958565)","(0.62083996801689334, 0.060668400201511111)","(0.5909564142169822, 0.043487079960927918)","(0.55169114105669359, 0.045363037406852033)","(0.59957736782189919, 0.069535171995923281)","(0.55501906097308118, 0.036846431271928104)","(0.56999927304288733, 0.030779684738718061)","(0.5084805496880217, 0.031372129215513321)","(0.51721548082970814, 0.02016503859407668)","(0.5083401767155501, 0.022734736001014035)","(0.56073056119051423, 0.032485785993597249)","(0.61103537972764754, 0.036777993968949658)","(0.58979551984310119, 0.042376257350774701)","(0.63831624684115862, 0.039680206533619353)","(0.59615645980796284, 0.021925000351024692)","(0.57737791518130654, 0.035068275634651633)","(0.54437625042363957, 0.038251182742621202)","(0.64429735344687578, 0.037302505380260094)","(0.57645433548203595, 0.038738403854561558)","(0.55432596502713238, 0.050584351162488439)","(0.26730502800142719, 0.071040666312460921)"
6,"(0.81380517036916389, 0.059920431022612963)","(0.8869663080732203, 0.039981502794073566)","(1.0459780707982083, 0.024937284118093823)","(0.89634616321605842, 0.038675396834132257)","(0.81013723195627407, 0.048495807804176998)","(0.64288057557528433, 0.048632442624870514)","(0.85475070416684895, 0.047580047416606083)","(0.67156003032588873, 0.063913170669478395)","(0.72860379412815734, 0.053306304660125342)","(0.5605860010846202, 0.041560793924348444)","(0.58185658773405269, 0.032803684194884074)","(0.5830909617934672, 0.036831124871251827)","(0.54928001468322951, 0.037367829762098674)","(0.58907133259213806, 0.051421750912337409)","(0.6937999949078818, 0.046348158086971618)","(0.6804334383934072, 0.054656950454150685)","(0.58418558178623703, 0.046217244824106225)","(0.67223137263355315, 0.042259325423502227)","(0.67810509638834604, 0.042276438493813434)","(0.64313245436680067, 0.041284856156436713)","(0.55983757615681129, 0.051682944668731134)","(0.69520608495217395, 0.044619202708384112)","(0.67712929478354345, 0.061784765938174231)","(0.72495401626997624, 0.065253518233939767)"
7,"(0.92959523970366909, 0.054735591635996617)","(0.8188594138803299, 0.059652080107989308)","(0.99661034680879401, 0.029747582347917315)","(0.8182667758056924, 0.040879050839027542)","(0.76581886366246177, 0.059241331735251687)","(0.64053723406898588, 0.040222316111436583)","(0.75054930901168537, 0.052802183587014447)","(0.63096560837891102, 0.055289020488885912)","(0.54829535229361415, 0.058457660883946723)","(0.51246368893927285, 0.038484010424441641)","(0.4541639841932929, 0.04356707950948769)","(0.56400250951469755, 0.035200876259358527)","(0.59770019507373351, 0.040024320531879015)","(0.66111981039431511, 0.059826518971097586)","(0.68717410440421112, 0.064137504158435832)","(0.69764102469038092, 0.055694426680511222)","(0.68561067544333276, 0.052686674135398265)","(0.72160930410239954, 0.059448240601854649)","(0.58899465924220984, 0.042583672830077343)","(0.46595863551651845, 0.047001446184095151)","(0.56011583813622579, 0.05555256011329672)","(0.64460943788809155, 0.040110625823354173)","(0.61225021763363208, 0.06750706885672457)","(0.54470051664026986, 0.068737636258115353)"
8,"(0.732649182547912, 0.063560719402064397)","(0.8264911499496872, 0.056659910160980008)","(0.77638978815323356, 0.042847983900140232)","(0.6929560208685217, 0.050315953517496799)","(0.63041233520686857, 0.04140044653855162)","(0.55196618434283684, 0.050858962088967202)","(0.53260227985689168, 0.062021009086984401)","(0.51385162907978943, 0.050359197581248058)","(0.65489938951275106, 0.045067570745062513)","(0.57402218167209962, 0.045025607494019536)","(0.551816778276909, 0.028606094221001049)","(0.47404489231116359, 0.030286543720093938)","(0.46921944169004726, 0.021860171768496646)","(0.49867379535201395, 0.035184532511837813)","(0.53080080501656057, 0.019153889847781283)","(0.54823544100961186, 0.030917855586357491)","(0.53315375852887958, 0.039682238938557948)","(0.50680599378350899, 0.021643136860118806)","(0.52816564762968388, 0.020756006464075997)","(0.50785390535517649, 0.018745917343555563)","(0.6055590361018105, 0.034908913272585197)","(0.53757608791679512, 0.034705354071841429)","(0.51122389300639759, 0.04457799254080598)","(0.5001371513106353, 0.096563317560446935)"
9,"(0.51098638046785139, 0.079439803607338211)","(0.88828761455379834, 0.061485263850631695)","(0.84072386640618624, 0.040898682424333546)","(0.69330282422756917, 0.044666874156290344)","(0.6447930536346822, 0.03669892383466547)","(0.52247821558130902, 0.044062616219755893)","(0.53198899344659356, 0.062371775636424896)","(0.45456415850285281, 0.066749403832810639)","(0.63983137900510223, 0.043565858321551798)","(0.53125829017324888, 0.039872697423508172)","(0.52029605554113179, 0.023816488195315691)","(0.48971169653189583, 0.016318395966895376)","(0.5097257513164215, 0.021754137947178641)","(0.49451316958841401, 0.035640877118207827)","(0.53845410589617504, 0.020086828313326185)","(0.54436391159103892, 0.024718843788978654)","(0.50477013843073704, 0.026537742669370423)","(0.50202198942743992, 0.020054197452538572)","(0.52338750211711116, 0.017416906087631506)","(0.51194854735845952, 0.011478960378545002)","(0.59086553468493963, 0.032244270739000998)","(0.56487856622288946, 0.029052811017614675)","(0.48341120845232083, 0.036153485419531305)","(0.45177185514813933, 0.073883112480456772)"
10,"(0.41109863736568508, 0.06970869309021363)","(0.87090482229413269, 0.069660819087367709)","(0.87433612110138348, 0.03776171456083631)","(0.75992796979517396, 0.042713836776470192)","(0.79975094124668356, 0.041118303708574007)","(0.57995908089777592, 0.037971026622686158)","(0.57881180182852077, 0.060349612232049044)","(0.62739307466561611, 0.076005591819972934)","(0.69252227187418325, 0.04021424406382984)","(0.52982799742700681, 0.034067028074429621)","(0.47188377944806192, 0.015391145471597307)","(0.49828310777664786, 0.014822339810924231)","(0.54029271411833901, 0.018933533059660609)","(0.52091890096128191, 0.031023970131166513)","(0.51269910714305855, 0.032275808031463758)","(0.44439253073741092, 0.036924155014296009)","(0.48639034152353716, 0.046229745814705341)","(0.52245093652156593, 0.020451630310645862)","(0.52992238861286267, 0.020008838975286162)","(0.51344878915113745, 0.014915502536931767)","(0.54607110425910665, 0.026186791692121514)","(0.55906845370624281, 0.024666859196516781)","(0.49439772328526371, 0.036072128784672614)","(0.4336416182902415, 0.045730904785920262)"
11,"(0.42175575038207591, 0.073207835830211107)","(0.84631573467253096, 0.066315472846452533)","(0.86654066807632435, 0.039669197825619465)","(0.75821072021473046, 0.043665500334361396)","(0.78190124503139746, 0.041140082530398296)","(0.54960498704566374, 0.03677538546702494)","(0.514144776009686, 0.061862815582990907)","(0.61630784394851801, 0.073658115725579204)","(0.680695773339971, 0.04040563147187462)","(0.52350476303858906, 0.033858598166109297)","(0.50836297492887894, 0.022451154831827549)","(0.4967924589232674, 0.015156946597886793)","(0.53053558818129509, 0.017922586982629794)","(0.50973058494940315, 0.029749046767223418)","(0.51374420184373937, 0.020648185184307388)","(0.52462209932335135, 0.029476815467666565)","(0.52925650689636594, 0.031815918749905914)","(0.5240257724131, 0.019718322321007765)","(0.52988825122366379, 0.019738346477537805)","(0.51093232774210773, 0.013838697205423701)","(0.56849453214999035, 0.026356912450803831)","(0.56585196461394582, 0.023656910591905073)","(0.48558056898934038, 0.02984348064703474)","(0.41851468665973124, 0.047427997814586655)"
