DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.0660315150439397, 0.037448194548347274)","(0.97183036140803714, 0.029584163640777154)","(0.99638937241189174, 0.022405347419382087)","(0.98420245665953143, 0.030724476331717758)","(1.0681937292074009, 0.015071736574645288)","(1.016265376003346, 0.02941713250011805)","(0.85365831072897502, 0.053988340631545402)","(0.95429823548045556, 0.029837580123275389)","(0.97729720934038178, 0.029146342890755596)","(1.3039368611565636, 0.046859693432036477)","(0.6964172117600903, 0.063485711946050682)","(0.98783519256679331, 0.027493639333917276)","(0.974664257846525, 0.026054951473287791)","(0.95287770174300512, 0.030859519401011979)","(0.99016264125711506, 0.038906702235306262)","(1.0235862074850055, 0.030704502204738488)","(0.98524461543692965, 0.023111239072998932)","(1.0132120575725621, 0.027298782065618706)","(1.007502367652479, 0.02586871691867158)","(0.98239726212279288, 0.03012672547837323)","(0.9830518301098663, 0.016510503017723811)","(1.021944681802244, 0.021600475279363096)","(1.0258654317901585, 0.023158750725011008)","(1.0178527891965636, 0.022040738144228921)"
1,"(1.0168843297487236, 0.032885600105254591)","(1.0237777008792495, 0.026902006951342344)","(0.96429150868149394, 0.033210570315504465)","(1.0385248084576317, 0.031119037046548132)","(1.0469948469575403, 0.023293813867552214)","(1.0086355749924822, 0.027059823756439016)","(0.87904503233744102, 0.065377590341058875)","(0.8819164263899012, 0.028634740972873357)","(0.94738920111341873, 0.040542309374178416)","(1.1430505210657567, 0.045453091983384257)","(0.81713489645698367, 0.060331871565399139)","(1.0137632351013603, 0.080913751932282965)","(0.94776376027206621, 0.07532044513916536)","(0.96268008913124026, 0.029131714051318331)","(1.0041777286901574, 0.042075293848384751)","(1.0128614129779274, 0.028756396792206911)","(0.99703304427395789, 0.025125310598204689)","(1.027277267930649, 0.027171497614084574)","(0.97826155699568951, 0.032242341527204191)","(0.96905075914147931, 0.029151772614987886)","(0.98569155732784541, 0.019641494548253785)","(0.96324952361931604, 0.039151477773467919)","(1.0174008584039735, 0.033143511644342677)","(0.99740587008093773, 0.022915238685715072)"
2,"(0.99749869604646368, 0.019982807514926124)","(0.92473161697215467, 0.021823913664666749)","(0.94511235214385947, 0.024365113282249332)","(0.98860724202943062, 0.031746599648067655)","(1.0554515379057341, 0.019356040045578494)","(0.98544106659521313, 0.032632249491596696)","(0.94570256905077765, 0.048404275158752286)","(1.0445506773185269, 0.02437793000900438)","(0.92087677908961951, 0.029907417150530774)","(0.95845741522480588, 0.031003989324020816)","(1.0222685247049736, 0.035856859471905526)","(0.976023070955784, 0.061071324157056878)","(0.95838200482844715, 0.032213029687548515)","(1.0508639231322914, 0.033661867234296185)","(0.97665268448980402, 0.11360494899748211)","(0.93347269716812609, 0.03966455174463776)","(0.98155885161344025, 0.028857411668647921)","(0.98991631567284311, 0.025116198526684605)","(1.0270082797417706, 0.038011344234688056)","(1.0500240315871585, 0.021388885276194532)","(1.0738152290738472, 0.028550096972989401)","(1.0117349496898387, 0.01711700396141538)","(1.0285703270959101, 0.01917862678075162)","(1.0242805465191787, 0.023858675901021597)"
3,"(1.0307918838804246, 0.016702372884386481)","(0.93597653307376394, 0.032457869286303745)","(0.99802732829980256, 0.026141787929778216)","(1.0485292005675069, 0.030515850742265409)","(1.0481261575849812, 0.016212241188895509)","(0.94527660150391113, 0.045669072783445036)","(0.93953078573144244, 0.068284611020654917)","(1.0885226888825377, 0.02937678547004172)","(0.9679853911146884, 0.032054071071760983)","(0.93138751473074688, 0.036862511080499018)","(1.0236781699773594, 0.041830251965364398)","(0.93684179238991505, 0.063243305245506032)","(0.96145465500444149, 0.047734313324390605)","(1.0801872988079679, 0.037397683481558426)","(0.99709775666592049, 0.038851391798073585)","(0.95052924803471661, 0.043755280522430648)","(1.0110441011664917, 0.038525014939289393)","(0.9770797286367876, 0.024843600618307409)","(1.0110468267358688, 0.039687002792120486)","(1.0356504059827354, 0.025179947166909616)","(1.1126658252966617, 0.03584918655286283)","(1.012877145047081, 0.015657908169842329)","(1.0223151397235759, 0.016852785953669264)","(1.0253260402775271, 0.020197946266469233)"
4,"(1.0339000015131099, 0.026080738985356011)","(0.96595607654684634, 0.043918764998439185)","(0.99990208045428708, 0.024677554228262091)","(1.0500833274407799, 0.031373253836803595)","(1.0416315492960642, 0.016882222652450176)","(1.0152701522576051, 0.051237052426006867)","(0.82955007290070715, 0.11091679048007624)","(1.0991864963686244, 0.03031563456527003)","(0.96528101883153483, 0.037014356639515661)","(1.0759244554850729, 0.077097735390749239)","(1.0337368091646242, 0.059821458105589531)","(1.1023283401734596, 0.040058064191448764)","(0.97162640308832704, 0.050536229272934913)","(1.0810499751035121, 0.048236031082124327)","(1.0032276661047157, 0.034578816627726792)","(1.0893483593169959, 0.064368960502334538)","(0.99292388237081541, 0.042407550845297341)","(0.95690779996981701, 0.029064020317492261)","(0.92517587098485077, 0.043263154901205629)","(1.0833723423128367, 0.047794604068999054)","(1.1530684993283284, 0.054976640961182197)","(1.0360448958139068, 0.022667646848053141)","(1.0199271993165249, 0.013153200173140958)","(1.0169066747040139, 0.02082936683491984)"
5,"(1.0053558253603148, 0.019487765543464711)","(0.90078838398665051, 0.026925094316962151)","(0.9902646445684673, 0.02726048851300068)","(1.0116956557773744, 0.029450010062461937)","(1.0357193064795056, 0.017335826142216685)","(0.97381929433383507, 0.035442874662283248)","(0.91321054317259798, 0.056852981655080938)","(1.0248277531519507, 0.023979021808001641)","(0.95083418722467428, 0.024392136252434974)","(0.94775201430983436, 0.02446932971933705)","(1.0242220767296348, 0.034322901433246733)","(0.93645280396485264, 0.082707811531577774)","(0.93350878428656447, 0.033721630037375674)","(1.0398135519815621, 0.048613239218908345)","(1.0113011694253715, 0.051126155308768385)","(0.95539250505637663, 0.039492192914797782)","(0.99054820163483892, 0.031296200532501477)","(0.92283633353501482, 0.034136902469416273)","(0.90607580768765239, 0.043451831510666894)","(1.0893399310247529, 0.037650093962743429)","(1.0255342957100106, 0.023615954488722828)","(1.0171851826549052, 0.01777520573887964)","(1.0301506369279947, 0.019758778432561633)","(1.0266264881256124, 0.021476533688588862)"
6,"(0.97258796134751957, 0.026307683427359143)","(1.0213003258366686, 0.030773110612265064)","(0.95692867401893589, 0.048162188862745203)","(1.0323736935789054, 0.036626905953097283)","(1.0259091416891257, 0.021079377391243805)","(0.97717574882758751, 0.028244496094080269)","(1.004131063106763, 0.045697434864823132)","(1.0309221994526692, 0.031333150953557813)","(0.90382517418272723, 0.03594665944228375)","(0.98169900455542392, 0.041283217841455298)","(0.94433894600622914, 0.043069721755038606)","(0.95159693659631717, 0.062115767618357083)","(1.0494095392259193, 0.027447237818360313)","(0.97995838172281324, 0.030593716136889791)","(0.96317140506290577, 0.065064500920828924)","(0.97040045847070577, 0.022964513268432154)","(1.0164410647223572, 0.030839076029296367)","(1.0276733182699456, 0.020026897285386019)","(0.95170150086764116, 0.027260870047494588)","(1.0038848850840631, 0.039080128813921512)","(0.98486706723771922, 0.020624783132815957)","(0.97801314989557009, 0.02172262000520344)","(1.0202063043143206, 0.017460385782620935)","(1.0439899724937869, 0.024045292497656006)"
7,"(1.0374855429297265, 0.027044268714521494)","(0.96491909133636444, 0.043848769439285673)","(1.0016643120816204, 0.025449736943563308)","(1.0442702309627172, 0.030230564511406759)","(1.037494730068639, 0.016009169515116231)","(1.0184069940601403, 0.055504206790931487)","(0.80480620681767268, 0.11225015511829481)","(1.0990081506391682, 0.030044247908116065)","(0.96625674994120525, 0.037177963436288354)","(1.052168929386786, 0.077456864201615933)","(1.0383799988362037, 0.061100038606589246)","(1.1058383376504375, 0.039619966032463406)","(0.98197916389106299, 0.050033915711443611)","(1.0913807367427726, 0.041936886525864227)","(0.9899802158221046, 0.033805139366093077)","(1.0442561823906107, 0.047069242752152428)","(1.0077770998042859, 0.036300829748459204)","(0.95691867207985171, 0.029017649070799293)","(0.93092753190302713, 0.043949478138042605)","(1.07278330058504, 0.04871642868602722)","(1.0764696271774465, 0.040734984161973825)","(1.0168228181877406, 0.022556809678448368)","(1.01717725593902, 0.013921786834809919)","(1.0171690010695862, 0.020499392749994461)"
8,"(1.0464779329372225, 0.025558718919662743)","(0.97004658707248581, 0.039767840761073772)","(0.98214276714253523, 0.029628813882532898)","(1.0406956781978622, 0.030736722607279242)","(1.0412910417834913, 0.016772073127801976)","(1.0004230779712013, 0.054123524301002597)","(0.88667026686270112, 0.086164971464609191)","(1.0863338288489817, 0.028800914727232729)","(0.95386462831102492, 0.04087188538736556)","(1.0302769351668519, 0.074696703942021367)","(1.0596286338547936, 0.061545173997255009)","(1.1149596223819003, 0.040403514203492905)","(0.97715709808693751, 0.052971541682447894)","(1.0793648774866618, 0.046112645111816862)","(0.99331018837409435, 0.039315902908913375)","(1.1449177127648382, 0.066587750592679934)","(0.98601096263754207, 0.043473112672894311)","(0.95459050421504665, 0.03097975193442308)","(0.97104665087891562, 0.045712472021552909)","(1.0788068117615515, 0.052846031233848699)","(1.1753176169236192, 0.066168404149507754)","(1.0258576472727794, 0.025377020567283699)","(1.02066223726234, 0.013032164868201962)","(1.0124843729809208, 0.01975712314870225)"
9,"(1.0614763435371701, 0.022857381160882203)","(0.91110098281440333, 0.040394636852029507)","(0.99729401665595474, 0.026992929260712947)","(1.0433429780792254, 0.029978757769716414)","(1.0396436221906891, 0.015460810957651746)","(0.99927981619916362, 0.053507174665112248)","(0.81719625666150941, 0.10714090318111381)","(1.0978527028809766, 0.027763416985489651)","(0.96468340964931787, 0.036977226231802496)","(0.92514032226192178, 0.038892282626434203)","(1.0120247894899514, 0.049487989119358464)","(1.048249163959136, 0.056775935958443852)","(0.96855496579104483, 0.051359480946786662)","(1.0948036016437026, 0.041065203725697615)","(1.003580447182294, 0.038055780411833634)","(1.059348731340104, 0.047976703499945914)","(1.0062568476149729, 0.038220136323355844)","(0.94846938143307946, 0.032260371053792439)","(0.96155225885353512, 0.048821628540075206)","(1.068041062833514, 0.054580169491296945)","(1.0710995533615406, 0.033887898294961673)","(1.0109043729666796, 0.016944356972461092)","(1.0211786392085413, 0.013547634530137655)","(1.008754933486355, 0.021303778455550103)"
