DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(0.89442952349900651, 0.0080512136531869956)","(0.86255237838558407, 0.017472425727279434)","(0.89317242010182651, 0.033510533922082142)","(0.79051553513841533, 0.055096220407800572)","(0.89010878390250536, 0.012053721656506349)","(0.90804949110663113, 0.022813119081690394)","(0.88225500532437995, 0.025351543690625328)","(0.89881847038772811, 0.022710156499187794)","(0.92028100851342509, 0.047326140826510488)","(0.74904827631547899, 0.042139508533294665)","(0.92780099969493157, 0.13857180299141883)","(0.76687817832859406, 0.082313103739207888)","(0.8877459166452164, 0.099149257703426169)","(0.84564553141602605, 0.093586673379950996)","(0.36602644286042524, 0.15913365078069408)","(0.73303544019882516, 0.12894095258783819)","(1.0973100140098675, 0.053379168471840807)","(0.84229292182057569, 0.040213829110269821)","(0.74159788604969068, 0.11181393675076817)","(0.66252623990772663, 0.2524689980687263)","(0.51668337129840303, 0.13231684452167738)","(0.8365322988155135, 0.021521307670993983)","(0.86569267683534878, 0.019429094540376609)","(0.86479561611689915, 0.017992075072988563)"
1,"(0.88653360337501452, 0.012209976322740717)","(0.8645208335482365, 0.019460886310893342)","(0.90018468905641968, 0.10059907398189741)","(0.7923548465337793, 0.048706395941341081)","(0.8721837042028534, 0.013261062869739756)","(0.88024549493743121, 0.014267854373773254)","(0.83913804348139454, 0.013207207980834553)","(0.94661400544585184, 0.041533647630573482)","(0.98091308310799108, 0.17369155965192185)","(0.77816266124278755, 0.047875805476585001)","(0.84850298148377867, 0.026846779162530112)","(0.44883559825291769, 0.13892210931856466)","(0.75752256397470341, 0.26588453582733729)","(1.1687826342466687, 0.2778849164568033)","(0.70321268220677979, 0.082232331861184019)","(0.94950361801783956, 0.09569591957095927)","(0.71694800822550653, 0.070633369061009629)","(0.99392380709147332, 0.15685145278698859)","(0.65056538461538671, 0.26317245954327667)","(0.74772202015133982, 0.33832513172601969)","(0.96224080267558654, 0.11672137029673378)","(0.57802854475123444, 0.13296263134968164)","(0.81269895650296453, 0.013726436795957784)","(0.86452094247342903, 0.015372137195583935)"
2,"(0.90294483905958622, 0.025187507601037509)","(0.85398645313442623, 0.044615795570506392)","(0.82409876734711096, 0.086202348952230098)","(1.021575025468803, 0.080315412197026786)","(0.95300459869429721, 0.024477397957273897)","(0.87802038169038255, 0.014242723676752016)","(0.86559117789133166, 0.067369073470545257)","(0.70701590794034241, 0.12260847628208799)","(1.2246319019468461, 0.25693262448260656)","(0.83831109978768648, 0.14596842552650047)","(0.58356620229454037, 0.13369807463319436)","(0.84132789548500597, 0.14393959338747425)","(0.74197176412816268, 0.11721096838593552)","(0.92398179806918856, 0.2114857263101407)","(1.0616589465934529, 0.15395835343425954)","(0.68769074297083943, 0.13708301012138085)","(0.93962854088722736, 0.1523179812136255)","(0.92423218480814062, 0.16837775955166706)","(0.42819832625684617, 0.30507428711724621)","(0.68990536321376728, 0.28916212009626685)","(0.82646823246010181, 0.13595530717644813)","(0.6237972739073997, 0.17385404778040373)","(0.74180606566499563, 0.22629463872172972)","(0.71759153162395661, 0.050161732776132513)"
3,"(0.90294483905958622, 0.025187507601037509)","(0.85398645313442634, 0.044615795570506288)","(0.82409876734711096, 0.086202348952230126)","(1.021575025468803, 0.080315412197026773)","(0.95300459869429721, 0.024477397957273897)","(0.87802038169038255, 0.014242723676752016)","(0.86559117789133166, 0.067369073470545257)","(0.70701590794034219, 0.12260847628208803)","(1.2246319019468461, 0.25693262448260656)","(0.83831109978768648, 0.14596842552650047)","(0.58356620229454026, 0.13369807463319433)","(0.84132789548500619, 0.14393959338747422)","(0.7419717641281629, 0.11721096838593552)","(0.92398179806918812, 0.21148572631014073)","(1.0616589465934529, 0.15395835343425956)","(0.68769074297083943, 0.13708301012138085)","(0.93962854088722736, 0.1523179812136255)","(0.92423218480814062, 0.16837775955166706)","(0.42819832625684623, 0.30507428711724621)","(0.6899053632137675, 0.28916212009626685)","(0.82646823246010181, 0.13595530717644813)","(0.6237972739073997, 0.17385404778040373)","(0.74180606566499563, 0.22629463872172975)","(0.71759153162395695, 0.050161732776132492)"
4,"(0.89147111406380486, 0.01149493763378563)","(0.85827955006682222, 0.017442375229254185)","(0.8942575125965101, 0.10041925983898953)","(0.794368805079123, 0.050815242295887512)","(0.87423064996630839, 0.01238262220803826)","(0.88375973889125947, 0.012715013388295515)","(0.83950645129744716, 0.012801464566231721)","(0.9434623201218062, 0.041699319835825213)","(1.038221213300865, 0.16872591682483767)","(0.77268739332746905, 0.049855731793723913)","(0.84760619907865375, 0.026783476847463811)","(0.41694014354953657, 0.12728442975968815)","(0.77719574156764681, 0.27637088356594663)","(1.197264111006578, 0.2861542202592568)","(0.70095149844692106, 0.090177218536822326)","(0.94757233141041419, 0.088708106068419126)","(0.71613738600440879, 0.070745409778826734)","(0.9993577072566513, 0.15614220074969515)","(0.64981790024905983, 0.25922982938673461)","(0.70333449040190166, 0.33724435798098357)","(0.95472747721693196, 0.11565858337549667)","(0.53396852709298026, 0.17266364326763875)","(0.81301335499084304, 0.013955894357695063)","(0.86178381787988945, 0.014759610696009538)"
5,"(0.9237776515094801, 0.015136157431570072)","(0.93312087041167235, 0.027019427373464803)","(0.83536397930464479, 0.064351965167515221)","(0.87710405748554909, 0.088481876944950064)","(0.90664365640074651, 0.016282747520040095)","(0.87947439248408121, 0.019023809514932946)","(0.85608667662131477, 0.027310623598926168)","(0.92286507369790549, 0.021537632776798359)","(0.79246475069750422, 0.0593466117663752)","(0.8945345632938474, 0.032114811289539871)","(0.76561236360592755, 0.072392753090413223)","(0.87907496782817751, 0.058313168380027182)","(0.74048313919814623, 0.096695216169896181)","(0.59387590547440927, 0.1351373839778878)","(0.78495032330414649, 0.16581614499545613)","(0.69313238090064566, 0.12441566502971166)","(0.22716482188185483, 0.22657118584291436)","(1.1147697102291465, 0.14049714907848262)","(1.1003652322198803, 0.10650390331420194)","(0.8292636892066384, 0.082994573276181066)","(0.85538060753897316, 0.055558878018124182)","(0.84034295722102448, 0.026724355446555794)","(0.88244846234308483, 0.038472246016092983)","(0.85293601535791874, 0.021404046776266578)"
6,"(0.91278344348304952, 0.020515046424539187)","(0.91592478495430341, 0.038637014616875798)","(0.80594993577595564, 0.11642694207027095)","(0.87895601943751933, 0.10924849965143585)","(0.90655862573612223, 0.033673627708063182)","(0.86720331755466029, 0.032133648259884351)","(0.81315175479772239, 0.042003881580446052)","(0.94173068161126505, 0.037180865816275832)","(0.83837094679997959, 0.072574779247071883)","(0.92192069296094803, 0.096328745713613315)","(0.91034824961947913, 0.078730991872132519)","(0.78911023259198554, 0.095275308912734197)","(0.96371729364911696, 0.089575855459660639)","(0.75609207372510057, 0.084026382622911414)","(0.31166926931853695, 0.092887636551886615)","(0.54215559293523763, 0.15134200248928928)","(0.92941517919300143, 0.092386319621118984)","(0.99372558744454997, 0.21402681184002215)","(1.3215172985629144, 0.16385451735825501)","(1.1433556450260105, 0.21682408757153648)","(0.94276408450704408, 0.16383386602506134)","(0.80996018131275993, 0.1240322836371377)","(0.94889549090955461, 0.038633250784975176)","(0.89558361523538188, 0.021828238199485067)"
7,"(0.91180521556682348, 0.019964384163097437)","(0.90048046685802285, 0.044005245787965649)","(0.74845524750106129, 0.18656052467439924)","(0.88214946188931376, 0.13427792843016412)","(0.9103377570427007, 0.032876147596271756)","(0.87345383994163606, 0.035497488754253043)","(0.79249498365088422, 0.045210475297511619)","(0.9315861314409194, 0.043558795206452554)","(0.84060558970136168, 0.074404119518453674)","(0.91830432384890026, 0.098678580686413012)","(0.86340331713470353, 0.078728400706179286)","(0.74085792890151947, 0.11916520797822544)","(0.84917081460053589, 0.1266608192134589)","(0.31233480868075342, 0.35802546833562071)","(0.35615200983717687, 0.095434333187824349)","(0.46981687962691221, 0.15869096312199371)","(0.92468618411999137, 0.091883005093347431)","(0.99666489837160799, 0.21363484515835229)","(1.3312169354494254, 0.1671141439193474)","(1.1899284475281955, 0.22166290631451485)","(0.93379141772517094, 0.16308708108530684)","(0.8009151480218738, 0.12314021648634736)","(0.8769471074454207, 0.034693027937338021)","(0.92119304798910129, 0.018964787883845192)"
8,"(0.9264650468162835, 0.020776922782088758)","(0.89758662049421589, 0.045195470190029008)","(0.95696380336500042, 0.058977914983652825)","(0.62845746805592162, 0.12582977068401952)","(0.89187115795745253, 0.037764178197057213)","(0.83122128242506477, 0.020459571495237069)","(0.85920547161686966, 0.027506014386011989)","(0.90245804791847439, 0.038669500524861317)","(0.91620072930212226, 0.05822937326529843)","(0.89873700913783228, 0.096392809070994331)","(0.78661312607944378, 0.073408748808739793)","(0.58767946505608237, 0.29339557807729255)","(0.9710494384127254, 0.092759618324282242)","(0.81725948938730097, 0.080405538355668105)","(0.83312420820710598, 0.11096768941472616)","(0.95852135601517763, 0.41911279881717484)","(0.98008895408603092, 0.090422635817226787)","(0.98670619739861731, 0.21272406975413599)","(1.3252150098892737, 0.16962236092654212)","(1.2282464394303172, 0.21462669801021647)","(0.92250670207385144, 0.16306852106291297)","(0.83049687969363584, 0.054239128969754857)","(1.0500726606722635, 0.02979814868715918)","(0.75625637101094367, 0.050920759281708791)"
9,"(0.88796046793009842, 0.01785841275550187)","(0.88668814718669298, 0.037805164820941393)","(0.82799440407078451, 0.081462285024181499)","(1.0310931670940109, 0.079364226962809245)","(0.95520535475824597, 0.024851652702039127)","(0.87616682230043841, 0.012709435640993038)","(0.87609179157586892, 0.03582647590484099)","(0.6541353567900503, 0.10793585041319255)","(0.7758201351939048, 0.15941018854204123)","(0.80997253399009306, 0.075104811045666686)","(0.85748355754077143, 0.023717829447117245)","(0.98909472716124347, 0.17770249915805805)","(0.71388057937518579, 0.1212090677554323)","(1.0123350303679874, 0.19107269760028814)","(0.98251888835756929, 0.19846585434618264)","(0.71164196002333824, 0.13963487426136126)","(0.92309093266168041, 0.13852844520440757)","(0.87911395950021476, 0.10533214009990313)","(0.54481617710397068, 0.1731783933890147)","(0.64072529856261262, 0.26007495294365857)","(0.63500243168133585, 0.1743809180072092)","(0.58978489620615671, 0.17054893226765977)","(0.81923633518259698, 0.030299306546255282)","(0.81995949267631618, 0.0331206223409444)"
10,"(0.90294483905958622, 0.025187507601037509)","(0.85398645313442634, 0.044615795570506288)","(0.82409876734711096, 0.086202348952230126)","(1.021575025468803, 0.080315412197026773)","(0.95300459869429721, 0.024477397957273897)","(0.87802038169038255, 0.014242723676752016)","(0.86559117789133166, 0.067369073470545257)","(0.70701590794034219, 0.12260847628208803)","(1.2246319019468461, 0.25693262448260656)","(0.83831109978768648, 0.14596842552650047)","(0.58356620229454026, 0.13369807463319433)","(0.84132789548500619, 0.14393959338747422)","(0.7419717641281629, 0.11721096838593552)","(0.92398179806918812, 0.21148572631014073)","(1.0616589465934529, 0.15395835343425954)","(0.68769074297083943, 0.13708301012138085)","(0.93962854088722736, 0.1523179812136255)","(0.92423218480814062, 0.16837775955166706)","(0.42819832625684623, 0.30507428711724621)","(0.68990536321376728, 0.28916212009626685)","(0.82646823246010181, 0.13595530717644813)","(0.62379727390739947, 0.17385404778040373)","(0.74180606566499563, 0.22629463872172972)","(0.71759153162395695, 0.050161732776132492)"
11,"(0.90294483905958622, 0.025187507601037509)","(0.85398645313442634, 0.044615795570506225)","(0.82409876734711096, 0.086202348952230126)","(1.021575025468803, 0.080315412197026786)","(0.95300459869429721, 0.024477397957273897)","(0.87802038169038255, 0.014242723676752016)","(0.86559117789133166, 0.067369073470545257)","(0.70701590794034241, 0.122608476282088)","(1.2246319019468461, 0.25693262448260656)","(0.83831109978768648, 0.14596842552650047)","(0.58356620229454037, 0.13369807463319439)","(0.84132789548500597, 0.14393959338747425)","(0.7419717641281629, 0.11721096838593552)","(0.92398179806918856, 0.2114857263101407)","(1.0616589465934529, 0.15395835343425956)","(0.68769074297083932, 0.13708301012138088)","(0.93962854088722736, 0.15231798121362547)","(0.92423218480814096, 0.16837775955166703)","(0.42819832625684623, 0.30507428711724621)","(0.6899053632137675, 0.28916212009626685)","(0.82646823246010181, 0.13595530717644813)","(0.62379727390739959, 0.17385404778040373)","(0.74180606566499563, 0.22629463872172972)","(0.71759153162395661, 0.050161732776132513)"
