DAY,HOUR_0,HOUR_1,HOUR_2,HOUR_3,HOUR_4,HOUR_5,HOUR_6,HOUR_7,HOUR_8,HOUR_9,HOUR_10,HOUR_11,HOUR_12,HOUR_13,HOUR_14,HOUR_15,HOUR_16,HOUR_17,HOUR_18,HOUR_19,HOUR_20,HOUR_21,HOUR_22,HOUR_23
0,"(1.0340830695273684, 0.044651150823614594)","(0.91225548999126826, 0.044874731223984034)","(0.94262234938853984, 0.039791661139534806)","(0.99709490149405078, 0.04655098796941446)","(0.83974588259007754, 0.04355206466808801)","(0.87159938630098444, 0.036409098997795625)","(0.89279925053144116, 0.042102245493690606)","(0.85209815998062488, 0.052129541211145394)","(0.79305958310879077, 0.052077792131554113)","(0.74310803558968719, 0.04548098163210245)","(0.87633854852634918, 0.064980022744927049)","(0.7730465601361356, 0.18247052309771736)","(0.61873251969761445, 0.078393541815226161)","(0.89644314166663075, 0.062994494248673885)","(0.84804505631713412, 0.085464169769173884)","(0.91715991633231786, 0.058207677275201999)","(0.87591664540179326, 0.050110715073541486)","(0.79778767657470684, 0.04264816911917782)","(0.85910736878506055, 0.064953080088483703)","(0.71500124194137216, 0.061297844529257281)","(0.51901495985040103, 0.049525738345858217)","(0.53808896257125105, 0.047176598859255153)","(0.74841537567925731, 0.06011002225101357)","(0.70129361381412725, 0.061590769523059766)"
1,"(1.0301716927378457, 0.036766607953790879)","(0.98299838062802936, 0.055694612773254215)","(0.90263866308843754, 0.042423177880760908)","(1.0413779816457946, 0.038074006488495432)","(0.82092774127301227, 0.048738140346134377)","(0.8542051495336902, 0.035741414539763566)","(0.84715604044178261, 0.038102907693607996)","(0.85859459888752099, 0.054173254718251192)","(0.76007183390451238, 0.04685293942976719)","(0.81442922541917973, 0.05184253593064779)","(0.78191429491270326, 0.051125406614945509)","(0.85504796251797954, 0.14667117037815486)","(0.70444879355307377, 0.09296173206811667)","(0.79040827457832796, 0.065964658046093153)","(0.9632976850475311, 0.084232327189555575)","(0.84243136939960295, 0.087688846047522723)","(1.0036090817809273, 0.046431771796119743)","(0.85711245203988429, 0.046291382088096016)","(0.94531423318349761, 0.055966282171460845)","(0.76773509612889534, 0.061473606162113559)","(0.64895522403812111, 0.068012122974967781)","(0.58344647013808626, 0.057965744056608377)","(0.75470086492565136, 0.055600668467347666)","(0.63226415208957087, 0.05215629740211828)"
2,"(1.0558472328629414, 0.039199515455000521)","(0.92824393686595197, 0.03415600604291421)","(0.9497834384254209, 0.045198452812524957)","(0.95639342493243873, 0.045327375735327566)","(0.95023580129725893, 0.035259116200853348)","(0.77164551522054892, 0.04099143448203843)","(0.84490198450126519, 0.03660911956276159)","(0.66428488006449438, 0.05259143905377793)","(0.76864138142584737, 0.059569199095535277)","(0.73199647448247973, 0.06501942471118051)","(0.84061113810634835, 0.054247910053400135)","(0.67384571350657108, 0.10875462351738667)","(0.83704832243560112, 0.13958468205318428)","(0.89697059214842234, 0.059483142474951151)","(0.9670978634248637, 0.064455428558575764)","(0.78426295274046132, 0.056639038511361733)","(0.78119155745232804, 0.073820667181779653)","(0.65670183158817297, 0.041426641007701936)","(0.69138548137414346, 0.076690368343986196)","(0.71547554830552595, 0.063201061871549405)","(0.51787613364533336, 0.041911231562580926)","(0.52279627684310181, 0.042164700935019103)","(0.65988234925539102, 0.054698279031466172)","(0.6262201886161809, 0.084464550853678697)"
3,"(1.0574881446679629, 0.03897668604303841)","(0.92884688994852382, 0.034086536135162174)","(0.95190686541006286, 0.043677729842353998)","(0.95729225973945464, 0.042742421035796674)","(0.96560590654267431, 0.0350079975074023)","(0.78634452214910466, 0.042767817259086446)","(0.83823304376934582, 0.040255793463434372)","(0.67039729336428699, 0.053591036917999373)","(0.77995752720988298, 0.058656649084779737)","(0.74301251771207599, 0.065310007161816924)","(0.82345235202382216, 0.056027964566346206)","(0.6772841802382682, 0.1096696277093598)","(0.83716228175722918, 0.13946848551005811)","(0.90408445243529245, 0.058702118265037392)","(0.97846808580879141, 0.060664327778704397)","(0.78207878028465216, 0.056421812071901667)","(0.79428871886509256, 0.0719119355295888)","(0.66124023720415637, 0.041885711869101762)","(0.69625129150909326, 0.076323477457575506)","(0.71730940784973463, 0.062942035397842711)","(0.51310868370640039, 0.038304138665956486)","(0.49769412597824064, 0.038245269070542903)","(0.65872011455197277, 0.060268686415646804)","(0.62371907614454936, 0.087396206410653765)"
4,"(0.94153773548032771, 0.057096343062513537)","(0.95307879544558505, 0.031660808182602487)","(0.94786021512778695, 0.03643882479355498)","(0.93490931465366534, 0.050693137118486678)","(0.97141665918075271, 0.036908505168136513)","(0.79156040724759547, 0.039124461709353638)","(0.88161942471058508, 0.034537518469607044)","(0.70120977475813862, 0.049194451966343977)","(0.698782984586512, 0.093009715639103568)","(0.78664699817426942, 0.06696130441414358)","(0.80884121372908879, 0.060477839201985149)","(0.6309095015794286, 0.080319196249114919)","(0.79040055544816257, 0.13245164091214423)","(0.90791607843033739, 0.060660190193834257)","(0.99291058237254382, 0.068937611486258835)","(0.76826894523245504, 0.054733968868053581)","(0.79501525107399884, 0.075195341660582379)","(0.64287791127344507, 0.05927000572797099)","(0.53028908189495638, 0.052246400154469491)","(0.66099153683997458, 0.068601038522073401)","(0.50274304309727713, 0.085992162737218686)","(0.47632160125922512, 0.041928940671220133)","(0.68570415951954045, 0.058090833954197396)","(0.73215973753863406, 0.078210597619176647)"
5,"(0.92165276838566823, 0.055083604892081188)","(0.96027538705922411, 0.028678124697762954)","(0.96887216075727356, 0.029123464051386615)","(0.92894344252964367, 0.049018278005259069)","(0.95709660039791189, 0.041888670268251486)","(0.7963887421041359, 0.037254858212925714)","(0.91164586331530817, 0.033472338103812546)","(0.72197880534501446, 0.057091846541378562)","(0.74465262808820842, 0.084753329251825327)","(0.79656184978995603, 0.067734442149468638)","(0.83369964582278522, 0.063697666929216953)","(0.61564243864043722, 0.081614818090260596)","(0.7628198031665977, 0.13939578584599829)","(0.89305142802787141, 0.060447731540255657)","(0.991672248768665, 0.064465132381318471)","(0.78739140935142904, 0.053570100552082715)","(0.83438546724781681, 0.07100112462221736)","(0.71109568412431778, 0.059969862636234855)","(0.54299183885959001, 0.052627065834010917)","(0.717741492242433, 0.067038146089506159)","(0.48906746930065614, 0.086679784538933005)","(0.51359287514015461, 0.051392323203585423)","(0.68649553441093092, 0.057579920799536027)","(0.68408890286931157, 0.077033297801496828)"
6,"(0.91758416766095308, 0.05436625880099049)","(0.96559436898106643, 0.031649464054077425)","(0.94963612883880377, 0.029512061745324097)","(0.91973493018809183, 0.048915299246420407)","(0.97662851170799114, 0.042066081057180398)","(0.75285386663617482, 0.033037909779566735)","(0.879766345202316, 0.036862649271761819)","(0.74522919514285935, 0.056487425906104734)","(0.76502233315878476, 0.082595100331595575)","(0.7998988232542017, 0.06454363146641745)","(0.85358173322854225, 0.067658471830325223)","(0.61820869465032868, 0.08196269600622122)","(0.75635858464556727, 0.13383928926168026)","(0.88868258128124145, 0.059180243285075082)","(1.0036907337421375, 0.062681224603258034)","(0.76934561587620698, 0.056337438411806232)","(0.82454760621196732, 0.071275132378189443)","(0.70844932067947386, 0.060138946543085041)","(0.56795405185508063, 0.05634552665855222)","(0.72700005189774675, 0.065213337119531992)","(0.4950241252794807, 0.084924302239739236)","(0.54809009957994981, 0.049303416607400882)","(0.77073435599661433, 0.062815615252301463)","(0.72348408718628632, 0.08046868379187963)"
7,"(1.0564910627562729, 0.03982453948713835)","(0.92513914406987829, 0.03365150269830719)","(0.95525142815231334, 0.046095340261562825)","(0.95348174057555768, 0.04346201319298628)","(0.94755470022771771, 0.035549830320863077)","(0.77031820117936756, 0.04038574621984195)","(0.85895258671856978, 0.037015610942142167)","(0.66926451105905838, 0.053266903424320895)","(0.78720697329077804, 0.059164651959785791)","(0.7266111321787454, 0.066230205802348244)","(0.84059905413189528, 0.054222972063784659)","(0.67555016290209779, 0.10947441376189569)","(0.80743525850185638, 0.13657161966650672)","(0.89712489663420658, 0.059478664182196571)","(0.97224246685669136, 0.06395754921888254)","(0.78705702740865469, 0.056187999422253831)","(0.78548252403090502, 0.072085839091724446)","(0.68182252214286843, 0.039977879638068668)","(0.69350219170813954, 0.080090608477359548)","(0.70818985647077848, 0.061721275457110363)","(0.43734974083671152, 0.091403787304275799)","(0.47021776486798444, 0.043549113522549136)","(0.63790106823579118, 0.051595665610662166)","(0.59586119645516533, 0.081029723584715913)"
8,"(0.88727005636739831, 0.049218868896021645)","(0.96391306824179512, 0.032972388289241795)","(1.0200244502434741, 0.03045784106779615)","(0.95051598961053718, 0.053014062733328343)","(0.9801069893458183, 0.038937394834115922)","(0.79489427614829977, 0.032577523184479963)","(0.86722319096462641, 0.037977206187692632)","(0.79368751589659614, 0.05169982102190801)","(0.77020885245217363, 0.081862369359927342)","(0.83646543061775025, 0.063620912691868065)","(0.87989119027149454, 0.065496294452700443)","(0.61860934955020697, 0.078916446170327434)","(0.70979243844603457, 0.11154433760799767)","(0.89797449254227646, 0.06619174421918185)","(0.87953720084963394, 0.093754787915569696)","(0.78970032903819032, 0.058456524537694329)","(0.81549243311428377, 0.076471120080123384)","(0.59744951952625103, 0.069791431501809609)","(0.64773392435077515, 0.062697135871088758)","(0.74982134742969009, 0.064684777848524264)","(0.7103931325460574, 0.099660971237964205)","(0.54916132095348291, 0.051885326022989155)","(0.81279671512886564, 0.062535524541971005)","(0.7615369708106321, 0.090053559801927224)"
9,"(1.0511555490413023, 0.037350233941891381)","(0.9271979354328338, 0.032127976229262674)","(0.9617996716268431, 0.043454361402683071)","(0.94725071237507619, 0.042824742174501398)","(0.96901797487409258, 0.033363815632226505)","(0.7803860430793601, 0.038494780110309934)","(0.85383071142182232, 0.034710995076030586)","(0.67074456722025877, 0.051683231468951256)","(0.7878068859589078, 0.058818109547814419)","(0.74092489433849851, 0.063753431026642479)","(0.78774519372828011, 0.059110277121742126)","(0.59411121819300561, 0.092804831935808865)","(0.81003432733403069, 0.13711130223678278)","(0.91578813015231364, 0.058271302151110121)","(0.96401457547489444, 0.064646661531102739)","(0.81235908977553339, 0.053269859565356931)","(0.81004054196746977, 0.068300225923143859)","(0.68512549356722052, 0.042633419376572279)","(0.70572461767027772, 0.079321161499372919)","(0.70904915283869696, 0.061355466344597112)","(0.46426300000464604, 0.089889103104689935)","(0.47001513878638135, 0.044841020621064147)","(0.63048663603666355, 0.050541368467782316)","(0.59117929504771505, 0.079265231815280529)"
10,"(1.0553882847520226, 0.037209456487557663)","(0.9540676304947775, 0.054414783753811986)","(0.91175414591545934, 0.040558973753012671)","(1.039516352410548, 0.036487063304559114)","(0.82401314006095294, 0.042163991138688933)","(0.85219235400703641, 0.035981906226765802)","(0.87878783406566507, 0.042410489281858477)","(0.86569581988739397, 0.053250671252136103)","(0.76542252816280165, 0.048004190015245862)","(0.76522096771704118, 0.042793130066833225)","(0.83323613861670498, 0.053190333779278252)","(0.77695681919364745, 0.15789357612518309)","(0.68114332211804551, 0.089358688983191131)","(0.81193050345398388, 0.066636666971305325)","(0.97519896610160195, 0.084747943649460242)","(0.83010306823534907, 0.085304153373840008)","(0.93921482103354748, 0.047486879714565527)","(0.81372999837914417, 0.04367526664745678)","(0.925642958592933, 0.064919540268575646)","(0.83548334565258398, 0.059720936933982574)","(0.61029671843750755, 0.062015461345341916)","(0.55536246812353007, 0.050383373759954705)","(0.73795234727389358, 0.059752726758733256)","(0.69108963245230615, 0.060255188784162465)"
